Exit stations,Entry stations->,,SATURDAY,,,Dec 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	10 , 	58 , 	52 , 	29 , 	185 , 	46 , 	64 , 	47 , 	50 , 	18 , 	50 , 	46 , 	16 , 	13 , 	13 , 	9 , 	8 , 	14 , 	16 , 	5 , 	8 , 	4 , 	7 , 	16 , 	14 , 	127 , 	100 , 	324 , 	101 , 	86 , 	95 , 	31 , 	32 , 	28 , 	6 , 	6 , 	7 , 	2 , 	22 , 	6 , 	10 , 	39 , 	10 , 	2 , 	9 , 	5 ," 	1,844 ",,,,,,,,,,
EN, 	63 , 	15 , 	56 , 	45 , 	338 , 	88 , 	92 , 	104 , 	122 , 	21 , 	87 , 	92 , 	22 , 	31 , 	30 , 	16 , 	15 , 	29 , 	18 , 	8 , 	17 , 	5 , 	7 , 	18 , 	23 , 	302 , 	234 , 	746 , 	241 , 	101 , 	109 , 	34 , 	50 , 	35 , 	20 , 	5 , 	12 , 	2 , 	20 , 	13 , 	14 , 	97 , 	23 , 	6 , 	27 , 	11 ," 	3,464 ",,,,,,,,,,
EP, 	57 , 	57 , 	12 , 	44 , 	330 , 	53 , 	56 , 	79 , 	89 , 	23 , 	31 , 	60 , 	14 , 	12 , 	11 , 	5 , 	6 , 	21 , 	12 , 	6 , 	18 , 	7 , 	8 , 	20 , 	7 , 	175 , 	134 , 	408 , 	152 , 	63 , 	52 , 	23 , 	10 , 	14 , 	4 , 	5 , 	4 , 	0 , 	6 , 	1 , 	4 , 	60 , 	14 , 	6 , 	21 , 	8 ," 	2,203 ",,,,,,,,,,
NB, 	33 , 	51 , 	38 , 	20 , 	109 , 	33 , 	40 , 	83 , 	58 , 	24 , 	43 , 	59 , 	14 , 	11 , 	11 , 	4 , 	8 , 	16 , 	9 , 	12 , 	18 , 	7 , 	8 , 	9 , 	11 , 	209 , 	173 , 	346 , 	207 , 	100 , 	87 , 	29 , 	15 , 	20 , 	5 , 	3 , 	6 , 	2 , 	5 , 	4 , 	6 , 	79 , 	12 , 	4 , 	30 , 	10 ," 	2,079 ",,,,,,,,,,
BK, 	199 , 	367 , 	348 , 	117 , 	48 , 	191 , 	171 , 	228 , 	206 , 	75 , 	142 , 	122 , 	71 , 	58 , 	50 , 	25 , 	42 , 	91 , 	34 , 	53 , 	67 , 	37 , 	38 , 	33 , 	52 , 	404 , 	299 , 	718 , 	322 , 	186 , 	157 , 	92 , 	40 , 	72 , 	12 , 	23 , 	47 , 	13 , 	36 , 	13 , 	16 , 	121 , 	60 , 	20 , 	45 , 	61 ," 	5,623 ",,,,,,,,,,
AS, 	55 , 	80 , 	52 , 	32 , 	162 , 	12 , 	57 , 	100 , 	74 , 	32 , 	63 , 	61 , 	24 , 	24 , 	15 , 	9 , 	11 , 	18 , 	12 , 	6 , 	12 , 	3 , 	3 , 	11 , 	27 , 	176 , 	141 , 	301 , 	191 , 	119 , 	100 , 	29 , 	19 , 	16 , 	2 , 	3 , 	10 , 	3 , 	8 , 	5 , 	3 , 	44 , 	11 , 	5 , 	15 , 	12 ," 	2,169 ",,,,,,,,,,
MA, 	79 , 	106 , 	52 , 	44 , 	171 , 	62 , 	27 , 	81 , 	86 , 	28 , 	88 , 	116 , 	38 , 	42 , 	31 , 	17 , 	19 , 	34 , 	41 , 	33 , 	48 , 	20 , 	15 , 	33 , 	29 , 	302 , 	256 , 	611 , 	336 , 	212 , 	155 , 	47 , 	36 , 	30 , 	11 , 	7 , 	12 , 	8 , 	70 , 	6 , 	12 , 	79 , 	20 , 	5 , 	21 , 	12 ," 	3,588 ",,,,,,,,,,
19, 	46 , 	106 , 	79 , 	85 , 	215 , 	100 , 	79 , 	30 , 	20 , 	19 , 	71 , 	114 , 	67 , 	61 , 	42 , 	20 , 	23 , 	47 , 	42 , 	51 , 	68 , 	31 , 	29 , 	70 , 	38 , 	311 , 	280 , 	557 , 	338 , 	230 , 	171 , 	65 , 	52 , 	54 , 	11 , 	15 , 	24 , 	13 , 	45 , 	9 , 	13 , 	60 , 	33 , 	10 , 	19 , 	23 ," 	3,884 ",,,,,,,,,,
12, 	53 , 	109 , 	90 , 	66 , 	176 , 	77 , 	83 , 	17 , 	26 , 	13 , 	71 , 	117 , 	79 , 	85 , 	66 , 	24 , 	33 , 	45 , 	49 , 	38 , 	63 , 	23 , 	23 , 	53 , 	56 , 	309 , 	256 , 	608 , 	295 , 	131 , 	124 , 	52 , 	53 , 	48 , 	20 , 	12 , 	20 , 	11 , 	50 , 	12 , 	18 , 	78 , 	29 , 	8 , 	30 , 	25 ," 	3,725 ",,,,,,,,,,
LM, 	14 , 	29 , 	23 , 	21 , 	66 , 	33 , 	26 , 	15 , 	17 , 	19 , 	95 , 	167 , 	124 , 	148 , 	47 , 	26 , 	36 , 	54 , 	9 , 	8 , 	12 , 	5 , 	4 , 	12 , 	21 , 	254 , 	245 , 	579 , 	242 , 	131 , 	108 , 	41 , 	36 , 	35 , 	3 , 	56 , 	83 , 	2 , 	8 , 	4 , 	5 , 	30 , 	8 , 	39 , 	17 , 	21 ," 	2,976 ",,,,,,,,,,
