Exit stations,Entry stations->,,SATURDAY,,,Jan 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	6 , 	46 , 	50 , 	34 , 	190 , 	54 , 	61 , 	47 , 	78 , 	23 , 	44 , 	41 , 	14 , 	12 , 	16 , 	9 , 	6 , 	13 , 	12 , 	4 , 	8 , 	3 , 	6 , 	15 , 	12 , 	135 , 	97 , 	268 , 	99 , 	92 , 	91 , 	21 , 	30 , 	23 , 	7 , 	3 , 	6 , 	2 , 	18 , 	7 , 	6 , 	43 , 	11 , 	1 , 	9 , 	6 ," 	1,776 ",,,,,,,,,,
EN, 	50 , 	15 , 	62 , 	52 , 	387 , 	83 , 	92 , 	132 , 	258 , 	42 , 	80 , 	90 , 	22 , 	26 , 	29 , 	14 , 	13 , 	29 , 	17 , 	8 , 	19 , 	5 , 	6 , 	22 , 	24 , 	325 , 	242 , 	581 , 	211 , 	107 , 	116 , 	28 , 	44 , 	36 , 	19 , 	4 , 	13 , 	2 , 	21 , 	11 , 	16 , 	77 , 	15 , 	5 , 	24 , 	14 ," 	3,481 ",,,,,,,,,,
EP, 	55 , 	50 , 	13 , 	37 , 	370 , 	50 , 	58 , 	146 , 	319 , 	53 , 	29 , 	38 , 	16 , 	15 , 	11 , 	4 , 	9 , 	21 , 	8 , 	6 , 	14 , 	7 , 	5 , 	23 , 	6 , 	199 , 	136 , 	312 , 	157 , 	70 , 	52 , 	22 , 	13 , 	16 , 	4 , 	3 , 	7 , 	1 , 	6 , 	3 , 	4 , 	43 , 	8 , 	5 , 	16 , 	10 ," 	2,443 ",,,,,,,,,,
NB, 	40 , 	55 , 	36 , 	16 , 	124 , 	40 , 	40 , 	219 , 	370 , 	59 , 	42 , 	47 , 	15 , 	12 , 	11 , 	6 , 	8 , 	18 , 	10 , 	12 , 	19 , 	7 , 	7 , 	14 , 	7 , 	258 , 	174 , 	304 , 	209 , 	131 , 	84 , 	29 , 	17 , 	19 , 	5 , 	2 , 	9 , 	3 , 	8 , 	3 , 	5 , 	60 , 	11 , 	3 , 	27 , 	9 ," 	2,601 ",,,,,,,,,,
BK, 	210 , 	411 , 	359 , 	122 , 	48 , 	192 , 	193 , 	316 , 	379 , 	117 , 	154 , 	93 , 	79 , 	72 , 	69 , 	42 , 	62 , 	97 , 	41 , 	46 , 	68 , 	43 , 	33 , 	26 , 	52 , 	641 , 	355 , 	749 , 	419 , 	232 , 	170 , 	82 , 	48 , 	76 , 	14 , 	21 , 	55 , 	11 , 	42 , 	18 , 	15 , 	196 , 	66 , 	23 , 	91 , 	80 ," 	6,721 ",,,,,,,,,,
AS, 	55 , 	68 , 	50 , 	35 , 	176 , 	20 , 	58 , 	194 , 	321 , 	56 , 	62 , 	48 , 	24 , 	26 , 	16 , 	8 , 	13 , 	18 , 	12 , 	6 , 	16 , 	8 , 	2 , 	11 , 	23 , 	227 , 	155 , 	278 , 	214 , 	151 , 	110 , 	26 , 	18 , 	14 , 	4 , 	5 , 	9 , 	2 , 	11 , 	4 , 	4 , 	53 , 	15 , 	5 , 	22 , 	13 ," 	2,661 ",,,,,,,,,,
MA, 	76 , 	89 , 	60 , 	47 , 	168 , 	61 , 	20 , 	165 , 	254 , 	45 , 	100 , 	87 , 	38 , 	46 , 	28 , 	18 , 	20 , 	30 , 	43 , 	24 , 	49 , 	20 , 	12 , 	34 , 	32 , 	378 , 	274 , 	531 , 	378 , 	248 , 	172 , 	45 , 	41 , 	30 , 	6 , 	6 , 	14 , 	7 , 	68 , 	7 , 	10 , 	74 , 	20 , 	6 , 	20 , 	13 ," 	3,908 ",,,,,,,,,,
19, 	47 , 	111 , 	91 , 	97 , 	240 , 	129 , 	100 , 	20 , 	27 , 	21 , 	66 , 	78 , 	54 , 	56 , 	37 , 	18 , 	32 , 	35 , 	37 , 	50 , 	72 , 	30 , 	32 , 	106 , 	44 , 	352 , 	288 , 	486 , 	362 , 	262 , 	193 , 	60 , 	34 , 	41 , 	10 , 	16 , 	19 , 	10 , 	31 , 	7 , 	10 , 	56 , 	32 , 	13 , 	12 , 	22 ," 	3,940 ",,,,,,,,,,
12, 	65 , 	175 , 	158 , 	192 , 	224 , 	163 , 	163 , 	26 , 	25 , 	15 , 	103 , 	106 , 	80 , 	98 , 	77 , 	28 , 	41 , 	59 , 	65 , 	56 , 	68 , 	54 , 	53 , 	219 , 	67 , 	342 , 	245 , 	566 , 	364 , 	175 , 	153 , 	49 , 	66 , 	53 , 	24 , 	25 , 	26 , 	19 , 	65 , 	15 , 	18 , 	74 , 	43 , 	16 , 	17 , 	40 ," 	4,771 ",,,,,,,,,,
LM, 	51 , 	201 , 	301 , 	419 , 	192 , 	265 , 	188 , 	27 , 	45 , 	11 , 	339 , 	166 , 	263 , 	197 , 	83 , 	39 , 	81 , 	95 , 	22 , 	33 , 	44 , 	55 , 	68 , 	244 , 	60 , 	336 , 	249 , 	489 , 	291 , 	176 , 	146 , 	48 , 	37 , 	44 , 	6 , 	177 , 	199 , 	14 , 	18 , 	3 , 	6 , 	22 , 	15 , 	79 , 	19 , 	34 ," 	5,892 ",,,,,,,,,,
