Exit stations,Entry stations->,,WEEKDAY,,,Feb 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
RM, 	16 , 	115 , 	91 , 	72 , 	427 , 	104 , 	140 , 	160 , 	190 , 	45 , 	96 , 	58 , 	31 , 	19 , 	34 , 	19 , 	14 , 	32 , 	22 , 	15 , 	22 , 	8 , 	5 , 	22 , 	20 , 	396 , 	395 , 	445 , 	342 , 	193 , 	179 , 	48 , 	80 , 	100 , 	16 , 	5 , 	17 , 	2 , 	36 , 	12 , 	19 , 	49 , 	28 , 	7 , 	11 , 	8 ," 	4,167 ",,,,,,,,,,,,,
EN, 	135 , 	21 , 	91 , 	104 , 	937 , 	141 , 	275 , 	496 , 	572 , 	124 , 	107 , 	114 , 	57 , 	42 , 	76 , 	22 , 	40 , 	62 , 	28 , 	18 , 	31 , 	9 , 	12 , 	34 , 	39 , 	959 ," 	1,036 ", 	894 , 	823 , 	278 , 	212 , 	79 , 	119 , 	184 , 	28 , 	9 , 	26 , 	6 , 	30 , 	31 , 	42 , 	105 , 	71 , 	13 , 	32 , 	25 ," 	8,588 ",,,,,,,,,,,,,
EP, 	93 , 	86 , 	12 , 	51 , 	746 , 	84 , 	134 , 	314 , 	347 , 	89 , 	58 , 	42 , 	29 , 	15 , 	26 , 	6 , 	15 , 	40 , 	17 , 	17 , 	25 , 	7 , 	7 , 	31 , 	13 , 	576 , 	697 , 	401 , 	443 , 	124 , 	74 , 	32 , 	41 , 	64 , 	4 , 	5 , 	16 , 	4 , 	14 , 	10 , 	12 , 	61 , 	32 , 	8 , 	28 , 	12 ," 	4,963 ",,,,,,,,,,,,,
NB, 	75 , 	91 , 	52 , 	15 , 	205 , 	68 , 	89 , 	291 , 	253 , 	66 , 	63 , 	39 , 	31 , 	21 , 	30 , 	11 , 	18 , 	34 , 	18 , 	27 , 	30 , 	7 , 	10 , 	16 , 	13 , 	635 , 	746 , 	392 , 	521 , 	166 , 	100 , 	32 , 	35 , 	53 , 	6 , 	7 , 	14 , 	4 , 	16 , 	9 , 	10 , 	79 , 	42 , 	8 , 	34 , 	15 ," 	4,498 ",,,,,,,,,,,,,
BK, 	473 ," 	1,004 ", 	776 , 	224 , 	45 , 	388 , 	397 , 	615 , 	602 , 	302 , 	298 , 	177 , 	203 , 	154 , 	149 , 	81 , 	168 , 	221 , 	141 , 	173 , 	130 , 	77 , 	55 , 	53 , 	76 , 	991 ," 	1,023 ", 	752 , 	791 , 	344 , 	264 , 	141 , 	121 , 	142 , 	36 , 	58 , 	124 , 	54 , 	127 , 	36 , 	45 , 	125 , 	157 , 	51 , 	62 , 	91 ," 	12,518 ",,,,,,,,,,,,,
AS, 	115 , 	130 , 	88 , 	56 , 	357 , 	16 , 	92 , 	278 , 	265 , 	80 , 	108 , 	68 , 	50 , 	32 , 	38 , 	21 , 	32 , 	35 , 	27 , 	27 , 	25 , 	9 , 	6 , 	13 , 	27 , 	721 , 	817 , 	479 , 	556 , 	237 , 	131 , 	36 , 	50 , 	57 , 	8 , 	10 , 	21 , 	7 , 	31 , 	13 , 	15 , 	50 , 	43 , 	11 , 	23 , 	17 ," 	5,328 ",,,,,,,,,,,,,
MA, 	153 , 	283 , 	125 , 	88 , 	389 , 	88 , 	47 , 	200 , 	246 , 	78 , 	175 , 	140 , 	129 , 	100 , 	111 , 	58 , 	76 , 	111 , 	171 , 	187 , 	155 , 	46 , 	44 , 	59 , 	49 ," 	1,068 "," 	1,231 ", 	820 , 	926 , 	400 , 	235 , 	80 , 	98 , 	104 , 	25 , 	23 , 	71 , 	65 , 	267 , 	33 , 	31 , 	97 , 	70 , 	25 , 	26 , 	34 ," 	9,039 ",,,,,,,,,,,,,
19, 	174 , 	496 , 	320 , 	297 , 	565 , 	273 , 	201 , 	35 , 	59 , 	51 , 	187 , 	169 , 	248 , 	213 , 	211 , 	155 , 	226 , 	323 , 	324 , 	401 , 	347 , 	158 , 	124 , 	175 , 	64 ," 	1,415 "," 	1,630 ", 	959 ," 	1,088 ", 	451 , 	348 , 	181 , 	137 , 	165 , 	74 , 	70 , 	234 , 	179 , 	285 , 	69 , 	74 , 	86 , 	136 , 	110 , 	38 , 	107 ," 	13,631 ",,,,,,,,,,,,,
12, 	218 , 	597 , 	333 , 	260 , 	514 , 	260 , 	232 , 	57 , 	40 , 	50 , 	220 , 	272 , 	345 , 	328 , 	290 , 	172 , 	231 , 	281 , 	346 , 	417 , 	295 , 	140 , 	115 , 	173 , 	95 ," 	1,299 "," 	1,348 ", 	940 ," 	1,008 ", 	356 , 	326 , 	183 , 	200 , 	211 , 	133 , 	114 , 	246 , 	175 , 	346 , 	91 , 	86 , 	119 , 	168 , 	124 , 	50 , 	91 ," 	13,893 ",,,,,,,,,,,,,
LM, 	48 , 	118 , 	89 , 	68 , 	288 , 	83 , 	77 , 	55 , 	49 , 	25 , 	187 , 	261 , 	320 , 	280 , 	168 , 	97 , 	125 , 	136 , 	35 , 	27 , 	27 , 	8 , 	8 , 	38 , 	43 , 	883 ," 	1,037 ", 	724 , 	674 , 	255 , 	159 , 	64 , 	98 , 	132 , 	9 , 	120 , 	194 , 	11 , 	57 , 	12 , 	14 , 	34 , 	18 , 	87 , 	22 , 	97 ," 	7,363 ",,,,,,,,,,,,,
FV, 	97 , 	112 , 	56 , 	65 , 	303 , 	106 , 	188 , 	204 , 	225 , 	202 , 	31 , 	225 , 	227 , 	226 , 	209 , 	91 , 	76 , 	133 , 	50 , 	28 , 	40 , 	17 , 	25 , 	52 , 	106 , 	920 ," 	1,009 ", 	899 , 	861 , 	312 , 	224 , 	69 , 	108 , 	162 , 	9 , 	62 , 	134 , 	10 , 	50 , 	17 , 	29 , 	59 , 	33 , 	62 , 	12 , 	63 ," 	8,198 ",,,,,,,,,,,,,
CL, 	65 , 	114 , 	38 , 	46 , 	175 , 	67 , 	149 , 	188 , 	299 , 	218 , 	223 , 	32 , 	123 , 	174 , 	145 , 	78 , 	98 , 	108 , 	55 , 	32 , 	34 , 	20 , 	17 , 	33 , 	95 , 	571 , 	575 , 	556 , 	426 , 	171 , 	130 , 	63 , 	84 , 	141 , 	15 , 	41 , 	120 , 	15 , 	96 , 	23 , 	28 , 	32 , 	28 , 	62 , 	23 , 	77 ," 	5,901 ",,,,,,,,,,,,,
SL, 	34 , 	66 , 	31 , 	36 , 	199 , 	53 , 	136 , 	257 , 	355 , 	326 , 	226 , 	163 , 	22 , 	122 , 	159 , 	70 , 	89 , 	139 , 	26 , 	23 , 	24 , 	6 , 	8 , 	23 , 	52 , 	721 , 	818 , 	603 , 	551 , 	169 , 	103 , 	46 , 	80 , 	119 , 	10 , 	39 , 	98 , 	8 , 	37 , 	16 , 	15 , 	40 , 	11 , 	54 , 	8 , 	51 ," 	6,244 ",,,,,,,,,,,,,
BF, 	22 , 	39 , 	16 , 	20 , 	149 , 	34 , 	97 , 	221 , 	321 , 	252 , 	214 , 	168 , 	120 , 	20 , 	119 , 	72 , 	96 , 	197 , 	18 , 	13 , 	13 , 	2 , 	3 , 	12 , 	39 , 	682 , 	703 , 	557 , 	477 , 	152 , 	87 , 	36 , 	57 , 	100 , 	12 , 	51 , 	137 , 	5 , 	20 , 	12 , 	17 , 	28 , 	12 , 	71 , 	7 , 	60 ," 	5,558 ",,,,,,,,,,,,,
HY, 	40 , 	83 , 	29 , 	30 , 	140 , 	38 , 	112 , 	218 , 	281 , 	156 , 	216 , 	159 , 	179 , 	128 , 	18 , 	106 , 	219 , 	308 , 	30 , 	19 , 	20 , 	6 , 	5 , 	22 , 	32 , 	467 , 	542 , 	351 , 	321 , 	96 , 	59 , 	31 , 	42 , 	62 , 	7 , 	18 , 	75 , 	13 , 	58 , 	7 , 	13 , 	21 , 	5 , 	33 , 	9 , 	83 ," 	4,905 ",,,,,,,,,,,,,
SH, 	17 , 	28 , 	8 , 	9 , 	77 , 	19 , 	58 , 	146 , 	163 , 	80 , 	86 , 	79 , 	65 , 	74 , 	84 , 	16 , 	88 , 	156 , 	7 , 	9 , 	12 , 	2 , 	2 , 	6 , 	15 , 	408 , 	403 , 	234 , 	248 , 	79 , 	45 , 	16 , 	27 , 	55 , 	6 , 	11 , 	37 , 	3 , 	16 , 	5 , 	7 , 	13 , 	6 , 	17 , 	6 , 	47 ," 	2,997 ",,,,,,,,,,,,,
UC, 	17 , 	37 , 	16 , 	18 , 	165 , 	35 , 	83 , 	228 , 	223 , 	120 , 	81 , 	95 , 	86 , 	97 , 	219 , 	88 , 	23 , 	204 , 	14 , 	17 , 	17 , 	4 , 	4 , 	11 , 	11 , 	909 , 	819 , 	339 , 	331 , 	88 , 	35 , 	13 , 	21 , 	71 , 	5 , 	16 , 	54 , 	5 , 	20 , 	9 , 	6 , 	26 , 	4 , 	21 , 	12 , 	36 ," 	4,750 ",,,,,,,,,,,,,
FM, 	36 , 	70 , 	40 , 	38 , 	227 , 	38 , 	114 , 	327 , 	273 , 	133 , 	142 , 	108 , 	145 , 	208 , 	307 , 	166 , 	219 , 	47 , 	24 , 	23 , 	28 , 	9 , 	12 , 	21 , 	16 ," 	1,422 "," 	1,198 ", 	427 , 	397 , 	113 , 	37 , 	31 , 	36 , 	69 , 	10 , 	34 , 	76 , 	7 , 	37 , 	4 , 	7 , 	34 , 	5 , 	27 , 	22 , 	44 ," 	6,806 ",,,,,,,,,,,,,
CN, 	24 , 	33 , 	18 , 	22 , 	144 , 	25 , 	170 , 	330 , 	335 , 	34 , 	48 , 	54 , 	26 , 	18 , 	32 , 	7 , 	15 , 	25 , 	30 , 	109 , 	250 , 	82 , 	43 , 	98 , 	16 , 	891 , 	934 , 	535 , 	512 , 	145 , 	90 , 	49 , 	66 , 	124 , 	28 , 	7 , 	9 , 	49 , 	326 , 	27 , 	21 , 	117 , 	30 , 	3 , 	29 , 	10 ," 	5,994 ",,,,,,,,,,,,,
PH, 	17 , 	19 , 	18 , 	27 , 	174 , 	30 , 	184 , 	388 , 	405 , 	26 , 	23 , 	33 , 	23 , 	14 , 	21 , 	9 , 	16 , 	23 , 	105 , 	27 , 	111 , 	48 , 	29 , 	131 , 	13 ," 	1,708 "," 	1,792 ", 	647 , 	662 , 	178 , 	82 , 	101 , 	49 , 	82 , 	16 , 	5 , 	6 , 	37 , 	150 , 	27 , 	31 , 	140 , 	25 , 	2 , 	47 , 	7 ," 	7,707 ",,,,,,,,,,,,,
WC, 	25 , 	32 , 	26 , 	32 , 	134 , 	26 , 	161 , 	348 , 	322 , 	27 , 	42 , 	35 , 	24 , 	15 , 	19 , 	12 , 	16 , 	28 , 	281 , 	118 , 	26 , 	60 , 	44 , 	154 , 	19 ," 	1,389 "," 	1,430 ", 	520 , 	505 , 	125 , 	69 , 	54 , 	55 , 	81 , 	19 , 	4 , 	6 , 	52 , 	240 , 	23 , 	27 , 	159 , 	24 , 	2 , 	38 , 	7 ," 	6,856 ",,,,,,,,,,,,,
LF, 	7 , 	8 , 	7 , 	8 , 	79 , 	9 , 	47 , 	160 , 	143 , 	10 , 	15 , 	17 , 	6 , 	1 , 	5 , 	2 , 	5 , 	9 , 	95 , 	61 , 	62 , 	12 , 	18 , 	75 , 	6 , 	889 , 	810 , 	265 , 	279 , 	59 , 	38 , 	24 , 	13 , 	25 , 	5 , 	1 , 	2 , 	14 , 	46 , 	7 , 	7 , 	78 , 	12 , 	1 , 	25 , 	2 ," 	3,465 ",,,,,,,,,,,,,
OR, 	9 , 	14 , 	7 , 	7 , 	57 , 	7 , 	45 , 	123 , 	119 , 	8 , 	19 , 	15 , 	8 , 	2 , 	7 , 	2 , 	4 , 	12 , 	44 , 	24 , 	44 , 	19 , 	10 , 	61 , 	4 , 	788 , 	754 , 	231 , 	250 , 	54 , 	30 , 	28 , 	19 , 	19 , 	4 , 	4 , 	2 , 	9 , 	21 , 	10 , 	6 , 	68 , 	14 , 	1 , 	13 , 	3 ," 	3,000 ",,,,,,,,,,,,,
RR, 	26 , 	37 , 	29 , 	21 , 	55 , 	13 , 	59 , 	206 , 	196 , 	37 , 	52 , 	32 , 	25 , 	11 , 	18 , 	9 , 	12 , 	23 , 	94 , 	126 , 	144 , 	69 , 	63 , 	23 , 	18 ," 	1,088 "," 	1,197 ", 	546 , 	687 , 	209 , 	114 , 	51 , 	49 , 	48 , 	6 , 	5 , 	11 , 	26 , 	64 , 	12 , 	11 , 	120 , 	32 , 	6 , 	16 , 	9 ," 	5,700 ",,,,,,,,,,,,,
OW, 	26 , 	38 , 	12 , 	9 , 	74 , 	25 , 	50 , 	64 , 	100 , 	38 , 	102 , 	106 , 	51 , 	38 , 	30 , 	15 , 	12 , 	14 , 	16 , 	11 , 	18 , 	5 , 	4 , 	20 , 	25 ," 	1,722 "," 	1,571 "," 	1,016 ", 	897 , 	378 , 	220 , 	58 , 	81 , 	71 , 	12 , 	13 , 	28 , 	5 , 	40 , 	17 , 	26 , 	87 , 	35 , 	10 , 	8 , 	12 ," 	7,211 ",,,,,,,,,,,,,
