Exit stations,Entry stations->,,SUNDAY,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	9 , 	39 , 	37 , 	22 , 	119 , 	35 , 	45 , 	27 , 	39 , 	16 , 	40 , 	38 , 	12 , 	9 , 	11 , 	8 , 	8 , 	15 , 	8 , 	5 , 	6 , 	1 , 	3 , 	6 , 	11 , 	87 , 	63 , 	182 , 	72 , 	49 , 	59 , 	12 , 	17 , 	18 , 	7 , 	3 , 	6 , 	2 , 	17 , 	5 , 	4 , 	32 , 	10 , 	2 , 	8 , 	4 ," 	1,222 ",,,,,,,,,,,
EN, 	40 , 	14 , 	39 , 	38 , 	232 , 	65 , 	72 , 	57 , 	72 , 	31 , 	52 , 	86 , 	18 , 	20 , 	20 , 	8 , 	11 , 	25 , 	11 , 	6 , 	14 , 	4 , 	3 , 	13 , 	17 , 	160 , 	128 , 	374 , 	137 , 	68 , 	61 , 	22 , 	33 , 	28 , 	15 , 	4 , 	7 , 	1 , 	16 , 	6 , 	13 , 	79 , 	17 , 	5 , 	25 , 	13 ," 	2,174 ",,,,,,,,,,,
EP, 	45 , 	32 , 	12 , 	36 , 	238 , 	37 , 	45 , 	52 , 	56 , 	24 , 	27 , 	41 , 	12 , 	11 , 	9 , 	4 , 	8 , 	13 , 	7 , 	6 , 	11 , 	3 , 	4 , 	18 , 	5 , 	99 , 	81 , 	204 , 	108 , 	43 , 	33 , 	18 , 	9 , 	13 , 	4 , 	1 , 	4 , 	1 , 	6 , 	2 , 	5 , 	52 , 	9 , 	6 , 	31 , 	10 ," 	1,491 ",,,,,,,,,,,
NB, 	33 , 	38 , 	31 , 	13 , 	65 , 	32 , 	37 , 	63 , 	59 , 	23 , 	41 , 	41 , 	17 , 	7 , 	9 , 	4 , 	8 , 	15 , 	9 , 	8 , 	12 , 	7 , 	4 , 	7 , 	9 , 	129 , 	117 , 	180 , 	147 , 	79 , 	61 , 	19 , 	11 , 	11 , 	3 , 	3 , 	9 , 	2 , 	7 , 	3 , 	7 , 	81 , 	13 , 	3 , 	35 , 	11 ," 	1,518 ",,,,,,,,,,,
BK, 	137 , 	232 , 	241 , 	79 , 	39 , 	137 , 	128 , 	174 , 	177 , 	76 , 	110 , 	74 , 	50 , 	47 , 	40 , 	16 , 	53 , 	112 , 	24 , 	33 , 	50 , 	23 , 	20 , 	17 , 	27 , 	354 , 	224 , 	478 , 	295 , 	168 , 	125 , 	56 , 	38 , 	48 , 	9 , 	12 , 	52 , 	8 , 	26 , 	12 , 	18 , 	154 , 	76 , 	31 , 	59 , 	101 ," 	4,457 ",,,,,,,,,,,
AS, 	38 , 	65 , 	34 , 	27 , 	112 , 	11 , 	45 , 	79 , 	51 , 	31 , 	51 , 	51 , 	21 , 	15 , 	12 , 	10 , 	9 , 	13 , 	9 , 	11 , 	12 , 	5 , 	2 , 	10 , 	19 , 	124 , 	99 , 	174 , 	125 , 	106 , 	69 , 	19 , 	15 , 	15 , 	2 , 	4 , 	10 , 	1 , 	10 , 	4 , 	3 , 	50 , 	14 , 	3 , 	27 , 	16 ," 	1,626 ",,,,,,,,,,,
MA, 	49 , 	71 , 	36 , 	38 , 	107 , 	48 , 	15 , 	60 , 	71 , 	27 , 	70 , 	73 , 	25 , 	33 , 	23 , 	13 , 	16 , 	21 , 	37 , 	22 , 	28 , 	14 , 	17 , 	25 , 	25 , 	221 , 	162 , 	343 , 	237 , 	158 , 	119 , 	29 , 	23 , 	19 , 	4 , 	5 , 	16 , 	10 , 	45 , 	3 , 	8 , 	95 , 	18 , 	7 , 	32 , 	14 ," 	2,525 ",,,,,,,,,,,
19, 	26 , 	57 , 	50 , 	55 , 	152 , 	75 , 	60 , 	23 , 	11 , 	19 , 	56 , 	58 , 	42 , 	29 , 	28 , 	12 , 	21 , 	23 , 	28 , 	33 , 	36 , 	23 , 	21 , 	51 , 	36 , 	224 , 	153 , 	329 , 	237 , 	169 , 	117 , 	30 , 	22 , 	26 , 	8 , 	4 , 	14 , 	6 , 	25 , 	7 , 	7 , 	96 , 	20 , 	4 , 	28 , 	20 ," 	2,566 ",,,,,,,,,,,
12, 	39 , 	62 , 	54 , 	51 , 	141 , 	58 , 	56 , 	12 , 	19 , 	14 , 	61 , 	69 , 	48 , 	52 , 	44 , 	22 , 	24 , 	26 , 	29 , 	34 , 	31 , 	21 , 	18 , 	49 , 	62 , 	238 , 	181 , 	427 , 	220 , 	121 , 	70 , 	34 , 	44 , 	35 , 	18 , 	7 , 	8 , 	10 , 	43 , 	11 , 	11 , 	109 , 	24 , 	3 , 	29 , 	22 ," 	2,754 ",,,,,,,,,,,
LM, 	16 , 	31 , 	20 , 	23 , 	76 , 	32 , 	25 , 	13 , 	15 , 	13 , 	104 , 	131 , 	94 , 	103 , 	34 , 	20 , 	30 , 	31 , 	10 , 	10 , 	11 , 	6 , 	6 , 	11 , 	28 , 	199 , 	154 , 	360 , 	168 , 	122 , 	87 , 	29 , 	40 , 	29 , 	4 , 	39 , 	50 , 	1 , 	11 , 	2 , 	5 , 	30 , 	5 , 	30 , 	27 , 	26 ," 	2,305 ",,,,,,,,,,,
