Exit stations,Entry stations->,,TOTAL,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
RM, 	464 ," 	2,962 "," 	2,302 "," 	1,862 "," 	10,449 "," 	2,757 "," 	3,214 "," 	3,740 "," 	4,505 "," 	1,138 "," 	2,395 "," 	1,738 ", 	900 , 	536 , 	772 , 	506 , 	388 , 	766 , 	559 , 	405 , 	571 , 	201 , 	139 , 	564 , 	549 ," 	10,140 "," 	9,526 "," 	11,777 "," 	8,425 "," 	4,588 "," 	4,522 "," 	1,343 "," 	1,740 "," 	2,064 ", 	399 , 	146 , 	405 , 	81 , 	946 , 	303 , 	478 ," 	1,543 ", 	705 , 	152 , 	306 , 	252 , 	-   ,,,,,,,,,,,,,
EN," 	3,266 ", 	587 ," 	2,397 "," 	2,496 "," 	21,783 "," 	3,692 "," 	6,331 "," 	11,522 "," 	13,562 "," 	2,784 "," 	3,008 "," 	3,568 "," 	1,537 "," 	1,193 "," 	1,585 ", 	652 , 	937 ," 	1,539 ", 	816 , 	464 , 	813 , 	229 , 	338 , 	884 , 	995 ," 	23,328 "," 	24,501 "," 	24,055 "," 	19,393 "," 	7,003 "," 	5,512 "," 	2,000 "," 	2,794 "," 	3,639 ", 	738 , 	208 , 	657 , 	166 , 	803 , 	748 ," 	1,076 "," 	3,180 "," 	1,672 ", 	340 , 	958 , 	765 , 	-   ,,,,,,,,,,,,,
EP," 	2,408 "," 	2,392 ", 	415 ," 	1,246 "," 	18,007 "," 	2,176 "," 	3,579 "," 	7,523 "," 	8,280 "," 	2,047 "," 	1,451 "," 	1,612 ", 	774 , 	486 , 	614 , 	200 , 	414 , 	966 , 	476 , 	440 , 	634 , 	197 , 	179 , 	869 , 	353 ," 	14,263 "," 	16,533 "," 	11,549 "," 	10,618 "," 	3,465 "," 	1,978 ", 	880 , 	876 ," 	1,257 ", 	131 , 	90 , 	386 , 	73 , 	362 , 	200 , 	330 ," 	1,921 ", 	794 , 	243 , 	860 , 	317 , 	-   ,,,,,,,,,,,,,
NB," 	1,834 "," 	2,298 "," 	1,274 ", 	491 ," 	5,250 "," 	1,757 "," 	2,112 "," 	6,902 "," 	6,608 "," 	1,579 "," 	1,722 "," 	1,582 ", 	735 , 	566 , 	695 , 	214 , 	464 , 	918 , 	500 , 	606 , 	789 , 	209 , 	217 , 	414 , 	369 ," 	15,865 "," 	17,912 "," 	11,070 "," 	12,554 "," 	4,677 "," 	2,829 ", 	902 , 	854 ," 	1,114 ", 	144 , 	162 , 	337 , 	105 , 	467 , 	229 , 	282 ," 	2,680 "," 	1,039 ", 	234 ," 	1,039 ", 	477 , 	-   ,,,,,,,,,,,,,
BK," 	11,505 "," 	23,348 "," 	18,413 "," 	5,840 "," 	1,309 "," 	10,035 "," 	9,621 "," 	14,448 "," 	14,118 "," 	6,830 "," 	7,841 "," 	4,887 "," 	4,732 "," 	3,964 "," 	3,413 "," 	1,832 "," 	3,869 "," 	5,757 "," 	3,085 "," 	3,891 "," 	3,107 "," 	1,767 "," 	1,377 "," 	1,226 "," 	1,946 "," 	25,735 "," 	24,467 "," 	22,274 "," 	19,716 "," 	9,043 "," 	6,863 "," 	3,647 "," 	2,875 "," 	3,401 ", 	855 ," 	1,281 "," 	3,111 "," 	1,236 "," 	2,844 ", 	870 ," 	1,072 "," 	5,547 "," 	4,155 "," 	1,395 "," 	2,349 "," 	2,777 ", 	-   ,,,,,,,,,,,,,
AS," 	2,935 "," 	3,402 "," 	2,165 "," 	1,578 "," 	8,854 ", 	529 ," 	2,203 "," 	6,771 "," 	6,604 "," 	1,828 "," 	2,756 "," 	2,248 "," 	1,312 ", 	871 , 	938 , 	492 , 	848 , 	999 , 	695 , 	697 , 	576 , 	248 , 	143 , 	392 , 	714 ," 	17,579 "," 	19,035 "," 	12,412 "," 	13,172 "," 	6,261 "," 	3,568 ", 	979 ," 	1,103 "," 	1,145 ", 	192 , 	222 , 	587 , 	149 , 	735 , 	307 , 	387 ," 	1,744 "," 	1,036 ", 	297 , 	741 , 	578 , 	-   ,,,,,,,,,,,,,
MA," 	3,581 "," 	6,572 "," 	3,251 "," 	2,175 "," 	9,130 "," 	2,354 "," 	1,287 "," 	4,962 "," 	5,852 "," 	1,701 "," 	4,451 "," 	4,062 "," 	3,097 "," 	2,555 "," 	2,431 "," 	1,467 "," 	1,886 "," 	2,692 "," 	3,931 "," 	4,245 "," 	3,672 "," 	1,134 "," 	1,128 "," 	1,494 "," 	1,315 "," 	25,843 "," 	28,996 "," 	22,153 "," 	21,740 "," 	10,172 "," 	6,364 "," 	1,832 "," 	2,100 "," 	2,177 ", 	651 , 	530 ," 	1,638 "," 	1,475 "," 	6,363 ", 	707 , 	786 ," 	3,101 "," 	1,730 ", 	626 , 	860 , 	917 , 	-   ,,,,,,,,,,,,,
19," 	4,054 "," 	11,551 "," 	7,581 "," 	6,981 "," 	13,152 "," 	6,607 "," 	4,829 ", 	963 ," 	1,558 "," 	1,224 "," 	4,585 "," 	4,689 "," 	5,427 "," 	5,171 "," 	4,953 "," 	3,514 "," 	5,191 "," 	7,598 "," 	7,365 "," 	9,227 "," 	7,540 "," 	3,709 "," 	2,850 "," 	4,693 "," 	1,768 "," 	33,148 "," 	36,836 "," 	24,251 "," 	25,402 "," 	11,321 "," 	8,357 "," 	4,039 "," 	3,101 "," 	3,552 "," 	1,716 "," 	1,694 "," 	5,374 "," 	3,784 "," 	6,220 "," 	1,584 "," 	1,542 "," 	2,730 "," 	3,194 "," 	2,486 ", 	922 ," 	2,411 ", 	-   ,,,,,,,,,,,,,
12," 	5,118 "," 	13,902 "," 	7,973 "," 	6,917 "," 	12,354 "," 	6,490 "," 	5,739 "," 	1,415 "," 	1,088 "," 	1,215 "," 	5,798 "," 	6,868 "," 	8,208 "," 	7,664 "," 	6,574 "," 	4,060 "," 	5,274 "," 	6,662 "," 	8,149 "," 	9,589 "," 	6,727 "," 	3,335 "," 	2,847 "," 	4,950 "," 	2,581 "," 	31,358 "," 	30,671 "," 	25,132 "," 	23,511 "," 	8,510 "," 	7,697 "," 	4,253 "," 	4,614 "," 	4,836 "," 	3,051 "," 	2,653 "," 	5,527 "," 	3,878 "," 	8,358 "," 	2,054 "," 	2,035 "," 	3,443 "," 	3,707 "," 	2,761 "," 	1,325 "," 	2,165 ", 	-   ,,,,,,,,,,,,,
LM," 	1,063 "," 	2,647 "," 	2,022 "," 	1,571 "," 	6,506 "," 	1,881 "," 	1,775 "," 	1,126 "," 	1,270 ", 	630 ," 	4,890 "," 	7,099 "," 	7,773 "," 	7,031 "," 	3,793 "," 	2,206 "," 	2,863 "," 	3,085 ", 	948 , 	610 , 	719 , 	313 , 	214 , 	832 ," 	1,118 "," 	22,308 "," 	24,623 "," 	19,721 "," 	15,905 "," 	7,053 "," 	4,291 "," 	1,643 "," 	2,404 "," 	2,656 ", 	265 ," 	2,962 "," 	4,393 ", 	257 ," 	1,297 ", 	301 , 	371 ," 	1,008 ", 	436 ," 	2,057 ", 	631 ," 	2,435 ", 	-   ,,,,,,,,,,,,,
