Exit stations,Entry stations->,,SATURDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	54 , 	58 , 	33 , 	181 , 	52 , 	65 , 	45 , 	53 , 	14 , 	63 , 	47 , 	19 , 	15 , 	16 , 	9 , 	7 , 	18 , 	10 , 	8 , 	9 , 	3 , 	6 , 	13 , 	16 , 	142 , 	95 , 	256 , 	104 , 	82 , 	101 , 	23 , 	39 , 	28 , 	9 , 	5 , 	11 , 	2 , 	15 , 	5 , 	8 , 	42 , 	12 , 	3 , 	9 , 	9 , 	-   , 	-   , 	0 , 	2 ," 	1,822 ",,,,,,,,,,
EN, 	57 , 	15 , 	65 , 	46 , 	376 , 	88 , 	96 , 	99 , 	112 , 	36 , 	79 , 	120 , 	31 , 	28 , 	31 , 	18 , 	16 , 	31 , 	17 , 	11 , 	18 , 	6 , 	6 , 	23 , 	29 , 	290 , 	214 , 	558 , 	229 , 	112 , 	129 , 	38 , 	53 , 	56 , 	17 , 	4 , 	9 , 	3 , 	17 , 	16 , 	22 , 	97 , 	19 , 	8 , 	26 , 	14 , 	-   , 	-   , 	1 , 	0 ," 	3,383 ",,,,,,,,,,
EP, 	60 , 	58 , 	13 , 	33 , 	337 , 	49 , 	57 , 	75 , 	93 , 	25 , 	35 , 	69 , 	14 , 	11 , 	8 , 	6 , 	8 , 	22 , 	9 , 	10 , 	12 , 	5 , 	6 , 	17 , 	13 , 	176 , 	128 , 	289 , 	140 , 	82 , 	52 , 	23 , 	14 , 	16 , 	5 , 	4 , 	8 , 	1 , 	6 , 	1 , 	4 , 	58 , 	19 , 	4 , 	23 , 	11 , 	-   , 	-   , 	0 , 	0 ," 	2,104 ",,,,,,,,,,
NB, 	41 , 	48 , 	35 , 	14 , 	108 , 	37 , 	41 , 	80 , 	81 , 	29 , 	46 , 	68 , 	23 , 	13 , 	15 , 	6 , 	13 , 	18 , 	9 , 	9 , 	19 , 	5 , 	4 , 	11 , 	14 , 	221 , 	136 , 	263 , 	213 , 	115 , 	97 , 	27 , 	16 , 	19 , 	6 , 	2 , 	11 , 	1 , 	14 , 	4 , 	7 , 	68 , 	15 , 	3 , 	28 , 	15 , 	-   , 	-   , 	-   , 	0 ," 	2,066 ",,,,,,,,,,
BK, 	205 , 	404 , 	374 , 	125 , 	60 , 	219 , 	197 , 	231 , 	242 , 	110 , 	177 , 	138 , 	81 , 	75 , 	59 , 	34 , 	69 , 	126 , 	31 , 	70 , 	81 , 	41 , 	40 , 	28 , 	74 , 	471 , 	329 , 	753 , 	382 , 	240 , 	170 , 	86 , 	66 , 	70 , 	15 , 	26 , 	62 , 	15 , 	42 , 	15 , 	22 , 	171 , 	86 , 	29 , 	74 , 	95 , 	-   , 	-   , 	1 , 	2 ," 	6,507 ",,,,,,,,,,
AS, 	55 , 	75 , 	44 , 	35 , 	180 , 	15 , 	54 , 	108 , 	92 , 	38 , 	59 , 	72 , 	26 , 	23 , 	16 , 	9 , 	10 , 	22 , 	10 , 	9 , 	13 , 	5 , 	3 , 	7 , 	27 , 	178 , 	128 , 	250 , 	189 , 	134 , 	110 , 	25 , 	19 , 	15 , 	5 , 	5 , 	10 , 	2 , 	10 , 	5 , 	3 , 	51 , 	20 , 	5 , 	22 , 	13 , 	-   , 	-   , 	-   , 	1 ," 	2,202 ",,,,,,,,,,
MA, 	73 , 	102 , 	54 , 	51 , 	182 , 	70 , 	31 , 	67 , 	77 , 	27 , 	92 , 	128 , 	40 , 	39 , 	31 , 	15 , 	15 , 	25 , 	30 , 	42 , 	44 , 	24 , 	17 , 	34 , 	44 , 	347 , 	222 , 	461 , 	333 , 	233 , 	169 , 	41 , 	30 , 	33 , 	6 , 	6 , 	11 , 	8 , 	64 , 	6 , 	10 , 	93 , 	26 , 	9 , 	28 , 	18 , 	-   , 	-   , 	0 , 	5 ," 	3,509 ",,,,,,,,,,
19, 	50 , 	99 , 	75 , 	85 , 	223 , 	113 , 	67 , 	30 , 	23 , 	17 , 	74 , 	136 , 	55 , 	53 , 	44 , 	24 , 	31 , 	51 , 	40 , 	60 , 	61 , 	40 , 	29 , 	70 , 	54 , 	327 , 	251 , 	474 , 	388 , 	237 , 	186 , 	75 , 	49 , 	50 , 	15 , 	12 , 	28 , 	13 , 	44 , 	13 , 	14 , 	67 , 	37 , 	8 , 	12 , 	25 , 	-   , 	-   , 	-   , 	2 ," 	3,922 ",,,,,,,,,,
12, 	57 , 	105 , 	86 , 	75 , 	218 , 	90 , 	78 , 	17 , 	31 , 	17 , 	84 , 	148 , 	88 , 	89 , 	47 , 	31 , 	35 , 	54 , 	44 , 	55 , 	71 , 	32 , 	30 , 	52 , 	68 , 	331 , 	250 , 	531 , 	339 , 	162 , 	153 , 	51 , 	65 , 	53 , 	17 , 	10 , 	17 , 	12 , 	56 , 	15 , 	25 , 	90 , 	37 , 	6 , 	26 , 	34 , 	-   , 	-   , 	1 , 	4 ," 	3,982 ",,,,,,,,,,
LM, 	13 , 	35 , 	31 , 	28 , 	95 , 	39 , 	30 , 	15 , 	17 , 	20 , 	95 , 	197 , 	120 , 	136 , 	53 , 	28 , 	55 , 	70 , 	9 , 	15 , 	17 , 	9 , 	7 , 	15 , 	40 , 	318 , 	246 , 	529 , 	299 , 	178 , 	159 , 	46 , 	48 , 	46 , 	5 , 	64 , 	89 , 	3 , 	18 , 	2 , 	7 , 	31 , 	15 , 	45 , 	22 , 	32 , 	-   , 	-   , 	-   , 	2 ," 	3,388 ",,,,,,,,,,
