Exit stations,Entry stations->,,SUNDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	45 , 	48 , 	26 , 	116 , 	36 , 	43 , 	23 , 	32 , 	18 , 	45 , 	49 , 	16 , 	9 , 	11 , 	6 , 	5 , 	13 , 	9 , 	5 , 	8 , 	3 , 	3 , 	8 , 	11 , 	87 , 	64 , 	192 , 	79 , 	67 , 	77 , 	17 , 	23 , 	19 , 	5 , 	2 , 	7 , 	1 , 	15 , 	6 , 	9 , 	43 , 	10 , 	2 , 	12 , 	5 , 	-   , 	-   , 	-   , 	1 ," 	1,339 ",,,,,,,,,,,
EN, 	42 , 	20 , 	40 , 	35 , 	227 , 	58 , 	77 , 	60 , 	69 , 	38 , 	54 , 	82 , 	17 , 	20 , 	19 , 	11 , 	14 , 	28 , 	12 , 	8 , 	10 , 	5 , 	5 , 	17 , 	25 , 	204 , 	144 , 	373 , 	166 , 	91 , 	93 , 	26 , 	31 , 	32 , 	11 , 	6 , 	8 , 	2 , 	15 , 	8 , 	13 , 	101 , 	19 , 	4 , 	34 , 	13 , 	-   , 	-   , 	1 , 	1 ," 	2,384 ",,,,,,,,,,,
EP, 	46 , 	37 , 	8 , 	29 , 	200 , 	38 , 	44 , 	40 , 	50 , 	24 , 	27 , 	38 , 	13 , 	10 , 	7 , 	5 , 	5 , 	18 , 	5 , 	8 , 	12 , 	4 , 	4 , 	11 , 	8 , 	146 , 	92 , 	193 , 	125 , 	73 , 	50 , 	18 , 	12 , 	14 , 	4 , 	1 , 	6 , 	1 , 	6 , 	4 , 	2 , 	67 , 	15 , 	3 , 	30 , 	13 , 	-   , 	-   , 	0 , 	1 ," 	1,563 ",,,,,,,,,,,
NB, 	33 , 	34 , 	25 , 	13 , 	64 , 	23 , 	34 , 	43 , 	46 , 	24 , 	33 , 	42 , 	16 , 	9 , 	9 , 	7 , 	12 , 	15 , 	9 , 	11 , 	16 , 	8 , 	4 , 	6 , 	10 , 	183 , 	112 , 	199 , 	182 , 	75 , 	81 , 	25 , 	11 , 	16 , 	4 , 	2 , 	11 , 	1 , 	7 , 	2 , 	6 , 	81 , 	16 , 	3 , 	38 , 	16 , 	-   , 	-   , 	-   , 	0 ," 	1,612 ",,,,,,,,,,,
BK, 	111 , 	238 , 	208 , 	70 , 	43 , 	123 , 	123 , 	142 , 	152 , 	67 , 	100 , 	84 , 	49 , 	39 , 	33 , 	12 , 	49 , 	93 , 	17 , 	35 , 	43 , 	30 , 	14 , 	16 , 	50 , 	353 , 	247 , 	487 , 	319 , 	178 , 	142 , 	69 , 	34 , 	42 , 	6 , 	11 , 	41 , 	8 , 	18 , 	9 , 	12 , 	189 , 	62 , 	13 , 	73 , 	85 , 	-   , 	-   , 	1 , 	1 ," 	4,335 ",,,,,,,,,,,
AS, 	36 , 	53 , 	33 , 	26 , 	110 , 	18 , 	41 , 	71 , 	54 , 	32 , 	47 , 	46 , 	20 , 	15 , 	14 , 	8 , 	10 , 	17 , 	8 , 	9 , 	14 , 	5 , 	2 , 	8 , 	23 , 	145 , 	108 , 	170 , 	168 , 	113 , 	73 , 	24 , 	12 , 	13 , 	3 , 	3 , 	8 , 	2 , 	9 , 	3 , 	2 , 	56 , 	16 , 	3 , 	33 , 	18 , 	-   , 	-   , 	0 , 	1 ," 	1,696 ",,,,,,,,,,,
MA, 	48 , 	68 , 	37 , 	43 , 	101 , 	42 , 	20 , 	42 , 	41 , 	23 , 	68 , 	83 , 	31 , 	29 , 	28 , 	15 , 	13 , 	20 , 	28 , 	19 , 	33 , 	14 , 	14 , 	24 , 	32 , 	271 , 	178 , 	348 , 	282 , 	189 , 	143 , 	31 , 	27 , 	20 , 	6 , 	4 , 	9 , 	10 , 	40 , 	5 , 	10 , 	128 , 	18 , 	5 , 	42 , 	15 , 	-   , 	-   , 	1 , 	2 ," 	2,695 ",,,,,,,,,,,
19, 	24 , 	60 , 	44 , 	49 , 	131 , 	55 , 	46 , 	22 , 	9 , 	12 , 	47 , 	74 , 	38 , 	31 , 	29 , 	15 , 	23 , 	28 , 	19 , 	29 , 	38 , 	13 , 	16 , 	41 , 	42 , 	247 , 	163 , 	330 , 	268 , 	176 , 	121 , 	30 , 	29 , 	28 , 	3 , 	2 , 	14 , 	6 , 	22 , 	6 , 	9 , 	104 , 	22 , 	3 , 	29 , 	17 , 	-   , 	-   , 	0 , 	2 ," 	2,561 ",,,,,,,,,,,
12, 	28 , 	62 , 	51 , 	37 , 	119 , 	47 , 	37 , 	8 , 	19 , 	11 , 	51 , 	93 , 	45 , 	53 , 	31 , 	20 , 	24 , 	29 , 	34 , 	31 , 	36 , 	16 , 	15 , 	36 , 	38 , 	239 , 	181 , 	404 , 	226 , 	140 , 	94 , 	31 , 	41 , 	29 , 	18 , 	5 , 	11 , 	7 , 	33 , 	10 , 	15 , 	127 , 	28 , 	6 , 	31 , 	22 , 	-   , 	-   , 	1 , 	3 ," 	2,665 ",,,,,,,,,,,
LM, 	21 , 	36 , 	23 , 	27 , 	69 , 	37 , 	30 , 	12 , 	10 , 	13 , 	103 , 	145 , 	94 , 	96 , 	44 , 	18 , 	35 , 	42 , 	10 , 	7 , 	13 , 	5 , 	8 , 	8 , 	37 , 	256 , 	201 , 	357 , 	252 , 	163 , 	124 , 	36 , 	41 , 	31 , 	4 , 	41 , 	65 , 	3 , 	16 , 	5 , 	5 , 	40 , 	6 , 	25 , 	33 , 	27 , 	-   , 	-   , 	-   , 	-   ," 	2,667 ",,,,,,,,,,,
FV, 	52 , 	51 , 	23 , 	34 , 	107 , 	54 , 	63 , 	48 , 	49 , 	89 , 	15 , 	130 , 	85 , 	125 , 	61 , 	26 , 	27 , 	54 , 	20 , 	12 , 	18 , 	6 , 	5 , 	23 , 	49 , 	258 , 	183 , 	463 , 	263 , 	157 , 	150 , 	31 , 	29 , 	33 , 	5 , 	22 , 	56 , 	3 , 	26 , 	5 , 	9 , 	52 , 	12 , 	32 , 	17 , 	20 , 	-   , 	-   , 	0 , 	1 ," 	3,048 ",,,,,,,,,,,
CL, 	48 , 	90 , 	39 , 	47 , 	78 , 	45 , 	81 , 	65 , 	88 , 	120 , 	132 , 	19 , 	130 , 	131 , 	94 , 	65 , 	82 , 	112 , 	35 , 	55 , 	52 , 	33 , 	29 , 	34 , 	51 , 	278 , 	153 , 	361 , 	175 , 	103 , 	88 , 	49 , 	34 , 	64 , 	11 , 	67 , 	229 , 	17 , 	55 , 	11 , 	11 , 	34 , 	22 , 	89 , 	50 , 	120 , 	-   , 	-   , 	1 , 	4 ," 	3,776 ",,,,,,,,,,,
SL, 	12 , 	23 , 	13 , 	21 , 	49 , 	20 , 	26 , 	39 , 	53 , 	95 , 	85 , 	132 , 	11 , 	72 , 	40 , 	23 , 	23 , 	28 , 	7 , 	8 , 	9 , 	2 , 	1 , 	9 , 	23 , 	163 , 	130 , 	260 , 	131 , 	63 , 	66 , 	18 , 	17 , 	24 , 	5 , 	14 , 	32 , 	2 , 	13 , 	3 , 	5 , 	44 , 	5 , 	28 , 	15 , 	14 , 	-   , 	-   , 	1 , 	1 ," 	1,870 ",,,,,,,,,,,
BF, 	11 , 	21 , 	10 , 	11 , 	45 , 	17 , 	33 , 	33 , 	61 , 	100 , 	114 , 	132 , 	66 , 	14 , 	50 , 	26 , 	30 , 	61 , 	10 , 	9 , 	6 , 	1 , 	2 , 	6 , 	26 , 	132 , 	124 , 	259 , 	115 , 	70 , 	54 , 	11 , 	22 , 	23 , 	3 , 	24 , 	60 , 	2 , 	16 , 	3 , 	7 , 	34 , 	4 , 	52 , 	11 , 	15 , 	-   , 	-   , 	0 , 	1 ," 	1,929 ",,,,,,,,,,,
