Exit stations,Entry stations->,,SATURDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	41 , 	53 , 	33 , 	170 , 	56 , 	71 , 	48 , 	63 , 	17 , 	61 , 	46 , 	22 , 	13 , 	15 , 	11 , 	7 , 	17 , 	9 , 	5 , 	8 , 	4 , 	5 , 	12 , 	16 , 	155 , 	99 , 	254 , 	116 , 	93 , 	91 , 	27 , 	30 , 	26 , 	6 , 	2 , 	9 , 	2 , 	12 , 	5 , 	8 , 	44 , 	13 , 	3 , 	9 , 	7 , 	-   , 	-   , 	3 , 	6 ," 	1,831 ",,,,,,,,,,
EN, 	57 , 	15 , 	60 , 	46 , 	333 , 	81 , 	100 , 	109 , 	129 , 	29 , 	77 , 	100 , 	32 , 	30 , 	26 , 	16 , 	16 , 	27 , 	16 , 	9 , 	17 , 	6 , 	5 , 	20 , 	22 , 	308 , 	223 , 	568 , 	263 , 	133 , 	112 , 	39 , 	47 , 	38 , 	19 , 	4 , 	12 , 	2 , 	13 , 	10 , 	13 , 	87 , 	21 , 	6 , 	28 , 	20 , 	-   , 	-   , 	3 , 	8 ," 	3,356 ",,,,,,,,,,
EP, 	53 , 	50 , 	10 , 	35 , 	339 , 	46 , 	62 , 	76 , 	95 , 	24 , 	31 , 	52 , 	17 , 	14 , 	8 , 	5 , 	12 , 	24 , 	10 , 	6 , 	17 , 	6 , 	6 , 	17 , 	13 , 	206 , 	133 , 	307 , 	191 , 	88 , 	56 , 	24 , 	12 , 	22 , 	3 , 	3 , 	9 , 	1 , 	4 , 	3 , 	6 , 	65 , 	14 , 	3 , 	27 , 	9 , 	-   , 	-   , 	1 , 	3 ," 	2,217 ",,,,,,,,,,
NB, 	29 , 	43 , 	37 , 	17 , 	128 , 	35 , 	43 , 	69 , 	70 , 	27 , 	39 , 	40 , 	19 , 	11 , 	12 , 	4 , 	9 , 	19 , 	10 , 	9 , 	17 , 	3 , 	7 , 	10 , 	10 , 	251 , 	156 , 	270 , 	248 , 	142 , 	88 , 	31 , 	13 , 	21 , 	4 , 	2 , 	9 , 	1 , 	4 , 	6 , 	8 , 	80 , 	15 , 	3 , 	35 , 	13 , 	-   , 	-   , 	3 , 	4 ," 	2,122 ",,,,,,,,,,
BK, 	180 , 	374 , 	326 , 	142 , 	57 , 	201 , 	185 , 	241 , 	207 , 	91 , 	135 , 	105 , 	77 , 	65 , 	56 , 	25 , 	58 , 	113 , 	44 , 	46 , 	63 , 	32 , 	25 , 	26 , 	45 , 	649 , 	344 , 	747 , 	534 , 	353 , 	192 , 	82 , 	59 , 	71 , 	13 , 	21 , 	62 , 	13 , 	25 , 	12 , 	23 , 	165 , 	73 , 	21 , 	60 , 	90 , 	-   , 	-   , 	6 , 	14 ," 	6,549 ",,,,,,,,,,
AS, 	52 , 	75 , 	47 , 	30 , 	175 , 	19 , 	58 , 	104 , 	86 , 	32 , 	62 , 	67 , 	24 , 	22 , 	23 , 	10 , 	10 , 	21 , 	12 , 	6 , 	11 , 	5 , 	4 , 	8 , 	21 , 	227 , 	150 , 	266 , 	233 , 	192 , 	104 , 	30 , 	16 , 	18 , 	5 , 	5 , 	9 , 	2 , 	7 , 	6 , 	3 , 	50 , 	13 , 	5 , 	17 , 	16 , 	-   , 	-   , 	3 , 	3 ," 	2,362 ",,,,,,,,,,
MA, 	70 , 	109 , 	66 , 	54 , 	194 , 	67 , 	25 , 	77 , 	89 , 	29 , 	86 , 	99 , 	48 , 	46 , 	28 , 	18 , 	18 , 	29 , 	42 , 	35 , 	40 , 	19 , 	16 , 	35 , 	29 , 	391 , 	248 , 	515 , 	464 , 	325 , 	179 , 	48 , 	36 , 	33 , 	6 , 	9 , 	20 , 	9 , 	41 , 	6 , 	11 , 	86 , 	24 , 	9 , 	20 , 	23 , 	-   , 	-   , 	11 , 	29 ," 	3,909 ",,,,,,,,,,
19, 	45 , 	100 , 	81 , 	79 , 	217 , 	110 , 	82 , 	27 , 	17 , 	13 , 	82 , 	108 , 	64 , 	53 , 	34 , 	19 , 	33 , 	40 , 	39 , 	50 , 	61 , 	39 , 	30 , 	71 , 	42 , 	324 , 	252 , 	491 , 	396 , 	281 , 	185 , 	56 , 	39 , 	46 , 	11 , 	12 , 	23 , 	10 , 	26 , 	11 , 	12 , 	63 , 	29 , 	7 , 	21 , 	32 , 	-   , 	-   , 	7 , 	19 ," 	3,888 ",,,,,,,,,,
12, 	62 , 	129 , 	91 , 	65 , 	182 , 	90 , 	87 , 	15 , 	26 , 	17 , 	78 , 	116 , 	81 , 	97 , 	64 , 	26 , 	47 , 	55 , 	65 , 	62 , 	65 , 	24 , 	28 , 	55 , 	53 , 	362 , 	247 , 	583 , 	353 , 	189 , 	150 , 	59 , 	68 , 	72 , 	22 , 	14 , 	29 , 	15 , 	42 , 	18 , 	25 , 	95 , 	50 , 	10 , 	27 , 	42 , 	-   , 	-   , 	9 , 	33 ," 	4,190 ",,,,,,,,,,
LM, 	14 , 	32 , 	25 , 	30 , 	81 , 	36 , 	30 , 	15 , 	16 , 	15 , 	101 , 	172 , 	142 , 	149 , 	56 , 	27 , 	52 , 	63 , 	11 , 	11 , 	19 , 	6 , 	4 , 	15 , 	24 , 	309 , 	238 , 	544 , 	347 , 	231 , 	134 , 	43 , 	45 , 	45 , 	5 , 	65 , 	96 , 	1 , 	7 , 	3 , 	7 , 	27 , 	11 , 	42 , 	19 , 	27 , 	-   , 	-   , 	1 , 	8 ," 	3,399 ",,,,,,,,,,
FV, 	56 , 	71 , 	31 , 	41 , 	130 , 	59 , 	84 , 	73 , 	84 , 	68 , 	23 , 	193 , 	135 , 	164 , 	86 , 	54 , 	32 , 	78 , 	24 , 	12 , 	21 , 	10 , 	11 , 	30 , 	59 , 	365 , 	252 , 	646 , 	412 , 	226 , 	160 , 	42 , 	37 , 	41 , 	6 , 	35 , 	99 , 	3 , 	24 , 	6 , 	14 , 	47 , 	13 , 	62 , 	13 , 	32 , 	-   , 	-   , 	5 , 	12 ," 	4,177 ",,,,,,,,,,
CL, 	51 , 	106 , 	62 , 	48 , 	82 , 	65 , 	89 , 	90 , 	97 , 	108 , 	172 , 	15 , 	142 , 	168 , 	87 , 	50 , 	65 , 	115 , 	49 , 	50 , 	50 , 	37 , 	24 , 	36 , 	60 , 	241 , 	135 , 	351 , 	211 , 	90 , 	80 , 	25 , 	34 , 	41 , 	9 , 	70 , 	259 , 	24 , 	44 , 	10 , 	15 , 	35 , 	21 , 	82 , 	32 , 	84 , 	-   , 	-   , 	10 , 	31 ," 	3,856 ",,,,,,,,,,
SL, 	19 , 	35 , 	15 , 	23 , 	79 , 	27 , 	46 , 	68 , 	96 , 	134 , 	134 , 	151 , 	10 , 	115 , 	71 , 	39 , 	39 , 	48 , 	11 , 	8 , 	12 , 	3 , 	5 , 	13 , 	27 , 	241 , 	192 , 	408 , 	213 , 	86 , 	59 , 	29 , 	28 , 	31 , 	6 , 	28 , 	42 , 	3 , 	11 , 	5 , 	10 , 	38 , 	6 , 	30 , 	6 , 	23 , 	-   , 	-   , 	2 , 	7 ," 	2,731 ",,,,,,,,,,
BF, 	12 , 	30 , 	14 , 	11 , 	61 , 	21 , 	48 , 	59 , 	100 , 	125 , 	162 , 	163 , 	119 , 	12 , 	66 , 	43 , 	47 , 	73 , 	13 , 	8 , 	8 , 	1 , 	2 , 	7 , 	28 , 	188 , 	167 , 	370 , 	176 , 	74 , 	48 , 	20 , 	29 , 	28 , 	8 , 	36 , 	78 , 	2 , 	11 , 	5 , 	7 , 	19 , 	6 , 	67 , 	5 , 	30 , 	-   , 	-   , 	3 , 	5 ," 	2,611 ",,,,,,,,,,
