Exit stations,Entry stations->,,SATURDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	43 , 	56 , 	29 , 	184 , 	56 , 	46 , 	34 , 	66 , 	14 , 	53 , 	56 , 	19 , 	18 , 	14 , 	10 , 	10 , 	15 , 	11 , 	5 , 	10 , 	2 , 	5 , 	13 , 	16 , 	164 , 	101 , 	248 , 	98 , 	86 , 	92 , 	25 , 	40 , 	26 , 	6 , 	5 , 	6 , 	1 , 	11 , 	5 , 	6 , 	46 , 	12 , 	3 , 	9 , 	6 , 	-   , 	-   , 	5 , 	4 ," 	1,789 ",,,,,,,,,,
EN, 	55 , 	15 , 	54 , 	51 , 	315 , 	81 , 	101 , 	89 , 	133 , 	28 , 	72 , 	120 , 	34 , 	26 , 	25 , 	12 , 	21 , 	30 , 	15 , 	11 , 	16 , 	7 , 	7 , 	19 , 	24 , 	323 , 	236 , 	550 , 	190 , 	109 , 	98 , 	41 , 	57 , 	35 , 	15 , 	7 , 	13 , 	2 , 	10 , 	12 , 	17 , 	99 , 	23 , 	7 , 	28 , 	19 , 	-   , 	-   , 	4 , 	7 ," 	3,259 ",,,,,,,,,,
EP, 	50 , 	50 , 	10 , 	39 , 	298 , 	44 , 	57 , 	57 , 	92 , 	20 , 	33 , 	78 , 	14 , 	13 , 	9 , 	8 , 	10 , 	21 , 	12 , 	9 , 	12 , 	6 , 	4 , 	17 , 	11 , 	207 , 	140 , 	274 , 	134 , 	68 , 	51 , 	18 , 	16 , 	21 , 	5 , 	4 , 	9 , 	2 , 	5 , 	4 , 	4 , 	64 , 	12 , 	4 , 	23 , 	10 , 	-   , 	-   , 	1 , 	4 ," 	2,045 ",,,,,,,,,,
NB, 	31 , 	40 , 	35 , 	11 , 	94 , 	33 , 	37 , 	55 , 	71 , 	23 , 	38 , 	56 , 	21 , 	10 , 	11 , 	5 , 	8 , 	12 , 	10 , 	6 , 	20 , 	6 , 	3 , 	7 , 	9 , 	268 , 	181 , 	257 , 	187 , 	107 , 	85 , 	23 , 	15 , 	19 , 	5 , 	4 , 	14 , 	1 , 	5 , 	5 , 	4 , 	87 , 	18 , 	5 , 	32 , 	13 , 	-   , 	-   , 	4 , 	5 ," 	1,988 ",,,,,,,,,,
BK, 	184 , 	334 , 	317 , 	115 , 	50 , 	187 , 	153 , 	216 , 	211 , 	97 , 	141 , 	99 , 	64 , 	64 , 	42 , 	20 , 	64 , 	108 , 	41 , 	53 , 	62 , 	34 , 	21 , 	25 , 	46 , 	720 , 	369 , 	871 , 	405 , 	246 , 	168 , 	81 , 	64 , 	67 , 	10 , 	20 , 	86 , 	11 , 	20 , 	15 , 	17 , 	132 , 	104 , 	28 , 	48 , 	96 , 	-   , 	-   , 	7 , 	19 ," 	6,345 ",,,,,,,,,,
AS, 	60 , 	83 , 	42 , 	31 , 	152 , 	21 , 	52 , 	86 , 	84 , 	27 , 	60 , 	60 , 	21 , 	22 , 	22 , 	9 , 	14 , 	23 , 	11 , 	5 , 	12 , 	6 , 	4 , 	9 , 	22 , 	262 , 	140 , 	234 , 	179 , 	120 , 	101 , 	23 , 	20 , 	12 , 	3 , 	5 , 	12 , 	2 , 	10 , 	6 , 	6 , 	59 , 	17 , 	3 , 	22 , 	14 , 	-   , 	-   , 	2 , 	5 ," 	2,189 ",,,,,,,,,,
MA, 	68 , 	101 , 	59 , 	43 , 	162 , 	70 , 	31 , 	67 , 	102 , 	28 , 	82 , 	103 , 	38 , 	45 , 	32 , 	20 , 	16 , 	32 , 	37 , 	35 , 	44 , 	20 , 	19 , 	35 , 	35 , 	407 , 	263 , 	474 , 	314 , 	215 , 	142 , 	42 , 	38 , 	24 , 	5 , 	9 , 	16 , 	8 , 	38 , 	5 , 	14 , 	103 , 	22 , 	7 , 	22 , 	19 , 	-   , 	-   , 	14 , 	28 ," 	3,546 ",,,,,,,,,,
19, 	40 , 	88 , 	60 , 	57 , 	193 , 	88 , 	71 , 	22 , 	15 , 	11 , 	71 , 	106 , 	55 , 	46 , 	28 , 	19 , 	29 , 	39 , 	31 , 	37 , 	57 , 	33 , 	25 , 	57 , 	37 , 	346 , 	248 , 	432 , 	305 , 	213 , 	160 , 	61 , 	42 , 	44 , 	9 , 	11 , 	19 , 	7 , 	21 , 	10 , 	13 , 	72 , 	24 , 	8 , 	15 , 	25 , 	-   , 	-   , 	6 , 	18 ," 	3,418 ",,,,,,,,,,
12, 	65 , 	129 , 	96 , 	68 , 	188 , 	91 , 	93 , 	13 , 	24 , 	12 , 	85 , 	132 , 	86 , 	91 , 	63 , 	31 , 	43 , 	64 , 	66 , 	55 , 	64 , 	39 , 	28 , 	78 , 	52 , 	374 , 	263 , 	548 , 	313 , 	160 , 	138 , 	68 , 	73 , 	59 , 	23 , 	14 , 	28 , 	12 , 	47 , 	16 , 	20 , 	103 , 	50 , 	11 , 	22 , 	37 , 	-   , 	-   , 	10 , 	25 ," 	4,163 ",,,,,,,,,,
LM, 	17 , 	32 , 	24 , 	28 , 	83 , 	34 , 	24 , 	12 , 	16 , 	12 , 	80 , 	169 , 	132 , 	134 , 	47 , 	27 , 	50 , 	57 , 	11 , 	10 , 	16 , 	7 , 	4 , 	14 , 	20 , 	341 , 	263 , 	485 , 	287 , 	171 , 	116 , 	45 , 	45 , 	49 , 	3 , 	71 , 	91 , 	3 , 	7 , 	2 , 	10 , 	28 , 	14 , 	45 , 	19 , 	34 , 	-   , 	-   , 	1 , 	7 ," 	3,191 ",,,,,,,,,,
