Exit stations,Entry stations->,,SUNDAY,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	39 , 	39 , 	27 , 	117 , 	39 , 	42 , 	21 , 	36 , 	21 , 	39 , 	54 , 	14 , 	11 , 	9 , 	5 , 	4 , 	11 , 	10 , 	4 , 	7 , 	1 , 	4 , 	9 , 	6 , 	132 , 	57 , 	188 , 	66 , 	53 , 	57 , 	14 , 	20 , 	16 , 	3 , 	3 , 	5 , 	1 , 	9 , 	4 , 	6 , 	43 , 	10 , 	3 , 	10 , 	5 , 	-   , 	-   , 	5 , 	5 ," 	1,295 ",,,,,,,,,,,
EN, 	36 , 	17 , 	39 , 	30 , 	210 , 	54 , 	69 , 	49 , 	91 , 	30 , 	50 , 	124 , 	21 , 	21 , 	18 , 	13 , 	12 , 	24 , 	13 , 	8 , 	12 , 	2 , 	3 , 	12 , 	22 , 	232 , 	136 , 	373 , 	138 , 	71 , 	62 , 	29 , 	33 , 	31 , 	14 , 	2 , 	9 , 	1 , 	10 , 	6 , 	14 , 	104 , 	14 , 	5 , 	36 , 	16 , 	-   , 	-   , 	2 , 	3 ," 	2,322 ",,,,,,,,,,,
EP, 	42 , 	36 , 	8 , 	30 , 	199 , 	44 , 	42 , 	37 , 	56 , 	22 , 	30 , 	59 , 	12 , 	9 , 	5 , 	3 , 	8 , 	15 , 	7 , 	6 , 	11 , 	6 , 	2 , 	13 , 	10 , 	166 , 	97 , 	188 , 	101 , 	51 , 	35 , 	20 , 	12 , 	10 , 	3 , 	2 , 	10 , 	1 , 	5 , 	3 , 	3 , 	64 , 	10 , 	3 , 	32 , 	10 , 	-   , 	-   , 	1 , 	2 ," 	1,540 ",,,,,,,,,,,
NB, 	31 , 	29 , 	27 , 	14 , 	64 , 	27 , 	29 , 	40 , 	44 , 	25 , 	29 , 	60 , 	11 , 	7 , 	6 , 	4 , 	7 , 	15 , 	7 , 	6 , 	12 , 	4 , 	3 , 	5 , 	5 , 	190 , 	118 , 	170 , 	154 , 	79 , 	47 , 	19 , 	13 , 	15 , 	5 , 	3 , 	8 , 	1 , 	3 , 	1 , 	3 , 	101 , 	14 , 	3 , 	34 , 	15 , 	-   , 	-   , 	1 , 	2 ," 	1,510 ",,,,,,,,,,,
BK, 	129 , 	217 , 	201 , 	68 , 	45 , 	123 , 	114 , 	143 , 	149 , 	79 , 	90 , 	84 , 	49 , 	35 , 	35 , 	15 , 	54 , 	99 , 	25 , 	32 , 	41 , 	25 , 	14 , 	15 , 	34 , 	483 , 	236 , 	586 , 	294 , 	175 , 	123 , 	60 , 	43 , 	46 , 	8 , 	16 , 	64 , 	7 , 	12 , 	8 , 	14 , 	202 , 	79 , 	19 , 	80 , 	133 , 	-   , 	-   , 	2 , 	8 ," 	4,616 ",,,,,,,,,,,
AS, 	31 , 	53 , 	37 , 	28 , 	106 , 	18 , 	40 , 	62 , 	77 , 	30 , 	47 , 	55 , 	14 , 	14 , 	11 , 	8 , 	10 , 	20 , 	6 , 	8 , 	12 , 	4 , 	2 , 	7 , 	13 , 	167 , 	91 , 	179 , 	142 , 	89 , 	65 , 	24 , 	13 , 	13 , 	3 , 	5 , 	11 , 	2 , 	7 , 	4 , 	3 , 	72 , 	15 , 	4 , 	33 , 	18 , 	-   , 	-   , 	3 , 	4 ," 	1,684 ",,,,,,,,,,,
MA, 	46 , 	71 , 	41 , 	29 , 	114 , 	46 , 	28 , 	47 , 	62 , 	24 , 	57 , 	89 , 	26 , 	28 , 	20 , 	14 , 	12 , 	26 , 	36 , 	27 , 	37 , 	14 , 	16 , 	32 , 	24 , 	320 , 	170 , 	334 , 	252 , 	140 , 	113 , 	35 , 	30 , 	22 , 	6 , 	6 , 	16 , 	10 , 	32 , 	5 , 	9 , 	114 , 	21 , 	5 , 	32 , 	14 , 	-   , 	-   , 	12 , 	21 ," 	2,686 ",,,,,,,,,,,
19, 	31 , 	51 , 	35 , 	47 , 	135 , 	66 , 	42 , 	19 , 	11 , 	12 , 	43 , 	69 , 	38 , 	29 , 	24 , 	10 , 	14 , 	29 , 	28 , 	28 , 	35 , 	17 , 	12 , 	41 , 	27 , 	228 , 	165 , 	299 , 	242 , 	148 , 	111 , 	31 , 	27 , 	30 , 	4 , 	5 , 	13 , 	4 , 	13 , 	5 , 	8 , 	106 , 	21 , 	4 , 	30 , 	17 , 	-   , 	-   , 	7 , 	11 ," 	2,421 ",,,,,,,,,,,
12, 	35 , 	87 , 	55 , 	40 , 	149 , 	69 , 	64 , 	10 , 	23 , 	12 , 	63 , 	85 , 	60 , 	56 , 	42 , 	18 , 	23 , 	37 , 	35 , 	38 , 	34 , 	19 , 	21 , 	52 , 	39 , 	270 , 	196 , 	429 , 	227 , 	111 , 	86 , 	37 , 	45 , 	38 , 	13 , 	7 , 	16 , 	8 , 	34 , 	12 , 	17 , 	118 , 	28 , 	5 , 	29 , 	16 , 	-   , 	-   , 	7 , 	17 ," 	2,933 ",,,,,,,,,,,
LM, 	23 , 	31 , 	25 , 	27 , 	77 , 	36 , 	27 , 	12 , 	16 , 	10 , 	115 , 	155 , 	94 , 	97 , 	35 , 	17 , 	36 , 	44 , 	7 , 	7 , 	7 , 	5 , 	6 , 	11 , 	23 , 	232 , 	187 , 	359 , 	206 , 	117 , 	86 , 	31 , 	45 , 	38 , 	3 , 	44 , 	68 , 	1 , 	4 , 	3 , 	6 , 	32 , 	9 , 	32 , 	27 , 	30 , 	-   , 	-   , 	3 , 	4 ," 	2,511 ",,,,,,,,,,,
FV, 	47 , 	48 , 	25 , 	24 , 	97 , 	52 , 	56 , 	53 , 	68 , 	97 , 	18 , 	176 , 	79 , 	120 , 	71 , 	25 , 	27 , 	50 , 	21 , 	8 , 	18 , 	8 , 	4 , 	23 , 	41 , 	265 , 	177 , 	435 , 	243 , 	117 , 	93 , 	35 , 	34 , 	36 , 	3 , 	27 , 	66 , 	4 , 	13 , 	6 , 	10 , 	58 , 	7 , 	36 , 	14 , 	18 , 	-   , 	-   , 	4 , 	7 ," 	2,964 ",,,,,,,,,,,
CL, 	65 , 	140 , 	63 , 	66 , 	73 , 	56 , 	90 , 	67 , 	87 , 	118 , 	170 , 	13 , 	158 , 	162 , 	106 , 	52 , 	88 , 	144 , 	69 , 	74 , 	76 , 	62 , 	48 , 	49 , 	44 , 	206 , 	113 , 	267 , 	160 , 	54 , 	66 , 	47 , 	33 , 	59 , 	10 , 	95 , 	403 , 	36 , 	47 , 	11 , 	10 , 	26 , 	15 , 	110 , 	43 , 	115 , 	-   , 	-   , 	9 , 	42 ," 	4,118 ",,,,,,,,,,,
SL, 	15 , 	26 , 	11 , 	13 , 	52 , 	20 , 	23 , 	46 , 	68 , 	106 , 	80 , 	158 , 	10 , 	72 , 	47 , 	20 , 	23 , 	35 , 	7 , 	8 , 	9 , 	3 , 	2 , 	9 , 	18 , 	185 , 	118 , 	265 , 	108 , 	45 , 	37 , 	20 , 	22 , 	28 , 	4 , 	18 , 	39 , 	3 , 	8 , 	5 , 	6 , 	45 , 	7 , 	29 , 	13 , 	16 , 	-   , 	-   , 	1 , 	3 ," 	1,905 ",,,,,,,,,,,
