Exit stations,Entry stations->,,TOTAL,,,Jul 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	399 ," 	2,786 "," 	2,098 "," 	1,609 "," 	9,387 "," 	2,469 "," 	2,909 "," 	3,363 "," 	4,568 ", 	995 ," 	2,224 "," 	1,938 ", 	919 , 	609 , 	645 , 	484 , 	415 , 	713 , 	480 , 	342 , 	511 , 	135 , 	229 , 	497 , 	610 ," 	10,496 "," 	8,998 "," 	11,263 "," 	7,848 "," 	4,302 "," 	4,237 "," 	1,144 "," 	1,462 "," 	1,065 ", 	378 , 	135 , 	419 , 	94 , 	531 , 	299 , 	506 ," 	1,782 ", 	697 , 	162 , 	424 , 	284 , 	-   , 	-   , 	220 , 	254 ," 	98,334 ",,,,,,,,,,,,,
EN," 	2,957 ", 	605 ," 	2,086 "," 	2,163 "," 	18,797 "," 	3,312 "," 	5,799 "," 	10,329 "," 	12,785 "," 	2,412 "," 	2,708 "," 	3,756 "," 	1,446 "," 	1,095 "," 	1,285 ", 	654 , 	808 ," 	1,473 ", 	729 , 	441 , 	738 , 	221 , 	261 , 	758 ," 	1,013 "," 	23,832 "," 	23,131 "," 	23,633 "," 	17,216 "," 	6,901 "," 	5,205 "," 	2,227 "," 	2,492 "," 	1,927 ", 	691 , 	244 , 	684 , 	132 , 	474 , 	708 , 	969 ," 	3,831 "," 	1,591 ", 	355 ," 	1,262 ", 	786 , 	-   , 	-   , 	122 , 	278 ," 	197,322 ",,,,,,,,,,,,,
EP," 	2,158 "," 	1,903 ", 	362 ," 	1,276 "," 	15,704 "," 	2,125 "," 	3,138 "," 	6,500 "," 	7,502 "," 	1,300 "," 	1,337 "," 	1,693 ", 	715 , 	476 , 	465 , 	233 , 	488 , 	846 , 	384 , 	423 , 	702 , 	201 , 	123 , 	660 , 	418 ," 	14,369 "," 	15,167 "," 	10,856 "," 	9,674 "," 	3,311 "," 	1,868 ", 	899 , 	819 , 	717 , 	152 , 	111 , 	411 , 	104 , 	240 , 	227 , 	316 ," 	2,320 ", 	754 , 	229 , 	938 , 	344 , 	-   , 	-   , 	63 , 	137 ," 	115,158 ",,,,,,,,,,,,,
NB," 	1,614 "," 	1,975 "," 	1,332 ", 	500 ," 	3,846 "," 	1,442 "," 	1,970 "," 	5,666 "," 	5,794 "," 	1,270 "," 	1,625 "," 	1,504 ", 	667 , 	381 , 	528 , 	235 , 	494 , 	683 , 	493 , 	489 , 	650 , 	271 , 	205 , 	348 , 	336 ," 	16,518 "," 	16,040 "," 	10,340 "," 	10,871 "," 	4,308 "," 	2,578 ", 	785 , 	720 , 	709 , 	145 , 	181 , 	420 , 	89 , 	238 , 	186 , 	243 ," 	3,346 "," 	1,049 ", 	181 ," 	1,100 ", 	441 , 	-   , 	-   , 	135 , 	156 ," 	105,097 ",,,,,,,,,,,,,
BK," 	10,580 "," 	20,045 "," 	15,748 "," 	4,429 "," 	1,559 "," 	8,248 "," 	8,069 "," 	13,360 "," 	12,909 "," 	5,090 "," 	6,634 "," 	4,544 "," 	4,569 "," 	3,666 "," 	3,056 "," 	1,789 "," 	4,577 "," 	6,918 "," 	2,527 "," 	3,958 "," 	3,451 "," 	2,030 "," 	1,377 ", 	984 ," 	1,885 "," 	32,771 "," 	27,354 "," 	25,391 "," 	20,259 "," 	9,459 "," 	6,544 "," 	3,923 "," 	2,973 "," 	2,769 ", 	784 ," 	1,364 "," 	4,151 ", 	784 ," 	1,716 ", 	925 ," 	1,027 "," 	5,103 "," 	4,859 "," 	1,804 "," 	1,982 "," 	3,753 ", 	-   , 	-   , 	669 ," 	1,162 "," 	313,528 ",,,,,,,,,,,,,
AS," 	2,583 "," 	3,177 "," 	2,137 "," 	1,449 "," 	7,077 ", 	513 ," 	2,337 "," 	5,941 "," 	6,372 "," 	1,395 "," 	2,583 "," 	2,114 "," 	1,201 ", 	931 , 	882 , 	522 , 	866 ," 	1,006 ", 	581 , 	654 , 	602 , 	213 , 	191 , 	307 , 	745 ," 	17,970 "," 	17,924 "," 	11,460 "," 	11,912 "," 	6,049 "," 	3,350 ", 	949 , 	915 , 	714 , 	214 , 	251 , 	514 , 	173 , 	415 , 	247 , 	312 ," 	2,208 ", 	950 , 	328 , 	796 , 	576 , 	-   , 	-   , 	139 , 	336 ," 	125,081 ",,,,,,,,,,,,,
MA," 	3,441 "," 	5,910 "," 	2,941 "," 	1,918 "," 	7,877 "," 	2,439 "," 	1,038 "," 	4,709 "," 	5,527 "," 	1,437 "," 	3,753 "," 	3,685 "," 	2,750 "," 	2,212 "," 	2,194 "," 	1,348 "," 	1,630 "," 	2,614 "," 	3,527 "," 	4,165 "," 	3,547 "," 	1,187 "," 	1,170 "," 	1,403 "," 	1,196 "," 	27,054 "," 	26,897 "," 	21,146 "," 	20,053 "," 	9,631 "," 	5,784 "," 	2,200 "," 	1,817 "," 	1,512 ", 	515 , 	518 ," 	1,787 "," 	1,066 "," 	3,546 ", 	722 , 	753 ," 	3,927 "," 	1,749 ", 	703 , 	933 , 	974 , 	-   , 	-   , 	833 ," 	2,705 "," 	210,443 ",,,,,,,,,,,,,
19," 	3,864 "," 	10,542 "," 	6,532 "," 	5,925 "," 	12,290 "," 	6,023 "," 	4,382 ", 	894 ," 	1,148 ", 	896 ," 	4,310 "," 	4,535 "," 	5,566 "," 	4,855 "," 	4,679 "," 	3,273 "," 	4,968 "," 	7,166 "," 	6,350 "," 	8,530 "," 	7,339 "," 	3,680 "," 	2,541 "," 	3,757 "," 	1,672 "," 	32,025 "," 	33,799 "," 	22,737 "," 	23,676 "," 	11,183 "," 	8,019 "," 	4,144 "," 	3,018 "," 	3,226 "," 	1,476 "," 	1,441 "," 	4,962 "," 	2,958 "," 	3,737 "," 	1,533 "," 	1,516 "," 	3,197 "," 	2,949 "," 	2,391 "," 	1,034 "," 	2,443 ", 	-   , 	-   ," 	1,083 "," 	2,809 "," 	301,073 ",,,,,,,,,,,,,
12," 	4,988 "," 	13,312 "," 	7,352 "," 	5,912 "," 	11,261 "," 	6,090 "," 	5,253 "," 	1,122 "," 	1,044 ", 	840 ," 	5,170 "," 	6,107 "," 	8,034 "," 	7,557 "," 	6,630 "," 	3,898 "," 	5,495 "," 	7,675 "," 	7,207 "," 	9,568 "," 	6,835 "," 	3,247 "," 	3,007 "," 	4,377 "," 	2,361 "," 	30,854 "," 	29,320 "," 	23,577 "," 	22,035 "," 	8,552 "," 	7,533 "," 	4,723 "," 	4,961 "," 	4,700 "," 	2,922 "," 	2,756 "," 	5,875 "," 	2,973 "," 	5,241 "," 	2,051 "," 	1,906 "," 	4,181 "," 	3,834 "," 	2,721 "," 	1,295 "," 	2,393 ", 	-   , 	-   ," 	1,138 "," 	3,931 "," 	323,814 ",,,,,,,,,,,,,
LM, 	981 ," 	2,216 "," 	1,291 "," 	1,260 "," 	4,617 "," 	1,601 "," 	1,462 ", 	884 , 	844 , 	569 ," 	4,210 "," 	6,146 "," 	7,471 "," 	6,125 "," 	3,287 "," 	2,030 "," 	2,917 "," 	3,062 ", 	920 , 	591 , 	707 , 	297 , 	225 , 	661 , 	836 ," 	22,952 "," 	24,115 "," 	19,007 "," 	15,359 "," 	6,877 "," 	4,188 "," 	1,788 "," 	2,053 "," 	1,747 ", 	200 ," 	3,308 "," 	5,220 ", 	254 , 	563 , 	429 , 	389 ," 	1,346 ", 	540 ," 	2,211 ", 	788 ," 	2,488 ", 	-   , 	-   , 	181 , 	507 ," 	171,720 ",,,,,,,,,,,,,
FV," 	2,367 "," 	2,610 "," 	1,275 "," 	1,607 "," 	6,654 "," 	2,573 "," 	3,730 "," 	4,658 "," 	5,359 "," 	4,199 ", 	784 ," 	6,638 "," 	5,687 "," 	5,656 "," 	4,520 "," 	2,216 "," 	1,867 "," 	3,064 "," 	1,256 ", 	607 , 	943 , 	436 , 	575 ," 	1,225 "," 	2,369 "," 	23,133 "," 	22,946 "," 	23,766 "," 	20,292 "," 	8,317 "," 	5,596 "," 	1,855 "," 	2,075 "," 	1,748 ", 	247 ," 	1,519 "," 	3,610 ", 	262 , 	727 , 	418 , 	607 ," 	2,153 ", 	725 ," 	1,748 ", 	438 ," 	1,449 ", 	-   , 	-   , 	238 , 	573 ," 	197,317 ",,,,,,,,,,,,,
CL," 	2,122 "," 	3,997 "," 	1,803 "," 	1,604 "," 	4,487 "," 	2,261 "," 	3,716 "," 	4,708 "," 	6,827 "," 	5,055 "," 	6,458 ", 	666 ," 	5,125 "," 	5,489 "," 	3,889 "," 	2,216 "," 	2,771 "," 	4,116 "," 	2,165 "," 	2,027 "," 	1,977 "," 	1,234 ", 	909 ," 	1,407 "," 	2,412 "," 	13,661 "," 	12,084 "," 	13,051 "," 	10,113 "," 	3,826 "," 	3,117 "," 	1,601 "," 	1,584 "," 	1,913 ", 	391 ," 	2,474 "," 	8,543 ", 	714 ," 	1,710 ", 	504 , 	671 ," 	1,099 ", 	620 ," 	3,251 "," 	1,024 "," 	3,094 ", 	-   , 	-   , 	559 ," 	1,329 "," 	166,374 ",,,,,,,,,,,,,
SL, 	899 ," 	1,634 ", 	715 , 	741 ," 	4,614 "," 	1,393 "," 	2,658 "," 	5,836 "," 	8,246 "," 	7,846 "," 	5,632 "," 	4,972 ", 	465 ," 	3,351 "," 	3,457 "," 	1,776 "," 	2,242 "," 	2,938 ", 	716 , 	700 , 	574 , 	212 , 	197 , 	503 , 	987 ," 	18,992 "," 	18,756 "," 	15,695 "," 	12,259 "," 	4,013 "," 	2,401 "," 	1,185 "," 	1,678 "," 	1,407 ", 	235 ," 	1,093 "," 	2,764 ", 	293 , 	471 , 	343 , 	336 ," 	1,534 ", 	311 ," 	1,438 ", 	289 ," 	1,371 ", 	-   , 	-   , 	176 , 	403 ," 	150,747 ",,,,,,,,,,,,,
