Exit stations,Entry stations->,,WEEKDAY,,,Aug 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	15 , 	111 , 	82 , 	70 , 	388 , 	96 , 	127 , 	151 , 	193 , 	40 , 	85 , 	83 , 	36 , 	22 , 	30 , 	21 , 	15 , 	32 , 	16 , 	15 , 	22 , 	5 , 	7 , 	21 , 	25 , 	412 , 	392 , 	442 , 	347 , 	177 , 	177 , 	46 , 	64 , 	60 , 	17 , 	5 , 	16 , 	5 , 	20 , 	14 , 	21 , 	59 , 	30 , 	6 , 	15 , 	12 , 	-   , 	-   , 	7 , 	9 ," 	4,059 ",,,,,,,,,,,,,
EN, 	121 , 	21 , 	81 , 	87 , 	794 , 	137 , 	239 , 	451 , 	559 , 	105 , 	111 , 	173 , 	57 , 	43 , 	70 , 	25 , 	31 , 	59 , 	27 , 	17 , 	31 , 	8 , 	12 , 	29 , 	35 , 	976 ," 	1,011 ", 	876 , 	759 , 	289 , 	212 , 	90 , 	114 , 	105 , 	27 , 	10 , 	27 , 	6 , 	16 , 	30 , 	41 , 	124 , 	69 , 	14 , 	42 , 	30 , 	-   , 	-   , 	5 , 	11 ," 	8,207 ",,,,,,,,,,,,,
EP, 	84 , 	81 , 	15 , 	51 , 	657 , 	81 , 	125 , 	293 , 	324 , 	65 , 	49 , 	89 , 	32 , 	20 , 	27 , 	8 , 	19 , 	36 , 	15 , 	19 , 	26 , 	8 , 	5 , 	25 , 	14 , 	598 , 	659 , 	407 , 	423 , 	137 , 	70 , 	34 , 	37 , 	37 , 	6 , 	4 , 	15 , 	4 , 	8 , 	9 , 	12 , 	81 , 	27 , 	7 , 	33 , 	13 , 	-   , 	-   , 	4 , 	4 ," 	4,795 ",,,,,,,,,,,,,
NB, 	67 , 	79 , 	48 , 	19 , 	154 , 	56 , 	81 , 	249 , 	243 , 	52 , 	61 , 	80 , 	30 , 	15 , 	23 , 	9 , 	19 , 	27 , 	19 , 	19 , 	26 , 	8 , 	8 , 	14 , 	11 , 	662 , 	677 , 	386 , 	432 , 	163 , 	94 , 	30 , 	33 , 	31 , 	5 , 	6 , 	14 , 	5 , 	9 , 	8 , 	10 , 	104 , 	42 , 	7 , 	41 , 	18 , 	-   , 	-   , 	6 , 	7 ," 	4,205 ",,,,,,,,,,,,,
BK, 	438 , 	860 , 	670 , 	177 , 	49 , 	329 , 	325 , 	530 , 	510 , 	225 , 	270 , 	190 , 	173 , 	129 , 	126 , 	76 , 	159 , 	224 , 	105 , 	162 , 	128 , 	71 , 	47 , 	38 , 	74 ," 	1,053 "," 	1,002 ", 	776 , 	725 , 	316 , 	252 , 	147 , 	120 , 	117 , 	35 , 	52 , 	133 , 	35 , 	74 , 	36 , 	42 , 	182 , 	168 , 	60 , 	80 , 	108 , 	-   , 	-   , 	24 , 	46 ," 	11,668 ",,,,,,,,,,,,,
AS, 	100 , 	129 , 	82 , 	58 , 	285 , 	18 , 	89 , 	246 , 	242 , 	61 , 	98 , 	106 , 	52 , 	36 , 	34 , 	18 , 	35 , 	38 , 	24 , 	28 , 	23 , 	10 , 	7 , 	12 , 	24 , 	729 , 	769 , 	442 , 	488 , 	225 , 	125 , 	37 , 	42 , 	36 , 	10 , 	10 , 	19 , 	7 , 	15 , 	8 , 	15 , 	69 , 	36 , 	16 , 	29 , 	24 , 	-   , 	-   , 	5 , 	15 ," 	5,025 ",,,,,,,,,,,,,
MA, 	146 , 	243 , 	113 , 	75 , 	311 , 	88 , 	35 , 	184 , 	222 , 	63 , 	158 , 	181 , 	121 , 	91 , 	87 , 	53 , 	71 , 	113 , 	153 , 	179 , 	152 , 	53 , 	45 , 	56 , 	48 ," 	1,097 "," 	1,158 ", 	790 , 	834 , 	384 , 	214 , 	82 , 	80 , 	63 , 	22 , 	24 , 	69 , 	44 , 	142 , 	31 , 	33 , 	115 , 	66 , 	30 , 	32 , 	39 , 	-   , 	-   , 	38 , 	121 ," 	8,548 ",,,,,,,,,,,,,
19, 	171 , 	467 , 	295 , 	257 , 	486 , 	251 , 	181 , 	37 , 	51 , 	38 , 	173 , 	217 , 	238 , 	218 , 	201 , 	149 , 	223 , 	327 , 	292 , 	403 , 	335 , 	166 , 	114 , 	154 , 	63 ," 	1,409 "," 	1,513 ", 	908 ," 	1,005 ", 	446 , 	334 , 	171 , 	145 , 	137 , 	71 , 	70 , 	234 , 	135 , 	181 , 	70 , 	74 , 	97 , 	128 , 	115 , 	39 , 	110 , 	-   , 	-   , 	49 , 	135 ," 	13,083 ",,,,,,,,,,,,,
12, 	216 , 	577 , 	312 , 	255 , 	444 , 	237 , 	215 , 	48 , 	44 , 	36 , 	206 , 	281 , 	340 , 	336 , 	294 , 	182 , 	251 , 	326 , 	312 , 	432 , 	303 , 	145 , 	127 , 	167 , 	94 ," 	1,328 "," 	1,305 ", 	898 , 	923 , 	347 , 	320 , 	202 , 	217 , 	210 , 	130 , 	120 , 	266 , 	133 , 	228 , 	94 , 	87 , 	141 , 	159 , 	129 , 	50 , 	102 , 	-   , 	-   , 	53 , 	177 ," 	13,801 ",,,,,,,,,,,,,
LM, 	40 , 	95 , 	62 , 	45 , 	203 , 	64 , 	64 , 	39 , 	35 , 	19 , 	140 , 	300 , 	303 , 	243 , 	142 , 	81 , 	120 , 	118 , 	37 , 	26 , 	29 , 	8 , 	7 , 	26 , 	35 , 	952 ," 	1,042 ", 	704 , 	637 , 	266 , 	157 , 	71 , 	92 , 	82 , 	8 , 	115 , 	205 , 	8 , 	25 , 	14 , 	14 , 	42 , 	18 , 	89 , 	26 , 	114 , 	-   , 	-   , 	9 , 	21 ," 	6,992 ",,,,,,,,,,,,,
FV, 	91 , 	103 , 	51 , 	66 , 	266 , 	102 , 	165 , 	185 , 	218 , 	144 , 	27 , 	312 , 	233 , 	214 , 	199 , 	88 , 	79 , 	124 , 	47 , 	27 , 	36 , 	16 , 	23 , 	48 , 	94 , 	926 , 	979 , 	881 , 	848 , 	332 , 	215 , 	76 , 	96 , 	90 , 	10 , 	57 , 	129 , 	10 , 	27 , 	15 , 	27 , 	73 , 	30 , 	64 , 	14 , 	63 , 	-   , 	-   , 	11 , 	25 ," 	7,958 ",,,,,,,,,,,,,
CL, 	95 , 	180 , 	88 , 	83 , 	193 , 	103 , 	192 , 	242 , 	320 , 	253 , 	302 , 	31 , 	253 , 	239 , 	205 , 	112 , 	155 , 	226 , 	105 , 	96 , 	85 , 	51 , 	44 , 	69 , 	108 , 	639 , 	622 , 	552 , 	470 , 	172 , 	145 , 	78 , 	76 , 	111 , 	21 , 	117 , 	447 , 	31 , 	64 , 	25 , 	29 , 	42 , 	38 , 	175 , 	38 , 	213 , 	-   , 	-   , 	28 , 	56 ," 	8,019 ",,,,,,,,,,,,,
SL, 	36 , 	63 , 	33 , 	30 , 	168 , 	54 , 	126 , 	249 , 	347 , 	313 , 	231 , 	264 , 	19 , 	120 , 	142 , 	74 , 	85 , 	128 , 	31 , 	29 , 	25 , 	10 , 	9 , 	20 , 	41 , 	774 , 	836 , 	591 , 	547 , 	165 , 	102 , 	55 , 	78 , 	73 , 	10 , 	38 , 	113 , 	12 , 	19 , 	13 , 	13 , 	50 , 	11 , 	52 , 	10 , 	65 , 	-   , 	-   , 	9 , 	15 ," 	6,298 ",,,,,,,,,,,,,
BF, 	21 , 	41 , 	18 , 	17 , 	125 , 	35 , 	93 , 	224 , 	321 , 	228 , 	192 , 	234 , 	112 , 	15 , 	110 , 	62 , 	86 , 	162 , 	19 , 	10 , 	11 , 	3 , 	4 , 	13 , 	42 , 	678 , 	703 , 	533 , 	472 , 	150 , 	93 , 	35 , 	52 , 	54 , 	12 , 	49 , 	126 , 	6 , 	10 , 	9 , 	20 , 	32 , 	11 , 	73 , 	8 , 	58 , 	-   , 	-   , 	5 , 	8 ," 	5,393 ",,,,,,,,,,,,,
HY, 	35 , 	72 , 	25 , 	27 , 	115 , 	35 , 	85 , 	211 , 	286 , 	132 , 	205 , 	201 , 	155 , 	97 , 	21 , 	82 , 	183 , 	253 , 	29 , 	15 , 	20 , 	6 , 	5 , 	17 , 	30 , 	468 , 	524 , 	334 , 	298 , 	99 , 	59 , 	34 , 	42 , 	40 , 	6 , 	20 , 	72 , 	8 , 	27 , 	8 , 	15 , 	23 , 	9 , 	33 , 	13 , 	87 , 	-   , 	-   , 	11 , 	23 ," 	4,596 ",,,,,,,,,,,,,
SH, 	23 , 	25 , 	8 , 	9 , 	68 , 	20 , 	53 , 	144 , 	168 , 	74 , 	88 , 	108 , 	71 , 	60 , 	75 , 	11 , 	72 , 	116 , 	10 , 	11 , 	11 , 	3 , 	2 , 	6 , 	21 , 	437 , 	393 , 	235 , 	245 , 	71 , 	40 , 	17 , 	27 , 	39 , 	8 , 	12 , 	38 , 	3 , 	9 , 	4 , 	8 , 	16 , 	4 , 	20 , 	8 , 	56 , 	-   , 	-   , 	3 , 	5 ," 	2,954 ",,,,,,,,,,,,,
UC, 	19 , 	36 , 	19 , 	19 , 	159 , 	38 , 	68 , 	227 , 	238 , 	114 , 	81 , 	154 , 	87 , 	86 , 	183 , 	66 , 	22 , 	173 , 	15 , 	19 , 	16 , 	5 , 	4 , 	11 , 	16 , 	907 , 	789 , 	364 , 	324 , 	87 , 	36 , 	15 , 	23 , 	39 , 	7 , 	18 , 	67 , 	2 , 	11 , 	6 , 	5 , 	25 , 	4 , 	27 , 	18 , 	49 , 	-   , 	-   , 	4 , 	9 ," 	4,711 ",,,,,,,,,,,,,
