Exit stations,Entry stations->,,SATURDAY,,,Sep 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	52 , 	55 , 	31 , 	223 , 	53 , 	53 , 	46 , 	56 , 	13 , 	49 , 	61 , 	20 , 	12 , 	15 , 	10 , 	8 , 	13 , 	12 , 	5 , 	12 , 	4 , 	5 , 	14 , 	11 , 	127 , 	100 , 	245 , 	122 , 	72 , 	87 , 	20 , 	30 , 	22 , 	6 , 	5 , 	7 , 	3 , 	13 , 	4 , 	6 , 	27 , 	9 , 	3 , 	10 , 	6 , 	-   , 	-   , 	5 , 	4 ," 	1,778 ",,,,,,,,,,
EN, 	63 , 	24 , 	53 , 	49 , 	501 , 	75 , 	92 , 	92 , 	112 , 	32 , 	77 , 	173 , 	32 , 	28 , 	28 , 	15 , 	17 , 	23 , 	18 , 	8 , 	16 , 	7 , 	4 , 	18 , 	14 , 	261 , 	196 , 	458 , 	193 , 	93 , 	92 , 	32 , 	46 , 	40 , 	20 , 	4 , 	8 , 	2 , 	12 , 	10 , 	12 , 	78 , 	18 , 	5 , 	31 , 	20 , 	-   , 	-   , 	6 , 	9 ," 	3,214 ",,,,,,,,,,
EP, 	60 , 	57 , 	19 , 	38 , 	496 , 	50 , 	49 , 	75 , 	91 , 	19 , 	34 , 	102 , 	16 , 	11 , 	8 , 	7 , 	8 , 	22 , 	7 , 	7 , 	13 , 	9 , 	5 , 	16 , 	5 , 	172 , 	123 , 	249 , 	141 , 	50 , 	44 , 	17 , 	16 , 	16 , 	3 , 	3 , 	8 , 	1 , 	6 , 	1 , 	6 , 	48 , 	10 , 	2 , 	23 , 	14 , 	-   , 	-   , 	2 , 	5 ," 	2,185 ",,,,,,,,,,
NB, 	33 , 	46 , 	37 , 	35 , 	188 , 	30 , 	42 , 	63 , 	67 , 	28 , 	37 , 	82 , 	23 , 	9 , 	14 , 	6 , 	9 , 	14 , 	9 , 	8 , 	16 , 	6 , 	7 , 	10 , 	6 , 	217 , 	148 , 	231 , 	233 , 	94 , 	70 , 	23 , 	13 , 	15 , 	6 , 	4 , 	12 , 	2 , 	4 , 	3 , 	8 , 	56 , 	10 , 	3 , 	24 , 	13 , 	-   , 	-   , 	2 , 	4 ," 	2,018 ",,,,,,,,,,
BK, 	243 , 	547 , 	494 , 	202 , 	88 , 	230 , 	212 , 	260 , 	241 , 	109 , 	196 , 	216 , 	114 , 	112 , 	90 , 	42 , 	115 , 	147 , 	72 , 	95 , 	124 , 	97 , 	92 , 	42 , 	32 , 	601 , 	392 , 	753 , 	532 , 	258 , 	204 , 	107 , 	64 , 	124 , 	19 , 	40 , 	114 , 	18 , 	32 , 	18 , 	23 , 	85 , 	100 , 	44 , 	58 , 	164 , 	-   , 	-   , 	11 , 	26 ," 	7,994 ",,,,,,,,,,
AS, 	57 , 	72 , 	49 , 	27 , 	192 , 	30 , 	49 , 	94 , 	82 , 	36 , 	67 , 	101 , 	18 , 	20 , 	16 , 	7 , 	12 , 	21 , 	12 , 	10 , 	11 , 	5 , 	3 , 	7 , 	16 , 	177 , 	131 , 	197 , 	218 , 	105 , 	70 , 	16 , 	14 , 	15 , 	2 , 	2 , 	11 , 	2 , 	9 , 	2 , 	4 , 	31 , 	10 , 	4 , 	17 , 	13 , 	-   , 	-   , 	3 , 	6 ," 	2,074 ",,,,,,,,,,
MA, 	77 , 	97 , 	46 , 	44 , 	235 , 	60 , 	53 , 	62 , 	66 , 	26 , 	102 , 	160 , 	45 , 	44 , 	28 , 	16 , 	11 , 	31 , 	35 , 	29 , 	42 , 	25 , 	14 , 	42 , 	18 , 	255 , 	196 , 	374 , 	306 , 	156 , 	104 , 	33 , 	25 , 	24 , 	6 , 	9 , 	17 , 	10 , 	41 , 	6 , 	12 , 	59 , 	20 , 	9 , 	17 , 	14 , 	-   , 	-   , 	16 , 	24 ," 	3,141 ",,,,,,,,,,
19, 	55 , 	91 , 	72 , 	73 , 	262 , 	96 , 	83 , 	38 , 	26 , 	23 , 	80 , 	161 , 	58 , 	56 , 	45 , 	21 , 	29 , 	42 , 	42 , 	46 , 	69 , 	39 , 	29 , 	73 , 	24 , 	234 , 	201 , 	343 , 	272 , 	166 , 	121 , 	44 , 	32 , 	29 , 	8 , 	13 , 	37 , 	11 , 	21 , 	8 , 	11 , 	40 , 	28 , 	14 , 	24 , 	31 , 	-   , 	-   , 	7 , 	20 ," 	3,351 ",,,,,,,,,,
12, 	58 , 	113 , 	86 , 	76 , 	212 , 	87 , 	74 , 	14 , 	57 , 	20 , 	95 , 	174 , 	86 , 	86 , 	65 , 	31 , 	52 , 	57 , 	46 , 	47 , 	54 , 	30 , 	29 , 	49 , 	32 , 	237 , 	175 , 	356 , 	220 , 	105 , 	84 , 	41 , 	42 , 	47 , 	16 , 	16 , 	33 , 	11 , 	32 , 	11 , 	11 , 	57 , 	27 , 	10 , 	30 , 	41 , 	-   , 	-   , 	5 , 	21 ," 	3,357 ",,,,,,,,,,
LM, 	14 , 	30 , 	24 , 	27 , 	107 , 	31 , 	27 , 	11 , 	13 , 	47 , 	100 , 	214 , 	135 , 	129 , 	56 , 	32 , 	49 , 	67 , 	14 , 	10 , 	10 , 	9 , 	4 , 	14 , 	16 , 	215 , 	182 , 	355 , 	210 , 	113 , 	91 , 	31 , 	33 , 	34 , 	2 , 	71 , 	95 , 	2 , 	7 , 	3 , 	5 , 	17 , 	8 , 	49 , 	23 , 	42 , 	-   , 	-   , 	1 , 	3 ," 	2,781 ",,,,,,,,,,
FV, 	46 , 	71 , 	35 , 	42 , 	180 , 	68 , 	78 , 	78 , 	84 , 	69 , 	44 , 	260 , 	122 , 	152 , 	103 , 	49 , 	31 , 	70 , 	25 , 	14 , 	23 , 	11 , 	13 , 	31 , 	36 , 	275 , 	200 , 	494 , 	294 , 	133 , 	124 , 	28 , 	47 , 	41 , 	6 , 	40 , 	84 , 	5 , 	21 , 	6 , 	7 , 	37 , 	11 , 	51 , 	11 , 	38 , 	-   , 	-   , 	6 , 	12 ," 	3,702 ",,,,,,,,,,
CL, 	68 , 	180 , 	110 , 	92 , 	207 , 	100 , 	168 , 	120 , 	162 , 	195 , 	240 , 	58 , 	272 , 	262 , 	195 , 	110 , 	201 , 	312 , 	109 , 	124 , 	104 , 	76 , 	83 , 	79 , 	56 , 	271 , 	168 , 	376 , 	218 , 	96 , 	105 , 	77 , 	90 , 	165 , 	27 , 	129 , 	420 , 	43 , 	78 , 	27 , 	44 , 	28 , 	78 , 	210 , 	40 , 	233 , 	-   , 	-   , 	20 , 	55 ," 	6,680 ",,,,,,,,,,
SL, 	20 , 	32 , 	16 , 	20 , 	113 , 	21 , 	43 , 	62 , 	92 , 	140 , 	130 , 	274 , 	16 , 	91 , 	60 , 	42 , 	37 , 	41 , 	12 , 	13 , 	11 , 	3 , 	4 , 	12 , 	21 , 	185 , 	175 , 	330 , 	142 , 	51 , 	40 , 	20 , 	24 , 	30 , 	3 , 	24 , 	40 , 	2 , 	7 , 	6 , 	9 , 	23 , 	5 , 	39 , 	10 , 	19 , 	-   , 	-   , 	4 , 	9 ," 	2,523 ",,,,,,,,,,
BF, 	14 , 	26 , 	11 , 	11 , 	118 , 	23 , 	40 , 	57 , 	82 , 	125 , 	147 , 	260 , 	94 , 	23 , 	66 , 	41 , 	45 , 	73 , 	13 , 	5 , 	5 , 	6 , 	2 , 	8 , 	22 , 	169 , 	139 , 	300 , 	113 , 	46 , 	38 , 	17 , 	23 , 	24 , 	5 , 	37 , 	65 , 	3 , 	11 , 	5 , 	7 , 	17 , 	4 , 	63 , 	5 , 	27 , 	-   , 	-   , 	2 , 	7 ," 	2,446 ",,,,,,,,,,
HY, 	12 , 	29 , 	12 , 	12 , 	88 , 	14 , 	27 , 	48 , 	65 , 	56 , 	100 , 	199 , 	59 , 	73 , 	16 , 	48 , 	62 , 	101 , 	8 , 	5 , 	7 , 	3 , 	2 , 	5 , 	13 , 	103 , 	73 , 	169 , 	73 , 	32 , 	29 , 	12 , 	13 , 	17 , 	4 , 	10 , 	26 , 	1 , 	8 , 	3 , 	4 , 	12 , 	5 , 	25 , 	7 , 	32 , 	-   , 	-   , 	4 , 	5 ," 	1,730 ",,,,,,,,,,
SH, 	10 , 	17 , 	4 , 	5 , 	46 , 	8 , 	16 , 	20 , 	29 , 	27 , 	49 , 	102 , 	39 , 	44 , 	45 , 	8 , 	26 , 	54 , 	7 , 	3 , 	3 , 	3 , 	1 , 	3 , 	6 , 	80 , 	53 , 	127 , 	54 , 	22 , 	19 , 	6 , 	9 , 	24 , 	4 , 	6 , 	17 , 	2 , 	5 , 	2 , 	4 , 	7 , 	1 , 	14 , 	5 , 	21 , 	-   , 	-   , 	1 , 	6 ," 	1,063 ",,,,,,,,,,
UC, 	9 , 	20 , 	9 , 	12 , 	131 , 	15 , 	16 , 	26 , 	47 , 	47 , 	36 , 	190 , 	32 , 	48 , 	60 , 	28 , 	19 , 	61 , 	6 , 	3 , 	4 , 	2 , 	1 , 	7 , 	7 , 	134 , 	87 , 	192 , 	83 , 	30 , 	18 , 	8 , 	13 , 	16 , 	5 , 	9 , 	21 , 	1 , 	4 , 	2 , 	5 , 	16 , 	3 , 	13 , 	14 , 	19 , 	-   , 	-   , 	2 , 	3 ," 	1,532 ",,,,,,,,,,
FM, 	13 , 	28 , 	16 , 	15 , 	165 , 	19 , 	34 , 	51 , 	59 , 	51 , 	76 , 	270 , 	48 , 	68 , 	108 , 	52 , 	59 , 	27 , 	11 , 	13 , 	13 , 	3 , 	4 , 	14 , 	7 , 	201 , 	122 , 	274 , 	118 , 	43 , 	36 , 	10 , 	18 , 	28 , 	3 , 	13 , 	38 , 	3 , 	6 , 	4 , 	5 , 	25 , 	2 , 	15 , 	21 , 	21 , 	-   , 	-   , 	2 , 	6 ," 	2,240 ",,,,,,,,,,
CN, 	17 , 	19 , 	9 , 	7 , 	69 , 	14 , 	38 , 	44 , 	46 , 	11 , 	24 , 	92 , 	11 , 	10 , 	11 , 	6 , 	7 , 	12 , 	23 , 	50 , 	123 , 	74 , 	22 , 	53 , 	9 , 	172 , 	121 , 	228 , 	106 , 	44 , 	38 , 	16 , 	17 , 	25 , 	9 , 	1 , 	6 , 	13 , 	101 , 	6 , 	10 , 	69 , 	16 , 	3 , 	22 , 	8 , 	-   , 	-   , 	44 , 	44 ," 	1,919 ",,,,,,,,,,
PH, 	5 , 	9 , 	8 , 	9 , 	87 , 	6 , 	30 , 	49 , 	45 , 	7 , 	13 , 	103 , 	13 , 	6 , 	3 , 	2 , 	4 , 	11 , 	42 , 	31 , 	67 , 	66 , 	12 , 	67 , 	5 , 	245 , 	150 , 	256 , 	127 , 	40 , 	26 , 	13 , 	12 , 	21 , 	8 , 	2 , 	5 , 	9 , 	38 , 	4 , 	8 , 	94 , 	12 , 	4 , 	27 , 	5 , 	-   , 	-   , 	17 , 	19 ," 	1,842 ",,,,,,,,,,
