Exit stations,Entry stations->,,SATURDAY,,,Oct 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	10 , 	52 , 	53 , 	35 , 	215 , 	55 , 	47 , 	45 , 	56 , 	17 , 	50 , 	48 , 	20 , 	14 , 	20 , 	9 , 	10 , 	13 , 	11 , 	4 , 	12 , 	2 , 	5 , 	15 , 	14 , 	150 , 	116 , 	258 , 	118 , 	83 , 	101 , 	21 , 	42 , 	26 , 	6 , 	3 , 	7 , 	2 , 	8 , 	8 , 	10 , 	34 , 	11 , 	2 , 	8 , 	7 , 	-   , 	-   , 	4 , 	8 ," 	1,858 ",,,,,,,,,,
EN, 	56 , 	17 , 	47 , 	48 , 	515 , 	74 , 	84 , 	88 , 	105 , 	32 , 	74 , 	85 , 	25 , 	30 , 	31 , 	18 , 	16 , 	25 , 	17 , 	12 , 	17 , 	6 , 	7 , 	21 , 	25 , 	319 , 	223 , 	537 , 	208 , 	121 , 	117 , 	40 , 	53 , 	52 , 	18 , 	3 , 	10 , 	1 , 	12 , 	15 , 	16 , 	84 , 	19 , 	7 , 	32 , 	28 , 	-   , 	-   , 	4 , 	9 ," 	3,395 ",,,,,,,,,,
EP, 	54 , 	48 , 	11 , 	44 , 	484 , 	47 , 	60 , 	82 , 	90 , 	25 , 	36 , 	25 , 	18 , 	10 , 	9 , 	8 , 	6 , 	17 , 	9 , 	9 , 	17 , 	9 , 	4 , 	18 , 	11 , 	213 , 	139 , 	297 , 	148 , 	74 , 	61 , 	18 , 	13 , 	19 , 	7 , 	2 , 	9 , 	1 , 	2 , 	2 , 	6 , 	56 , 	12 , 	3 , 	28 , 	14 , 	-   , 	-   , 	2 , 	3 ," 	2,275 ",,,,,,,,,,
NB, 	36 , 	50 , 	49 , 	15 , 	192 , 	32 , 	45 , 	77 , 	68 , 	25 , 	40 , 	21 , 	19 , 	11 , 	14 , 	7 , 	12 , 	16 , 	10 , 	9 , 	16 , 	7 , 	7 , 	10 , 	14 , 	254 , 	166 , 	275 , 	220 , 	126 , 	90 , 	27 , 	16 , 	24 , 	7 , 	4 , 	13 , 	2 , 	3 , 	4 , 	6 , 	79 , 	14 , 	3 , 	30 , 	12 , 	-   , 	-   , 	2 , 	5 ," 	2,177 ",,,,,,,,,,
BK, 	243 , 	524 , 	485 , 	208 , 	67 , 	225 , 	229 , 	284 , 	285 , 	137 , 	226 , 	113 , 	111 , 	117 , 	87 , 	62 , 	100 , 	176 , 	79 , 	105 , 	143 , 	102 , 	84 , 	45 , 	76 , 	747 , 	517 , 	938 , 	656 , 	339 , 	278 , 	143 , 	85 , 	163 , 	20 , 	41 , 	109 , 	26 , 	37 , 	31 , 	34 , 	110 , 	143 , 	43 , 	62 , 	211 , 	-   , 	-   , 	5 , 	27 ," 	9,069 ",,,,,,,,,,
AS, 	58 , 	75 , 	55 , 	34 , 	210 , 	19 , 	50 , 	101 , 	93 , 	31 , 	68 , 	45 , 	22 , 	20 , 	18 , 	7 , 	13 , 	14 , 	12 , 	11 , 	15 , 	7 , 	4 , 	9 , 	35 , 	215 , 	157 , 	258 , 	228 , 	144 , 	111 , 	34 , 	16 , 	23 , 	4 , 	3 , 	8 , 	3 , 	6 , 	7 , 	3 , 	43 , 	12 , 	5 , 	19 , 	22 , 	-   , 	-   , 	3 , 	5 ," 	2,347 ",,,,,,,,,,
MA, 	66 , 	95 , 	55 , 	41 , 	211 , 	61 , 	25 , 	64 , 	86 , 	28 , 	93 , 	67 , 	41 , 	47 , 	35 , 	16 , 	18 , 	25 , 	34 , 	32 , 	48 , 	20 , 	19 , 	31 , 	52 , 	368 , 	255 , 	496 , 	354 , 	229 , 	159 , 	50 , 	35 , 	29 , 	5 , 	7 , 	12 , 	12 , 	32 , 	8 , 	10 , 	85 , 	27 , 	5 , 	22 , 	21 , 	-   , 	-   , 	9 , 	27 ," 	3,563 ",,,,,,,,,,
19, 	54 , 	82 , 	87 , 	79 , 	285 , 	112 , 	63 , 	22 , 	14 , 	17 , 	87 , 	72 , 	61 , 	62 , 	42 , 	21 , 	32 , 	37 , 	49 , 	56 , 	64 , 	43 , 	34 , 	70 , 	64 , 	338 , 	278 , 	494 , 	373 , 	266 , 	221 , 	67 , 	49 , 	44 , 	14 , 	13 , 	31 , 	11 , 	22 , 	9 , 	19 , 	63 , 	37 , 	13 , 	15 , 	42 , 	-   , 	-   , 	9 , 	24 ," 	4,054 ",,,,,,,,,,
12, 	62 , 	109 , 	93 , 	81 , 	238 , 	97 , 	81 , 	11 , 	25 , 	11 , 	84 , 	98 , 	75 , 	79 , 	56 , 	35 , 	40 , 	43 , 	46 , 	55 , 	62 , 	36 , 	24 , 	55 , 	64 , 	350 , 	270 , 	528 , 	337 , 	176 , 	165 , 	56 , 	59 , 	74 , 	24 , 	11 , 	22 , 	7 , 	32 , 	19 , 	20 , 	95 , 	53 , 	9 , 	27 , 	55 , 	-   , 	-   , 	8 , 	28 ," 	4,082 ",,,,,,,,,,
LM, 	14 , 	29 , 	28 , 	23 , 	132 , 	27 , 	27 , 	14 , 	14 , 	15 , 	72 , 	103 , 	151 , 	136 , 	53 , 	30 , 	41 , 	55 , 	13 , 	10 , 	11 , 	4 , 	6 , 	13 , 	38 , 	343 , 	262 , 	490 , 	274 , 	187 , 	132 , 	45 , 	48 , 	45 , 	3 , 	71 , 	87 , 	2 , 	5 , 	3 , 	11 , 	26 , 	10 , 	39 , 	17 , 	36 , 	-   , 	-   , 	1 , 	7 ," 	3,196 ",,,,,,,,,,
FV, 	56 , 	72 , 	40 , 	40 , 	206 , 	65 , 	82 , 	85 , 	75 , 	63 , 	24 , 	164 , 	120 , 	153 , 	95 , 	49 , 	34 , 	53 , 	26 , 	15 , 	17 , 	10 , 	10 , 	32 , 	69 , 	384 , 	292 , 	636 , 	349 , 	198 , 	185 , 	41 , 	49 , 	46 , 	8 , 	38 , 	75 , 	6 , 	16 , 	6 , 	16 , 	52 , 	16 , 	45 , 	11 , 	46 , 	-   , 	-   , 	5 , 	14 ," 	4,184 ",,,,,,,,,,
CL, 	49 , 	82 , 	26 , 	25 , 	110 , 	38 , 	66 , 	79 , 	106 , 	76 , 	141 , 	25 , 	111 , 	126 , 	93 , 	60 , 	73 , 	80 , 	33 , 	30 , 	23 , 	10 , 	14 , 	18 , 	57 , 	234 , 	153 , 	331 , 	174 , 	81 , 	89 , 	42 , 	53 , 	80 , 	10 , 	46 , 	107 , 	10 , 	35 , 	11 , 	16 , 	32 , 	24 , 	50 , 	25 , 	83 , 	-   , 	-   , 	12 , 	25 ," 	3,269 ",,,,,,,,,,
SL, 	21 , 	29 , 	16 , 	15 , 	117 , 	22 , 	46 , 	66 , 	86 , 	161 , 	128 , 	125 , 	9 , 	93 , 	66 , 	38 , 	41 , 	38 , 	10 , 	12 , 	13 , 	2 , 	3 , 	15 , 	35 , 	266 , 	184 , 	399 , 	178 , 	64 , 	56 , 	28 , 	34 , 	33 , 	6 , 	23 , 	35 , 	2 , 	12 , 	8 , 	10 , 	30 , 	6 , 	37 , 	6 , 	27 , 	-   , 	-   , 	2 , 	8 ," 	2,655 ",,,,,,,,,,
