Exit stations,Entry stations->,,SUNDAY,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	7 , 	28 , 	38 , 	21 , 	112 , 	33 , 	37 , 	26 , 	35 , 	19 , 	70 , 	43 , 	11 , 	10 , 	11 , 	5 , 	6 , 	3 , 	7 , 	3 , 	8 , 	2 , 	3 , 	11 , 	10 , 	69 , 	54 , 	190 , 	69 , 	47 , 	56 , 	13 , 	14 , 	18 , 	5 , 	4 , 	4 , 	2 , 	7 , 	4 , 	7 , 	33 , 	7 , 	2 , 	13 , 	7 , 	-   , 	-   , 	3 , 	9 ," 	1,188 ",,,,,,,,,,,
EN, 	31 , 	15 , 	33 , 	31 , 	196 , 	51 , 	64 , 	51 , 	58 , 	35 , 	107 , 	134 , 	15 , 	15 , 	16 , 	9 , 	10 , 	14 , 	15 , 	7 , 	13 , 	3 , 	2 , 	10 , 	17 , 	138 , 	106 , 	327 , 	113 , 	54 , 	56 , 	17 , 	31 , 	30 , 	12 , 	3 , 	7 , 	2 , 	6 , 	7 , 	9 , 	98 , 	13 , 	4 , 	40 , 	26 , 	-   , 	-   , 	4 , 	6 ," 	2,055 ",,,,,,,,,,,
EP, 	41 , 	34 , 	7 , 	26 , 	195 , 	36 , 	33 , 	47 , 	46 , 	25 , 	46 , 	64 , 	11 , 	10 , 	9 , 	3 , 	6 , 	10 , 	10 , 	6 , 	9 , 	5 , 	2 , 	10 , 	6 , 	94 , 	63 , 	183 , 	86 , 	39 , 	22 , 	16 , 	7 , 	10 , 	6 , 	3 , 	6 , 	0 , 	3 , 	2 , 	3 , 	61 , 	15 , 	2 , 	35 , 	14 , 	-   , 	-   , 	2 , 	1 ," 	1,367 ",,,,,,,,,,,
NB, 	33 , 	31 , 	26 , 	16 , 	57 , 	20 , 	27 , 	56 , 	45 , 	14 , 	56 , 	51 , 	11 , 	9 , 	10 , 	5 , 	8 , 	9 , 	7 , 	6 , 	14 , 	3 , 	2 , 	5 , 	9 , 	109 , 	85 , 	159 , 	125 , 	62 , 	40 , 	19 , 	12 , 	8 , 	4 , 	1 , 	5 , 	1 , 	3 , 	1 , 	6 , 	93 , 	11 , 	2 , 	44 , 	14 , 	-   , 	-   , 	3 , 	2 ," 	1,331 ",,,,,,,,,,,
BK, 	134 , 	195 , 	191 , 	65 , 	47 , 	110 , 	112 , 	123 , 	130 , 	62 , 	149 , 	92 , 	43 , 	37 , 	39 , 	20 , 	40 , 	81 , 	22 , 	29 , 	33 , 	21 , 	15 , 	14 , 	36 , 	268 , 	210 , 	411 , 	217 , 	135 , 	101 , 	52 , 	30 , 	38 , 	10 , 	10 , 	46 , 	6 , 	11 , 	12 , 	11 , 	284 , 	69 , 	19 , 	184 , 	181 , 	-   , 	-   , 	3 , 	13 ," 	4,155 ",,,,,,,,,,,
AS, 	35 , 	48 , 	36 , 	26 , 	104 , 	15 , 	36 , 	59 , 	50 , 	24 , 	75 , 	55 , 	14 , 	14 , 	15 , 	6 , 	7 , 	14 , 	6 , 	5 , 	11 , 	5 , 	2 , 	7 , 	14 , 	114 , 	81 , 	159 , 	99 , 	72 , 	56 , 	19 , 	12 , 	13 , 	1 , 	4 , 	8 , 	2 , 	4 , 	4 , 	2 , 	85 , 	11 , 	6 , 	39 , 	22 , 	-   , 	-   , 	2 , 	4 ," 	1,494 ",,,,,,,,,,,
MA, 	40 , 	61 , 	30 , 	31 , 	97 , 	36 , 	18 , 	40 , 	46 , 	24 , 	105 , 	109 , 	26 , 	28 , 	20 , 	15 , 	16 , 	20 , 	27 , 	18 , 	33 , 	12 , 	8 , 	26 , 	18 , 	166 , 	140 , 	274 , 	171 , 	125 , 	91 , 	19 , 	17 , 	23 , 	6 , 	5 , 	10 , 	7 , 	20 , 	2 , 	10 , 	120 , 	19 , 	3 , 	36 , 	21 , 	-   , 	-   , 	7 , 	17 ," 	2,206 ",,,,,,,,,,,
19, 	24 , 	50 , 	48 , 	54 , 	114 , 	59 , 	38 , 	21 , 	8 , 	14 , 	75 , 	85 , 	41 , 	30 , 	24 , 	16 , 	17 , 	21 , 	30 , 	29 , 	36 , 	21 , 	17 , 	50 , 	24 , 	184 , 	140 , 	297 , 	195 , 	131 , 	98 , 	34 , 	26 , 	29 , 	7 , 	5 , 	14 , 	6 , 	15 , 	5 , 	7 , 	106 , 	23 , 	8 , 	34 , 	30 , 	-   , 	-   , 	6 , 	9 ," 	2,347 ",,,,,,,,,,,
12, 	30 , 	51 , 	34 , 	37 , 	120 , 	45 , 	43 , 	7 , 	21 , 	9 , 	73 , 	117 , 	42 , 	49 , 	30 , 	15 , 	22 , 	24 , 	34 , 	31 , 	30 , 	15 , 	13 , 	35 , 	26 , 	189 , 	155 , 	345 , 	175 , 	92 , 	74 , 	29 , 	34 , 	33 , 	15 , 	5 , 	9 , 	6 , 	19 , 	8 , 	14 , 	120 , 	26 , 	4 , 	24 , 	21 , 	-   , 	-   , 	4 , 	17 ," 	2,366 ",,,,,,,,,,,
LM, 	26 , 	33 , 	27 , 	17 , 	57 , 	25 , 	26 , 	10 , 	10 , 	12 , 	190 , 	163 , 	86 , 	102 , 	31 , 	25 , 	38 , 	31 , 	12 , 	5 , 	6 , 	5 , 	5 , 	9 , 	16 , 	170 , 	164 , 	353 , 	164 , 	115 , 	86 , 	31 , 	26 , 	28 , 	4 , 	41 , 	62 , 	3 , 	5 , 	3 , 	7 , 	40 , 	5 , 	32 , 	26 , 	38 , 	-   , 	-   , 	0 , 	3 ," 	2,369 ",,,,,,,,,,,
