Exit stations,Entry stations->,,TOTAL,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	396 ," 	2,381 "," 	2,049 "," 	1,553 "," 	9,065 "," 	2,169 "," 	2,922 "," 	3,496 "," 	4,071 ", 	941 ," 	2,110 "," 	1,599 ", 	769 , 	617 , 	785 , 	426 , 	350 , 	556 , 	423 , 	351 , 	529 , 	133 , 	138 , 	606 , 	645 ," 	9,074 "," 	9,051 "," 	10,998 "," 	8,028 "," 	3,963 "," 	4,154 "," 	1,058 "," 	1,543 "," 	2,046 ", 	402 , 	146 , 	324 , 	92 , 	449 , 	257 , 	468 ," 	1,387 ", 	595 , 	113 , 	366 , 	405 , 	-   , 	-   , 	232 , 	360 ," 	94,591 ",,,,,,,,,,,,,
EN," 	2,451 ", 	589 ," 	1,872 "," 	2,009 "," 	17,892 "," 	3,028 "," 	5,567 "," 	9,373 "," 	11,743 "," 	2,295 "," 	2,855 "," 	3,267 "," 	1,360 ", 	972 ," 	1,629 ", 	551 , 	811 , 	952 , 	708 , 	439 , 	739 , 	232 , 	252 , 	747 , 	975 ," 	20,326 "," 	21,303 "," 	21,459 "," 	15,872 "," 	6,191 "," 	4,887 "," 	1,901 "," 	2,661 "," 	3,176 ", 	738 , 	182 , 	598 , 	129 , 	370 , 	823 , 	911 ," 	3,404 "," 	1,425 ", 	324 ," 	1,189 "," 	1,189 ", 	-   , 	-   , 	139 , 	265 ," 	182,770 ",,,,,,,,,,,,,
EP," 	2,110 "," 	1,769 ", 	348 ," 	1,263 "," 	14,954 "," 	1,778 "," 	2,717 "," 	6,329 "," 	6,944 "," 	1,637 "," 	1,205 "," 	1,367 ", 	670 , 	442 , 	587 , 	216 , 	384 , 	656 , 	463 , 	388 , 	604 , 	244 , 	117 , 	654 , 	329 ," 	12,796 "," 	13,749 "," 	10,826 "," 	9,480 "," 	3,075 "," 	1,674 ", 	744 , 	795 ," 	1,145 ", 	194 , 	70 , 	329 , 	99 , 	216 , 	185 , 	233 ," 	2,089 ", 	689 , 	174 , 	973 , 	559 , 	-   , 	-   , 	86 , 	111 ," 	108,466 ",,,,,,,,,,,,,
NB," 	1,638 "," 	1,929 "," 	1,220 ", 	430 ," 	4,578 "," 	1,254 "," 	1,855 "," 	5,556 "," 	5,223 "," 	1,178 "," 	1,695 "," 	1,210 ", 	674 , 	431 , 	685 , 	213 , 	458 , 	529 , 	406 , 	492 , 	518 , 	164 , 	183 , 	392 , 	273 ," 	13,607 "," 	14,475 "," 	9,017 "," 	9,864 "," 	3,686 "," 	2,416 ", 	762 , 	811 , 	852 , 	156 , 	145 , 	315 , 	103 , 	227 , 	109 , 	222 ," 	2,639 ", 	842 , 	134 ," 	1,079 ", 	608 , 	-   , 	-   , 	112 , 	130 ," 	95,495 ",,,,,,,,,,,,,
BK," 	9,922 "," 	18,883 "," 	15,208 "," 	4,867 "," 	1,211 "," 	7,765 "," 	7,634 "," 	11,644 "," 	11,088 "," 	5,146 "," 	6,732 "," 	3,897 "," 	4,121 "," 	2,925 "," 	2,907 "," 	1,742 "," 	3,431 "," 	3,772 "," 	2,271 "," 	3,414 "," 	2,741 "," 	1,518 "," 	1,094 ", 	852 ," 	1,756 "," 	20,830 "," 	19,904 "," 	18,281 "," 	15,639 "," 	7,335 "," 	5,621 "," 	2,949 "," 	2,607 "," 	2,728 ", 	784 ," 	1,135 "," 	2,782 ", 	778 ," 	1,519 ", 	806 , 	928 ," 	5,490 "," 	3,424 "," 	1,147 "," 	2,847 "," 	4,228 ", 	-   , 	-   , 	574 ," 	1,150 "," 	260,027 ",,,,,,,,,,,,,
AS," 	2,439 "," 	2,826 "," 	1,845 "," 	1,290 "," 	7,034 ", 	446 ," 	1,897 "," 	5,634 "," 	5,289 "," 	1,376 "," 	2,454 "," 	1,769 "," 	1,120 ", 	751 , 	814 , 	421 , 	714 , 	687 , 	545 , 	545 , 	546 , 	222 , 	140 , 	246 , 	584 ," 	14,987 "," 	15,581 "," 	10,384 "," 	10,657 "," 	5,045 "," 	3,031 ", 	752 , 	945 , 	851 , 	200 , 	194 , 	477 , 	148 , 	331 , 	161 , 	253 ," 	1,890 ", 	749 , 	280 , 	878 , 	859 , 	-   , 	-   , 	105 , 	223 ," 	110,615 ",,,,,,,,,,,,,
MA," 	3,326 "," 	5,452 "," 	2,497 "," 	1,825 "," 	7,162 "," 	2,089 ", 	961 ," 	4,158 "," 	4,832 "," 	1,394 "," 	3,972 "," 	3,518 "," 	2,479 "," 	2,121 "," 	2,016 "," 	1,155 "," 	1,531 "," 	2,058 "," 	3,252 "," 	3,765 "," 	3,160 "," 	1,220 ", 	842 ," 	1,271 "," 	1,159 "," 	22,574 "," 	24,257 "," 	18,508 "," 	17,607 "," 	8,348 "," 	5,420 "," 	1,839 "," 	2,004 "," 	1,713 ", 	483 , 	496 ," 	1,476 "," 	1,066 "," 	2,997 ", 	699 , 	790 ," 	3,388 "," 	1,413 ", 	555 , 	870 ," 	1,363 ", 	-   , 	-   ," 	1,077 "," 	2,628 "," 	188,786 ",,,,,,,,,,,,,
19," 	3,775 "," 	9,582 "," 	6,425 "," 	5,812 "," 	10,635 "," 	5,632 "," 	3,976 ", 	909 ," 	1,223 ", 	835 ," 	4,324 "," 	4,044 "," 	5,052 "," 	4,665 "," 	4,158 "," 	3,018 "," 	4,334 "," 	5,368 "," 	6,096 "," 	8,027 "," 	6,702 "," 	3,711 "," 	2,510 "," 	3,723 "," 	1,377 "," 	29,148 "," 	31,641 "," 	20,785 "," 	21,137 "," 	10,135 "," 	7,183 "," 	3,430 "," 	2,953 "," 	2,813 "," 	1,459 "," 	1,435 "," 	4,435 "," 	2,688 "," 	3,665 "," 	1,386 "," 	1,425 "," 	2,972 "," 	2,947 "," 	2,279 "," 	1,024 "," 	3,866 ", 	-   , 	-   ," 	1,290 "," 	2,756 "," 	278,765 ",,,,,,,,,,,,,
12," 	4,515 "," 	12,103 "," 	6,787 "," 	5,348 "," 	9,436 "," 	5,045 "," 	4,616 ", 	946 , 	949 , 	797 ," 	4,592 "," 	5,886 "," 	7,564 "," 	6,619 "," 	6,018 "," 	3,475 "," 	5,035 "," 	5,580 "," 	6,629 "," 	8,881 "," 	6,284 "," 	2,900 "," 	2,650 "," 	3,280 "," 	1,974 "," 	26,643 "," 	26,413 "," 	21,449 "," 	19,447 "," 	7,498 "," 	6,715 "," 	4,034 "," 	4,266 "," 	4,725 "," 	2,649 "," 	2,388 "," 	4,971 "," 	2,861 "," 	4,715 "," 	1,879 "," 	1,939 "," 	3,872 "," 	3,306 "," 	2,555 "," 	1,192 "," 	3,675 ", 	-   , 	-   ," 	1,283 "," 	3,851 "," 	290,235 ",,,,,,,,,,,,,
LM, 	862 ," 	2,088 "," 	1,576 "," 	1,239 "," 	4,785 "," 	1,420 "," 	1,373 ", 	909 , 	814 , 	422 ," 	4,108 "," 	6,001 "," 	7,144 "," 	6,038 "," 	3,423 "," 	1,759 "," 	2,730 "," 	2,513 ", 	898 , 	587 , 	533 , 	201 , 	167 , 	619 , 	825 ," 	19,974 "," 	22,033 "," 	18,008 "," 	13,948 "," 	6,278 "," 	3,812 "," 	1,615 "," 	1,920 "," 	2,495 ", 	181 ," 	2,697 "," 	4,506 ", 	189 , 	536 , 	335 , 	390 ," 	1,140 ", 	457 ," 	2,026 ", 	695 ," 	2,408 ", 	-   , 	-   , 	174 , 	463 ," 	159,314 ",,,,,,,,,,,,,
