Exit stations,Entry stations->,,WEEKDAY,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	16 , 	102 , 	83 , 	67 , 	397 , 	92 , 	127 , 	160 , 	189 , 	41 , 	79 , 	62 , 	31 , 	25 , 	34 , 	18 , 	14 , 	24 , 	17 , 	16 , 	22 , 	6 , 	5 , 	24 , 	28 , 	412 , 	418 , 	438 , 	363 , 	170 , 	176 , 	45 , 	66 , 	96 , 	17 , 	6 , 	14 , 	4 , 	18 , 	11 , 	19 , 	52 , 	25 , 	5 , 	13 , 	16 , 	-   , 	-   , 	10 , 	15 ," 	4,090 ",,,,,,,,,,,,,
EN, 	107 , 	22 , 	77 , 	86 , 	789 , 	128 , 	246 , 	445 , 	560 , 	104 , 	106 , 	115 , 	58 , 	39 , 	73 , 	23 , 	34 , 	41 , 	27 , 	19 , 	30 , 	10 , 	11 , 	31 , 	40 , 	927 , 	997 , 	852 , 	739 , 	278 , 	212 , 	84 , 	119 , 	149 , 	29 , 	8 , 	26 , 	6 , 	14 , 	37 , 	40 , 	123 , 	65 , 	15 , 	41 , 	49 , 	-   , 	-   , 	5 , 	10 ," 	8,042 ",,,,,,,,,,,,,
EP, 	83 , 	73 , 	13 , 	50 , 	648 , 	73 , 	118 , 	295 , 	323 , 	74 , 	43 , 	47 , 	28 , 	17 , 	26 , 	9 , 	16 , 	27 , 	18 , 	17 , 	26 , 	10 , 	5 , 	28 , 	13 , 	584 , 	649 , 	417 , 	437 , 	133 , 	69 , 	28 , 	36 , 	53 , 	7 , 	2 , 	12 , 	5 , 	9 , 	8 , 	11 , 	73 , 	28 , 	7 , 	33 , 	22 , 	-   , 	-   , 	4 , 	4 ," 	4,712 ",,,,,,,,,,,,,
NB, 	68 , 	81 , 	49 , 	16 , 	192 , 	53 , 	79 , 	255 , 	242 , 	53 , 	66 , 	44 , 	28 , 	18 , 	29 , 	8 , 	18 , 	21 , 	18 , 	21 , 	19 , 	7 , 	7 , 	17 , 	10 , 	617 , 	674 , 	353 , 	436 , 	155 , 	97 , 	28 , 	36 , 	38 , 	6 , 	6 , 	13 , 	4 , 	10 , 	5 , 	9 , 	88 , 	36 , 	6 , 	36 , 	23 , 	-   , 	-   , 	5 , 	5 ," 	4,103 ",,,,,,,,,,,,,
BK, 	431 , 	839 , 	660 , 	201 , 	41 , 	332 , 	325 , 	523 , 	493 , 	231 , 	279 , 	157 , 	185 , 	126 , 	127 , 	77 , 	151 , 	153 , 	101 , 	155 , 	118 , 	61 , 	44 , 	35 , 	70 , 	896 , 	891 , 	656 , 	676 , 	299 , 	233 , 	125 , 	115 , 	115 , 	33 , 	51 , 	110 , 	36 , 	70 , 	35 , 	40 , 	166 , 	135 , 	48 , 	80 , 	135 , 	-   , 	-   , 	27 , 	50 ," 	10,942 ",,,,,,,,,,,,,
AS, 	103 , 	118 , 	76 , 	54 , 	301 , 	17 , 	78 , 	252 , 	241 , 	58 , 	94 , 	67 , 	48 , 	31 , 	34 , 	17 , 	33 , 	28 , 	24 , 	24 , 	21 , 	8 , 	5 , 	10 , 	22 , 	692 , 	734 , 	425 , 	485 , 	213 , 	122 , 	28 , 	41 , 	38 , 	9 , 	8 , 	19 , 	7 , 	15 , 	6 , 	12 , 	58 , 	32 , 	12 , 	28 , 	32 , 	-   , 	-   , 	5 , 	9 ," 	4,795 ",,,,,,,,,,,,,
MA, 	145 , 	239 , 	107 , 	76 , 	309 , 	85 , 	39 , 	189 , 	218 , 	61 , 	156 , 	133 , 	110 , 	91 , 	90 , 	51 , 	69 , 	92 , 	151 , 	178 , 	139 , 	55 , 	38 , 	50 , 	48 ," 	1,034 "," 	1,136 ", 	763 , 	801 , 	354 , 	225 , 	78 , 	91 , 	77 , 	21 , 	22 , 	69 , 	50 , 	138 , 	33 , 	35 , 	116 , 	62 , 	25 , 	28 , 	58 , 	-   , 	-   , 	50 , 	121 ," 	8,306 ",,,,,,,,,,,,,
19, 	176 , 	458 , 	300 , 	267 , 	475 , 	253 , 	179 , 	37 , 	56 , 	37 , 	187 , 	167 , 	232 , 	218 , 	199 , 	145 , 	208 , 	261 , 	294 , 	388 , 	317 , 	174 , 	118 , 	166 , 	56 ," 	1,364 "," 	1,508 ", 	877 , 	966 , 	439 , 	311 , 	153 , 	136 , 	128 , 	71 , 	69 , 	217 , 	133 , 	178 , 	67 , 	67 , 	99 , 	135 , 	112 , 	38 , 	178 , 	-   , 	-   , 	63 , 	133 ," 	12,812 ",,,,,,,,,,,,,
12, 	212 , 	582 , 	320 , 	248 , 	415 , 	229 , 	208 , 	42 , 	38 , 	35 , 	200 , 	247 , 	361 , 	310 , 	289 , 	170 , 	242 , 	268 , 	320 , 	435 , 	300 , 	139 , 	126 , 	149 , 	84 ," 	1,240 "," 	1,247 ", 	874 , 	892 , 	328 , 	298 , 	186 , 	198 , 	223 , 	127 , 	119 , 	244 , 	143 , 	229 , 	90 , 	91 , 	135 , 	152 , 	127 , 	48 , 	171 , 	-   , 	-   , 	64 , 	187 ," 	13,380 ",,,,,,,,,,,,,
LM, 	37 , 	93 , 	71 , 	56 , 	215 , 	60 , 	59 , 	42 , 	37 , 	16 , 	155 , 	235 , 	316 , 	254 , 	158 , 	79 , 	123 , 	111 , 	41 , 	27 , 	24 , 	8 , 	7 , 	27 , 	34 , 	911 ," 	1,017 ", 	700 , 	622 , 	262 , 	152 , 	66 , 	84 , 	113 , 	8 , 	115 , 	196 , 	9 , 	26 , 	15 , 	16 , 	41 , 	20 , 	87 , 	24 , 	102 , 	-   , 	-   , 	8 , 	23 ," 	6,900 ",,,,,,,,,,,,,
FV, 	84 , 	100 , 	48 , 	75 , 	280 , 	91 , 	155 , 	197 , 	221 , 	152 , 	31 , 	222 , 	207 , 	203 , 	198 , 	86 , 	73 , 	96 , 	47 , 	27 , 	35 , 	14 , 	19 , 	48 , 	90 , 	919 ," 	1,008 ", 	920 , 	810 , 	332 , 	221 , 	69 , 	104 , 	128 , 	9 , 	53 , 	124 , 	8 , 	28 , 	14 , 	28 , 	70 , 	31 , 	56 , 	13 , 	87 , 	-   , 	-   , 	11 , 	23 ," 	7,867 ",,,,,,,,,,,,,
CL, 	68 , 	120 , 	47 , 	42 , 	157 , 	67 , 	135 , 	186 , 	263 , 	216 , 	209 , 	22 , 	128 , 	151 , 	143 , 	77 , 	100 , 	111 , 	56 , 	42 , 	40 , 	20 , 	19 , 	33 , 	90 , 	598 , 	594 , 	567 , 	438 , 	169 , 	142 , 	72 , 	81 , 	132 , 	15 , 	44 , 	135 , 	13 , 	40 , 	22 , 	28 , 	35 , 	30 , 	69 , 	24 , 	159 , 	-   , 	-   , 	25 , 	44 ," 	6,020 ",,,,,,,,,,,,,
SL, 	33 , 	63 , 	28 , 	32 , 	182 , 	49 , 	112 , 	248 , 	365 , 	308 , 	224 , 	167 , 	21 , 	113 , 	147 , 	71 , 	85 , 	104 , 	30 , 	30 , 	26 , 	6 , 	10 , 	24 , 	45 , 	748 , 	849 , 	610 , 	525 , 	167 , 	93 , 	50 , 	78 , 	102 , 	10 , 	38 , 	109 , 	9 , 	16 , 	14 , 	14 , 	55 , 	13 , 	48 , 	7 , 	90 , 	-   , 	-   , 	9 , 	13 ," 	6,188 ",,,,,,,,,,,,,
BF, 	26 , 	40 , 	14 , 	18 , 	123 , 	32 , 	88 , 	220 , 	306 , 	237 , 	195 , 	158 , 	101 , 	18 , 	106 , 	61 , 	80 , 	129 , 	22 , 	10 , 	11 , 	3 , 	2 , 	13 , 	38 , 	679 , 	696 , 	540 , 	467 , 	152 , 	82 , 	32 , 	46 , 	80 , 	13 , 	44 , 	128 , 	4 , 	10 , 	12 , 	19 , 	26 , 	11 , 	66 , 	6 , 	92 , 	-   , 	-   , 	4 , 	7 ," 	5,273 ",,,,,,,,,,,,,
HY, 	37 , 	72 , 	28 , 	32 , 	122 , 	36 , 	84 , 	204 , 	283 , 	149 , 	194 , 	150 , 	145 , 	101 , 	23 , 	92 , 	195 , 	227 , 	31 , 	16 , 	17 , 	6 , 	5 , 	18 , 	31 , 	462 , 	525 , 	342 , 	296 , 	102 , 	55 , 	33 , 	36 , 	54 , 	6 , 	17 , 	74 , 	8 , 	25 , 	6 , 	12 , 	22 , 	8 , 	32 , 	11 , 	150 , 	-   , 	-   , 	9 , 	27 ," 	4,609 ",,,,,,,,,,,,,
SH, 	21 , 	23 , 	8 , 	9 , 	73 , 	18 , 	53 , 	142 , 	160 , 	72 , 	81 , 	74 , 	63 , 	58 , 	76 , 	16 , 	76 , 	97 , 	7 , 	8 , 	9 , 	3 , 	2 , 	7 , 	18 , 	401 , 	393 , 	227 , 	245 , 	79 , 	40 , 	15 , 	25 , 	54 , 	7 , 	13 , 	32 , 	2 , 	9 , 	5 , 	8 , 	17 , 	4 , 	22 , 	8 , 	98 , 	-   , 	-   , 	3 , 	5 ," 	2,884 ",,,,,,,,,,,,,
UC, 	15 , 	37 , 	17 , 	18 , 	151 , 	33 , 	63 , 	213 , 	235 , 	117 , 	84 , 	101 , 	89 , 	84 , 	180 , 	72 , 	26 , 	142 , 	14 , 	16 , 	17 , 	5 , 	4 , 	11 , 	13 , 	862 , 	753 , 	361 , 	319 , 	92 , 	37 , 	11 , 	19 , 	63 , 	6 , 	12 , 	60 , 	2 , 	11 , 	12 , 	4 , 	25 , 	3 , 	27 , 	16 , 	112 , 	-   , 	-   , 	3 , 	10 ," 	4,579 ",,,,,,,,,,,,,
FM, 	25 , 	48 , 	26 , 	22 , 	161 , 	30 , 	92 , 	263 , 	265 , 	109 , 	96 , 	116 , 	107 , 	135 , 	235 , 	120 , 	175 , 	42 , 	16 , 	20 , 	13 , 	5 , 	8 , 	16 , 	12 ," 	1,261 "," 	1,078 ", 	400 , 	333 , 	110 , 	36 , 	24 , 	31 , 	57 , 	6 , 	22 , 	56 , 	3 , 	13 , 	6 , 	10 , 	40 , 	6 , 	25 , 	22 , 	132 , 	-   , 	-   , 	5 , 	10 ," 	5,843 ",,,,,,,,,,,,,
CN, 	23 , 	25 , 	21 , 	17 , 	106 , 	26 , 	150 , 	288 , 	310 , 	37 , 	47 , 	52 , 	32 , 	21 , 	31 , 	6 , 	13 , 	16 , 	31 , 	102 , 	233 , 	87 , 	43 , 	87 , 	20 , 	810 , 	837 , 	507 , 	444 , 	139 , 	91 , 	51 , 	56 , 	95 , 	28 , 	4 , 	10 , 	42 , 	151 , 	22 , 	23 , 	144 , 	36 , 	3 , 	37 , 	20 , 	-   , 	-   , 	82 , 	97 ," 	5,552 ",,,,,,,,,,,,,
