Exit stations,Entry stations->,,TOTAL,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	486 ," 	2,703 "," 	2,110 "," 	1,620 "," 	8,789 "," 	2,308 "," 	3,034 "," 	3,832 "," 	3,981 "," 	1,104 "," 	1,968 "," 	1,420 ", 	928 , 	552 , 	659 , 	451 , 	443 , 	564 , 	366 , 	330 , 	628 , 	170 , 	227 , 	575 , 	628 ," 	9,789 "," 	9,266 "," 	11,849 "," 	8,022 "," 	4,275 "," 	4,545 "," 	1,215 "," 	1,589 "," 	1,272 ", 	363 , 	128 , 	369 , 	106 , 	410 , 	272 , 	468 ," 	1,513 ", 	595 , 	119 , 	383 , 	414 , 	-   , 	-   , 	184 , 	331 ," 	97,353 ",,,,,,,,,,,,,
EN," 	2,792 ", 	565 ," 	1,998 "," 	2,035 "," 	17,564 "," 	3,185 "," 	5,720 "," 	10,307 "," 	12,501 "," 	2,171 "," 	2,613 "," 	2,746 "," 	1,385 ", 	953 ," 	1,543 ", 	584 , 	861 , 	969 , 	710 , 	483 , 	705 , 	205 , 	256 , 	778 , 	938 ," 	21,184 "," 	21,903 "," 	22,313 "," 	16,940 "," 	6,735 "," 	4,876 "," 	2,070 "," 	2,599 "," 	2,339 ", 	723 , 	192 , 	615 , 	159 , 	325 , 	767 , 	822 ," 	3,202 "," 	1,560 ", 	294 ," 	1,047 "," 	1,066 ", 	-   , 	-   , 	169 , 	205 ," 	186,672 ",,,,,,,,,,,,,
EP," 	2,127 "," 	2,003 ", 	319 ," 	1,398 "," 	15,717 "," 	1,920 "," 	3,042 "," 	7,356 "," 	8,000 "," 	1,444 "," 	1,147 "," 	1,106 ", 	676 , 	466 , 	567 , 	267 , 	410 , 	703 , 	428 , 	397 , 	619 , 	264 , 	133 , 	736 , 	346 ," 	13,868 "," 	14,919 "," 	10,797 "," 	9,832 "," 	3,509 "," 	1,830 ", 	760 , 	893 , 	824 , 	185 , 	108 , 	299 , 	77 , 	171 , 	185 , 	318 ," 	1,854 ", 	712 , 	167 , 	746 , 	573 , 	-   , 	-   , 	61 , 	104 ," 	114,383 ",,,,,,,,,,,,,
NB," 	1,634 "," 	2,036 "," 	1,292 ", 	377 ," 	4,899 "," 	1,438 "," 	2,081 "," 	6,136 "," 	6,662 "," 	1,260 "," 	1,680 "," 	1,073 ", 	626 , 	473 , 	647 , 	188 , 	537 , 	520 , 	428 , 	503 , 	637 , 	155 , 	187 , 	483 , 	342 ," 	15,093 "," 	16,233 "," 	9,887 "," 	10,890 "," 	4,213 "," 	2,547 ", 	875 , 	846 , 	624 , 	172 , 	147 , 	319 , 	114 , 	232 , 	169 , 	219 ," 	2,311 ", 	928 , 	154 , 	928 , 	597 , 	-   , 	-   , 	97 , 	154 ," 	104,043 ",,,,,,,,,,,,,
BK," 	9,712 "," 	18,533 "," 	15,608 "," 	5,118 "," 	1,034 "," 	8,236 "," 	8,215 "," 	13,123 "," 	12,139 "," 	4,822 "," 	6,445 "," 	3,574 "," 	3,820 "," 	2,863 "," 	2,683 "," 	1,721 "," 	2,983 "," 	3,396 "," 	2,251 "," 	3,452 "," 	2,743 "," 	1,471 "," 	1,135 "," 	1,075 "," 	1,797 "," 	21,272 "," 	20,650 "," 	17,275 "," 	16,027 "," 	7,641 "," 	5,720 "," 	3,394 "," 	2,449 "," 	2,387 ", 	676 ," 	1,036 "," 	2,468 ", 	791 ," 	1,599 ", 	827 , 	873 ," 	5,798 "," 	3,006 ", 	990 ," 	2,259 "," 	3,354 ", 	-   , 	-   , 	628 ," 	1,001 "," 	260,070 ",,,,,,,,,,,,,
AS," 	2,472 "," 	2,994 "," 	1,974 "," 	1,524 "," 	7,619 ", 	481 ," 	2,005 "," 	6,348 "," 	6,338 "," 	1,377 "," 	2,298 "," 	1,655 "," 	1,096 ", 	816 , 	761 , 	449 , 	799 , 	624 , 	568 , 	555 , 	546 , 	253 , 	166 , 	285 , 	582 ," 	16,345 "," 	17,677 "," 	11,193 "," 	11,851 "," 	5,670 "," 	3,123 ", 	891 ," 	1,011 ", 	764 , 	239 , 	191 , 	445 , 	153 , 	287 , 	194 , 	390 ," 	1,727 ", 	766 , 	252 , 	702 , 	867 , 	-   , 	-   , 	111 , 	242 ," 	119,676 ",,,,,,,,,,,,,
MA," 	3,297 "," 	5,662 "," 	2,602 "," 	1,986 "," 	7,818 "," 	2,254 ", 	991 ," 	5,192 "," 	5,418 "," 	1,446 "," 	3,779 "," 	3,178 "," 	2,632 "," 	2,107 "," 	2,142 "," 	1,229 "," 	1,568 "," 	1,964 "," 	3,336 "," 	3,892 "," 	3,437 "," 	1,424 ", 	951 ," 	1,471 "," 	1,089 "," 	25,002 "," 	27,118 "," 	19,907 "," 	19,276 "," 	9,482 "," 	5,422 "," 	1,903 "," 	2,058 "," 	1,497 ", 	530 , 	575 ," 	1,757 "," 	1,078 "," 	3,200 ", 	626 , 	750 ," 	2,784 "," 	1,402 ", 	592 , 	736 ," 	1,526 ", 	-   , 	-   ," 	1,091 "," 	2,728 "," 	201,905 ",,,,,,,,,,,,,
19," 	4,166 "," 	10,836 "," 	7,303 "," 	6,522 "," 	11,690 "," 	6,502 "," 	5,013 ", 	872 ," 	1,349 ", 	951 ," 	4,403 "," 	3,693 "," 	5,339 "," 	5,092 "," 	4,838 "," 	3,204 "," 	4,606 "," 	5,777 "," 	6,607 "," 	8,924 "," 	7,302 "," 	3,842 "," 	2,761 "," 	4,297 "," 	1,490 "," 	32,187 "," 	35,107 "," 	22,157 "," 	23,238 "," 	11,348 "," 	7,750 "," 	3,840 "," 	3,242 "," 	2,978 "," 	1,744 "," 	1,664 "," 	5,101 "," 	2,877 "," 	3,939 "," 	1,543 "," 	1,639 "," 	2,599 "," 	3,070 "," 	2,601 ", 	891 ," 	4,257 ", 	-   , 	-   ," 	1,310 "," 	2,909 "," 	305,370 ",,,,,,,,,,,,,
12," 	4,367 "," 	12,713 "," 	7,658 "," 	6,336 "," 	9,818 "," 	5,881 "," 	5,265 "," 	1,134 ", 	950 , 	857 ," 	4,877 "," 	5,738 "," 	8,123 "," 	7,131 "," 	6,615 "," 	3,882 "," 	5,707 "," 	6,181 "," 	7,035 "," 	9,820 "," 	7,001 "," 	3,276 "," 	2,911 "," 	4,246 "," 	2,253 "," 	30,340 "," 	30,129 "," 	23,384 "," 	21,985 "," 	8,386 "," 	7,802 "," 	4,643 "," 	4,641 "," 	5,005 "," 	2,858 "," 	2,776 "," 	5,917 "," 	3,160 "," 	5,202 "," 	2,158 "," 	2,138 "," 	3,375 "," 	3,751 "," 	2,998 "," 	1,185 "," 	4,216 ", 	-   , 	-   ," 	1,109 "," 	3,793 "," 	320,726 ",,,,,,,,,,,,,
LM, 	977 ," 	2,195 "," 	1,637 "," 	1,659 "," 	4,755 "," 	1,600 "," 	1,708 ", 	941 , 	889 , 	473 ," 	3,711 "," 	4,964 "," 	7,178 "," 	5,893 "," 	3,389 "," 	1,853 "," 	2,858 "," 	2,508 ", 	918 , 	579 , 	622 , 	220 , 	260 , 	914 , 	889 ," 	22,347 "," 	24,597 "," 	18,699 "," 	15,225 "," 	7,128 "," 	4,182 "," 	1,633 "," 	2,058 "," 	1,711 ", 	147 ," 	2,951 "," 	4,501 ", 	163 , 	524 , 	261 , 	347 , 	950 , 	507 ," 	2,120 ", 	598 ," 	2,245 ", 	-   , 	-   , 	195 , 	433 ," 	167,112 ",,,,,,,,,,,,,
