Exit stations,Entry stations->,,WEEKDAY,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	18 , 	110 , 	82 , 	66 , 	355 , 	94 , 	125 , 	163 , 	169 , 	45 , 	75 , 	55 , 	37 , 	21 , 	26 , 	18 , 	18 , 	23 , 	14 , 	14 , 	25 , 	7 , 	9 , 	21 , 	25 , 	424 , 	401 , 	455 , 	341 , 	176 , 	179 , 	50 , 	63 , 	52 , 	15 , 	5 , 	15 , 	4 , 	16 , 	11 , 	18 , 	55 , 	24 , 	5 , 	14 , 	16 , 	-   , 	-   , 	8 , 	13 ," 	3,973 ",,,,,,,,,,,,,
EN, 	114 , 	22 , 	77 , 	84 , 	716 , 	125 , 	238 , 	449 , 	544 , 	92 , 	100 , 	107 , 	56 , 	36 , 	63 , 	23 , 	35 , 	39 , 	27 , 	20 , 	28 , 	8 , 	11 , 	30 , 	36 , 	915 , 	967 , 	867 , 	739 , 	285 , 	199 , 	87 , 	108 , 	98 , 	27 , 	8 , 	25 , 	7 , 	11 , 	31 , 	34 , 	113 , 	67 , 	12 , 	35 , 	39 , 	-   , 	-   , 	6 , 	7 ," 	7,766 ",,,,,,,,,,,,,
EP, 	80 , 	78 , 	11 , 	53 , 	627 , 	73 , 	125 , 	310 , 	329 , 	56 , 	42 , 	44 , 	27 , 	17 , 	24 , 	10 , 	16 , 	28 , 	17 , 	16 , 	23 , 	10 , 	4 , 	27 , 	13 , 	598 , 	660 , 	414 , 	423 , 	144 , 	67 , 	27 , 	37 , 	33 , 	6 , 	4 , 	11 , 	3 , 	6 , 	8 , 	13 , 	65 , 	29 , 	7 , 	24 , 	21 , 	-   , 	-   , 	2 , 	3 ," 	4,664 ",,,,,,,,,,,,,
NB, 	65 , 	83 , 	49 , 	13 , 	195 , 	58 , 	82 , 	249 , 	258 , 	48 , 	64 , 	43 , 	22 , 	19 , 	26 , 	7 , 	21 , 	20 , 	18 , 	21 , 	24 , 	6 , 	7 , 	19 , 	12 , 	641 , 	715 , 	382 , 	456 , 	162 , 	91 , 	32 , 	34 , 	24 , 	6 , 	6 , 	12 , 	5 , 	10 , 	7 , 	8 , 	79 , 	38 , 	6 , 	30 , 	22 , 	-   , 	-   , 	4 , 	6 ," 	4,205 ",,,,,,,,,,,,,
BK, 	390 , 	762 , 	627 , 	203 , 	33 , 	329 , 	328 , 	522 , 	481 , 	194 , 	255 , 	146 , 	159 , 	116 , 	110 , 	72 , 	123 , 	133 , 	92 , 	148 , 	113 , 	60 , 	45 , 	41 , 	67 , 	859 , 	866 , 	610 , 	643 , 	291 , 	218 , 	136 , 	99 , 	94 , 	28 , 	42 , 	100 , 	34 , 	70 , 	35 , 	36 , 	171 , 	118 , 	40 , 	64 , 	116 , 	-   , 	-   , 	27 , 	42 ," 	10,290 ",,,,,,,,,,,,,
AS, 	101 , 	116 , 	77 , 	63 , 	306 , 	17 , 	76 , 	254 , 	251 , 	53 , 	86 , 	66 , 	45 , 	32 , 	30 , 	18 , 	33 , 	25 , 	23 , 	23 , 	22 , 	10 , 	7 , 	10 , 	22 , 	708 , 	787 , 	446 , 	500 , 	227 , 	114 , 	32 , 	42 , 	31 , 	10 , 	7 , 	18 , 	7 , 	12 , 	8 , 	16 , 	59 , 	31 , 	11 , 	24 , 	32 , 	-   , 	-   , 	5 , 	9 ," 	4,902 ",,,,,,,,,,,,,
MA, 	135 , 	235 , 	105 , 	77 , 	313 , 	85 , 	37 , 	208 , 	213 , 	56 , 	147 , 	129 , 	110 , 	88 , 	90 , 	51 , 	69 , 	84 , 	145 , 	173 , 	145 , 	60 , 	39 , 	57 , 	41 ," 	1,082 "," 	1,201 ", 	785 , 	808 , 	378 , 	204 , 	79 , 	86 , 	62 , 	22 , 	25 , 	78 , 	47 , 	141 , 	28 , 	31 , 	95 , 	58 , 	25 , 	24 , 	63 , 	-   , 	-   , 	46 , 	119 ," 	8,381 ",,,,,,,,,,,,,
19, 	176 , 	470 , 	308 , 	266 , 	459 , 	262 , 	204 , 	32 , 	57 , 	37 , 	177 , 	155 , 	226 , 	220 , 	212 , 	144 , 	204 , 	256 , 	296 , 	400 , 	318 , 	163 , 	116 , 	157 , 	56 ," 	1,409 "," 	1,568 ", 	889 , 	977 , 	454 , 	300 , 	160 , 	140 , 	124 , 	77 , 	73 , 	227 , 	131 , 	177 , 	68 , 	72 , 	88 , 	131 , 	117 , 	34 , 	181 , 	-   , 	-   , 	59 , 	129 ," 	12,958 ",,,,,,,,,,,,,
12, 	188 , 	559 , 	320 , 	261 , 	397 , 	239 , 	210 , 	49 , 	35 , 	35 , 	195 , 	239 , 	348 , 	307 , 	289 , 	172 , 	250 , 	272 , 	315 , 	443 , 	309 , 	144 , 	124 , 	163 , 	87 ," 	1,316 "," 	1,325 ", 	911 , 	926 , 	337 , 	312 , 	196 , 	194 , 	214 , 	127 , 	126 , 	269 , 	145 , 	233 , 	96 , 	93 , 	117 , 	160 , 	138 , 	47 , 	177 , 	-   , 	-   , 	50 , 	171 ," 	13,629 ",,,,,,,,,,,,,
LM, 	38 , 	86 , 	53 , 	47 , 	190 , 	52 , 	57 , 	38 , 	33 , 	17 , 	127 , 	202 , 	278 , 	227 , 	140 , 	77 , 	116 , 	99 , 	38 , 	23 , 	24 , 	6 , 	7 , 	27 , 	31 , 	957 ," 	1,076 ", 	701 , 	630 , 	274 , 	150 , 	63 , 	81 , 	69 , 	6 , 	109 , 	179 , 	7 , 	22 , 	12 , 	14 , 	33 , 	21 , 	84 , 	18 , 	89 , 	-   , 	-   , 	8 , 	18 ," 	6,653 ",,,,,,,,,,,,,
FV, 	79 , 	97 , 	42 , 	68 , 	256 , 	84 , 	151 , 	189 , 	219 , 	130 , 	27 , 	205 , 	197 , 	189 , 	172 , 	86 , 	71 , 	87 , 	43 , 	23 , 	36 , 	16 , 	20 , 	46 , 	86 , 	943 , 	979 , 	877 , 	795 , 	343 , 	211 , 	73 , 	89 , 	79 , 	9 , 	47 , 	114 , 	7 , 	28 , 	15 , 	26 , 	64 , 	27 , 	53 , 	11 , 	75 , 	-   , 	-   , 	10 , 	20 ," 	7,516 ",,,,,,,,,,,,,
CL, 	62 , 	111 , 	43 , 	40 , 	137 , 	67 , 	131 , 	174 , 	256 , 	171 , 	195 , 	23 , 	114 , 	130 , 	127 , 	71 , 	77 , 	95 , 	52 , 	42 , 	42 , 	20 , 	19 , 	34 , 	86 , 	613 , 	588 , 	541 , 	410 , 	152 , 	131 , 	76 , 	68 , 	88 , 	15 , 	44 , 	138 , 	12 , 	39 , 	17 , 	28 , 	34 , 	29 , 	65 , 	20 , 	118 , 	-   , 	-   , 	21 , 	35 ," 	5,598 ",,,,,,,,,,,,,
SL, 	36 , 	59 , 	25 , 	25 , 	163 , 	47 , 	112 , 	232 , 	352 , 	282 , 	205 , 	125 , 	17 , 	113 , 	128 , 	63 , 	85 , 	101 , 	31 , 	27 , 	23 , 	6 , 	9 , 	22 , 	39 , 	763 , 	838 , 	623 , 	514 , 	172 , 	96 , 	46 , 	76 , 	66 , 	9 , 	40 , 	103 , 	10 , 	15 , 	14 , 	14 , 	48 , 	9 , 	50 , 	9 , 	74 , 	-   , 	-   , 	8 , 	12 ," 	5,931 ",,,,,,,,,,,,,
BF, 	21 , 	37 , 	15 , 	20 , 	120 , 	28 , 	91 , 	222 , 	302 , 	214 , 	178 , 	134 , 	102 , 	17 , 	88 , 	57 , 	78 , 	130 , 	22 , 	10 , 	8 , 	4 , 	2 , 	10 , 	32 , 	688 , 	704 , 	544 , 	457 , 	145 , 	87 , 	34 , 	50 , 	47 , 	12 , 	42 , 	128 , 	3 , 	8 , 	11 , 	15 , 	25 , 	10 , 	63 , 	6 , 	80 , 	-   , 	-   , 	5 , 	6 ," 	5,111 ",,,,,,,,,,,,,
HY, 	29 , 	61 , 	25 , 	28 , 	102 , 	34 , 	90 , 	211 , 	278 , 	133 , 	177 , 	130 , 	136 , 	87 , 	17 , 	89 , 	180 , 	205 , 	25 , 	16 , 	15 , 	6 , 	5 , 	16 , 	29 , 	500 , 	520 , 	341 , 	288 , 	101 , 	57 , 	32 , 	34 , 	34 , 	5 , 	17 , 	70 , 	9 , 	24 , 	4 , 	10 , 	25 , 	6 , 	30 , 	9 , 	108 , 	-   , 	-   , 	8 , 	23 ," 	4,380 ",,,,,,,,,,,,,
SH, 	20 , 	23 , 	8 , 	8 , 	64 , 	17 , 	50 , 	145 , 	158 , 	71 , 	78 , 	68 , 	59 , 	58 , 	79 , 	12 , 	69 , 	90 , 	8 , 	8 , 	11 , 	2 , 	2 , 	6 , 	14 , 	432 , 	405 , 	230 , 	235 , 	82 , 	44 , 	17 , 	21 , 	26 , 	7 , 	13 , 	34 , 	2 , 	8 , 	5 , 	6 , 	17 , 	4 , 	25 , 	6 , 	81 , 	-   , 	-   , 	3 , 	7 ," 	2,836 ",,,,,,,,,,,,,
UC, 	18 , 	37 , 	18 , 	19 , 	121 , 	36 , 	64 , 	211 , 	240 , 	113 , 	77 , 	79 , 	91 , 	78 , 	177 , 	69 , 	23 , 	177 , 	13 , 	15 , 	14 , 	5 , 	4 , 	10 , 	15 , 	971 , 	801 , 	368 , 	319 , 	99 , 	37 , 	15 , 	18 , 	32 , 	6 , 	13 , 	58 , 	3 , 	13 , 	5 , 	5 , 	22 , 	3 , 	27 , 	16 , 	84 , 	-   , 	-   , 	5 , 	10 ," 	4,650 ",,,,,,,,,,,,,
FM, 	24 , 	44 , 	26 , 	20 , 	129 , 	29 , 	80 , 	255 , 	268 , 	99 , 	89 , 	99 , 	100 , 	139 , 	216 , 	116 , 	247 , 	36 , 	16 , 	20 , 	11 , 	7 , 	7 , 	13 , 	10 ," 	1,343 "," 	1,095 ", 	418 , 	344 , 	114 , 	35 , 	21 , 	23 , 	29 , 	5 , 	22 , 	50 , 	4 , 	11 , 	5 , 	10 , 	31 , 	3 , 	25 , 	17 , 	110 , 	-   , 	-   , 	4 , 	8 ," 	5,826 ",,,,,,,,,,,,,
CN, 	18 , 	27 , 	19 , 	18 , 	93 , 	25 , 	141 , 	292 , 	317 , 	34 , 	41 , 	52 , 	30 , 	22 , 	26 , 	10 , 	13 , 	16 , 	24 , 	97 , 	231 , 	79 , 	37 , 	79 , 	17 , 	841 , 	858 , 	515 , 	447 , 	148 , 	79 , 	50 , 	51 , 	66 , 	25 , 	4 , 	10 , 	38 , 	128 , 	22 , 	25 , 	130 , 	31 , 	2 , 	30 , 	20 , 	-   , 	-   , 	76 , 	93 ," 	5,444 ",,,,,,,,,,,,,
PH, 	14 , 	18 , 	16 , 	21 , 	141 , 	25 , 	176 , 	404 , 	436 , 	18 , 	18 , 	43 , 	23 , 	14 , 	18 , 	5 , 	14 , 	19 , 	90 , 	28 , 	112 , 	44 , 	34 , 	114 , 	14 ," 	1,687 "," 	1,755 ", 	676 , 	601 , 	190 , 	82 , 	92 , 	48 , 	52 , 	14 , 	2 , 	3 , 	39 , 	83 , 	27 , 	31 , 	161 , 	24 , 	4 , 	41 , 	20 , 	-   , 	-   , 	31 , 	44 ," 	7,563 ",,,,,,,,,,,,,
WC, 	29 , 	31 , 	23 , 	25 , 	115 , 	24 , 	153 , 	332 , 	332 , 	22 , 	31 , 	44 , 	25 , 	9 , 	18 , 	10 , 	12 , 	15 , 	250 , 	124 , 	26 , 	58 , 	34 , 	134 , 	18 ," 	1,387 "," 	1,389 ", 	525 , 	444 , 	117 , 	66 , 	51 , 	41 , 	51 , 	13 , 	5 , 	4 , 	51 , 	124 , 	21 , 	20 , 	145 , 	25 , 	2 , 	35 , 	13 , 	-   , 	-   , 	48 , 	89 ," 	6,559 ",,,,,,,,,,,,,
LF, 	9 , 	8 , 	9 , 	7 , 	58 , 	9 , 	60 , 	164 , 	143 , 	7 , 	13 , 	22 , 	5 , 	2 , 	7 , 	2 , 	4 , 	6 , 	94 , 	54 , 	54 , 	14 , 	15 , 	63 , 	5 , 	893 , 	837 , 	279 , 	262 , 	63 , 	37 , 	19 , 	11 , 	16 , 	5 , 	1 , 	1 , 	11 , 	25 , 	6 , 	7 , 	81 , 	15 , 	1 , 	23 , 	3 , 	-   , 	-   , 	15 , 	16 ," 	3,462 ",,,,,,,,,,,,,
OR, 	7 , 	12 , 	5 , 	9 , 	45 , 	8 , 	40 , 	114 , 	130 , 	8 , 	18 , 	19 , 	10 , 	2 , 	5 , 	1 , 	4 , 	8 , 	32 , 	29 , 	36 , 	18 , 	15 , 	51 , 	4 , 	807 , 	729 , 	249 , 	227 , 	60 , 	36 , 	29 , 	17 , 	14 , 	2 , 	3 , 	3 , 	5 , 	10 , 	7 , 	8 , 	66 , 	12 , 	0 , 	12 , 	5 , 	-   , 	-   , 	7 , 	11 ," 	2,947 ",,,,,,,,,,,,,
RR, 	23 , 	32 , 	28 , 	20 , 	46 , 	11 , 	62 , 	193 , 	193 , 	28 , 	44 , 	37 , 	21 , 	5 , 	16 , 	7 , 	12 , 	16 , 	75 , 	106 , 	132 , 	58 , 	58 , 	17 , 	18 ," 	1,105 "," 	1,168 ", 	563 , 	586 , 	206 , 	103 , 	46 , 	43 , 	27 , 	4 , 	5 , 	10 , 	21 , 	32 , 	10 , 	12 , 	116 , 	24 , 	5 , 	17 , 	12 , 	-   , 	-   , 	16 , 	33 ," 	5,420 ",,,,,,,,,,,,,
