Exit stations,Entry stations->,,SUNDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	8 , 	32 , 	39 , 	26 , 	117 , 	26 , 	32 , 	23 , 	28 , 	14 , 	31 , 	34 , 	11 , 	13 , 	12 , 	6 , 	5 , 	6 , 	6 , 	4 , 	6 , 	2 , 	2 , 	8 , 	9 , 	73 , 	60 , 	178 , 	70 , 	52 , 	54 , 	13 , 	17 , 	16 , 	5 , 	2 , 	5 , 	2 , 	7 , 	3 , 	5 , 	30 , 	9 , 	1 , 	6 , 	7 , 	-   , 	-   , 	3 , 	8 ," 	1,117 ",,,,,,,,,,,
EN, 	35 , 	14 , 	36 , 	27 , 	212 , 	54 , 	63 , 	72 , 	61 , 	26 , 	49 , 	73 , 	16 , 	20 , 	19 , 	8 , 	8 , 	15 , 	16 , 	9 , 	13 , 	3 , 	2 , 	12 , 	13 , 	124 , 	96 , 	311 , 	105 , 	58 , 	50 , 	21 , 	21 , 	24 , 	11 , 	2 , 	8 , 	1 , 	6 , 	6 , 	12 , 	70 , 	9 , 	3 , 	24 , 	23 , 	-   , 	-   , 	5 , 	5 ," 	1,865 ",,,,,,,,,,,
EP, 	49 , 	31 , 	11 , 	27 , 	258 , 	34 , 	43 , 	53 , 	55 , 	23 , 	26 , 	33 , 	12 , 	11 , 	6 , 	6 , 	6 , 	13 , 	8 , 	7 , 	13 , 	2 , 	4 , 	16 , 	6 , 	78 , 	76 , 	166 , 	94 , 	41 , 	34 , 	12 , 	8 , 	12 , 	5 , 	2 , 	5 , 	1 , 	4 , 	2 , 	4 , 	53 , 	9 , 	2 , 	24 , 	12 , 	-   , 	-   , 	0 , 	3 ," 	1,393 ",,,,,,,,,,,
NB, 	32 , 	25 , 	26 , 	16 , 	79 , 	21 , 	30 , 	44 , 	57 , 	24 , 	26 , 	35 , 	12 , 	9 , 	7 , 	6 , 	9 , 	9 , 	5 , 	6 , 	16 , 	2 , 	2 , 	7 , 	7 , 	93 , 	86 , 	165 , 	131 , 	60 , 	48 , 	16 , 	10 , 	11 , 	4 , 	5 , 	4 , 	0 , 	4 , 	1 , 	6 , 	54 , 	11 , 	5 , 	30 , 	14 , 	-   , 	-   , 	2 , 	2 ," 	1,268 ",,,,,,,,,,,
BK, 	135 , 	206 , 	239 , 	82 , 	47 , 	104 , 	119 , 	152 , 	165 , 	67 , 	104 , 	72 , 	46 , 	41 , 	37 , 	16 , 	55 , 	78 , 	29 , 	31 , 	44 , 	22 , 	13 , 	21 , 	30 , 	284 , 	231 , 	444 , 	288 , 	156 , 	120 , 	67 , 	35 , 	64 , 	12 , 	16 , 	51 , 	5 , 	12 , 	9 , 	21 , 	137 , 	63 , 	16 , 	59 , 	145 , 	-   , 	-   , 	10 , 	10 ," 	4,205 ",,,,,,,,,,,
AS, 	31 , 	41 , 	33 , 	27 , 	110 , 	21 , 	30 , 	74 , 	61 , 	25 , 	37 , 	37 , 	14 , 	14 , 	12 , 	5 , 	11 , 	12 , 	9 , 	8 , 	7 , 	7 , 	2 , 	9 , 	10 , 	94 , 	77 , 	138 , 	121 , 	72 , 	69 , 	18 , 	12 , 	12 , 	2 , 	1 , 	8 , 	1 , 	5 , 	3 , 	5 , 	41 , 	11 , 	2 , 	19 , 	22 , 	-   , 	-   , 	1 , 	4 ," 	1,381 ",,,,,,,,,,,
MA, 	36 , 	68 , 	32 , 	33 , 	114 , 	40 , 	31 , 	77 , 	57 , 	36 , 	61 , 	67 , 	28 , 	26 , 	22 , 	13 , 	15 , 	19 , 	26 , 	24 , 	27 , 	14 , 	11 , 	32 , 	21 , 	161 , 	153 , 	290 , 	222 , 	143 , 	105 , 	29 , 	24 , 	21 , 	5 , 	4 , 	13 , 	6 , 	19 , 	6 , 	6 , 	78 , 	13 , 	7 , 	22 , 	22 , 	-   , 	-   , 	7 , 	21 ," 	2,304 ",,,,,,,,,,,
19, 	30 , 	79 , 	54 , 	46 , 	141 , 	69 , 	68 , 	29 , 	17 , 	19 , 	60 , 	85 , 	56 , 	32 , 	37 , 	15 , 	19 , 	29 , 	27 , 	23 , 	40 , 	32 , 	17 , 	50 , 	35 , 	200 , 	173 , 	326 , 	271 , 	170 , 	146 , 	47 , 	32 , 	36 , 	7 , 	7 , 	19 , 	8 , 	19 , 	14 , 	9 , 	67 , 	24 , 	10 , 	23 , 	34 , 	-   , 	-   , 	6 , 	15 ," 	2,770 ",,,,,,,,,,,
12, 	31 , 	76 , 	49 , 	57 , 	151 , 	56 , 	67 , 	23 , 	33 , 	17 , 	66 , 	78 , 	58 , 	57 , 	45 , 	25 , 	31 , 	37 , 	34 , 	49 , 	41 , 	13 , 	22 , 	48 , 	33 , 	262 , 	223 , 	477 , 	263 , 	146 , 	119 , 	52 , 	49 , 	51 , 	15 , 	15 , 	30 , 	9 , 	26 , 	11 , 	14 , 	100 , 	29 , 	9 , 	28 , 	36 , 	-   , 	-   , 	5 , 	16 ," 	3,176 ",,,,,,,,,,,
LM, 	16 , 	28 , 	32 , 	28 , 	71 , 	32 , 	31 , 	19 , 	13 , 	18 , 	81 , 	98 , 	79 , 	89 , 	29 , 	21 , 	33 , 	30 , 	13 , 	8 , 	10 , 	5 , 	5 , 	8 , 	15 , 	113 , 	122 , 	232 , 	132 , 	90 , 	72 , 	22 , 	23 , 	13 , 	4 , 	38 , 	46 , 	1 , 	4 , 	2 , 	4 , 	23 , 	6 , 	28 , 	20 , 	43 , 	-   , 	-   , 	1 , 	5 ," 	1,848 ",,,,,,,,,,,
