Exit stations,Entry stations->,,TOTAL,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	554 ," 	2,372 "," 	1,909 "," 	1,501 "," 	9,348 "," 	1,877 "," 	2,739 "," 	3,317 "," 	3,570 "," 	1,197 "," 	1,907 "," 	1,403 ", 	826 , 	565 , 	715 , 	376 , 	408 , 	560 , 	344 , 	328 , 	538 , 	151 , 	180 , 	565 , 	508 ," 	8,096 "," 	8,489 "," 	10,626 "," 	7,551 "," 	3,945 "," 	4,287 "," 	1,121 "," 	1,631 "," 	2,280 ", 	396 , 	86 , 	340 , 	97 , 	368 , 	252 , 	415 ," 	1,259 ", 	595 , 	105 , 	245 , 	396 , 	-   , 	-   , 	189 , 	278 ," 	90,805 ",,,,,,,,,,,,,
EN," 	2,344 ", 	609 ," 	1,740 "," 	1,940 "," 	17,977 "," 	2,811 "," 	5,234 "," 	9,154 "," 	11,289 "," 	2,404 "," 	2,366 "," 	2,523 "," 	1,201 ", 	891 ," 	1,731 ", 	498 , 	667 , 	880 , 	627 , 	413 , 	670 , 	178 , 	233 , 	753 , 	716 ," 	18,440 "," 	20,168 "," 	20,052 "," 	15,826 "," 	6,055 "," 	4,468 "," 	1,856 "," 	2,514 "," 	3,934 ", 	648 , 	218 , 	516 , 	124 , 	302 , 	656 , 	827 ," 	2,678 "," 	1,479 ", 	239 , 	783 ," 	1,000 ", 	-   , 	-   , 	166 , 	203 ," 	173,001 ",,,,,,,,,,,,,
EP," 	1,971 "," 	1,748 ", 	311 ," 	1,243 "," 	16,793 "," 	1,804 "," 	2,658 "," 	6,304 "," 	6,938 "," 	1,697 "," 	1,068 "," 	1,037 ", 	663 , 	366 , 	559 , 	229 , 	395 , 	655 , 	461 , 	371 , 	522 , 	216 , 	115 , 	682 , 	304 ," 	12,136 "," 	13,796 "," 	9,943 "," 	9,639 "," 	3,144 "," 	1,700 ", 	658 , 	872 ," 	1,523 ", 	179 , 	114 , 	249 , 	62 , 	149 , 	116 , 	292 ," 	1,582 ", 	666 , 	178 , 	691 , 	574 , 	-   , 	-   , 	58 , 	126 ," 	107,557 ",,,,,,,,,,,,,
NB," 	1,514 "," 	1,865 "," 	1,198 ", 	436 ," 	5,099 "," 	1,386 "," 	1,874 "," 	5,316 "," 	5,432 "," 	1,335 "," 	1,403 ", 	940 , 	644 , 	456 , 	668 , 	192 , 	464 , 	486 , 	413 , 	459 , 	599 , 	134 , 	171 , 	430 , 	292 ," 	13,237 "," 	14,977 "," 	9,132 "," 	10,770 "," 	3,802 "," 	2,301 ", 	783 , 	864 , 	983 , 	130 , 	126 , 	303 , 	80 , 	243 , 	132 , 	212 ," 	1,815 ", 	839 , 	151 , 	868 , 	590 , 	-   , 	-   , 	101 , 	127 ," 	95,772 ",,,,,,,,,,,,,
BK," 	10,026 "," 	19,254 "," 	16,598 "," 	5,378 "," 	1,324 "," 	8,248 "," 	8,272 "," 	12,362 "," 	12,112 "," 	6,075 "," 	6,575 "," 	4,179 "," 	4,297 "," 	3,173 "," 	2,990 "," 	1,784 "," 	3,408 "," 	3,633 "," 	2,334 "," 	3,312 "," 	3,038 "," 	1,523 "," 	1,173 "," 	1,090 "," 	1,811 "," 	20,992 "," 	21,574 "," 	18,264 "," 	17,232 "," 	8,050 "," 	6,043 "," 	3,345 "," 	2,669 "," 	3,246 ", 	804 ," 	1,326 "," 	2,534 ", 	707 ," 	1,456 ", 	885 ," 	1,037 "," 	3,579 "," 	3,325 ", 	979 ," 	1,631 "," 	4,043 ", 	-   , 	-   , 	674 ," 	1,059 "," 	269,423 ",,,,,,,,,,,,,
AS," 	2,047 "," 	2,661 "," 	1,782 "," 	1,440 "," 	7,863 ", 	456 ," 	1,778 "," 	5,669 "," 	5,699 "," 	1,618 "," 	2,032 "," 	1,582 ", 	973 , 	764 , 	744 , 	429 , 	675 , 	564 , 	589 , 	537 , 	451 , 	233 , 	137 , 	309 , 	563 ," 	14,757 "," 	16,129 "," 	9,933 "," 	11,178 "," 	5,258 "," 	2,880 ", 	817 , 	958 , 	995 , 	213 , 	181 , 	403 , 	126 , 	261 , 	170 , 	353 ," 	1,329 ", 	751 , 	236 , 	508 , 	767 , 	-   , 	-   , 	95 , 	191 ," 	110,084 ",,,,,,,,,,,,,
MA," 	2,946 "," 	5,249 "," 	2,295 "," 	1,694 "," 	7,928 "," 	1,990 ", 	989 ," 	4,670 "," 	4,908 "," 	1,583 "," 	3,534 "," 	2,838 "," 	2,304 "," 	2,027 "," 	2,076 "," 	1,111 "," 	1,293 "," 	1,816 "," 	3,021 "," 	3,429 "," 	3,021 "," 	1,258 ", 	890 ," 	1,303 "," 	1,027 "," 	22,867 "," 	26,111 "," 	18,109 "," 	18,414 "," 	8,555 "," 	5,020 "," 	1,796 "," 	2,034 "," 	2,060 ", 	522 , 	554 ," 	1,593 ", 	974 ," 	2,829 ", 	572 , 	612 ," 	2,327 "," 	1,309 ", 	542 , 	607 ," 	1,495 ", 	-   , 	-   ," 	1,049 "," 	2,426 "," 	187,577 ",,,,,,,,,,,,,
19," 	3,663 "," 	9,692 "," 	6,305 "," 	5,433 "," 	11,141 "," 	5,625 "," 	4,554 ", 	974 ," 	1,358 "," 	1,025 "," 	3,756 "," 	3,593 "," 	4,759 "," 	4,366 "," 	4,356 "," 	2,985 "," 	4,114 "," 	5,234 "," 	5,733 "," 	7,729 "," 	6,542 "," 	3,438 "," 	2,496 "," 	3,593 "," 	1,418 "," 	29,992 "," 	32,933 "," 	20,907 "," 	22,966 "," 	10,730 "," 	7,606 "," 	3,704 "," 	3,097 "," 	3,243 "," 	1,597 "," 	1,466 "," 	4,482 "," 	2,590 "," 	3,453 "," 	1,450 "," 	1,481 "," 	2,075 "," 	2,806 "," 	2,249 ", 	726 ," 	4,182 ", 	-   , 	-   ," 	1,226 "," 	2,513 "," 	281,356 ",,,,,,,,,,,,,
12," 	3,987 "," 	11,774 "," 	6,773 "," 	5,544 "," 	10,614 "," 	5,482 "," 	4,879 "," 	1,327 "," 	1,082 ", 	935 ," 	4,748 "," 	5,547 "," 	7,234 "," 	6,663 "," 	6,086 "," 	3,613 "," 	5,125 "," 	5,675 "," 	6,614 "," 	9,040 "," 	6,478 "," 	3,000 "," 	2,509 "," 	3,787 "," 	2,176 "," 	28,125 "," 	28,976 "," 	22,545 "," 	21,364 "," 	8,132 "," 	7,204 "," 	4,359 "," 	4,280 "," 	5,010 "," 	2,683 "," 	2,562 "," 	5,394 "," 	2,954 "," 	4,681 "," 	1,953 "," 	1,858 "," 	3,012 "," 	3,485 "," 	2,779 "," 	1,096 "," 	3,910 ", 	-   , 	-   ," 	1,162 "," 	3,634 "," 	301,850 ",,,,,,,,,,,,,
LM," 	1,074 "," 	2,312 "," 	1,709 "," 	1,381 "," 	5,975 "," 	1,570 "," 	1,511 "," 	1,119 ", 	966 , 	455 ," 	3,480 "," 	5,343 "," 	6,519 "," 	5,315 "," 	3,312 "," 	1,740 "," 	2,560 "," 	2,235 ", 	853 , 	471 , 	580 , 	164 , 	189 , 	755 , 	888 ," 	19,844 "," 	22,927 "," 	16,628 "," 	14,808 "," 	6,294 "," 	3,706 "," 	1,496 "," 	2,054 "," 	2,725 ", 	182 ," 	2,564 "," 	3,941 ", 	182 , 	509 , 	239 , 	340 , 	732 , 	461 ," 	1,895 ", 	475 ," 	2,182 ", 	-   , 	-   , 	179 , 	454 ," 	157,293 ",,,,,,,,,,,,,
