Exit stations,Entry stations->,,SATURDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	10 , 	44 , 	52 , 	26 , 	197 , 	40 , 	53 , 	36 , 	42 , 	12 , 	46 , 	41 , 	16 , 	9 , 	15 , 	9 , 	7 , 	9 , 	8 , 	3 , 	11 , 	3 , 	4 , 	13 , 	8 , 	119 , 	85 , 	236 , 	98 , 	68 , 	97 , 	19 , 	29 , 	27 , 	7 , 	4 , 	3 , 	2 , 	12 , 	5 , 	7 , 	32 , 	10 , 	2 , 	6 , 	10 , 	-   , 	-   , 	4 , 	6 ," 	1,602 ",,,,,,,,,,
EN, 	43 , 	18 , 	44 , 	33 , 	323 , 	61 , 	79 , 	67 , 	100 , 	25 , 	63 , 	70 , 	26 , 	19 , 	23 , 	13 , 	13 , 	17 , 	15 , 	7 , 	14 , 	3 , 	7 , 	16 , 	20 , 	242 , 	191 , 	463 , 	182 , 	89 , 	103 , 	30 , 	43 , 	40 , 	16 , 	4 , 	10 , 	3 , 	11 , 	8 , 	12 , 	72 , 	16 , 	6 , 	20 , 	24 , 	-   , 	-   , 	4 , 	6 ," 	2,716 ",,,,,,,,,,
EP, 	54 , 	44 , 	14 , 	34 , 	342 , 	40 , 	57 , 	78 , 	73 , 	28 , 	37 , 	41 , 	14 , 	11 , 	8 , 	4 , 	9 , 	15 , 	9 , 	6 , 	15 , 	5 , 	6 , 	18 , 	9 , 	152 , 	126 , 	302 , 	160 , 	76 , 	55 , 	20 , 	15 , 	15 , 	4 , 	3 , 	9 , 	2 , 	3 , 	1 , 	4 , 	53 , 	15 , 	4 , 	14 , 	16 , 	-   , 	-   , 	2 , 	4 ," 	2,025 ",,,,,,,,,,
NB, 	28 , 	33 , 	35 , 	15 , 	113 , 	27 , 	41 , 	59 , 	67 , 	24 , 	39 , 	39 , 	19 , 	9 , 	12 , 	6 , 	10 , 	16 , 	7 , 	6 , 	12 , 	4 , 	4 , 	9 , 	9 , 	177 , 	134 , 	233 , 	199 , 	104 , 	64 , 	26 , 	14 , 	14 , 	5 , 	3 , 	9 , 	1 , 	2 , 	2 , 	5 , 	67 , 	12 , 	3 , 	21 , 	13 , 	-   , 	-   , 	1 , 	2 ," 	1,753 ",,,,,,,,,,
BK, 	191 , 	325 , 	330 , 	125 , 	64 , 	175 , 	162 , 	214 , 	216 , 	99 , 	139 , 	111 , 	70 , 	64 , 	53 , 	30 , 	56 , 	78 , 	40 , 	56 , 	56 , 	28 , 	25 , 	29 , 	56 , 	442 , 	328 , 	642 , 	399 , 	241 , 	167 , 	77 , 	47 , 	67 , 	13 , 	17 , 	43 , 	10 , 	20 , 	15 , 	16 , 	184 , 	77 , 	27 , 	83 , 	125 , 	-   , 	-   , 	7 , 	14 ," 	5,856 ",,,,,,,,,,
AS, 	44 , 	56 , 	38 , 	30 , 	161 , 	14 , 	40 , 	88 , 	75 , 	28 , 	49 , 	55 , 	18 , 	17 , 	12 , 	7 , 	10 , 	12 , 	11 , 	8 , 	9 , 	5 , 	4 , 	7 , 	16 , 	155 , 	124 , 	227 , 	166 , 	124 , 	83 , 	21 , 	15 , 	11 , 	2 , 	2 , 	6 , 	1 , 	4 , 	3 , 	5 , 	42 , 	9 , 	3 , 	16 , 	16 , 	-   , 	-   , 	2 , 	3 ," 	1,852 ",,,,,,,,,,
MA, 	58 , 	89 , 	50 , 	44 , 	180 , 	57 , 	27 , 	67 , 	79 , 	28 , 	81 , 	77 , 	34 , 	25 , 	23 , 	14 , 	12 , 	24 , 	37 , 	28 , 	43 , 	16 , 	16 , 	38 , 	33 , 	275 , 	223 , 	431 , 	319 , 	216 , 	143 , 	38 , 	29 , 	30 , 	8 , 	5 , 	10 , 	6 , 	26 , 	6 , 	10 , 	59 , 	20 , 	6 , 	15 , 	23 , 	-   , 	-   , 	12 , 	25 ," 	3,113 ",,,,,,,,,,
19, 	40 , 	73 , 	75 , 	69 , 	201 , 	83 , 	70 , 	31 , 	15 , 	14 , 	71 , 	94 , 	54 , 	42 , 	37 , 	16 , 	42 , 	36 , 	44 , 	53 , 	70 , 	34 , 	18 , 	65 , 	40 , 	341 , 	274 , 	447 , 	355 , 	236 , 	185 , 	55 , 	38 , 	48 , 	12 , 	9 , 	28 , 	8 , 	18 , 	9 , 	15 , 	57 , 	27 , 	9 , 	14 , 	44 , 	-   , 	-   , 	6 , 	15 ," 	3,637 ",,,,,,,,,,
12, 	44 , 	105 , 	73 , 	74 , 	203 , 	79 , 	74 , 	10 , 	25 , 	11 , 	65 , 	104 , 	66 , 	60 , 	49 , 	20 , 	32 , 	36 , 	43 , 	46 , 	58 , 	23 , 	24 , 	48 , 	44 , 	331 , 	239 , 	501 , 	281 , 	153 , 	134 , 	46 , 	53 , 	53 , 	19 , 	8 , 	17 , 	8 , 	31 , 	17 , 	22 , 	79 , 	34 , 	4 , 	18 , 	38 , 	-   , 	-   , 	7 , 	25 ," 	3,536 ",,,,,,,,,,
LM, 	12 , 	26 , 	22 , 	27 , 	90 , 	32 , 	26 , 	12 , 	11 , 	13 , 	81 , 	165 , 	129 , 	118 , 	45 , 	24 , 	36 , 	45 , 	13 , 	9 , 	10 , 	4 , 	3 , 	11 , 	25 , 	281 , 	245 , 	496 , 	261 , 	165 , 	122 , 	41 , 	33 , 	37 , 	4 , 	56 , 	77 , 	1 , 	5 , 	3 , 	6 , 	20 , 	10 , 	30 , 	14 , 	46 , 	-   , 	-   , 	1 , 	3 ," 	2,944 ",,,,,,,,,,
