Exit stations,Entry stations->,,WEEKDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	16 , 	113 , 	87 , 	70 , 	404 , 	87 , 	134 , 	161 , 	175 , 	46 , 	80 , 	63 , 	39 , 	23 , 	29 , 	17 , 	19 , 	26 , 	17 , 	15 , 	24 , 	6 , 	7 , 	24 , 	26 , 	396 , 	423 , 	470 , 	356 , 	181 , 	196 , 	45 , 	74 , 	92 , 	16 , 	5 , 	14 , 	2 , 	16 , 	12 , 	20 , 	48 , 	26 , 	5 , 	13 , 	17 , 	-   , 	-   , 	10 , 	10 ," 	4,157 ",,,,,,,,,,,,,
EN, 	113 , 	22 , 	77 , 	85 , 	783 , 	131 , 	244 , 	439 , 	560 , 	106 , 	100 , 	108 , 	56 , 	36 , 	74 , 	20 , 	30 , 	38 , 	28 , 	20 , 	27 , 	8 , 	13 , 	28 , 	33 , 	871 , 	952 , 	865 , 	752 , 	285 , 	200 , 	85 , 	112 , 	144 , 	29 , 	9 , 	24 , 	6 , 	11 , 	28 , 	34 , 	114 , 	68 , 	10 , 	33 , 	39 , 	-   , 	-   , 	8 , 	9 ," 	7,868 ",,,,,,,,,,,,,
EP, 	85 , 	78 , 	13 , 	57 , 	698 , 	74 , 	124 , 	305 , 	351 , 	71 , 	40 , 	45 , 	31 , 	14 , 	29 , 	10 , 	17 , 	29 , 	19 , 	15 , 	25 , 	10 , 	5 , 	30 , 	12 , 	603 , 	660 , 	434 , 	468 , 	156 , 	73 , 	31 , 	41 , 	60 , 	6 , 	4 , 	11 , 	4 , 	6 , 	6 , 	12 , 	62 , 	32 , 	7 , 	28 , 	24 , 	-   , 	-   , 	2 , 	4 ," 	4,922 ",,,,,,,,,,,,,
NB, 	71 , 	84 , 	49 , 	15 , 	211 , 	56 , 	82 , 	253 , 	253 , 	55 , 	63 , 	38 , 	25 , 	20 , 	30 , 	7 , 	20 , 	19 , 	19 , 	20 , 	21 , 	5 , 	8 , 	15 , 	13 , 	643 , 	720 , 	396 , 	483 , 	166 , 	92 , 	32 , 	39 , 	37 , 	6 , 	6 , 	13 , 	5 , 	10 , 	7 , 	9 , 	73 , 	38 , 	7 , 	33 , 	27 , 	-   , 	-   , 	4 , 	5 ," 	4,305 ",,,,,,,,,,,,,
BK, 	427 , 	845 , 	702 , 	224 , 	48 , 	341 , 	353 , 	537 , 	523 , 	253 , 	285 , 	167 , 	179 , 	131 , 	122 , 	76 , 	147 , 	148 , 	102 , 	144 , 	130 , 	56 , 	47 , 	42 , 	73 , 	960 , 	955 , 	720 , 	735 , 	322 , 	242 , 	130 , 	112 , 	129 , 	38 , 	50 , 	106 , 	30 , 	66 , 	38 , 	44 , 	154 , 	141 , 	44 , 	63 , 	143 , 	-   , 	-   , 	31 , 	44 ," 	11,401 ",,,,,,,,,,,,,
AS, 	85 , 	124 , 	78 , 	63 , 	318 , 	17 , 	84 , 	261 , 	255 , 	67 , 	91 , 	68 , 	42 , 	31 , 	30 , 	21 , 	34 , 	25 , 	26 , 	23 , 	22 , 	9 , 	6 , 	10 , 	24 , 	727 , 	784 , 	441 , 	503 , 	245 , 	111 , 	33 , 	41 , 	42 , 	10 , 	8 , 	14 , 	6 , 	11 , 	8 , 	14 , 	53 , 	32 , 	12 , 	21 , 	33 , 	-   , 	-   , 	4 , 	9 ," 	4,975 ",,,,,,,,,,,,,
MA, 	143 , 	242 , 	111 , 	79 , 	328 , 	88 , 	39 , 	216 , 	217 , 	62 , 	150 , 	133 , 	111 , 	93 , 	96 , 	54 , 	63 , 	82 , 	143 , 	168 , 	143 , 	57 , 	39 , 	54 , 	49 ," 	1,121 "," 	1,265 ", 	805 , 	872 , 	384 , 	207 , 	77 , 	85 , 	83 , 	24 , 	25 , 	71 , 	44 , 	135 , 	25 , 	30 , 	98 , 	60 , 	22 , 	23 , 	65 , 	-   , 	-   , 	51 , 	116 ," 	8,648 ",,,,,,,,,,,,,
19, 	175 , 	462 , 	298 , 	265 , 	480 , 	255 , 	204 , 	42 , 	56 , 	47 , 	170 , 	172 , 	228 , 	205 , 	214 , 	146 , 	203 , 	264 , 	296 , 	390 , 	321 , 	168 , 	114 , 	160 , 	64 ," 	1,494 "," 	1,628 ", 	945 ," 	1,084 ", 	474 , 	342 , 	164 , 	149 , 	149 , 	78 , 	72 , 	223 , 	128 , 	175 , 	69 , 	72 , 	87 , 	135 , 	109 , 	32 , 	207 , 	-   , 	-   , 	57 , 	129 ," 	13,401 ",,,,,,,,,,,,,
12, 	201 , 	580 , 	343 , 	266 , 	440 , 	241 , 	216 , 	54 , 	44 , 	39 , 	204 , 	248 , 	357 , 	322 , 	296 , 	180 , 	248 , 	281 , 	326 , 	455 , 	317 , 	149 , 	120 , 	166 , 	87 ," 	1,377 "," 	1,371 ", 	961 ," 	1,000 ", 	362 , 	317 , 	191 , 	201 , 	236 , 	132 , 	127 , 	267 , 	149 , 	227 , 	94 , 	87 , 	121 , 	155 , 	173 , 	53 , 	191 , 	-   , 	-   , 	60 , 	186 ," 	14,215 ",,,,,,,,,,,,,
LM, 	42 , 	98 , 	69 , 	56 , 	248 , 	63 , 	61 , 	48 , 	39 , 	21 , 	152 , 	253 , 	302 , 	244 , 	158 , 	83 , 	110 , 	104 , 	43 , 	20 , 	29 , 	8 , 	9 , 	35 , 	36 , 	928 ," 	1,074 ", 	701 , 	671 , 	264 , 	151 , 	63 , 	81 , 	106 , 	7 , 	113 , 	177 , 	8 , 	24 , 	12 , 	18 , 	33 , 	18 , 	92 , 	21 , 	97 , 	-   , 	-   , 	10 , 	24 ," 	7,022 ",,,,,,,,,,,,,
