Exit stations,Entry stations->,,WEEKDAY,,,May 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	21 , 	105 , 	92 , 	68 , 	408 , 	95 , 	138 , 	162 , 	176 , 	45 , 	89 , 	75 , 	36 , 	22 , 	27 , 	17 , 	18 , 	27 , 	18 , 	14 , 	26 , 	6 , 	12 , 	22 , 	26 , 	426 , 	421 , 	482 , 	363 , 	187 , 	197 , 	47 , 	73 , 	86 , 	15 , 	5 , 	14 , 	5 , 	18 , 	12 , 	19 , 	53 , 	27 , 	7 , 	13 , 	18 , 	-   , 	-   , 	9 , 	9 ," 	4,250 ",,,,,,,,,,,,,
EN, 	116 , 	23 , 	82 , 	92 , 	739 , 	135 , 	247 , 	440 , 	548 , 	102 , 	92 , 	135 , 	59 , 	38 , 	66 , 	20 , 	32 , 	37 , 	31 , 	17 , 	27 , 	9 , 	13 , 	30 , 	36 , 	906 , 	938 , 	871 , 	778 , 	305 , 	204 , 	90 , 	114 , 	135 , 	31 , 	8 , 	24 , 	5 , 	11 , 	25 , 	36 , 	136 , 	67 , 	12 , 	40 , 	48 , 	-   , 	-   , 	8 , 	10 ," 	7,967 ",,,,,,,,,,,,,
EP, 	90 , 	87 , 	12 , 	52 , 	648 , 	80 , 	127 , 	299 , 	344 , 	74 , 	47 , 	59 , 	35 , 	15 , 	23 , 	11 , 	16 , 	28 , 	20 , 	16 , 	25 , 	10 , 	6 , 	37 , 	12 , 	579 , 	644 , 	423 , 	447 , 	143 , 	69 , 	28 , 	44 , 	54 , 	4 , 	5 , 	11 , 	4 , 	8 , 	6 , 	12 , 	72 , 	29 , 	7 , 	29 , 	22 , 	-   , 	-   , 	2 , 	4 ," 	4,814 ",,,,,,,,,,,,,
NB, 	72 , 	88 , 	47 , 	17 , 	184 , 	57 , 	93 , 	266 , 	256 , 	58 , 	66 , 	51 , 	27 , 	22 , 	28 , 	10 , 	19 , 	22 , 	23 , 	20 , 	21 , 	7 , 	11 , 	14 , 	14 , 	650 , 	689 , 	403 , 	507 , 	170 , 	92 , 	32 , 	44 , 	37 , 	7 , 	7 , 	12 , 	5 , 	7 , 	8 , 	9 , 	92 , 	35 , 	7 , 	34 , 	26 , 	-   , 	-   , 	5 , 	6 ," 	4,376 ",,,,,,,,,,,,,
BK, 	435 , 	797 , 	657 , 	194 , 	47 , 	320 , 	356 , 	535 , 	518 , 	220 , 	271 , 	167 , 	179 , 	116 , 	122 , 	83 , 	125 , 	143 , 	101 , 	145 , 	108 , 	64 , 	48 , 	42 , 	69 , 	943 , 	931 , 	708 , 	702 , 	325 , 	230 , 	122 , 	110 , 	110 , 	30 , 	61 , 	111 , 	37 , 	69 , 	35 , 	36 , 	166 , 	136 , 	45 , 	67 , 	156 , 	-   , 	-   , 	30 , 	47 ," 	11,064 ",,,,,,,,,,,,,
AS, 	97 , 	126 , 	85 , 	64 , 	299 , 	18 , 	85 , 	262 , 	256 , 	67 , 	98 , 	77 , 	46 , 	30 , 	32 , 	20 , 	31 , 	24 , 	24 , 	23 , 	20 , 	7 , 	9 , 	11 , 	28 , 	732 , 	742 , 	446 , 	510 , 	240 , 	110 , 	35 , 	46 , 	43 , 	9 , 	7 , 	16 , 	7 , 	11 , 	9 , 	12 , 	61 , 	30 , 	12 , 	24 , 	35 , 	-   , 	-   , 	5 , 	8 ," 	4,988 ",,,,,,,,,,,,,
MA, 	149 , 	238 , 	110 , 	76 , 	324 , 	91 , 	45 , 	217 , 	223 , 	64 , 	162 , 	149 , 	116 , 	94 , 	89 , 	54 , 	70 , 	79 , 	149 , 	180 , 	144 , 	60 , 	39 , 	55 , 	48 ," 	1,156 "," 	1,237 ", 	808 , 	896 , 	411 , 	221 , 	85 , 	92 , 	78 , 	25 , 	23 , 	70 , 	46 , 	141 , 	27 , 	30 , 	110 , 	60 , 	21 , 	29 , 	67 , 	-   , 	-   , 	50 , 	117 ," 	8,823 ",,,,,,,,,,,,,
19, 	175 , 	463 , 	304 , 	269 , 	491 , 	261 , 	204 , 	40 , 	52 , 	40 , 	180 , 	195 , 	240 , 	211 , 	206 , 	138 , 	209 , 	247 , 	289 , 	382 , 	307 , 	167 , 	119 , 	157 , 	64 ," 	1,470 "," 	1,572 ", 	925 ," 	1,059 ", 	467 , 	319 , 	167 , 	143 , 	140 , 	78 , 	76 , 	227 , 	126 , 	175 , 	65 , 	71 , 	99 , 	129 , 	113 , 	32 , 	201 , 	-   , 	-   , 	61 , 	127 ," 	13,249 ",,,,,,,,,,,,,
12, 	200 , 	566 , 	329 , 	259 , 	446 , 	252 , 	214 , 	50 , 	40 , 	40 , 	211 , 	256 , 	348 , 	321 , 	289 , 	184 , 	238 , 	273 , 	324 , 	474 , 	314 , 	158 , 	124 , 	175 , 	92 ," 	1,341 "," 	1,328 ", 	943 ," 	1,004 ", 	366 , 	316 , 	195 , 	191 , 	224 , 	128 , 	122 , 	271 , 	136 , 	233 , 	91 , 	90 , 	140 , 	154 , 	135 , 	49 , 	190 , 	-   , 	-   , 	66 , 	179 ," 	14,067 ",,,,,,,,,,,,,
LM, 	39 , 	95 , 	68 , 	58 , 	209 , 	70 , 	73 , 	40 , 	39 , 	21 , 	165 , 	285 , 	296 , 	251 , 	150 , 	90 , 	108 , 	109 , 	36 , 	23 , 	29 , 	7 , 	12 , 	35 , 	32 , 	962 ," 	1,048 ", 	710 , 	680 , 	278 , 	156 , 	64 , 	87 , 	102 , 	6 , 	118 , 	193 , 	8 , 	27 , 	9 , 	17 , 	36 , 	16 , 	86 , 	26 , 	110 , 	-   , 	-   , 	8 , 	25 ," 	7,110 ",,,,,,,,,,,,,
