Exit stations,Entry stations->,,SUNDAY,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	22 , 	31 , 	46 , 	25 , 	125 , 	38 , 	45 , 	33 , 	37 , 	22 , 	44 , 	44 , 	14 , 	9 , 	11 , 	4 , 	8 , 	10 , 	8 , 	5 , 	7 , 	3 , 	3 , 	11 , 	13 , 	127 , 	80 , 	253 , 	148 , 	76 , 	71 , 	19 , 	19 , 	24 , 	6 , 	3 , 	5 , 	2 , 	8 , 	4 , 	6 , 	43 , 	6 , 	3 , 	9 , 	10 , 	-   , 	-   , 	2 , 	7 ," 	1,547 ",,,,,,,,,,,
EN, 	34 , 	13 , 	33 , 	29 , 	204 , 	61 , 	53 , 	52 , 	60 , 	29 , 	45 , 	101 , 	22 , 	18 , 	17 , 	8 , 	9 , 	15 , 	10 , 	7 , 	8 , 	3 , 	5 , 	13 , 	27 , 	221 , 	124 , 	419 , 	277 , 	88 , 	55 , 	20 , 	20 , 	22 , 	14 , 	3 , 	9 , 	1 , 	9 , 	8 , 	10 , 	103 , 	14 , 	3 , 	33 , 	20 , 	-   , 	-   , 	2 , 	8 ," 	2,359 ",,,,,,,,,,,
EP, 	54 , 	34 , 	13 , 	21 , 	226 , 	45 , 	44 , 	44 , 	50 , 	33 , 	30 , 	68 , 	12 , 	10 , 	8 , 	5 , 	6 , 	13 , 	8 , 	9 , 	14 , 	3 , 	4 , 	9 , 	15 , 	149 , 	103 , 	233 , 	192 , 	60 , 	31 , 	17 , 	13 , 	10 , 	5 , 	2 , 	7 , 	0 , 	3 , 	3 , 	5 , 	62 , 	7 , 	1 , 	23 , 	13 , 	-   , 	-   , 	1 , 	2 ," 	1,721 ",,,,,,,,,,,
NB, 	26 , 	27 , 	23 , 	18 , 	70 , 	29 , 	34 , 	41 , 	40 , 	21 , 	31 , 	59 , 	12 , 	11 , 	10 , 	3 , 	9 , 	9 , 	5 , 	7 , 	8 , 	5 , 	4 , 	9 , 	15 , 	179 , 	115 , 	226 , 	241 , 	97 , 	53 , 	22 , 	11 , 	9 , 	4 , 	4 , 	8 , 	2 , 	1 , 	2 , 	4 , 	88 , 	11 , 	3 , 	30 , 	20 , 	-   , 	-   , 	1 , 	2 ," 	1,657 ",,,,,,,,,,,
BK, 	138 , 	199 , 	232 , 	75 , 	48 , 	115 , 	126 , 	120 , 	143 , 	65 , 	95 , 	78 , 	42 , 	39 , 	34 , 	10 , 	50 , 	56 , 	21 , 	43 , 	35 , 	22 , 	16 , 	18 , 	56 , 	394 , 	245 , 	589 , 	485 , 	210 , 	120 , 	50 , 	37 , 	47 , 	7 , 	12 , 	54 , 	6 , 	6 , 	9 , 	20 , 	206 , 	52 , 	17 , 	51 , 	138 , 	-   , 	-   , 	4 , 	9 ," 	4,643 ",,,,,,,,,,,
AS, 	51 , 	52 , 	42 , 	25 , 	101 , 	17 , 	55 , 	69 , 	56 , 	32 , 	44 , 	57 , 	18 , 	15 , 	17 , 	7 , 	11 , 	11 , 	6 , 	11 , 	7 , 	4 , 	3 , 	8 , 	18 , 	151 , 	121 , 	219 , 	210 , 	109 , 	67 , 	22 , 	11 , 	12 , 	4 , 	5 , 	10 , 	1 , 	3 , 	3 , 	4 , 	68 , 	9 , 	3 , 	24 , 	24 , 	-   , 	-   , 	2 , 	3 ," 	1,822 ",,,,,,,,,,,
MA, 	40 , 	65 , 	45 , 	36 , 	112 , 	60 , 	26 , 	54 , 	54 , 	28 , 	69 , 	104 , 	32 , 	29 , 	27 , 	12 , 	12 , 	13 , 	15 , 	24 , 	36 , 	17 , 	10 , 	34 , 	42 , 	296 , 	185 , 	402 , 	390 , 	217 , 	112 , 	30 , 	26 , 	24 , 	9 , 	9 , 	25 , 	5 , 	19 , 	5 , 	9 , 	132 , 	15 , 	8 , 	34 , 	21 , 	-   , 	-   , 	7 , 	19 ," 	2,997 ",,,,,,,,,,,
19, 	34 , 	50 , 	40 , 	43 , 	120 , 	60 , 	52 , 	22 , 	11 , 	15 , 	51 , 	79 , 	39 , 	23 , 	24 , 	12 , 	15 , 	21 , 	17 , 	23 , 	31 , 	16 , 	12 , 	33 , 	32 , 	263 , 	185 , 	378 , 	345 , 	196 , 	120 , 	36 , 	25 , 	25 , 	4 , 	10 , 	20 , 	6 , 	15 , 	7 , 	7 , 	111 , 	14 , 	8 , 	28 , 	32 , 	-   , 	-   , 	4 , 	13 ," 	2,728 ",,,,,,,,,,,
12, 	30 , 	55 , 	45 , 	34 , 	111 , 	51 , 	53 , 	10 , 	29 , 	16 , 	55 , 	91 , 	49 , 	49 , 	35 , 	18 , 	31 , 	35 , 	25 , 	31 , 	32 , 	13 , 	10 , 	40 , 	56 , 	335 , 	255 , 	573 , 	388 , 	171 , 	123 , 	50 , 	59 , 	38 , 	14 , 	12 , 	28 , 	5 , 	17 , 	11 , 	18 , 	141 , 	20 , 	11 , 	36 , 	44 , 	-   , 	-   , 	6 , 	11 ," 	3,372 ",,,,,,,,,,,
LM, 	24 , 	28 , 	30 , 	23 , 	65 , 	39 , 	34 , 	20 , 	13 , 	17 , 	100 , 	142 , 	94 , 	108 , 	37 , 	24 , 	29 , 	34 , 	7 , 	7 , 	12 , 	5 , 	7 , 	9 , 	24 , 	136 , 	110 , 	258 , 	204 , 	88 , 	55 , 	18 , 	20 , 	16 , 	4 , 	42 , 	56 , 	1 , 	6 , 	2 , 	4 , 	26 , 	3 , 	22 , 	24 , 	52 , 	-   , 	-   , 	1 , 	3 ," 	2,083 ",,,,,,,,,,,
