Exit stations,Entry stations->,,TOTAL,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	754 ," 	2,402 "," 	2,310 "," 	1,600 "," 	9,214 "," 	2,404 "," 	3,110 "," 	3,617 "," 	3,871 "," 	1,017 "," 	2,118 "," 	1,718 "," 	1,022 ", 	559 , 	641 , 	436 , 	455 , 	587 , 	464 , 	341 , 	577 , 	171 , 	240 , 	609 , 	756 ," 	10,281 "," 	9,666 "," 	12,884 "," 	8,876 "," 	4,845 "," 	4,776 "," 	1,212 "," 	1,511 "," 	1,103 ", 	405 , 	154 , 	350 , 	115 , 	442 , 	298 , 	515 ," 	1,742 ", 	655 , 	166 , 	366 , 	404 , 	-   , 	-   , 	210 , 	314 ," 	102,283 ",,,,,,,,,,,,,
EN," 	2,609 ", 	632 ," 	1,915 "," 	2,005 "," 	16,668 "," 	3,168 "," 	5,478 "," 	9,748 "," 	11,952 "," 	1,982 "," 	2,517 "," 	3,429 "," 	1,466 ", 	913 ," 	1,188 ", 	558 , 	842 , 	879 , 	730 , 	486 , 	692 , 	188 , 	264 , 	736 ," 	1,030 "," 	21,107 "," 	20,253 "," 	22,384 "," 	18,735 "," 	6,827 "," 	4,935 "," 	1,915 "," 	2,350 "," 	1,744 ", 	780 , 	187 , 	636 , 	120 , 	307 , 	638 , 	869 ," 	3,858 "," 	1,496 ", 	327 ," 	1,090 "," 	1,162 ", 	-   , 	-   , 	209 , 	261 ," 	184,265 ",,,,,,,,,,,,,
EP," 	2,327 "," 	1,918 ", 	395 ," 	1,262 "," 	14,786 "," 	2,089 "," 	3,143 "," 	6,354 "," 	7,178 "," 	1,320 "," 	1,277 "," 	1,551 ", 	770 , 	439 , 	505 , 	249 , 	382 , 	612 , 	429 , 	429 , 	628 , 	211 , 	230 , 	644 , 	436 ," 	13,510 "," 	13,883 "," 	11,350 "," 	10,934 "," 	3,575 "," 	1,771 ", 	788 , 	765 , 	685 , 	154 , 	211 , 	277 , 	83 , 	220 , 	173 , 	270 ," 	2,146 ", 	724 , 	140 , 	846 , 	645 , 	-   , 	-   , 	66 , 	99 ," 	112,879 ",,,,,,,,,,,,,
NB," 	1,695 "," 	1,896 "," 	1,206 ", 	503 ," 	4,208 "," 	1,412 "," 	2,103 "," 	5,410 "," 	5,612 "," 	1,080 "," 	1,650 "," 	1,322 ", 	659 , 	485 , 	672 , 	213 , 	452 , 	614 , 	545 , 	459 , 	609 , 	182 , 	252 , 	372 , 	433 ," 	15,416 "," 	15,004 "," 	10,107 "," 	12,409 "," 	4,753 "," 	2,700 ", 	903 , 	772 , 	604 , 	182 , 	165 , 	398 , 	122 , 	180 , 	196 , 	223 ," 	2,812 ", 	790 , 	142 , 	918 , 	657 , 	-   , 	-   , 	117 , 	109 ," 	103,723 ",,,,,,,,,,,,,
BK," 	9,967 "," 	17,544 "," 	14,924 "," 	4,511 "," 	1,596 "," 	7,524 "," 	8,400 "," 	12,715 "," 	12,384 "," 	4,477 "," 	6,562 "," 	4,225 "," 	4,078 "," 	2,750 "," 	2,768 "," 	1,901 "," 	3,652 "," 	4,051 "," 	2,321 "," 	3,318 "," 	3,046 "," 	1,698 "," 	1,283 "," 	1,141 "," 	2,001 "," 	28,548 "," 	24,772 "," 	21,727 "," 	19,865 "," 	9,545 "," 	6,438 "," 	3,445 "," 	2,626 "," 	2,414 ", 	767 ," 	1,097 "," 	3,371 ", 	686 ," 	1,531 ", 	827 ," 	1,008 "," 	4,863 "," 	3,734 "," 	1,373 "," 	1,552 "," 	4,846 ", 	-   , 	-   , 	745 ," 	1,081 "," 	285,698 ",,,,,,,,,,,,,
AS," 	2,627 "," 	3,034 "," 	2,065 "," 	1,585 "," 	6,912 ", 	536 ," 	2,324 "," 	5,754 "," 	5,726 "," 	1,396 "," 	2,524 "," 	2,103 "," 	1,145 ", 	814 , 	853 , 	456 , 	757 , 	620 , 	577 , 	543 , 	470 , 	227 , 	177 , 	245 , 	730 ," 	17,071 "," 	16,780 "," 	11,441 "," 	12,507 "," 	6,318 "," 	3,214 ", 	967 , 	825 , 	585 , 	244 , 	203 , 	579 , 	143 , 	254 , 	240 , 	306 ," 	1,820 ", 	784 , 	324 , 	638 , 	892 , 	-   , 	-   , 	148 , 	216 ," 	120,699 ",,,,,,,,,,,,,
MA," 	3,541 "," 	5,479 "," 	2,873 "," 	2,010 "," 	7,972 "," 	2,491 "," 	1,123 "," 	4,825 "," 	4,975 "," 	1,471 "," 	3,646 "," 	3,749 "," 	2,614 "," 	1,942 "," 	1,968 "," 	1,039 "," 	1,606 "," 	1,744 "," 	3,037 "," 	3,878 "," 	3,423 "," 	1,355 ", 	898 ," 	1,523 "," 	1,324 "," 	27,126 "," 	27,536 "," 	20,619 "," 	21,847 "," 	11,178 "," 	5,593 "," 	2,153 "," 	1,691 "," 	1,440 ", 	576 , 	568 ," 	1,592 ", 	997 ," 	2,976 ", 	528 , 	673 ," 	3,542 "," 	1,394 ", 	501 , 	842 ," 	1,554 ", 	-   , 	-   ," 	1,050 "," 	2,509 "," 	208,991 ",,,,,,,,,,,,,
19," 	3,887 "," 	10,095 "," 	6,281 "," 	5,597 "," 	11,989 "," 	5,715 "," 	4,826 "," 	1,178 "," 	1,133 ", 	807 ," 	4,054 "," 	4,404 "," 	5,088 "," 	4,572 "," 	4,628 "," 	2,975 "," 	4,241 "," 	5,094 "," 	5,987 "," 	7,530 "," 	6,505 "," 	3,444 "," 	2,477 "," 	3,779 "," 	1,769 "," 	33,164 "," 	34,844 "," 	23,398 "," 	25,442 "," 	12,283 "," 	7,867 "," 	3,807 "," 	3,160 "," 	2,973 "," 	1,544 "," 	1,663 "," 	4,680 "," 	2,524 "," 	3,768 "," 	1,370 "," 	1,570 "," 	2,867 "," 	2,991 "," 	2,333 ", 	868 ," 	4,758 ", 	-   , 	-   ," 	1,198 "," 	2,603 "," 	299,730 ",,,,,,,,,,,,,
12," 	4,369 "," 	12,380 "," 	6,982 "," 	5,741 "," 	10,740 "," 	5,719 "," 	4,760 "," 	1,038 "," 	1,291 ", 	798 ," 	4,817 "," 	6,015 "," 	7,588 "," 	6,844 "," 	6,259 "," 	3,925 "," 	5,252 "," 	6,038 "," 	6,670 "," 	9,591 "," 	6,651 "," 	3,494 "," 	2,639 "," 	4,200 "," 	2,288 "," 	30,965 "," 	29,404 "," 	24,657 "," 	23,891 "," 	9,148 "," 	7,706 "," 	4,544 "," 	4,379 "," 	4,594 "," 	2,632 "," 	2,620 "," 	5,786 "," 	2,674 "," 	5,085 "," 	2,096 "," 	1,870 "," 	4,158 "," 	3,341 "," 	2,760 "," 	1,292 "," 	4,386 ", 	-   , 	-   ," 	1,350 "," 	3,713 "," 	319,140 ",,,,,,,,,,,,,
LM, 	888 ," 	1,865 "," 	1,165 "," 	1,095 "," 	4,244 "," 	1,467 "," 	1,494 ", 	864 , 	826 , 	722 ," 	3,877 "," 	6,506 "," 	7,018 "," 	6,018 "," 	3,172 "," 	1,791 "," 	2,704 "," 	2,700 ", 	821 , 	507 , 	665 , 	172 , 	202 , 	652 , 	844 ," 	21,864 "," 	22,821 "," 	17,973 "," 	16,307 "," 	7,288 "," 	4,026 "," 	1,522 "," 	1,916 "," 	1,474 ", 	166 ," 	2,938 "," 	5,018 ", 	152 , 	509 , 	286 , 	377 ," 	1,072 ", 	368 ," 	2,149 ", 	704 ," 	2,692 ", 	-   , 	-   , 	177 , 	490 ," 	164,568 ",,,,,,,,,,,,,
