Exit stations,Entry stations->,,WEEKDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	28 , 	104 , 	86 , 	66 , 	374 , 	97 , 	132 , 	159 , 	176 , 	48 , 	84 , 	67 , 	44 , 	22 , 	22 , 	19 , 	17 , 	23 , 	21 , 	17 , 	21 , 	7 , 	9 , 	20 , 	30 , 	442 , 	427 , 	496 , 	375 , 	200 , 	199 , 	50 , 	65 , 	41 , 	17 , 	5 , 	14 , 	4 , 	16 , 	15 , 	22 , 	69 , 	29 , 	6 , 	14 , 	16 , 	-   , 	-   , 	9 , 	12 ," 	4,239 ",,,,,,,,,,,,,
EN, 	109 , 	20 , 	74 , 	75 , 	709 , 	129 , 	232 , 	435 , 	539 , 	87 , 	93 , 	114 , 	57 , 	34 , 	48 , 	22 , 	34 , 	38 , 	28 , 	17 , 	26 , 	7 , 	12 , 	29 , 	37 , 	914 , 	908 , 	862 , 	760 , 	278 , 	194 , 	76 , 	97 , 	74 , 	28 , 	7 , 	26 , 	5 , 	12 , 	31 , 	37 , 	146 , 	64 , 	14 , 	39 , 	46 , 	-   , 	-   , 	10 , 	10 ," 	7,644 ",,,,,,,,,,,,,
EP, 	85 , 	73 , 	13 , 	51 , 	632 , 	74 , 	130 , 	277 , 	321 , 	48 , 	44 , 	48 , 	32 , 	14 , 	20 , 	8 , 	16 , 	23 , 	17 , 	19 , 	21 , 	8 , 	7 , 	27 , 	15 , 	578 , 	626 , 	408 , 	424 , 	141 , 	68 , 	31 , 	28 , 	26 , 	4 , 	5 , 	12 , 	3 , 	8 , 	7 , 	11 , 	85 , 	34 , 	6 , 	26 , 	23 , 	-   , 	-   , 	3 , 	4 ," 	4,583 ",,,,,,,,,,,,,
NB, 	68 , 	70 , 	48 , 	15 , 	144 , 	50 , 	93 , 	239 , 	247 , 	43 , 	58 , 	46 , 	25 , 	18 , 	24 , 	7 , 	18 , 	24 , 	22 , 	20 , 	22 , 	7 , 	10 , 	14 , 	14 , 	668 , 	664 , 	354 , 	445 , 	171 , 	94 , 	32 , 	27 , 	24 , 	5 , 	8 , 	14 , 	6 , 	8 , 	8 , 	7 , 	98 , 	33 , 	8 , 	31 , 	22 , 	-   , 	-   , 	3 , 	5 ," 	4,078 ",,,,,,,,,,,,,
BK, 	419 , 	746 , 	623 , 	159 , 	53 , 	299 , 	345 , 	541 , 	540 , 	200 , 	279 , 	174 , 	190 , 	118 , 	121 , 	83 , 	178 , 	203 , 	101 , 	143 , 	129 , 	80 , 	60 , 	42 , 	72 ," 	1,205 "," 	1,130 ", 	809 , 	748 , 	335 , 	241 , 	141 , 	114 , 	89 , 	35 , 	56 , 	176 , 	30 , 	70 , 	36 , 	40 , 	148 , 	160 , 	73 , 	53 , 	215 , 	-   , 	-   , 	40 , 	48 ," 	11,888 ",,,,,,,,,,,,,
AS, 	103 , 	118 , 	77 , 	61 , 	279 , 	19 , 	90 , 	243 , 	249 , 	54 , 	97 , 	75 , 	49 , 	31 , 	34 , 	19 , 	34 , 	26 , 	24 , 	21 , 	22 , 	8 , 	8 , 	11 , 	25 , 	744 , 	767 , 	429 , 	489 , 	226 , 	106 , 	38 , 	34 , 	21 , 	11 , 	8 , 	23 , 	6 , 	11 , 	10 , 	15 , 	66 , 	33 , 	12 , 	25 , 	35 , 	-   , 	-   , 	5 , 	9 ," 	4,898 ",,,,,,,,,,,,,
MA, 	145 , 	226 , 	114 , 	85 , 	333 , 	99 , 	46 , 	204 , 	228 , 	55 , 	138 , 	131 , 	116 , 	78 , 	81 , 	43 , 	70 , 	75 , 	138 , 	167 , 	146 , 	56 , 	38 , 	56 , 	50 ," 	1,174 "," 	1,254 ", 	782 , 	874 , 	397 , 	201 , 	80 , 	67 , 	58 , 	25 , 	28 , 	69 , 	41 , 	142 , 	24 , 	25 , 	127 , 	61 , 	22 , 	28 , 	61 , 	-   , 	-   , 	49 , 	111 ," 	8,615 ",,,,,,,,,,,,,
19, 	173 , 	453 , 	273 , 	247 , 	512 , 	237 , 	200 , 	46 , 	49 , 	30 , 	164 , 	184 , 	220 , 	201 , 	201 , 	131 , 	188 , 	235 , 	279 , 	353 , 	293 , 	159 , 	109 , 	161 , 	66 ," 	1,443 "," 	1,575 ", 	915 ," 	1,014 ", 	445 , 	304 , 	164 , 	137 , 	132 , 	75 , 	80 , 	222 , 	117 , 	169 , 	64 , 	63 , 	103 , 	130 , 	108 , 	34 , 	213 , 	-   , 	-   , 	53 , 	123 ," 	12,843 ",,,,,,,,,,,,,
12, 	199 , 	571 , 	310 , 	261 , 	474 , 	249 , 	215 , 	55 , 	54 , 	32 , 	206 , 	242 , 	344 , 	310 , 	282 , 	176 , 	239 , 	267 , 	312 , 	453 , 	298 , 	162 , 	116 , 	179 , 	78 ," 	1,355 "," 	1,329 ", 	919 , 	991 , 	358 , 	305 , 	196 , 	188 , 	203 , 	114 , 	124 , 	272 , 	119 , 	228 , 	94 , 	85 , 	141 , 	144 , 	132 , 	47 , 	198 , 	-   , 	-   , 	60 , 	171 ," 	13,854 ",,,,,,,,,,,,,
LM, 	40 , 	85 , 	46 , 	45 , 	177 , 	55 , 	55 , 	29 , 	34 , 	20 , 	145 , 	229 , 	297 , 	239 , 	135 , 	75 , 	106 , 	109 , 	31 , 	20 , 	26 , 	7 , 	8 , 	23 , 	27 , 	950 ," 	1,035 ", 	683 , 	659 , 	255 , 	139 , 	59 , 	70 , 	59 , 	5 , 	130 , 	193 , 	6 , 	24 , 	14 , 	15 , 	41 , 	15 , 	87 , 	23 , 	92 , 	-   , 	-   , 	9 , 	21 ," 	6,646 ",,,,,,,,,,,,,
FV, 	86 , 	93 , 	42 , 	60 , 	276 , 	99 , 	136 , 	176 , 	220 , 	136 , 	24 , 	217 , 	207 , 	185 , 	168 , 	76 , 	78 , 	85 , 	41 , 	23 , 	37 , 	14 , 	22 , 	54 , 	75 , 	927 , 	964 , 	824 , 	780 , 	337 , 	214 , 	68 , 	80 , 	60 , 	11 , 	47 , 	129 , 	6 , 	24 , 	18 , 	23 , 	75 , 	23 , 	59 , 	14 , 	83 , 	-   , 	-   , 	11 , 	18 ," 	7,425 ",,,,,,,,,,,,,
CL, 	73 , 	125 , 	46 , 	48 , 	167 , 	79 , 	132 , 	200 , 	265 , 	207 , 	216 , 	30 , 	130 , 	140 , 	131 , 	75 , 	79 , 	87 , 	56 , 	46 , 	47 , 	26 , 	17 , 	44 , 	81 , 	554 , 	528 , 	480 , 	393 , 	153 , 	124 , 	54 , 	56 , 	64 , 	13 , 	57 , 	175 , 	16 , 	35 , 	18 , 	17 , 	43 , 	19 , 	84 , 	24 , 	105 , 	-   , 	-   , 	22 , 	41 ," 	5,619 ",,,,,,,,,,,,,
