Exit stations,Entry stations->,,TOTAL,,,Aug 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	737 ," 	2,936 "," 	2,418 "," 	1,817 "," 	10,924 "," 	2,480 "," 	3,617 "," 	3,784 "," 	4,369 "," 	1,216 "," 	2,516 "," 	2,160 "," 	1,151 ", 	591 , 	783 , 	521 , 	434 , 	631 , 	637 , 	371 , 	471 , 	131 , 	223 , 	635 , 	706 ," 	10,852 "," 	10,166 "," 	13,719 "," 	9,461 "," 	5,419 "," 	5,480 "," 	1,265 "," 	1,944 "," 	1,711 ", 	468 , 	154 , 	340 , 	93 , 	472 , 	450 , 	603 ," 	1,837 ", 	692 , 	194 , 	430 , 	515 , 	-   , 	-   , 	264 , 	283 ," 	113,071 ",,,,,,,,,,,,,
EN," 	3,110 ", 	615 ," 	2,210 "," 	2,043 "," 	18,836 "," 	3,490 "," 	6,090 "," 	9,811 "," 	12,936 "," 	2,422 "," 	2,741 "," 	3,867 "," 	1,482 "," 	1,052 "," 	1,622 ", 	642 , 	855 , 	973 , 	834 , 	524 , 	634 , 	202 , 	294 , 	742 , 	967 ," 	22,722 "," 	21,792 "," 	23,249 "," 	18,046 "," 	6,957 "," 	5,180 "," 	2,119 "," 	2,809 "," 	2,437 ", 	843 , 	266 , 	640 , 	107 , 	370 , 	758 , 	954 ," 	4,028 "," 	1,623 ", 	303 ," 	1,072 "," 	1,224 ", 	-   , 	-   , 	280 , 	282 ," 	197,055 ",,,,,,,,,,,,,
EP," 	2,472 "," 	2,231 ", 	376 ," 	1,396 "," 	17,360 "," 	2,099 "," 	3,525 "," 	6,634 "," 	7,698 "," 	1,510 "," 	1,424 "," 	1,978 ", 	894 , 	464 , 	675 , 	198 , 	470 , 	657 , 	500 , 	416 , 	582 , 	170 , 	187 , 	760 , 	360 ," 	14,164 "," 	14,927 "," 	11,246 "," 	10,336 "," 	3,651 "," 	1,827 ", 	843 ," 	1,003 "," 	1,005 ", 	132 , 	127 , 	282 , 	89 , 	211 , 	235 , 	299 ," 	2,538 ", 	880 , 	148 , 	888 , 	712 , 	-   , 	-   , 	94 , 	133 ," 	120,806 ",,,,,,,,,,,,,
NB," 	1,841 "," 	1,894 "," 	1,442 ", 	539 ," 	4,538 "," 	1,437 "," 	2,274 "," 	5,790 "," 	5,909 "," 	1,323 "," 	1,661 "," 	1,778 ", 	776 , 	525 , 	713 , 	238 , 	468 , 	682 , 	559 , 	556 , 	558 , 	171 , 	268 , 	381 , 	407 ," 	16,369 "," 	15,433 "," 	9,920 "," 	11,549 "," 	4,698 "," 	2,690 ", 	942 , 	853 , 	834 , 	209 , 	193 , 	368 , 	99 , 	201 , 	174 , 	252 ," 	3,190 ", 	814 , 	184 ," 	1,060 ", 	714 , 	-   , 	-   , 	85 , 	146 ," 	107,705 ",,,,,,,,,,,,,
BK," 	11,768 "," 	20,412 "," 	17,112 "," 	4,988 "," 	1,754 "," 	8,518 "," 	9,110 "," 	13,521 "," 	13,234 "," 	5,777 "," 	7,310 "," 	4,763 "," 	4,639 "," 	2,904 "," 	3,331 "," 	1,869 "," 	3,850 "," 	4,368 "," 	2,604 "," 	3,261 "," 	2,893 "," 	1,563 "," 	1,665 "," 	1,055 "," 	2,159 "," 	28,719 "," 	25,596 "," 	23,260 "," 	19,075 "," 	9,110 "," 	6,563 "," 	3,768 "," 	2,821 "," 	2,896 ", 	928 ," 	1,425 "," 	3,652 ", 	735 ," 	1,626 ", 	857 ," 	1,016 "," 	5,716 "," 	4,123 "," 	1,422 "," 	2,076 "," 	5,502 ", 	-   , 	-   , 	770 ," 	1,212 "," 	307,296 ",,,,,,,,,,,,,
AS," 	2,631 "," 	3,197 "," 	2,173 "," 	1,516 "," 	7,554 ", 	607 ," 	2,304 "," 	5,970 "," 	5,792 "," 	1,618 "," 	2,735 "," 	2,289 "," 	1,263 ", 	865 , 	979 , 	484 , 	885 , 	717 , 	569 , 	522 , 	522 , 	188 , 	213 , 	323 , 	729 ," 	17,700 "," 	17,473 "," 	11,266 "," 	12,305 "," 	6,164 "," 	3,085 "," 	1,067 "," 	1,047 ", 	796 , 	253 , 	230 , 	495 , 	129 , 	308 , 	235 , 	352 ," 	1,995 ", 	844 , 	305 , 	779 ," 	1,008 ", 	-   , 	-   , 	195 , 	252 ," 	124,928 ",,,,,,,,,,,,,
MA," 	3,918 "," 	6,085 "," 	3,191 "," 	2,203 "," 	8,615 "," 	2,558 "," 	1,249 "," 	5,111 "," 	5,829 "," 	1,737 "," 	3,985 "," 	4,546 "," 	3,019 "," 	2,176 "," 	2,133 "," 	1,050 "," 	1,829 "," 	1,858 "," 	3,588 "," 	3,917 "," 	3,403 "," 	1,497 ", 	949 ," 	1,638 "," 	1,323 "," 	29,103 "," 	30,012 "," 	21,713 "," 	22,115 "," 	10,746 "," 	5,919 "," 	2,191 "," 	2,073 "," 	1,800 ", 	686 , 	742 ," 	1,620 "," 	1,046 "," 	3,325 ", 	653 , 	800 ," 	4,018 "," 	1,632 ", 	514 , 	890 ," 	1,600 ", 	-   , 	-   ," 	1,244 "," 	2,864 "," 	224,713 ",,,,,,,,,,,,,
19," 	4,153 "," 	10,611 "," 	6,632 "," 	6,102 "," 	12,831 "," 	6,084 "," 	5,010 "," 	1,200 "," 	1,211 ", 	945 ," 	4,108 "," 	4,973 "," 	5,248 "," 	4,954 "," 	4,922 "," 	3,072 "," 	4,493 "," 	5,531 "," 	6,281 "," 	8,306 "," 	6,921 "," 	3,820 "," 	2,716 "," 	4,156 "," 	1,727 "," 	35,682 "," 	37,613 "," 	24,346 "," 	25,252 "," 	11,927 "," 	8,406 "," 	4,050 "," 	3,538 "," 	3,194 "," 	1,708 "," 	1,829 "," 	5,041 "," 	2,704 "," 	3,860 "," 	1,525 "," 	1,530 "," 	3,275 "," 	3,118 "," 	2,535 ", 	942 ," 	5,103 ", 	-   , 	-   ," 	1,293 "," 	2,853 "," 	317,331 ",,,,,,,,,,,,,
12," 	4,845 "," 	13,444 "," 	7,533 "," 	6,047 "," 	11,568 "," 	5,786 "," 	5,628 "," 	1,087 "," 	1,218 ", 	855 ," 	5,530 "," 	6,763 "," 	8,408 "," 	7,667 "," 	6,706 "," 	4,155 "," 	5,379 "," 	6,214 "," 	7,141 "," 	10,149 "," 	7,127 "," 	3,722 "," 	2,863 "," 	4,332 "," 	2,269 "," 	32,789 "," 	31,678 "," 	25,490 "," 	24,086 "," 	9,541 "," 	7,877 "," 	4,638 "," 	4,906 "," 	5,079 "," 	2,778 "," 	2,715 "," 	6,451 "," 	2,749 "," 	5,289 "," 	2,260 "," 	2,141 "," 	4,486 "," 	3,659 "," 	2,968 "," 	1,190 "," 	4,720 ", 	-   , 	-   ," 	1,424 "," 	4,151 "," 	339,501 ",,,,,,,,,,,,,
LM," 	1,167 "," 	2,352 "," 	1,404 "," 	1,308 "," 	5,339 "," 	1,738 "," 	1,727 ", 	934 , 	897 , 	583 ," 	4,092 "," 	7,277 "," 	7,545 "," 	6,216 "," 	3,718 "," 	2,053 "," 	2,716 "," 	2,737 ", 	733 , 	564 , 	590 , 	205 , 	286 , 	775 , 	882 ," 	23,240 "," 	24,526 "," 	18,685 "," 	16,611 "," 	6,999 "," 	4,041 "," 	1,707 "," 	2,203 "," 	1,905 ", 	173 ," 	3,152 "," 	5,012 ", 	142 , 	543 , 	238 , 	370 ," 	1,126 ", 	372 ," 	2,422 ", 	643 ," 	2,400 ", 	-   , 	-   , 	227 , 	540 ," 	175,115 ",,,,,,,,,,,,,
