Exit stations,Entry stations->,,TOTAL,,,Sep 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	651 ," 	3,078 "," 	2,462 "," 	1,769 "," 	11,688 "," 	2,481 "," 	3,444 "," 	3,693 "," 	4,157 "," 	1,334 "," 	2,289 "," 	2,069 "," 	1,084 ", 	590 , 	886 , 	448 , 	413 , 	653 , 	524 , 	321 , 	483 , 	119 , 	281 , 	610 , 	645 ," 	10,219 "," 	9,991 "," 	12,506 "," 	8,581 "," 	5,129 "," 	4,990 "," 	1,222 "," 	2,067 "," 	3,002 ", 	441 , 	136 , 	276 , 	72 , 	461 , 	391 , 	611 ," 	1,808 ", 	585 , 	137 , 	379 , 	465 , 	-   , 	-   , 	269 , 	323 ," 	110,233 ",,,,,,,,,,,,,
EN," 	3,150 ", 	693 ," 	2,313 "," 	2,146 "," 	20,486 "," 	3,238 "," 	5,877 "," 	9,829 "," 	12,015 "," 	2,472 "," 	2,562 "," 	4,405 "," 	1,284 "," 	1,040 "," 	1,931 ", 	633 , 	817 , 	882 , 	820 , 	435 , 	547 , 	213 , 	366 , 	772 , 	890 ," 	21,245 "," 	20,228 "," 	21,249 "," 	16,509 "," 	6,736 "," 	4,981 "," 	1,994 "," 	2,942 "," 	4,142 ", 	764 , 	271 , 	609 , 	98 , 	319 , 	744 , 	928 ," 	3,424 "," 	1,466 ", 	262 ," 	1,032 "," 	1,111 ", 	-   , 	-   , 	177 , 	288 ," 	191,335 ",,,,,,,,,,,,,
EP," 	2,472 "," 	2,330 ", 	429 ," 	1,355 "," 	18,612 "," 	2,135 "," 	3,275 "," 	6,519 "," 	7,122 "," 	1,762 "," 	1,340 "," 	2,044 ", 	776 , 	444 , 	685 , 	162 , 	399 , 	649 , 	487 , 	439 , 	493 , 	177 , 	230 , 	780 , 	391 ," 	13,750 "," 	13,919 "," 	10,398 "," 	10,287 "," 	3,419 "," 	1,733 ", 	760 ," 	1,094 "," 	1,635 ", 	155 , 	123 , 	255 , 	98 , 	204 , 	190 , 	263 ," 	1,883 ", 	805 , 	134 , 	830 , 	702 , 	-   , 	-   , 	74 , 	128 ," 	118,346 ",,,,,,,,,,,,,
NB," 	1,915 "," 	2,095 "," 	1,412 ", 	533 ," 	5,230 "," 	1,487 "," 	2,363 "," 	6,184 "," 	5,695 "," 	1,467 "," 	1,660 "," 	1,988 ", 	787 , 	582 , 	757 , 	262 , 	445 , 	660 , 	537 , 	510 , 	509 , 	190 , 	299 , 	457 , 	397 ," 	15,366 "," 	14,006 "," 	9,090 "," 	11,573 "," 	4,150 "," 	2,558 ", 	860 ," 	1,109 "," 	1,133 ", 	196 , 	187 , 	421 , 	66 , 	176 , 	153 , 	257 ," 	2,350 ", 	730 , 	136 ," 	1,029 ", 	694 , 	-   , 	-   , 	123 , 	151 ," 	104,935 ",,,,,,,,,,,,,
BK," 	12,539 "," 	21,925 "," 	18,856 "," 	5,489 "," 	1,995 "," 	8,730 "," 	8,989 "," 	13,803 "," 	13,176 "," 	6,371 "," 	7,289 "," 	5,580 "," 	4,897 "," 	3,450 "," 	3,755 "," 	1,992 "," 	3,916 "," 	4,157 "," 	2,790 "," 	3,205 "," 	2,837 "," 	1,690 "," 	1,525 "," 	1,109 "," 	2,056 "," 	25,572 "," 	22,647 "," 	19,171 "," 	18,863 "," 	9,015 "," 	6,926 "," 	3,788 "," 	3,170 "," 	3,741 ", 	956 ," 	1,534 "," 	3,349 ", 	805 ," 	1,699 ", 	942 ," 	1,106 "," 	3,763 "," 	3,624 "," 	1,156 "," 	1,985 "," 	5,424 ", 	-   , 	-   , 	868 ," 	1,335 "," 	303,560 ",,,,,,,,,,,,,
AS," 	2,559 "," 	3,014 "," 	2,069 "," 	1,643 "," 	7,904 ", 	611 ," 	2,221 "," 	6,194 "," 	5,691 "," 	1,764 "," 	2,689 "," 	2,424 "," 	1,151 ", 	932 , 	893 , 	479 , 	820 , 	750 , 	510 , 	480 , 	430 , 	136 , 	210 , 	314 , 	715 ," 	16,572 "," 	16,480 "," 	10,620 "," 	12,012 "," 	5,836 "," 	2,959 ", 	920 ," 	1,112 "," 	1,142 ", 	292 , 	216 , 	455 , 	144 , 	291 , 	266 , 	343 ," 	1,583 ", 	795 , 	253 , 	743 , 	896 , 	-   , 	-   , 	185 , 	288 ," 	121,006 ",,,,,,,,,,,,,
MA," 	3,902 "," 	5,949 "," 	2,993 "," 	2,217 "," 	8,604 "," 	2,419 "," 	1,457 "," 	5,332 "," 	5,671 "," 	1,933 "," 	3,866 "," 	4,916 "," 	2,807 "," 	2,051 "," 	2,158 "," 	1,076 "," 	1,736 "," 	1,835 "," 	3,235 "," 	3,783 "," 	3,137 "," 	1,294 ", 	951 ," 	1,723 "," 	1,143 "," 	27,548 "," 	28,074 "," 	19,740 "," 	21,374 "," 	10,103 "," 	5,614 "," 	2,094 "," 	2,291 "," 	2,373 ", 	627 , 	687 ," 	1,462 ", 	894 ," 	3,147 ", 	575 , 	692 ," 	3,529 "," 	1,503 ", 	532 ," 	1,004 "," 	1,690 ", 	-   , 	-   ," 	1,362 "," 	2,724 "," 	215,827 ",,,,,,,,,,,,,
19," 	4,063 "," 	10,273 "," 	6,674 "," 	6,199 "," 	12,646 "," 	6,152 "," 	5,253 "," 	1,320 "," 	1,358 "," 	1,055 "," 	4,469 "," 	4,960 "," 	5,526 "," 	4,793 "," 	4,682 "," 	3,088 "," 	4,426 "," 	5,536 "," 	6,192 "," 	7,928 "," 	6,606 "," 	3,694 "," 	2,817 "," 	4,451 "," 	1,705 "," 	35,230 "," 	35,326 "," 	23,434 "," 	25,207 "," 	12,087 "," 	8,421 "," 	3,965 "," 	3,717 "," 	3,674 "," 	1,658 "," 	1,728 "," 	4,834 "," 	2,664 "," 	3,749 "," 	1,461 "," 	1,428 "," 	2,984 "," 	2,970 "," 	2,444 "," 	1,146 "," 	4,924 ", 	-   , 	-   ," 	1,299 "," 	2,887 "," 	313,103 ",,,,,,,,,,,,,
12," 	4,629 "," 	12,599 "," 	7,042 "," 	5,757 "," 	11,116 "," 	5,502 "," 	5,349 "," 	1,275 "," 	1,418 ", 	957 ," 	5,123 "," 	7,234 "," 	7,820 "," 	7,167 "," 	6,243 "," 	3,968 "," 	5,079 "," 	6,069 "," 	6,858 "," 	9,613 "," 	6,496 "," 	3,244 "," 	2,796 "," 	4,159 "," 	2,235 "," 	31,364 "," 	29,985 "," 	23,926 "," 	22,887 "," 	9,379 "," 	7,771 "," 	4,356 "," 	4,617 "," 	5,372 "," 	2,567 "," 	2,560 "," 	6,049 "," 	2,730 "," 	4,846 "," 	2,171 "," 	1,906 "," 	4,199 "," 	3,311 "," 	2,794 "," 	1,517 "," 	4,393 ", 	-   , 	-   ," 	1,454 "," 	3,762 "," 	323,664 ",,,,,,,,,,,,,
LM," 	1,293 "," 	2,442 "," 	1,688 "," 	1,563 "," 	6,266 "," 	1,944 "," 	1,889 "," 	1,038 "," 	1,022 ", 	698 ," 	4,507 "," 	8,192 "," 	7,461 "," 	6,250 "," 	4,008 "," 	2,117 "," 	2,708 "," 	2,550 ", 	705 , 	550 , 	547 , 	171 , 	283 , 	874 , 	950 ," 	22,394 "," 	23,030 "," 	16,956 "," 	15,324 "," 	6,438 "," 	3,700 "," 	1,565 "," 	2,255 "," 	2,743 ", 	178 ," 	2,982 "," 	4,719 ", 	160 , 	516 , 	259 , 	399 ," 	1,038 ", 	298 ," 	2,340 ", 	780 ," 	2,443 ", 	-   , 	-   , 	314 , 	591 ," 	173,138 ",,,,,,,,,,,,,
