Exit stations,Entry stations->,,TOTAL,,,Oct 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	807 ," 	3,327 "," 	2,597 "," 	2,030 "," 	12,053 "," 	2,619 "," 	3,858 "," 	4,203 "," 	4,636 "," 	1,394 "," 	2,397 "," 	1,734 "," 	1,086 ", 	679 , 	970 , 	477 , 	442 , 	695 , 	648 , 	408 , 	566 , 	110 , 	265 , 	675 , 	701 ," 	11,189 "," 	10,670 "," 	13,232 "," 	9,551 "," 	5,635 "," 	5,402 "," 	1,282 "," 	2,042 "," 	3,307 ", 	460 , 	161 , 	342 , 	105 , 	506 , 	413 , 	664 ," 	1,696 ", 	700 , 	159 , 	377 , 	521 , 	-   , 	-   , 	347 , 	274 ," 	118,412 ",,,,,,,,,,,,,
EN," 	3,594 ", 	884 ," 	2,565 "," 	2,372 "," 	21,630 "," 	3,501 "," 	6,395 "," 	11,099 "," 	13,404 "," 	2,653 "," 	2,801 "," 	2,809 "," 	1,496 "," 	1,080 "," 	1,988 ", 	721 , 	814 ," 	1,074 ", 	861 , 	502 , 	652 , 	248 , 	276 , 	798 ," 	1,023 "," 	23,227 "," 	22,313 "," 	23,130 "," 	18,608 "," 	7,527 "," 	5,577 "," 	2,263 "," 	3,204 "," 	4,473 ", 	821 , 	255 , 	574 , 	141 , 	397 , 	789 ," 	1,116 "," 	3,656 "," 	1,605 ", 	283 ," 	1,075 "," 	1,243 ", 	-   , 	-   , 	213 , 	350 ," 	208,080 ",,,,,,,,,,,,,
EP," 	2,562 "," 	2,500 ", 	425 ," 	1,516 "," 	19,478 "," 	2,276 "," 	3,598 "," 	7,270 "," 	8,063 "," 	1,964 "," 	1,429 "," 	1,182 ", 	812 , 	484 , 	833 , 	194 , 	423 , 	724 , 	533 , 	502 , 	585 , 	188 , 	179 , 	816 , 	382 ," 	14,802 "," 	14,888 "," 	11,266 "," 	11,402 "," 	3,895 "," 	1,893 ", 	857 ," 	1,080 "," 	1,801 ", 	146 , 	130 , 	295 , 	94 , 	221 , 	215 , 	348 ," 	2,144 ", 	848 , 	149 , 	826 , 	758 , 	-   , 	-   , 	96 , 	102 ," 	127,174 ",,,,,,,,,,,,,
NB," 	2,133 "," 	2,274 "," 	1,574 ", 	564 ," 	5,483 "," 	1,536 "," 	2,541 "," 	6,350 "," 	6,390 "," 	1,667 "," 	1,734 "," 	1,029 ", 	800 , 	508 , 	815 , 	217 , 	465 , 	626 , 	561 , 	631 , 	534 , 	202 , 	285 , 	422 , 	399 ," 	15,789 "," 	14,755 "," 	9,777 "," 	12,586 "," 	4,396 "," 	2,814 ", 	882 ," 	1,089 "," 	1,267 ", 	177 , 	160 , 	407 , 	92 , 	157 , 	199 , 	276 ," 	2,803 ", 	872 , 	126 ," 	1,086 ", 	734 , 	-   , 	-   , 	141 , 	181 ," 	110,506 ",,,,,,,,,,,,,
BK," 	13,166 "," 	22,730 "," 	19,893 "," 	5,638 "," 	2,162 "," 	8,894 "," 	9,685 "," 	14,837 "," 	13,998 "," 	6,592 "," 	7,784 "," 	4,586 "," 	4,960 "," 	3,697 "," 	3,749 "," 	2,376 "," 	3,951 "," 	3,993 "," 	2,782 "," 	3,520 "," 	3,065 "," 	1,656 "," 	1,619 "," 	1,204 "," 	2,135 "," 	27,344 "," 	23,665 "," 	21,249 "," 	20,709 "," 	9,497 "," 	7,275 "," 	3,949 "," 	3,080 "," 	3,761 ", 	965 ," 	1,543 "," 	3,378 ", 	861 ," 	1,739 ", 	903 ," 	1,062 "," 	4,422 "," 	3,830 "," 	1,273 "," 	2,134 "," 	5,489 ", 	-   , 	-   , 	905 ," 	1,353 "," 	319,058 ",,,,,,,,,,,,,
AS," 	2,797 "," 	3,188 "," 	2,215 "," 	1,719 "," 	7,976 ", 	549 ," 	2,434 "," 	6,607 "," 	6,094 "," 	1,985 "," 	2,784 "," 	1,671 "," 	1,319 ", 	961 , 	943 , 	583 , 	876 , 	720 , 	579 , 	600 , 	530 , 	179 , 	219 , 	353 , 	742 ," 	18,113 "," 	18,040 "," 	11,589 "," 	13,351 "," 	6,515 "," 	3,224 ", 	871 ," 	1,193 "," 	1,220 ", 	286 , 	225 , 	508 , 	141 , 	308 , 	297 , 	335 ," 	1,669 ", 	910 , 	317 , 	787 ," 	1,021 ", 	-   , 	-   , 	165 , 	367 ," 	130,075 ",,,,,,,,,,,,,
MA," 	4,288 "," 	6,356 "," 	3,244 "," 	2,402 "," 	9,390 "," 	2,576 "," 	1,537 "," 	5,836 "," 	6,309 "," 	2,120 "," 	4,350 "," 	3,519 "," 	3,024 "," 	2,223 "," 	2,352 "," 	1,236 "," 	1,972 "," 	1,917 "," 	3,534 "," 	4,186 "," 	3,740 "," 	1,435 "," 	1,051 "," 	1,705 "," 	1,182 "," 	29,819 "," 	30,353 "," 	21,823 "," 	24,630 "," 	11,097 "," 	6,053 "," 	2,384 "," 	2,281 "," 	2,686 ", 	757 , 	747 ," 	1,608 ", 	934 ," 	3,527 ", 	645 , 	783 ," 	3,692 "," 	1,703 ", 	527 , 	939 ," 	1,803 ", 	-   , 	-   ," 	1,466 "," 	2,871 "," 	234,612 ",,,,,,,,,,,,,
19," 	4,631 "," 	11,555 "," 	7,383 "," 	6,687 "," 	13,628 "," 	6,618 "," 	5,593 "," 	1,477 "," 	1,463 "," 	1,046 "," 	5,087 "," 	4,208 "," 	6,111 "," 	5,429 "," 	5,416 "," 	3,552 "," 	5,039 "," 	6,299 "," 	7,027 "," 	8,861 "," 	7,416 "," 	4,096 "," 	3,107 "," 	4,740 "," 	1,839 "," 	38,425 "," 	39,490 "," 	25,957 "," 	27,835 "," 	12,866 "," 	9,228 "," 	4,313 "," 	4,090 "," 	3,967 "," 	1,968 "," 	1,964 "," 	5,480 "," 	2,985 "," 	4,357 "," 	1,644 "," 	1,647 "," 	3,077 "," 	3,357 "," 	2,692 "," 	1,037 "," 	5,551 ", 	-   , 	-   ," 	1,402 "," 	3,234 "," 	344,874 ",,,,,,,,,,,,,
12," 	5,066 "," 	13,957 "," 	7,661 "," 	6,433 "," 	11,737 "," 	5,983 "," 	5,857 "," 	1,252 "," 	1,560 ", 	805 ," 	5,350 "," 	5,800 "," 	8,387 "," 	7,739 "," 	6,886 "," 	4,408 "," 	5,741 "," 	6,673 "," 	7,605 "," 	10,942 "," 	7,605 "," 	3,641 "," 	3,100 "," 	4,268 "," 	2,248 "," 	33,758 "," 	31,828 "," 	24,564 "," 	25,404 "," 	9,675 "," 	8,338 "," 	4,692 "," 	4,939 "," 	5,658 "," 	3,016 "," 	2,812 "," 	6,966 "," 	3,114 "," 	5,559 "," 	2,385 "," 	2,127 "," 	4,139 "," 	3,755 "," 	3,219 "," 	1,566 "," 	4,973 ", 	-   , 	-   ," 	1,570 "," 	4,470 "," 	349,231 ",,,,,,,,,,,,,
LM," 	1,244 "," 	2,644 "," 	1,789 "," 	1,843 "," 	6,370 "," 	2,184 "," 	2,024 "," 	1,046 ", 	948 , 	633 ," 	4,576 "," 	6,828 "," 	8,166 "," 	6,784 "," 	4,384 "," 	2,206 "," 	2,986 "," 	2,818 ", 	791 , 	656 , 	550 , 	163 , 	284 , 	989 , 	934 ," 	24,430 "," 	25,370 "," 	18,872 "," 	17,191 "," 	7,301 "," 	4,156 "," 	1,660 "," 	2,461 "," 	2,936 ", 	200 ," 	3,262 "," 	5,178 ", 	201 , 	540 , 	323 , 	399 ," 	1,061 ", 	373 ," 	2,647 ", 	766 ," 	2,735 ", 	-   , 	-   , 	333 , 	555 ," 	186,790 ",,,,,,,,,,,,,
