Exit stations,Entry stations->,,SATURDAY,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	14 , 	48 , 	66 , 	42 , 	212 , 	65 , 	68 , 	52 , 	58 , 	17 , 	79 , 	35 , 	21 , 	17 , 	15 , 	6 , 	7 , 	11 , 	10 , 	5 , 	9 , 	4 , 	5 , 	15 , 	15 , 	126 , 	118 , 	298 , 	122 , 	87 , 	106 , 	20 , 	33 , 	27 , 	8 , 	4 , 	11 , 	1 , 	11 , 	9 , 	10 , 	40 , 	11 , 	3 , 	11 , 	15 , 	-   , 	-   , 	6 , 	5 ," 	1,978 ",,,,,,,,,,
EN, 	55 , 	15 , 	50 , 	42 , 	381 , 	63 , 	85 , 	96 , 	107 , 	27 , 	113 , 	51 , 	21 , 	27 , 	25 , 	15 , 	13 , 	17 , 	16 , 	11 , 	13 , 	4 , 	6 , 	19 , 	21 , 	264 , 	197 , 	516 , 	178 , 	98 , 	114 , 	36 , 	36 , 	37 , 	18 , 	6 , 	6 , 	2 , 	9 , 	11 , 	11 , 	94 , 	19 , 	7 , 	22 , 	26 , 	-   , 	-   , 	5 , 	10 ," 	3,011 ",,,,,,,,,,
EP, 	69 , 	46 , 	11 , 	33 , 	460 , 	41 , 	50 , 	84 , 	83 , 	31 , 	54 , 	18 , 	18 , 	13 , 	9 , 	4 , 	12 , 	13 , 	6 , 	13 , 	12 , 	6 , 	4 , 	13 , 	9 , 	168 , 	123 , 	301 , 	135 , 	70 , 	59 , 	22 , 	14 , 	16 , 	5 , 	2 , 	10 , 	1 , 	2 , 	3 , 	2 , 	56 , 	13 , 	4 , 	23 , 	13 , 	-   , 	-   , 	1 , 	5 ," 	2,165 ",,,,,,,,,,
NB, 	35 , 	40 , 	36 , 	14 , 	147 , 	28 , 	37 , 	81 , 	64 , 	26 , 	59 , 	18 , 	20 , 	10 , 	12 , 	5 , 	8 , 	12 , 	10 , 	7 , 	10 , 	2 , 	3 , 	8 , 	11 , 	187 , 	127 , 	245 , 	205 , 	99 , 	93 , 	26 , 	10 , 	14 , 	6 , 	3 , 	7 , 	2 , 	4 , 	3 , 	6 , 	71 , 	16 , 	3 , 	30 , 	13 , 	-   , 	-   , 	1 , 	3 ," 	1,878 ",,,,,,,,,,
BK, 	238 , 	411 , 	450 , 	158 , 	66 , 	212 , 	210 , 	263 , 	236 , 	93 , 	194 , 	75 , 	84 , 	83 , 	71 , 	36 , 	71 , 	114 , 	41 , 	58 , 	86 , 	52 , 	67 , 	38 , 	50 , 	534 , 	389 , 	811 , 	431 , 	237 , 	226 , 	102 , 	58 , 	114 , 	20 , 	26 , 	70 , 	15 , 	19 , 	16 , 	23 , 	132 , 	146 , 	35 , 	74 , 	172 , 	-   , 	-   , 	5 , 	20 ," 	7,132 ",,,,,,,,,,
AS, 	58 , 	67 , 	45 , 	22 , 	172 , 	14 , 	53 , 	109 , 	85 , 	33 , 	86 , 	29 , 	24 , 	19 , 	19 , 	6 , 	12 , 	16 , 	9 , 	6 , 	8 , 	3 , 	3 , 	5 , 	18 , 	181 , 	134 , 	244 , 	161 , 	126 , 	110 , 	29 , 	18 , 	14 , 	4 , 	6 , 	11 , 	1 , 	5 , 	3 , 	5 , 	45 , 	8 , 	5 , 	22 , 	20 , 	-   , 	-   , 	1 , 	6 ," 	2,078 ",,,,,,,,,,
MA, 	75 , 	85 , 	57 , 	41 , 	201 , 	59 , 	22 , 	79 , 	89 , 	27 , 	123 , 	51 , 	39 , 	31 , 	31 , 	15 , 	18 , 	18 , 	29 , 	21 , 	35 , 	17 , 	10 , 	36 , 	26 , 	292 , 	222 , 	452 , 	284 , 	215 , 	170 , 	42 , 	30 , 	32 , 	11 , 	8 , 	12 , 	5 , 	31 , 	6 , 	10 , 	79 , 	20 , 	5 , 	29 , 	22 , 	-   , 	-   , 	13 , 	23 ," 	3,248 ",,,,,,,,,,
19, 	54 , 	99 , 	86 , 	92 , 	246 , 	115 , 	81 , 	26 , 	21 , 	16 , 	111 , 	48 , 	67 , 	50 , 	47 , 	27 , 	26 , 	32 , 	36 , 	41 , 	56 , 	23 , 	24 , 	70 , 	37 , 	324 , 	252 , 	484 , 	351 , 	222 , 	202 , 	64 , 	38 , 	46 , 	10 , 	9 , 	22 , 	8 , 	21 , 	9 , 	15 , 	77 , 	36 , 	13 , 	20 , 	39 , 	-   , 	-   , 	7 , 	13 ," 	3,814 ",,,,,,,,,,
12, 	51 , 	114 , 	77 , 	66 , 	202 , 	92 , 	72 , 	20 , 	25 , 	11 , 	93 , 	60 , 	74 , 	74 , 	45 , 	25 , 	38 , 	37 , 	40 , 	43 , 	56 , 	19 , 	30 , 	55 , 	54 , 	299 , 	236 , 	494 , 	276 , 	154 , 	147 , 	49 , 	55 , 	48 , 	19 , 	10 , 	18 , 	8 , 	27 , 	15 , 	16 , 	87 , 	43 , 	9 , 	25 , 	39 , 	-   , 	-   , 	8 , 	20 ," 	3,576 ",,,,,,,,,,
LM, 	18 , 	30 , 	28 , 	27 , 	92 , 	29 , 	29 , 	17 , 	10 , 	11 , 	133 , 	79 , 	131 , 	122 , 	52 , 	27 , 	32 , 	48 , 	10 , 	11 , 	9 , 	4 , 	3 , 	13 , 	17 , 	266 , 	202 , 	438 , 	247 , 	158 , 	124 , 	37 , 	30 , 	34 , 	5 , 	57 , 	87 , 	3 , 	4 , 	4 , 	9 , 	23 , 	7 , 	41 , 	20 , 	40 , 	-   , 	-   , 	3 , 	5 ," 	2,824 ",,,,,,,,,,
FV, 	83 , 	112 , 	61 , 	61 , 	192 , 	95 , 	124 , 	105 , 	95 , 	115 , 	20 , 	173 , 	204 , 	185 , 	133 , 	71 , 	58 , 	66 , 	37 , 	19 , 	19 , 	9 , 	23 , 	54 , 	72 , 	264 , 	214 , 	562 , 	270 , 	170 , 	150 , 	39 , 	53 , 	52 , 	9 , 	59 , 	81 , 	8 , 	21 , 	11 , 	12 , 	40 , 	12 , 	57 , 	12 , 	63 , 	-   , 	-   , 	8 , 	16 ," 	4,371 ",,,,,,,,,,
