Exit stations,Entry stations->,,SATURDAY,,,Dec 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	22 , 	54 , 	66 , 	35 , 	184 , 	45 , 	56 , 	44 , 	55 , 	14 , 	55 , 	29 , 	24 , 	16 , 	13 , 	7 , 	8 , 	13 , 	9 , 	5 , 	13 , 	3 , 	4 , 	15 , 	14 , 	143 , 	128 , 	326 , 	106 , 	88 , 	96 , 	23 , 	35 , 	31 , 	6 , 	4 , 	6 , 	1 , 	5 , 	7 , 	10 , 	42 , 	9 , 	3 , 	7 , 	12 , 	-   , 	-   , 	6 , 	5 ," 	1,896 ",,,,,,,,,,
EN, 	56 , 	16 , 	57 , 	34 , 	299 , 	70 , 	87 , 	75 , 	102 , 	28 , 	54 , 	42 , 	21 , 	23 , 	20 , 	17 , 	12 , 	13 , 	15 , 	8 , 	14 , 	3 , 	4 , 	16 , 	18 , 	261 , 	208 , 	648 , 	196 , 	107 , 	92 , 	37 , 	32 , 	33 , 	20 , 	4 , 	7 , 	2 , 	6 , 	8 , 	17 , 	98 , 	17 , 	7 , 	27 , 	21 , 	-   , 	-   , 	5 , 	7 ," 	2,960 ",,,,,,,,,,
EP, 	65 , 	47 , 	11 , 	38 , 	331 , 	40 , 	52 , 	69 , 	82 , 	24 , 	33 , 	14 , 	17 , 	12 , 	8 , 	5 , 	9 , 	11 , 	14 , 	8 , 	14 , 	6 , 	5 , 	16 , 	8 , 	183 , 	129 , 	358 , 	149 , 	60 , 	45 , 	20 , 	16 , 	16 , 	3 , 	3 , 	8 , 	2 , 	3 , 	5 , 	3 , 	59 , 	10 , 	3 , 	19 , 	15 , 	-   , 	-   , 	2 , 	5 ," 	2,051 ",,,,,,,,,,
NB, 	36 , 	32 , 	40 , 	13 , 	96 , 	27 , 	40 , 	77 , 	58 , 	21 , 	30 , 	13 , 	17 , 	10 , 	10 , 	4 , 	7 , 	12 , 	9 , 	9 , 	14 , 	4 , 	4 , 	7 , 	9 , 	190 , 	139 , 	296 , 	181 , 	85 , 	68 , 	29 , 	12 , 	13 , 	7 , 	4 , 	6 , 	2 , 	4 , 	3 , 	5 , 	79 , 	12 , 	3 , 	18 , 	16 , 	-   , 	-   , 	1 , 	3 ," 	1,769 ",,,,,,,,,,
BK, 	195 , 	311 , 	329 , 	104 , 	38 , 	165 , 	152 , 	200 , 	188 , 	68 , 	123 , 	62 , 	70 , 	55 , 	40 , 	18 , 	35 , 	49 , 	30 , 	30 , 	48 , 	29 , 	24 , 	28 , 	38 , 	347 , 	263 , 	635 , 	287 , 	174 , 	138 , 	68 , 	40 , 	60 , 	8 , 	18 , 	52 , 	8 , 	17 , 	12 , 	16 , 	111 , 	53 , 	15 , 	28 , 	89 , 	-   , 	-   , 	8 , 	12 ," 	4,884 ",,,,,,,,,,
AS, 	48 , 	66 , 	39 , 	27 , 	141 , 	15 , 	52 , 	90 , 	62 , 	26 , 	55 , 	21 , 	21 , 	15 , 	16 , 	9 , 	8 , 	16 , 	9 , 	7 , 	9 , 	3 , 	4 , 	5 , 	17 , 	148 , 	134 , 	252 , 	152 , 	102 , 	72 , 	29 , 	18 , 	13 , 	3 , 	6 , 	7 , 	2 , 	5 , 	1 , 	5 , 	39 , 	10 , 	5 , 	16 , 	15 , 	-   , 	-   , 	1 , 	4 ," 	1,814 ",,,,,,,,,,
MA, 	77 , 	79 , 	57 , 	48 , 	148 , 	56 , 	29 , 	76 , 	76 , 	27 , 	68 , 	46 , 	34 , 	35 , 	29 , 	12 , 	14 , 	21 , 	35 , 	27 , 	40 , 	19 , 	11 , 	41 , 	30 , 	307 , 	228 , 	513 , 	305 , 	205 , 	138 , 	50 , 	27 , 	28 , 	10 , 	6 , 	13 , 	8 , 	27 , 	4 , 	14 , 	82 , 	23 , 	6 , 	18 , 	26 , 	-   , 	-   , 	12 , 	30 ," 	3,208 ",,,,,,,,,,
19, 	42 , 	87 , 	78 , 	83 , 	187 , 	84 , 	69 , 	24 , 	21 , 	18 , 	83 , 	49 , 	68 , 	40 , 	39 , 	25 , 	24 , 	27 , 	39 , 	39 , 	53 , 	24 , 	22 , 	74 , 	30 , 	302 , 	271 , 	547 , 	334 , 	216 , 	173 , 	66 , 	44 , 	40 , 	8 , 	6 , 	17 , 	7 , 	16 , 	10 , 	13 , 	81 , 	24 , 	11 , 	16 , 	32 , 	-   , 	-   , 	8 , 	11 ," 	3,579 ",,,,,,,,,,
12, 	53 , 	100 , 	83 , 	65 , 	154 , 	73 , 	71 , 	13 , 	23 , 	9 , 	66 , 	57 , 	62 , 	65 , 	43 , 	20 , 	31 , 	32 , 	47 , 	38 , 	41 , 	17 , 	27 , 	56 , 	45 , 	290 , 	245 , 	528 , 	253 , 	138 , 	123 , 	50 , 	55 , 	45 , 	17 , 	8 , 	12 , 	7 , 	22 , 	14 , 	16 , 	99 , 	37 , 	6 , 	27 , 	39 , 	-   , 	-   , 	8 , 	23 ," 	3,343 ",,,,,,,,,,
LM, 	11 , 	26 , 	23 , 	20 , 	64 , 	25 , 	28 , 	17 , 	14 , 	13 , 	76 , 	93 , 	116 , 	125 , 	41 , 	28 , 	36 , 	38 , 	9 , 	6 , 	9 , 	3 , 	2 , 	10 , 	13 , 	245 , 	225 , 	504 , 	238 , 	148 , 	97 , 	39 , 	36 , 	32 , 	3 , 	58 , 	62 , 	2 , 	3 , 	2 , 	8 , 	26 , 	10 , 	35 , 	16 , 	45 , 	-   , 	-   , 	1 , 	4 ," 	2,679 ",,,,,,,,,,
