Exit stations,Entry stations->,,SATURDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	46 , 	62 , 	35 , 	182 , 	47 , 	60 , 	48 , 	62 , 	17 , 	55 , 	25 , 	20 , 	15 , 	14 , 	11 , 	10 , 	11 , 	12 , 	7 , 	8 , 	4 , 	2 , 	16 , 	14 , 	142 , 	118 , 	297 , 	116 , 	75 , 	108 , 	21 , 	35 , 	25 , 	8 , 	3 , 	7 , 	1 , 	8 , 	10 , 	11 , 	39 , 	12 , 	2 , 	7 , 	10 , 	-   , 	-   , 	6 , 	4 ," 	1,850 ",,,,,,,,,,
EN, 	50 , 	13 , 	44 , 	41 , 	290 , 	61 , 	79 , 	80 , 	133 , 	26 , 	59 , 	40 , 	26 , 	27 , 	20 , 	13 , 	14 , 	13 , 	13 , 	10 , 	14 , 	4 , 	4 , 	20 , 	25 , 	274 , 	201 , 	514 , 	208 , 	95 , 	99 , 	29 , 	37 , 	35 , 	17 , 	4 , 	7 , 	4 , 	10 , 	7 , 	14 , 	85 , 	16 , 	3 , 	23 , 	25 , 	-   , 	-   , 	4 , 	9 ," 	2,838 ",,,,,,,,,,
EP, 	70 , 	55 , 	8 , 	41 , 	361 , 	42 , 	58 , 	79 , 	119 , 	27 , 	30 , 	14 , 	11 , 	15 , 	10 , 	4 , 	11 , 	11 , 	9 , 	6 , 	14 , 	6 , 	5 , 	20 , 	8 , 	179 , 	126 , 	270 , 	130 , 	69 , 	48 , 	18 , 	17 , 	16 , 	3 , 	3 , 	7 , 	2 , 	4 , 	4 , 	4 , 	53 , 	15 , 	4 , 	16 , 	15 , 	-   , 	-   , 	2 , 	4 ," 	2,035 ",,,,,,,,,,
NB, 	29 , 	42 , 	42 , 	11 , 	108 , 	28 , 	44 , 	84 , 	117 , 	27 , 	29 , 	17 , 	19 , 	8 , 	10 , 	6 , 	8 , 	10 , 	6 , 	10 , 	14 , 	5 , 	3 , 	11 , 	8 , 	190 , 	139 , 	252 , 	186 , 	110 , 	67 , 	23 , 	12 , 	13 , 	5 , 	2 , 	8 , 	2 , 	4 , 	3 , 	4 , 	71 , 	11 , 	2 , 	22 , 	11 , 	-   , 	-   , 	0 , 	3 ," 	1,833 ",,,,,,,,,,
BK, 	197 , 	311 , 	349 , 	114 , 	35 , 	176 , 	177 , 	228 , 	234 , 	83 , 	133 , 	66 , 	63 , 	57 , 	43 , 	29 , 	39 , 	50 , 	32 , 	40 , 	52 , 	31 , 	23 , 	28 , 	44 , 	398 , 	294 , 	546 , 	325 , 	193 , 	156 , 	63 , 	36 , 	52 , 	10 , 	17 , 	41 , 	11 , 	13 , 	8 , 	12 , 	182 , 	51 , 	15 , 	71 , 	75 , 	-   , 	-   , 	6 , 	9 ," 	5,211 ",,,,,,,,,,
AS, 	40 , 	59 , 	34 , 	22 , 	151 , 	8 , 	54 , 	110 , 	116 , 	27 , 	57 , 	27 , 	21 , 	14 , 	21 , 	11 , 	9 , 	15 , 	9 , 	9 , 	8 , 	4 , 	2 , 	6 , 	18 , 	167 , 	145 , 	248 , 	176 , 	130 , 	97 , 	23 , 	17 , 	12 , 	1 , 	4 , 	9 , 	1 , 	5 , 	4 , 	3 , 	50 , 	12 , 	2 , 	20 , 	19 , 	-   , 	-   , 	2 , 	6 ," 	1,997 ",,,,,,,,,,
MA, 	73 , 	79 , 	53 , 	47 , 	175 , 	63 , 	20 , 	77 , 	96 , 	31 , 	84 , 	51 , 	34 , 	29 , 	33 , 	12 , 	19 , 	21 , 	36 , 	27 , 	36 , 	20 , 	10 , 	40 , 	26 , 	318 , 	250 , 	458 , 	323 , 	228 , 	137 , 	45 , 	34 , 	29 , 	6 , 	8 , 	9 , 	9 , 	25 , 	5 , 	11 , 	83 , 	19 , 	5 , 	15 , 	22 , 	-   , 	-   , 	14 , 	20 ," 	3,261 ",,,,,,,,,,
19, 	47 , 	86 , 	86 , 	82 , 	211 , 	108 , 	82 , 	28 , 	20 , 	18 , 	86 , 	56 , 	60 , 	45 , 	43 , 	21 , 	29 , 	32 , 	37 , 	39 , 	54 , 	33 , 	26 , 	84 , 	43 , 	353 , 	275 , 	487 , 	346 , 	237 , 	205 , 	58 , 	35 , 	39 , 	12 , 	8 , 	19 , 	8 , 	19 , 	12 , 	14 , 	61 , 	29 , 	11 , 	14 , 	32 , 	-   , 	-   , 	6 , 	13 ," 	3,746 ",,,,,,,,,,
12, 	60 , 	126 , 	128 , 	131 , 	202 , 	116 , 	99 , 	18 , 	34 , 	15 , 	111 , 	65 , 	89 , 	87 , 	63 , 	27 , 	56 , 	56 , 	57 , 	60 , 	64 , 	38 , 	40 , 	151 , 	46 , 	302 , 	248 , 	488 , 	272 , 	162 , 	132 , 	63 , 	58 , 	50 , 	21 , 	19 , 	25 , 	10 , 	23 , 	12 , 	20 , 	81 , 	42 , 	14 , 	13 , 	47 , 	-   , 	-   , 	11 , 	17 ," 	4,062 ",,,,,,,,,,
LM, 	14 , 	29 , 	27 , 	29 , 	81 , 	36 , 	30 , 	17 , 	11 , 	15 , 	90 , 	83 , 	151 , 	151 , 	45 , 	26 , 	47 , 	51 , 	8 , 	11 , 	11 , 	6 , 	4 , 	13 , 	19 , 	271 , 	240 , 	451 , 	245 , 	163 , 	119 , 	40 , 	45 , 	28 , 	3 , 	66 , 	87 , 	2 , 	6 , 	2 , 	9 , 	20 , 	11 , 	41 , 	12 , 	48 , 	-   , 	-   , 	3 , 	5 ," 	2,915 ",,,,,,,,,,
