Exit stations,Entry stations->,,SUNDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	36 , 	42 , 	27 , 	117 , 	35 , 	49 , 	29 , 	34 , 	21 , 	37 , 	23 , 	15 , 	7 , 	10 , 	6 , 	6 , 	8 , 	10 , 	3 , 	6 , 	2 , 	3 , 	10 , 	8 , 	88 , 	57 , 	199 , 	76 , 	51 , 	69 , 	17 , 	18 , 	16 , 	7 , 	2 , 	4 , 	1 , 	5 , 	9 , 	9 , 	34 , 	6 , 	4 , 	11 , 	10 , 	-   , 	-   , 	5 , 	7 ," 	1,254 ",,,,,,,,,,,
EN, 	39 , 	13 , 	33 , 	29 , 	199 , 	53 , 	54 , 	48 , 	65 , 	26 , 	45 , 	25 , 	17 , 	16 , 	14 , 	11 , 	8 , 	12 , 	9 , 	8 , 	10 , 	2 , 	2 , 	10 , 	18 , 	136 , 	109 , 	335 , 	108 , 	53 , 	65 , 	20 , 	20 , 	26 , 	14 , 	4 , 	7 , 	1 , 	7 , 	6 , 	12 , 	86 , 	8 , 	3 , 	25 , 	16 , 	-   , 	-   , 	2 , 	4 ," 	1,828 ",,,,,,,,,,,
EP, 	41 , 	32 , 	8 , 	28 , 	240 , 	39 , 	45 , 	42 , 	56 , 	24 , 	24 , 	10 , 	9 , 	8 , 	5 , 	3 , 	6 , 	7 , 	5 , 	5 , 	12 , 	3 , 	4 , 	13 , 	7 , 	96 , 	67 , 	159 , 	88 , 	43 , 	33 , 	15 , 	9 , 	9 , 	4 , 	1 , 	7 , 	2 , 	4 , 	1 , 	4 , 	55 , 	5 , 	3 , 	18 , 	12 , 	-   , 	-   , 	1 , 	2 ," 	1,307 ",,,,,,,,,,,
NB, 	25 , 	27 , 	23 , 	9 , 	72 , 	30 , 	32 , 	42 , 	39 , 	24 , 	28 , 	10 , 	15 , 	8 , 	10 , 	7 , 	4 , 	9 , 	3 , 	7 , 	12 , 	3 , 	2 , 	6 , 	6 , 	121 , 	78 , 	148 , 	107 , 	58 , 	45 , 	18 , 	11 , 	10 , 	5 , 	4 , 	3 , 	1 , 	3 , 	2 , 	6 , 	74 , 	4 , 	2 , 	28 , 	16 , 	-   , 	-   , 	0 , 	2 ," 	1,195 ",,,,,,,,,,,
BK, 	138 , 	199 , 	219 , 	75 , 	39 , 	100 , 	128 , 	163 , 	145 , 	56 , 	99 , 	47 , 	41 , 	43 , 	33 , 	13 , 	34 , 	54 , 	20 , 	24 , 	31 , 	18 , 	16 , 	14 , 	27 , 	263 , 	163 , 	375 , 	212 , 	134 , 	91 , 	46 , 	29 , 	39 , 	5 , 	15 , 	36 , 	4 , 	7 , 	12 , 	15 , 	245 , 	35 , 	17 , 	98 , 	117 , 	-   , 	-   , 	3 , 	6 ," 	3,737 ",,,,,,,,,,,
AS, 	34 , 	42 , 	36 , 	22 , 	88 , 	14 , 	49 , 	67 , 	58 , 	30 , 	42 , 	14 , 	15 , 	10 , 	11 , 	8 , 	5 , 	9 , 	7 , 	6 , 	6 , 	3 , 	2 , 	7 , 	11 , 	93 , 	74 , 	147 , 	111 , 	74 , 	63 , 	18 , 	8 , 	10 , 	3 , 	4 , 	6 , 	1 , 	3 , 	3 , 	6 , 	54 , 	6 , 	2 , 	22 , 	21 , 	-   , 	-   , 	1 , 	3 ," 	1,323 ",,,,,,,,,,,
MA, 	49 , 	53 , 	37 , 	37 , 	120 , 	48 , 	19 , 	60 , 	67 , 	34 , 	61 , 	40 , 	38 , 	29 , 	21 , 	15 , 	17 , 	17 , 	23 , 	20 , 	25 , 	14 , 	7 , 	37 , 	21 , 	198 , 	145 , 	327 , 	233 , 	155 , 	104 , 	38 , 	21 , 	26 , 	8 , 	11 , 	18 , 	6 , 	19 , 	5 , 	11 , 	100 , 	12 , 	7 , 	32 , 	29 , 	-   , 	-   , 	7 , 	15 ," 	2,428 ",,,,,,,,,,,
19, 	28 , 	45 , 	42 , 	46 , 	147 , 	73 , 	57 , 	21 , 	18 , 	14 , 	58 , 	39 , 	34 , 	28 , 	33 , 	18 , 	17 , 	28 , 	19 , 	16 , 	26 , 	12 , 	10 , 	39 , 	29 , 	228 , 	181 , 	363 , 	232 , 	187 , 	128 , 	36 , 	29 , 	29 , 	6 , 	13 , 	18 , 	6 , 	7 , 	8 , 	11 , 	94 , 	14 , 	9 , 	23 , 	33 , 	-   , 	-   , 	4 , 	10 ," 	2,556 ",,,,,,,,,,,
12, 	29 , 	63 , 	51 , 	38 , 	107 , 	52 , 	47 , 	17 , 	20 , 	17 , 	63 , 	45 , 	49 , 	58 , 	31 , 	17 , 	26 , 	37 , 	26 , 	34 , 	32 , 	13 , 	14 , 	44 , 	36 , 	293 , 	249 , 	481 , 	265 , 	147 , 	114 , 	42 , 	54 , 	39 , 	17 , 	10 , 	20 , 	5 , 	16 , 	10 , 	16 , 	116 , 	18 , 	12 , 	30 , 	34 , 	-   , 	-   , 	6 , 	11 ," 	2,965 ",,,,,,,,,,,
LM, 	22 , 	29 , 	23 , 	28 , 	60 , 	31 , 	35 , 	19 , 	12 , 	14 , 	89 , 	48 , 	97 , 	95 , 	29 , 	20 , 	32 , 	33 , 	5 , 	8 , 	7 , 	4 , 	7 , 	9 , 	10 , 	58 , 	59 , 	132 , 	74 , 	54 , 	27 , 	11 , 	13 , 	10 , 	4 , 	35 , 	53 , 	2 , 	5 , 	4 , 	4 , 	16 , 	4 , 	27 , 	22 , 	40 , 	-   , 	-   , 	2 , 	3 ," 	1,419 ",,,,,,,,,,,
