Exit stations,Entry stations->,,SATURDAY,,,Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	16 , 	46 , 	51 , 	29 , 	171 , 	49 , 	55 , 	43 , 	49 , 	17 , 	58 , 	39 , 	16 , 	14 , 	15 , 	6 , 	8 , 	11 , 	12 , 	4 , 	9 , 	5 , 	3 , 	13 , 	11 , 	123 , 	114 , 	244 , 	115 , 	82 , 	95 , 	17 , 	31 , 	26 , 	8 , 	3 , 	7 , 	2 , 	9 , 	8 , 	7 , 	33 , 	7 , 	2 , 	5 , 	10 , 	-   , 	-   , 	6 , 	7 ," 	1,708 ",,,,,,,,,,
EN, 	52 , 	17 , 	49 , 	35 , 	289 , 	61 , 	73 , 	69 , 	96 , 	23 , 	56 , 	62 , 	22 , 	21 , 	20 , 	10 , 	10 , 	13 , 	12 , 	8 , 	15 , 	3 , 	4 , 	15 , 	19 , 	218 , 	193 , 	422 , 	176 , 	85 , 	85 , 	27 , 	33 , 	44 , 	17 , 	4 , 	9 , 	2 , 	5 , 	8 , 	9 , 	72 , 	13 , 	5 , 	17 , 	16 , 	-   , 	-   , 	4 , 	10 ," 	2,527 ",,,,,,,,,,
EP, 	62 , 	53 , 	21 , 	45 , 	402 , 	49 , 	64 , 	87 , 	91 , 	37 , 	40 , 	37 , 	20 , 	18 , 	13 , 	8 , 	11 , 	15 , 	13 , 	9 , 	15 , 	5 , 	6 , 	19 , 	6 , 	188 , 	157 , 	319 , 	174 , 	82 , 	66 , 	22 , 	21 , 	22 , 	6 , 	5 , 	9 , 	1 , 	3 , 	4 , 	6 , 	57 , 	10 , 	4 , 	22 , 	13 , 	-   , 	-   , 	2 , 	5 ," 	2,343 ",,,,,,,,,,
NB, 	33 , 	44 , 	38 , 	15 , 	124 , 	35 , 	48 , 	83 , 	66 , 	32 , 	40 , 	33 , 	21 , 	11 , 	17 , 	5 , 	8 , 	15 , 	10 , 	7 , 	19 , 	7 , 	4 , 	9 , 	9 , 	198 , 	157 , 	246 , 	220 , 	114 , 	77 , 	22 , 	14 , 	20 , 	6 , 	3 , 	10 , 	2 , 	3 , 	3 , 	6 , 	49 , 	15 , 	2 , 	15 , 	14 , 	-   , 	-   , 	1 , 	4 ," 	1,937 ",,,,,,,,,,
BK, 	207 , 	325 , 	374 , 	131 , 	54 , 	200 , 	192 , 	253 , 	238 , 	105 , 	162 , 	97 , 	73 , 	71 , 	65 , 	31 , 	59 , 	85 , 	43 , 	35 , 	64 , 	29 , 	27 , 	28 , 	46 , 	497 , 	379 , 	663 , 	438 , 	273 , 	187 , 	72 , 	60 , 	74 , 	12 , 	19 , 	43 , 	11 , 	20 , 	13 , 	19 , 	90 , 	58 , 	15 , 	32 , 	109 , 	-   , 	-   , 	8 , 	11 ," 	6,100 ",,,,,,,,,,
AS, 	53 , 	54 , 	42 , 	27 , 	171 , 	12 , 	60 , 	107 , 	78 , 	37 , 	65 , 	41 , 	24 , 	17 , 	21 , 	11 , 	10 , 	10 , 	9 , 	9 , 	8 , 	4 , 	2 , 	10 , 	19 , 	169 , 	148 , 	225 , 	194 , 	130 , 	86 , 	24 , 	14 , 	15 , 	4 , 	4 , 	10 , 	3 , 	8 , 	2 , 	5 , 	36 , 	10 , 	2 , 	13 , 	17 , 	-   , 	-   , 	2 , 	4 ," 	2,027 ",,,,,,,,,,
MA, 	61 , 	74 , 	56 , 	44 , 	181 , 	67 , 	23 , 	82 , 	90 , 	36 , 	85 , 	74 , 	40 , 	33 , 	34 , 	14 , 	20 , 	21 , 	36 , 	25 , 	37 , 	16 , 	10 , 	42 , 	33 , 	317 , 	254 , 	461 , 	330 , 	227 , 	161 , 	36 , 	30 , 	30 , 	12 , 	7 , 	13 , 	6 , 	27 , 	7 , 	14 , 	67 , 	15 , 	7 , 	13 , 	19 , 	-   , 	-   , 	13 , 	19 ," 	3,320 ",,,,,,,,,,
19, 	42 , 	74 , 	83 , 	88 , 	227 , 	104 , 	88 , 	27 , 	21 , 	21 , 	89 , 	91 , 	69 , 	47 , 	46 , 	22 , 	32 , 	36 , 	39 , 	49 , 	57 , 	39 , 	25 , 	77 , 	43 , 	365 , 	280 , 	502 , 	385 , 	249 , 	210 , 	60 , 	42 , 	44 , 	9 , 	11 , 	18 , 	7 , 	18 , 	9 , 	11 , 	58 , 	25 , 	12 , 	11 , 	38 , 	-   , 	-   , 	7 , 	14 ," 	3,922 ",,,,,,,,,,
12, 	52 , 	101 , 	82 , 	64 , 	205 , 	85 , 	78 , 	15 , 	29 , 	11 , 	68 , 	83 , 	69 , 	63 , 	46 , 	27 , 	32 , 	36 , 	39 , 	49 , 	44 , 	24 , 	22 , 	52 , 	54 , 	276 , 	246 , 	479 , 	290 , 	160 , 	119 , 	53 , 	46 , 	50 , 	20 , 	8 , 	14 , 	12 , 	30 , 	13 , 	18 , 	65 , 	34 , 	7 , 	12 , 	42 , 	-   , 	-   , 	9 , 	19 ," 	3,451 ",,,,,,,,,,
LM, 	13 , 	29 , 	31 , 	40 , 	100 , 	38 , 	40 , 	17 , 	14 , 	18 , 	109 , 	115 , 	138 , 	132 , 	54 , 	27 , 	38 , 	41 , 	17 , 	11 , 	16 , 	7 , 	6 , 	15 , 	23 , 	275 , 	266 , 	444 , 	279 , 	166 , 	136 , 	45 , 	42 , 	39 , 	4 , 	60 , 	81 , 	2 , 	4 , 	4 , 	7 , 	17 , 	11 , 	37 , 	10 , 	43 , 	-   , 	-   , 	4 , 	5 ," 	3,067 ",,,,,,,,,,
FV, 	57 , 	51 , 	34 , 	38 , 	154 , 	65 , 	84 , 	88 , 	75 , 	78 , 	24 , 	171 , 	113 , 	135 , 	91 , 	49 , 	37 , 	42 , 	18 , 	14 , 	15 , 	10 , 	10 , 	35 , 	61 , 	279 , 	251 , 	548 , 	296 , 	171 , 	150 , 	36 , 	48 , 	43 , 	6 , 	33 , 	63 , 	3 , 	16 , 	8 , 	7 , 	41 , 	12 , 	45 , 	8 , 	48 , 	-   , 	-   , 	6 , 	12 ," 	3,681 ",,,,,,,,,,
