Exit stations,Entry stations->,,TOTAL,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	164 , 	675 , 	448 , 	462 ," 	1,004 ", 	496 , 	773 , 	411 , 	628 , 	190 , 	615 , 	557 , 	240 , 	77 , 	141 , 	153 , 	67 , 	120 , 	152 , 	23 , 	86 , 	15 , 	27 , 	63 , 	214 ," 	1,266 "," 	1,225 "," 	1,620 "," 	1,799 ", 	933 , 	869 , 	291 , 	219 , 	171 , 	40 , 	19 , 	69 , 	38 , 	90 , 	84 , 	161 , 	123 , 	91 , 	11 , 	23 , 	54 , 	-   , 	-   , 	107 , 	72 ," 	17,176 ",,,,,,,,,,,,,
EN, 	667 , 	160 , 	374 , 	322 ," 	1,492 ", 	685 , 	928 , 	673 , 	857 , 	308 , 	619 , 	554 , 	279 , 	247 , 	146 , 	169 , 	105 , 	211 , 	77 , 	83 , 	149 , 	24 , 	44 , 	87 , 	263 ," 	1,851 "," 	1,626 "," 	2,141 "," 	2,319 ", 	981 , 	714 , 	291 , 	390 , 	211 , 	93 , 	25 , 	89 , 	46 , 	86 , 	158 , 	135 , 	280 , 	116 , 	35 , 	45 , 	88 , 	-   , 	-   , 	52 , 	93 ," 	21,388 ",,,,,,,,,,,,,
EP, 	484 , 	372 , 	71 , 	161 , 	917 , 	267 , 	367 , 	343 , 	446 , 	76 , 	242 , 	150 , 	134 , 	89 , 	56 , 	49 , 	88 , 	30 , 	52 , 	32 , 	13 , 	4 , 	7 , 	56 , 	73 , 	404 , 	391 , 	450 , 	463 , 	277 , 	130 , 	39 , 	58 , 	35 , 	29 , 	34 , 	18 , 	24 , 	45 , 	13 , 	36 , 	73 , 	49 , 	2 , 	8 , 	20 , 	-   , 	-   , 	21 , 	31 ," 	7,229 ",,,,,,,,,,,,,
NB, 	414 , 	327 , 	200 , 	27 , 	181 , 	103 , 	172 , 	180 , 	181 , 	123 , 	372 , 	135 , 	148 , 	73 , 	57 , 	22 , 	15 , 	42 , 	22 , 	42 , 	15 , 	6 , 	15 , 	20 , 	44 , 	200 , 	197 , 	224 , 	328 , 	114 , 	97 , 	13 , 	39 , 	42 , 	35 , 	39 , 	17 , 	4 , 	80 , 	3 , 	16 , 	26 , 	14 , 	2 , 	7 , 	40 , 	-   , 	-   , 	4 , 	5 ," 	4,482 ",,,,,,,,,,,,,
BK," 	1,205 "," 	1,577 ", 	974 , 	200 , 	198 , 	666 , 	733 , 	635 ," 	1,123 ", 	263 , 	736 , 	485 , 	322 , 	241 , 	210 , 	121 , 	99 , 	47 , 	63 , 	50 , 	55 , 	34 , 	16 , 	64 , 	200 , 	441 , 	356 , 	434 , 	801 , 	249 , 	203 , 	64 , 	86 , 	115 , 	38 , 	30 , 	75 , 	15 , 	107 , 	7 , 	39 , 	57 , 	38 , 	26 , 	39 , 	74 , 	-   , 	-   , 	39 , 	86 ," 	13,736 ",,,,,,,,,,,,,
AS, 	482 , 	670 , 	290 , 	120 , 	499 , 	44 , 	307 , 	343 , 	455 , 	119 , 	426 , 	298 , 	226 , 	142 , 	115 , 	100 , 	132 , 	32 , 	95 , 	35 , 	42 , 	10 , 	34 , 	29 , 	145 , 	385 , 	367 , 	506 , 	546 , 	243 , 	184 , 	44 , 	105 , 	16 , 	4 , 	29 , 	26 , 	14 , 	46 , 	13 , 	95 , 	26 , 	27 , 	10 , 	10 , 	34 , 	-   , 	-   , 	18 , 	46 ," 	7,984 ",,,,,,,,,,,,,
MA, 	805 , 	954 , 	384 , 	199 , 	581 , 	337 , 	187 , 	360 , 	635 , 	196 , 	760 , 	659 , 	421 , 	467 , 	290 , 	216 , 	187 , 	165 , 	396 , 	253 , 	285 , 	115 , 	71 , 	153 , 	314 , 	913 , 	671 ," 	1,076 "," 	1,465 ", 	565 , 	386 , 	258 , 	115 , 	194 , 	93 , 	60 , 	191 , 	125 , 	540 , 	47 , 	76 , 	147 , 	47 , 	65 , 	29 , 	114 , 	-   , 	-   , 	296 , 	410 ," 	17,273 ",,,,,,,,,,,,,
19, 	485 , 	726 , 	282 , 	146 , 	517 , 	381 , 	332 , 	99 , 	124 , 	56 , 	445 , 	668 , 	567 , 	513 , 	348 , 	212 , 	174 , 	105 , 	325 , 	287 , 	195 , 	61 , 	49 , 	165 , 	252 , 	773 , 	698 ," 	1,059 "," 	1,090 ", 	521 , 	260 , 	166 , 	160 , 	160 , 	90 , 	50 , 	123 , 	133 , 	298 , 	99 , 	93 , 	44 , 	48 , 	43 , 	22 , 	136 , 	-   , 	-   , 	113 , 	287 ," 	13,980 ",,,,,,,,,,,,,
12, 	659 , 	940 , 	380 , 	164 , 	850 , 	379 , 	475 , 	128 , 	182 , 	91 , 	664 , 	614 , 	754 , 	655 , 	447 , 	191 , 	281 , 	237 , 	411 , 	445 , 	249 , 	41 , 	72 , 	136 , 	516 , 	915 , 	803 ," 	1,550 "," 	1,514 ", 	701 , 	509 , 	248 , 	343 , 	314 , 	155 , 	56 , 	123 , 	81 , 	397 , 	115 , 	113 , 	138 , 	71 , 	23 , 	19 , 	140 , 	-   , 	-   , 	152 , 	302 ," 	18,743 ",,,,,,,,,,,,,
LM, 	195 , 	245 , 	66 , 	112 , 	203 , 	137 , 	157 , 	80 , 	111 , 	81 , 	825 ," 	1,035 ", 	751 , 	737 , 	482 , 	321 , 	239 , 	275 , 	70 , 	67 , 	72 , 	7 , 	26 , 	59 , 	226 , 	719 , 	697 ," 	1,158 "," 	1,271 ", 	399 , 	350 , 	100 , 	136 , 	122 , 	26 , 	239 , 	503 , 	12 , 	59 , 	21 , 	29 , 	40 , 	10 , 	164 , 	21 , 	126 , 	-   , 	-   , 	56 , 	79 ," 	12,916 ",,,,,,,,,,,,,
