Exit stations,Entry stations->,,SATURDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	4 , 	16 , 	12 , 	10 , 	23 , 	13 , 	17 , 	8 , 	9 , 	3 , 	18 , 	12 , 	4 , 	3 , 	6 , 	3 , 	1 , 	3 , 	3 , 	1 , 	2 , 	1 , 	-   , 	2 , 	5 , 	19 , 	18 , 	27 , 	29 , 	20 , 	19 , 	5 , 	5 , 	7 , 	1 , 	1 , 	3 , 	-   , 	2 , 	2 , 	2 , 	2 , 	1 , 	-   , 	1 , 	1 , 	-   , 	-   , 	3 , 	3 , 	341 ,,,,,,,,,,
EN, 	15 , 	3 , 	11 , 	8 , 	37 , 	17 , 	14 , 	11 , 	13 , 	3 , 	13 , 	10 , 	4 , 	5 , 	4 , 	3 , 	2 , 	3 , 	2 , 	3 , 	3 , 	1 , 	1 , 	3 , 	8 , 	27 , 	21 , 	41 , 	23 , 	15 , 	14 , 	5 , 	10 , 	3 , 	4 , 	1 , 	4 , 	-   , 	3 , 	2 , 	1 , 	4 , 	2 , 	0 , 	1 , 	2 , 	-   , 	-   , 	2 , 	3 , 	379 ,,,,,,,,,,
EP, 	12 , 	10 , 	1 , 	5 , 	24 , 	6 , 	5 , 	4 , 	11 , 	2 , 	6 , 	4 , 	3 , 	1 , 	2 , 	2 , 	2 , 	1 , 	2 , 	1 , 	-   , 	0 , 	-   , 	1 , 	2 , 	7 , 	6 , 	6 , 	4 , 	3 , 	4 , 	0 , 	1 , 	0 , 	2 , 	1 , 	-   , 	1 , 	1 , 	1 , 	0 , 	2 , 	1 , 	-   , 	0 , 	0 , 	-   , 	-   , 	0 , 	2 , 	146 ,,,,,,,,,,
NB, 	10 , 	7 , 	6 , 	1 , 	5 , 	2 , 	4 , 	2 , 	6 , 	3 , 	9 , 	4 , 	5 , 	3 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	0 , 	-   , 	1 , 	1 , 	4 , 	2 , 	5 , 	6 , 	2 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	2 , 	-   , 	-   , 	1 , 	0 , 	0 , 	0 , 	1 , 	-   , 	-   , 	-   , 	1 , 	98 ,,,,,,,,,,
BK, 	28 , 	37 , 	28 , 	4 , 	6 , 	23 , 	18 , 	18 , 	36 , 	6 , 	15 , 	9 , 	5 , 	6 , 	4 , 	1 , 	4 , 	1 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	7 , 	9 , 	8 , 	10 , 	16 , 	7 , 	7 , 	2 , 	2 , 	3 , 	1 , 	-   , 	0 , 	-   , 	1 , 	0 , 	1 , 	2 , 	1 , 	-   , 	3 , 	2 , 	-   , 	-   , 	1 , 	1 , 	333 ,,,,,,,,,,
AS, 	14 , 	18 , 	7 , 	2 , 	18 , 	1 , 	6 , 	8 , 	12 , 	3 , 	9 , 	4 , 	6 , 	2 , 	2 , 	3 , 	2 , 	1 , 	1 , 	2 , 	2 , 	1 , 	1 , 	1 , 	4 , 	7 , 	7 , 	11 , 	8 , 	4 , 	7 , 	1 , 	2 , 	1 , 	0 , 	-   , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	1 , 	183 ,,,,,,,,,,
MA, 	15 , 	13 , 	8 , 	6 , 	16 , 	7 , 	4 , 	10 , 	15 , 	5 , 	12 , 	14 , 	7 , 	10 , 	7 , 	1 , 	2 , 	3 , 	6 , 	4 , 	4 , 	1 , 	0 , 	4 , 	5 , 	17 , 	8 , 	25 , 	21 , 	12 , 	8 , 	4 , 	5 , 	3 , 	2 , 	1 , 	2 , 	1 , 	7 , 	1 , 	2 , 	3 , 	0 , 	1 , 	1 , 	2 , 	-   , 	-   , 	4 , 	1 , 	307 ,,,,,,,,,,
19, 	9 , 	15 , 	5 , 	2 , 	14 , 	12 , 	7 , 	1 , 	3 , 	1 , 	9 , 	12 , 	15 , 	14 , 	9 , 	2 , 	2 , 	3 , 	4 , 	2 , 	2 , 	1 , 	1 , 	5 , 	7 , 	14 , 	9 , 	20 , 	20 , 	13 , 	7 , 	4 , 	3 , 	2 , 	-   , 	1 , 	1 , 	1 , 	4 , 	-   , 	0 , 	1 , 	0 , 	0 , 	1 , 	3 , 	-   , 	-   , 	2 , 	3 , 	261 ,,,,,,,,,,
12, 	9 , 	12 , 	9 , 	4 , 	25 , 	8 , 	9 , 	3 , 	4 , 	2 , 	17 , 	11 , 	10 , 	13 , 	5 , 	1 , 	3 , 	4 , 	5 , 	3 , 	4 , 	1 , 	3 , 	3 , 	13 , 	16 , 	15 , 	39 , 	24 , 	14 , 	7 , 	4 , 	1 , 	3 , 	1 , 	1 , 	2 , 	1 , 	3 , 	2 , 	3 , 	4 , 	1 , 	-   , 	1 , 	3 , 	-   , 	-   , 	3 , 	2 , 	327 ,,,,,,,,,,
LM, 	3 , 	5 , 	2 , 	4 , 	7 , 	4 , 	5 , 	2 , 	4 , 	3 , 	21 , 	21 , 	15 , 	14 , 	7 , 	3 , 	3 , 	5 , 	1 , 	1 , 	2 , 	1 , 	-   , 	1 , 	7 , 	16 , 	11 , 	25 , 	22 , 	14 , 	8 , 	1 , 	3 , 	3 , 	1 , 	2 , 	8 , 	-   , 	1 , 	0 , 	1 , 	1 , 	-   , 	4 , 	1 , 	3 , 	-   , 	-   , 	0 , 	1 , 	265 ,,,,,,,,,,
