Exit stations,Entry stations->,,SUNDAY,,,Aug 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	18 , 	12 , 	9 , 	31 , 	11 , 	16 , 	10 , 	13 , 	11 , 	24 , 	9 , 	5 , 	7 , 	3 , 	1 , 	2 , 	1 , 	5 , 	1 , 	3 , 	0 , 	1 , 	4 , 	3 , 	23 , 	15 , 	44 , 	27 , 	29 , 	20 , 	5 , 	7 , 	4 , 	3 , 	1 , 	2 , 	-   , 	3 , 	1 , 	5 , 	7 , 	2 , 	0 , 	3 , 	1 , 	3 , 	1 , 	2 , 	2 , 	412 ,,,,,,,,,,,
EN, 	14 , 	4 , 	7 , 	7 , 	40 , 	23 , 	13 , 	10 , 	16 , 	12 , 	18 , 	11 , 	7 , 	9 , 	4 , 	2 , 	3 , 	2 , 	6 , 	4 , 	4 , 	0 , 	1 , 	3 , 	4 , 	36 , 	31 , 	56 , 	30 , 	27 , 	19 , 	8 , 	10 , 	6 , 	4 , 	0 , 	3 , 	0 , 	4 , 	1 , 	3 , 	15 , 	3 , 	1 , 	7 , 	3 , 	2 , 	3 , 	2 , 	3 , 	502 ,,,,,,,,,,,
EP, 	9 , 	7 , 	2 , 	6 , 	29 , 	9 , 	7 , 	9 , 	10 , 	8 , 	8 , 	5 , 	3 , 	4 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	4 , 	0 , 	0 , 	2 , 	1 , 	13 , 	11 , 	19 , 	8 , 	4 , 	4 , 	2 , 	1 , 	0 , 	1 , 	2 , 	1 , 	-   , 	2 , 	2 , 	1 , 	6 , 	2 , 	1 , 	3 , 	0 , 	1 , 	4 , 	1 , 	1 , 	223 ,,,,,,,,,,,
NB, 	10 , 	10 , 	7 , 	1 , 	5 , 	3 , 	6 , 	5 , 	6 , 	5 , 	7 , 	2 , 	3 , 	1 , 	0 , 	1 , 	0 , 	0 , 	1 , 	2 , 	2 , 	0 , 	0 , 	1 , 	2 , 	9 , 	7 , 	10 , 	6 , 	5 , 	6 , 	2 , 	2 , 	2 , 	0 , 	1 , 	1 , 	-   , 	1 , 	1 , 	0 , 	3 , 	0 , 	1 , 	2 , 	1 , 	0 , 	0 , 	-   , 	1 , 	142 ,,,,,,,,,,,
BK, 	37 , 	40 , 	37 , 	8 , 	7 , 	18 , 	19 , 	22 , 	27 , 	11 , 	22 , 	16 , 	5 , 	9 , 	4 , 	2 , 	4 , 	2 , 	3 , 	1 , 	2 , 	2 , 	2 , 	2 , 	9 , 	22 , 	13 , 	32 , 	24 , 	20 , 	13 , 	3 , 	3 , 	5 , 	3 , 	2 , 	3 , 	0 , 	3 , 	2 , 	1 , 	7 , 	3 , 	1 , 	6 , 	2 , 	3 , 	9 , 	1 , 	1 , 	494 ,,,,,,,,,,,
AS, 	12 , 	22 , 	11 , 	4 , 	16 , 	2 , 	6 , 	10 , 	9 , 	7 , 	18 , 	5 , 	5 , 	4 , 	2 , 	1 , 	2 , 	0 , 	2 , 	1 , 	2 , 	0 , 	0 , 	1 , 	4 , 	9 , 	5 , 	17 , 	12 , 	11 , 	7 , 	5 , 	3 , 	2 , 	3 , 	1 , 	2 , 	0 , 	1 , 	0 , 	1 , 	5 , 	1 , 	1 , 	3 , 	2 , 	1 , 	3 , 	1 , 	0 , 	241 ,,,,,,,,,,,
MA, 	19 , 	17 , 	7 , 	9 , 	18 , 	7 , 	5 , 	9 , 	9 , 	6 , 	27 , 	10 , 	9 , 	13 , 	5 , 	4 , 	3 , 	2 , 	7 , 	5 , 	9 , 	2 , 	2 , 	8 , 	7 , 	30 , 	18 , 	41 , 	32 , 	23 , 	17 , 	8 , 	6 , 	6 , 	2 , 	1 , 	3 , 	2 , 	10 , 	1 , 	1 , 	8 , 	2 , 	2 , 	4 , 	0 , 	1 , 	5 , 	4 , 	6 , 	453 ,,,,,,,,,,,
19, 	10 , 	11 , 	5 , 	4 , 	19 , 	9 , 	9 , 	4 , 	3 , 	3 , 	16 , 	9 , 	9 , 	13 , 	5 , 	2 , 	1 , 	4 , 	7 , 	7 , 	7 , 	2 , 	3 , 	7 , 	6 , 	31 , 	21 , 	42 , 	30 , 	25 , 	17 , 	3 , 	9 , 	6 , 	1 , 	1 , 	1 , 	0 , 	2 , 	2 , 	2 , 	12 , 	1 , 	0 , 	5 , 	1 , 	1 , 	3 , 	2 , 	4 , 	397 ,,,,,,,,,,,
12, 	13 , 	15 , 	11 , 	4 , 	19 , 	7 , 	10 , 	2 , 	6 , 	3 , 	12 , 	12 , 	13 , 	14 , 	4 , 	1 , 	2 , 	4 , 	6 , 	5 , 	5 , 	0 , 	2 , 	4 , 	7 , 	43 , 	23 , 	62 , 	36 , 	26 , 	20 , 	7 , 	11 , 	7 , 	4 , 	0 , 	2 , 	1 , 	6 , 	2 , 	4 , 	11 , 	3 , 	0 , 	3 , 	0 , 	1 , 	2 , 	1 , 	4 , 	464 ,,,,,,,,,,,
LM, 	12 , 	12 , 	7 , 	4 , 	13 , 	9 , 	7 , 	3 , 	3 , 	4 , 	38 , 	26 , 	22 , 	30 , 	8 , 	5 , 	7 , 	4 , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	11 , 	31 , 	29 , 	47 , 	28 , 	23 , 	16 , 	3 , 	7 , 	6 , 	1 , 	7 , 	8 , 	-   , 	1 , 	1 , 	0 , 	3 , 	1 , 	5 , 	6 , 	3 , 	3 , 	7 , 	1 , 	1 , 	472 ,,,,,,,,,,,
