Exit stations,Entry stations->,,WEEKDAY,,,Sep 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	8 , 	27 , 	23 , 	22 , 	82 , 	25 , 	38 , 	29 , 	38 , 	13 , 	35 , 	31 , 	15 , 	7 , 	11 , 	9 , 	3 , 	5 , 	7 , 	3 , 	6 , 	2 , 	2 , 	5 , 	9 , 	89 , 	84 , 	132 , 	99 , 	67 , 	68 , 	20 , 	23 , 	12 , 	7 , 	1 , 	5 , 	1 , 	5 , 	5 , 	11 , 	10 , 	7 , 	1 , 	4 , 	2 , 	2 , 	2 , 	7 , 	2 ," 	1,121 ",,,,,,,,,,,,,
EN, 	32 , 	7 , 	16 , 	17 , 	100 , 	28 , 	52 , 	44 , 	61 , 	19 , 	38 , 	30 , 	19 , 	12 , 	13 , 	10 , 	9 , 	10 , 	9 , 	4 , 	8 , 	3 , 	3 , 	6 , 	14 , 	139 , 	126 , 	202 , 	171 , 	76 , 	67 , 	22 , 	23 , 	17 , 	9 , 	2 , 	8 , 	2 , 	7 , 	9 , 	12 , 	19 , 	11 , 	2 , 	6 , 	8 , 	4 , 	5 , 	3 , 	5 ," 	1,517 ",,,,,,,,,,,,,
EP, 	27 , 	18 , 	3 , 	11 , 	66 , 	17 , 	24 , 	20 , 	33 , 	7 , 	17 , 	7 , 	9 , 	3 , 	4 , 	4 , 	6 , 	3 , 	5 , 	2 , 	3 , 	2 , 	1 , 	2 , 	5 , 	46 , 	48 , 	56 , 	39 , 	19 , 	14 , 	3 , 	6 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	2 , 	2 , 	7 , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	563 ,,,,,,,,,,,,,
NB, 	22 , 	18 , 	11 , 	3 , 	13 , 	9 , 	14 , 	11 , 	14 , 	5 , 	20 , 	9 , 	8 , 	4 , 	7 , 	1 , 	1 , 	3 , 	2 , 	3 , 	4 , 	0 , 	1 , 	1 , 	2 , 	25 , 	26 , 	24 , 	29 , 	13 , 	14 , 	3 , 	3 , 	5 , 	1 , 	1 , 	2 , 	1 , 	3 , 	0 , 	1 , 	4 , 	1 , 	0 , 	2 , 	3 , 	1 , 	0 , 	1 , 	1 , 	349 ,,,,,,,,,,,,,
BK, 	95 , 	111 , 	69 , 	14 , 	7 , 	35 , 	44 , 	37 , 	52 , 	18 , 	50 , 	29 , 	24 , 	18 , 	16 , 	11 , 	14 , 	8 , 	8 , 	6 , 	9 , 	2 , 	2 , 	2 , 	9 , 	50 , 	35 , 	54 , 	54 , 	27 , 	25 , 	5 , 	10 , 	10 , 	5 , 	5 , 	6 , 	3 , 	9 , 	4 , 	2 , 	7 , 	7 , 	4 , 	4 , 	2 , 	2 , 	8 , 	1 , 	4 ," 	1,032 ",,,,,,,,,,,,,
AS, 	23 , 	32 , 	17 , 	9 , 	26 , 	3 , 	16 , 	18 , 	25 , 	6 , 	30 , 	18 , 	14 , 	8 , 	4 , 	4 , 	7 , 	2 , 	5 , 	3 , 	2 , 	1 , 	1 , 	2 , 	8 , 	32 , 	29 , 	41 , 	39 , 	23 , 	12 , 	4 , 	8 , 	2 , 	1 , 	1 , 	4 , 	0 , 	3 , 	2 , 	4 , 	3 , 	3 , 	0 , 	2 , 	4 , 	2 , 	2 , 	1 , 	3 , 	509 ,,,,,,,,,,,,,
MA, 	47 , 	55 , 	23 , 	13 , 	38 , 	16 , 	7 , 	19 , 	25 , 	7 , 	43 , 	32 , 	24 , 	19 , 	14 , 	14 , 	11 , 	11 , 	23 , 	20 , 	20 , 	6 , 	6 , 	7 , 	16 , 	78 , 	65 , 	96 , 	101 , 	55 , 	30 , 	11 , 	14 , 	13 , 	7 , 	3 , 	10 , 	6 , 	29 , 	3 , 	4 , 	12 , 	5 , 	3 , 	2 , 	6 , 	5 , 	5 , 	20 , 	25 ," 	1,121 ",,,,,,,,,,,,,
19, 	28 , 	45 , 	18 , 	12 , 	32 , 	15 , 	16 , 	5 , 	5 , 	3 , 	29 , 	26 , 	24 , 	33 , 	25 , 	16 , 	16 , 	8 , 	24 , 	22 , 	15 , 	8 , 	6 , 	9 , 	11 , 	75 , 	69 , 	91 , 	82 , 	43 , 	22 , 	14 , 	11 , 	13 , 	6 , 	3 , 	8 , 	11 , 	27 , 	5 , 	6 , 	8 , 	6 , 	4 , 	4 , 	7 , 	4 , 	8 , 	7 , 	23 ," 	1,002 ",,,,,,,,,,,,,
12, 	39 , 	65 , 	33 , 	12 , 	41 , 	20 , 	23 , 	5 , 	10 , 	4 , 	29 , 	39 , 	47 , 	38 , 	35 , 	17 , 	20 , 	17 , 	33 , 	26 , 	25 , 	7 , 	8 , 	9 , 	14 , 	72 , 	82 , 	125 , 	91 , 	46 , 	35 , 	15 , 	24 , 	24 , 	15 , 	3 , 	7 , 	8 , 	26 , 	10 , 	9 , 	12 , 	10 , 	2 , 	2 , 	5 , 	3 , 	7 , 	7 , 	23 ," 	1,277 ",,,,,,,,,,,,,
LM, 	12 , 	18 , 	8 , 	5 , 	12 , 	8 , 	9 , 	3 , 	6 , 	5 , 	38 , 	47 , 	69 , 	58 , 	38 , 	24 , 	19 , 	19 , 	5 , 	4 , 	4 , 	1 , 	1 , 	4 , 	9 , 	77 , 	72 , 	114 , 	86 , 	36 , 	26 , 	11 , 	16 , 	13 , 	1 , 	21 , 	34 , 	2 , 	5 , 	2 , 	2 , 	4 , 	1 , 	16 , 	4 , 	12 , 	7 , 	6 , 	2 , 	6 ," 	1,003 ",,,,,,,,,,,,,
