Exit stations,Entry stations->,,SUNDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	6 , 	14 , 	19 , 	12 , 	41 , 	12 , 	15 , 	14 , 	16 , 	14 , 	23 , 	11 , 	8 , 	5 , 	7 , 	1 , 	1 , 	3 , 	6 , 	1 , 	4 , 	1 , 	1 , 	2 , 	4 , 	32 , 	22 , 	59 , 	25 , 	27 , 	20 , 	4 , 	12 , 	8 , 	3 , 	1 , 	3 , 	0 , 	3 , 	3 , 	5 , 	9 , 	2 , 	1 , 	4 , 	1 , 	2 , 	2 , 	2 , 	4 , 	487 ,,,,,,,,,,,
EN, 	15 , 	4 , 	9 , 	4 , 	49 , 	21 , 	20 , 	10 , 	18 , 	9 , 	28 , 	14 , 	10 , 	10 , 	5 , 	4 , 	3 , 	4 , 	9 , 	3 , 	4 , 	2 , 	1 , 	1 , 	7 , 	39 , 	27 , 	81 , 	36 , 	26 , 	23 , 	7 , 	12 , 	6 , 	9 , 	0 , 	4 , 	0 , 	6 , 	0 , 	4 , 	22 , 	2 , 	1 , 	9 , 	3 , 	5 , 	5 , 	2 , 	2 , 	588 ,,,,,,,,,,,
EP, 	16 , 	9 , 	1 , 	4 , 	40 , 	12 , 	10 , 	11 , 	13 , 	11 , 	10 , 	4 , 	5 , 	2 , 	2 , 	2 , 	1 , 	1 , 	3 , 	2 , 	3 , 	1 , 	1 , 	1 , 	2 , 	15 , 	14 , 	29 , 	17 , 	8 , 	6 , 	2 , 	4 , 	1 , 	1 , 	1 , 	-   , 	0 , 	2 , 	1 , 	1 , 	7 , 	3 , 	1 , 	3 , 	0 , 	1 , 	2 , 	1 , 	-   , 	280 ,,,,,,,,,,,
NB, 	9 , 	13 , 	7 , 	4 , 	4 , 	6 , 	10 , 	7 , 	5 , 	4 , 	9 , 	3 , 	4 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	1 , 	0 , 	-   , 	1 , 	13 , 	8 , 	15 , 	13 , 	12 , 	6 , 	2 , 	1 , 	1 , 	1 , 	0 , 	2 , 	-   , 	1 , 	1 , 	-   , 	6 , 	-   , 	0 , 	2 , 	1 , 	2 , 	3 , 	1 , 	-   , 	185 ,,,,,,,,,,,
BK, 	45 , 	47 , 	46 , 	5 , 	14 , 	13 , 	23 , 	22 , 	25 , 	16 , 	23 , 	13 , 	9 , 	11 , 	11 , 	7 , 	8 , 	6 , 	3 , 	2 , 	3 , 	1 , 	1 , 	2 , 	9 , 	37 , 	23 , 	51 , 	36 , 	27 , 	13 , 	5 , 	6 , 	8 , 	1 , 	2 , 	3 , 	1 , 	5 , 	3 , 	3 , 	11 , 	6 , 	1 , 	7 , 	1 , 	4 , 	13 , 	1 , 	2 , 	626 ,,,,,,,,,,,
AS, 	10 , 	22 , 	10 , 	3 , 	12 , 	3 , 	8 , 	11 , 	9 , 	8 , 	9 , 	9 , 	5 , 	8 , 	3 , 	3 , 	2 , 	2 , 	2 , 	1 , 	1 , 	-   , 	1 , 	1 , 	4 , 	15 , 	7 , 	27 , 	17 , 	14 , 	8 , 	2 , 	2 , 	2 , 	0 , 	1 , 	2 , 	-   , 	1 , 	0 , 	1 , 	6 , 	-   , 	0 , 	3 , 	2 , 	2 , 	2 , 	1 , 	0 , 	257 ,,,,,,,,,,,
MA, 	21 , 	22 , 	9 , 	9 , 	22 , 	9 , 	5 , 	12 , 	13 , 	8 , 	22 , 	15 , 	11 , 	8 , 	7 , 	5 , 	3 , 	4 , 	12 , 	7 , 	13 , 	3 , 	1 , 	6 , 	7 , 	37 , 	19 , 	46 , 	39 , 	26 , 	19 , 	8 , 	8 , 	4 , 	4 , 	2 , 	2 , 	2 , 	10 , 	3 , 	2 , 	11 , 	3 , 	1 , 	3 , 	1 , 	3 , 	7 , 	3 , 	8 , 	521 ,,,,,,,,,,,
19, 	13 , 	12 , 	7 , 	7 , 	19 , 	12 , 	12 , 	7 , 	2 , 	2 , 	17 , 	12 , 	12 , 	16 , 	10 , 	4 , 	4 , 	4 , 	6 , 	4 , 	7 , 	2 , 	5 , 	9 , 	5 , 	34 , 	25 , 	53 , 	35 , 	39 , 	17 , 	6 , 	9 , 	8 , 	2 , 	-   , 	2 , 	2 , 	6 , 	1 , 	2 , 	13 , 	2 , 	1 , 	6 , 	1 , 	2 , 	4 , 	6 , 	7 , 	485 ,,,,,,,,,,,
12, 	16 , 	14 , 	8 , 	6 , 	19 , 	8 , 	12 , 	1 , 	12 , 	2 , 	12 , 	12 , 	12 , 	18 , 	9 , 	4 , 	6 , 	8 , 	10 , 	5 , 	9 , 	2 , 	4 , 	4 , 	9 , 	49 , 	32 , 	84 , 	44 , 	39 , 	21 , 	10 , 	14 , 	13 , 	6 , 	1 , 	1 , 	1 , 	6 , 	2 , 	6 , 	19 , 	4 , 	0 , 	2 , 	1 , 	2 , 	3 , 	0 , 	3 , 	578 ,,,,,,,,,,,
LM, 	10 , 	13 , 	8 , 	6 , 	15 , 	12 , 	7 , 	3 , 	3 , 	4 , 	46 , 	20 , 	27 , 	27 , 	15 , 	11 , 	10 , 	8 , 	2 , 	1 , 	1 , 	-   , 	1 , 	3 , 	6 , 	38 , 	29 , 	77 , 	53 , 	34 , 	26 , 	6 , 	9 , 	6 , 	1 , 	11 , 	13 , 	1 , 	2 , 	1 , 	2 , 	3 , 	1 , 	8 , 	5 , 	3 , 	5 , 	7 , 	1 , 	2 , 	596 ,,,,,,,,,,,
FV, 	25 , 	22 , 	11 , 	8 , 	23 , 	15 , 	19 , 	11 , 	12 , 	35 , 	12 , 	34 , 	31 , 	53 , 	30 , 	25 , 	9 , 	12 , 	10 , 	2 , 	8 , 	5 , 	2 , 	10 , 	17 , 	50 , 	29 , 	116 , 	68 , 	36 , 	39 , 	4 , 	9 , 	8 , 	1 , 	9 , 	18 , 	-   , 	5 , 	2 , 	4 , 	8 , 	2 , 	13 , 	6 , 	4 , 	5 , 	13 , 	3 , 	4 , 	893 ,,,,,,,,,,,
CL, 	13 , 	13 , 	6 , 	3 , 	12 , 	7 , 	12 , 	12 , 	15 , 	20 , 	33 , 	8 , 	18 , 	32 , 	19 , 	14 , 	7 , 	5 , 	4 , 	1 , 	4 , 	-   , 	1 , 	3 , 	13 , 	15 , 	16 , 	64 , 	27 , 	17 , 	18 , 	2 , 	7 , 	4 , 	1 , 	7 , 	12 , 	1 , 	5 , 	2 , 	2 , 	8 , 	1 , 	9 , 	10 , 	3 , 	3 , 	6 , 	3 , 	3 , 	517 ,,,,,,,,,,,
SL, 	9 , 	6 , 	4 , 	4 , 	10 , 	7 , 	9 , 	14 , 	13 , 	31 , 	31 , 	18 , 	6 , 	21 , 	17 , 	10 , 	8 , 	7 , 	3 , 	1 , 	3 , 	2 , 	0 , 	1 , 	8 , 	30 , 	20 , 	67 , 	24 , 	11 , 	13 , 	2 , 	3 , 	8 , 	2 , 	8 , 	14 , 	-   , 	2 , 	1 , 	2 , 	5 , 	1 , 	10 , 	2 , 	4 , 	3 , 	6 , 	2 , 	3 , 	485 ,,,,,,,,,,,
BF, 	6 , 	9 , 	2 , 	3 , 	8 , 	8 , 	8 , 	12 , 	16 , 	28 , 	62 , 	32 , 	24 , 	6 , 	20 , 	12 , 	9 , 	16 , 	4 , 	1 , 	3 , 	0 , 	2 , 	3 , 	9 , 	28 , 	27 , 	66 , 	23 , 	15 , 	19 , 	4 , 	6 , 	4 , 	3 , 	9 , 	16 , 	0 , 	3 , 	0 , 	3 , 	8 , 	1 , 	14 , 	2 , 	8 , 	6 , 	9 , 	1 , 	2 , 	578 ,,,,,,,,,,,
