Exit stations,Entry stations->,,WEEKDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	10 , 	30 , 	29 , 	22 , 	82 , 	25 , 	40 , 	30 , 	39 , 	15 , 	34 , 	30 , 	15 , 	9 , 	10 , 	8 , 	5 , 	7 , 	6 , 	3 , 	7 , 	2 , 	3 , 	5 , 	12 , 	86 , 	95 , 	145 , 	101 , 	71 , 	74 , 	20 , 	20 , 	15 , 	7 , 	1 , 	4 , 	1 , 	5 , 	5 , 	12 , 	10 , 	7 , 	1 , 	3 , 	2 , 	2 , 	2 , 	5 , 	3 ," 	1,178 ",,,,,,,,,,,,,
EN, 	32 , 	8 , 	18 , 	19 , 	111 , 	28 , 	55 , 	47 , 	67 , 	22 , 	39 , 	31 , 	19 , 	13 , 	14 , 	11 , 	9 , 	11 , 	10 , 	4 , 	9 , 	3 , 	2 , 	4 , 	14 , 	148 , 	140 , 	216 , 	173 , 	76 , 	80 , 	25 , 	27 , 	20 , 	10 , 	2 , 	9 , 	2 , 	7 , 	10 , 	10 , 	23 , 	11 , 	2 , 	6 , 	6 , 	5 , 	6 , 	3 , 	5 ," 	1,619 ",,,,,,,,,,,,,
EP, 	33 , 	18 , 	4 , 	13 , 	73 , 	19 , 	26 , 	21 , 	36 , 	9 , 	18 , 	8 , 	10 , 	5 , 	3 , 	5 , 	4 , 	4 , 	3 , 	3 , 	3 , 	2 , 	1 , 	4 , 	4 , 	52 , 	55 , 	63 , 	49 , 	24 , 	18 , 	4 , 	7 , 	3 , 	1 , 	1 , 	1 , 	1 , 	3 , 	2 , 	2 , 	7 , 	4 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	636 ,,,,,,,,,,,,,
NB, 	22 , 	20 , 	14 , 	3 , 	11 , 	9 , 	16 , 	13 , 	16 , 	7 , 	19 , 	9 , 	8 , 	6 , 	7 , 	2 , 	1 , 	2 , 	2 , 	4 , 	4 , 	1 , 	0 , 	1 , 	2 , 	30 , 	28 , 	30 , 	29 , 	15 , 	15 , 	3 , 	3 , 	5 , 	1 , 	1 , 	2 , 	1 , 	3 , 	1 , 	0 , 	4 , 	1 , 	0 , 	2 , 	2 , 	2 , 	1 , 	-   , 	1 , 	379 ,,,,,,,,,,,,,
BK, 	98 , 	117 , 	79 , 	13 , 	8 , 	39 , 	45 , 	46 , 	57 , 	18 , 	55 , 	32 , 	26 , 	19 , 	16 , 	10 , 	14 , 	9 , 	8 , 	6 , 	8 , 	4 , 	3 , 	1 , 	14 , 	56 , 	41 , 	62 , 	62 , 	35 , 	28 , 	6 , 	13 , 	10 , 	5 , 	5 , 	8 , 	3 , 	10 , 	6 , 	3 , 	9 , 	7 , 	4 , 	4 , 	2 , 	2 , 	9 , 	2 , 	6 ," 	1,141 ",,,,,,,,,,,,,
AS, 	21 , 	31 , 	18 , 	9 , 	29 , 	4 , 	17 , 	19 , 	29 , 	7 , 	29 , 	17 , 	14 , 	7 , 	5 , 	5 , 	7 , 	3 , 	4 , 	2 , 	2 , 	1 , 	1 , 	1 , 	8 , 	35 , 	35 , 	49 , 	51 , 	25 , 	15 , 	3 , 	7 , 	4 , 	2 , 	1 , 	3 , 	0 , 	2 , 	2 , 	4 , 	5 , 	2 , 	1 , 	2 , 	4 , 	2 , 	3 , 	1 , 	3 , 	552 ,,,,,,,,,,,,,
MA, 	46 , 	60 , 	23 , 	16 , 	38 , 	20 , 	8 , 	19 , 	26 , 	9 , 	46 , 	36 , 	27 , 	20 , 	18 , 	12 , 	12 , 	12 , 	25 , 	22 , 	24 , 	6 , 	6 , 	8 , 	15 , 	89 , 	70 , 	114 , 	101 , 	60 , 	35 , 	14 , 	9 , 	12 , 	7 , 	3 , 	11 , 	6 , 	29 , 	4 , 	5 , 	13 , 	5 , 	3 , 	3 , 	6 , 	5 , 	6 , 	19 , 	29 ," 	1,214 ",,,,,,,,,,,,,
19, 	29 , 	45 , 	17 , 	13 , 	42 , 	18 , 	17 , 	6 , 	5 , 	3 , 	30 , 	31 , 	27 , 	34 , 	25 , 	14 , 	17 , 	9 , 	24 , 	24 , 	18 , 	9 , 	6 , 	8 , 	10 , 	85 , 	80 , 	97 , 	97 , 	49 , 	30 , 	14 , 	13 , 	16 , 	6 , 	2 , 	5 , 	9 , 	28 , 	5 , 	6 , 	9 , 	6 , 	3 , 	3 , 	7 , 	4 , 	9 , 	8 , 	25 ," 	1,095 ",,,,,,,,,,,,,
12, 	39 , 	71 , 	34 , 	15 , 	49 , 	24 , 	26 , 	6 , 	12 , 	5 , 	28 , 	40 , 	53 , 	40 , 	35 , 	19 , 	22 , 	18 , 	34 , 	31 , 	26 , 	10 , 	10 , 	11 , 	18 , 	83 , 	87 , 	137 , 	97 , 	51 , 	40 , 	17 , 	26 , 	28 , 	15 , 	3 , 	7 , 	7 , 	27 , 	12 , 	9 , 	14 , 	11 , 	2 , 	3 , 	5 , 	3 , 	8 , 	9 , 	26 ," 	1,403 ",,,,,,,,,,,,,
LM, 	13 , 	20 , 	9 , 	7 , 	11 , 	9 , 	9 , 	4 , 	6 , 	6 , 	42 , 	53 , 	72 , 	60 , 	39 , 	25 , 	23 , 	21 , 	5 , 	5 , 	5 , 	1 , 	1 , 	4 , 	10 , 	90 , 	83 , 	123 , 	100 , 	44 , 	30 , 	12 , 	16 , 	12 , 	2 , 	26 , 	39 , 	3 , 	4 , 	1 , 	2 , 	5 , 	1 , 	18 , 	4 , 	14 , 	8 , 	9 , 	2 , 	6 ," 	1,115 ",,,,,,,,,,,,,
