Exit stations,Entry stations->,,SUNDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	8 , 	15 , 	17 , 	9 , 	40 , 	13 , 	16 , 	12 , 	10 , 	13 , 	19 , 	10 , 	8 , 	5 , 	5 , 	1 , 	1 , 	3 , 	7 , 	1 , 	2 , 	1 , 	1 , 	4 , 	4 , 	26 , 	23 , 	57 , 	27 , 	25 , 	19 , 	4 , 	12 , 	6 , 	3 , 	1 , 	1 , 	0 , 	4 , 	2 , 	5 , 	10 , 	2 , 	1 , 	4 , 	2 , 	1 , 	1 , 	1 , 	2 , 	466 ,,,,,,,,,,,
EN, 	13 , 	6 , 	7 , 	8 , 	46 , 	18 , 	16 , 	12 , 	17 , 	13 , 	20 , 	11 , 	9 , 	10 , 	6 , 	4 , 	3 , 	3 , 	7 , 	3 , 	4 , 	1 , 	1 , 	1 , 	7 , 	39 , 	27 , 	86 , 	31 , 	24 , 	23 , 	7 , 	11 , 	7 , 	6 , 	0 , 	5 , 	1 , 	4 , 	2 , 	2 , 	19 , 	2 , 	0 , 	7 , 	2 , 	4 , 	5 , 	1 , 	3 , 	566 ,,,,,,,,,,,
EP, 	15 , 	10 , 	4 , 	6 , 	39 , 	10 , 	9 , 	12 , 	13 , 	9 , 	10 , 	3 , 	3 , 	2 , 	2 , 	3 , 	1 , 	1 , 	3 , 	2 , 	4 , 	1 , 	0 , 	2 , 	1 , 	16 , 	11 , 	29 , 	13 , 	7 , 	5 , 	2 , 	4 , 	1 , 	0 , 	0 , 	1 , 	0 , 	2 , 	2 , 	1 , 	7 , 	1 , 	-   , 	2 , 	0 , 	1 , 	2 , 	1 , 	1 , 	275 ,,,,,,,,,,,
NB, 	10 , 	7 , 	9 , 	4 , 	4 , 	6 , 	12 , 	8 , 	5 , 	5 , 	8 , 	0 , 	5 , 	1 , 	1 , 	1 , 	0 , 	2 , 	2 , 	2 , 	3 , 	1 , 	-   , 	-   , 	1 , 	8 , 	6 , 	17 , 	10 , 	9 , 	7 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	0 , 	6 , 	1 , 	0 , 	2 , 	1 , 	1 , 	2 , 	0 , 	1 , 	178 ,,,,,,,,,,,
BK, 	42 , 	46 , 	47 , 	7 , 	12 , 	15 , 	19 , 	22 , 	27 , 	14 , 	24 , 	15 , 	6 , 	8 , 	8 , 	3 , 	4 , 	4 , 	3 , 	1 , 	2 , 	1 , 	2 , 	1 , 	10 , 	32 , 	23 , 	47 , 	33 , 	23 , 	16 , 	5 , 	9 , 	5 , 	2 , 	-   , 	3 , 	0 , 	3 , 	1 , 	2 , 	11 , 	3 , 	2 , 	9 , 	5 , 	5 , 	11 , 	1 , 	1 , 	591 ,,,,,,,,,,,
AS, 	13 , 	22 , 	10 , 	7 , 	12 , 	4 , 	6 , 	11 , 	11 , 	6 , 	12 , 	7 , 	4 , 	8 , 	5 , 	0 , 	3 , 	1 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	4 , 	16 , 	9 , 	23 , 	14 , 	15 , 	8 , 	4 , 	3 , 	1 , 	0 , 	1 , 	1 , 	0 , 	1 , 	-   , 	1 , 	6 , 	1 , 	0 , 	4 , 	3 , 	0 , 	3 , 	0 , 	1 , 	268 ,,,,,,,,,,,
MA, 	19 , 	16 , 	10 , 	10 , 	14 , 	9 , 	7 , 	8 , 	10 , 	10 , 	28 , 	14 , 	10 , 	10 , 	7 , 	3 , 	3 , 	4 , 	11 , 	6 , 	12 , 	3 , 	1 , 	8 , 	8 , 	29 , 	25 , 	54 , 	32 , 	27 , 	17 , 	7 , 	5 , 	6 , 	3 , 	2 , 	2 , 	1 , 	9 , 	1 , 	1 , 	15 , 	2 , 	2 , 	5 , 	1 , 	2 , 	6 , 	5 , 	8 , 	510 ,,,,,,,,,,,
19, 	9 , 	12 , 	7 , 	5 , 	17 , 	9 , 	9 , 	6 , 	2 , 	2 , 	13 , 	15 , 	11 , 	12 , 	8 , 	3 , 	4 , 	4 , 	6 , 	4 , 	8 , 	2 , 	3 , 	5 , 	6 , 	36 , 	27 , 	65 , 	42 , 	32 , 	19 , 	6 , 	9 , 	6 , 	2 , 	0 , 	1 , 	2 , 	5 , 	1 , 	2 , 	18 , 	2 , 	0 , 	5 , 	2 , 	2 , 	5 , 	2 , 	6 , 	478 ,,,,,,,,,,,
12, 	11 , 	12 , 	11 , 	7 , 	18 , 	13 , 	14 , 	3 , 	6 , 	3 , 	10 , 	9 , 	14 , 	18 , 	8 , 	3 , 	5 , 	6 , 	10 , 	4 , 	5 , 	1 , 	3 , 	5 , 	10 , 	39 , 	33 , 	88 , 	41 , 	27 , 	17 , 	8 , 	11 , 	13 , 	7 , 	1 , 	2 , 	1 , 	4 , 	1 , 	4 , 	18 , 	3 , 	0 , 	2 , 	1 , 	1 , 	3 , 	2 , 	6 , 	541 ,,,,,,,,,,,
LM, 	13 , 	14 , 	9 , 	4 , 	19 , 	8 , 	7 , 	3 , 	2 , 	7 , 	45 , 	22 , 	29 , 	24 , 	16 , 	12 , 	9 , 	7 , 	2 , 	0 , 	3 , 	1 , 	0 , 	3 , 	7 , 	35 , 	27 , 	73 , 	40 , 	31 , 	22 , 	5 , 	9 , 	8 , 	1 , 	7 , 	15 , 	0 , 	2 , 	1 , 	2 , 	6 , 	1 , 	5 , 	8 , 	2 , 	5 , 	7 , 	0 , 	2 , 	580 ,,,,,,,,,,,
FV, 	22 , 	20 , 	10 , 	6 , 	23 , 	13 , 	24 , 	14 , 	12 , 	45 , 	20 , 	35 , 	30 , 	53 , 	29 , 	19 , 	9 , 	12 , 	10 , 	2 , 	6 , 	6 , 	2 , 	7 , 	17 , 	42 , 	24 , 	130 , 	73 , 	37 , 	32 , 	6 , 	9 , 	8 , 	1 , 	10 , 	17 , 	0 , 	8 , 	2 , 	3 , 	10 , 	2 , 	13 , 	6 , 	6 , 	5 , 	11 , 	2 , 	4 , 	905 ,,,,,,,,,,,
