Exit stations,Entry stations->,,TOTAL,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	156 , 	737 , 	671 , 	526 ," 	1,740 ", 	603 , 	813 , 	597 , 	926 , 	269 , 	719 , 	709 , 	357 , 	290 , 	262 , 	166 , 	139 , 	127 , 	174 , 	59 , 	158 , 	35 , 	54 , 	131 , 	270 ," 	1,843 "," 	1,800 "," 	3,453 "," 	2,111 "," 	1,462 "," 	1,578 ", 	464 , 	490 , 	330 , 	159 , 	19 , 	88 , 	15 , 	107 , 	121 , 	283 , 	226 , 	114 , 	30 , 	73 , 	90 , 	65 , 	61 , 	79 , 	73 ," 	25,822 ",,,,,,,,,,,,,
EN, 	813 , 	233 , 	411 , 	445 ," 	2,345 ", 	815 ," 	1,260 ", 	932 ," 	1,445 ", 	413 , 	969 , 	646 , 	427 , 	343 , 	236 , 	159 , 	201 , 	239 , 	234 , 	104 , 	191 , 	54 , 	68 , 	147 , 	273 ," 	3,192 "," 	2,943 "," 	4,722 "," 	3,291 "," 	1,486 "," 	1,673 ", 	474 , 	659 , 	364 , 	231 , 	40 , 	148 , 	30 , 	193 , 	172 , 	202 , 	478 , 	207 , 	42 , 	123 , 	128 , 	117 , 	166 , 	77 , 	109 ," 	34,670 ",,,,,,,,,,,,,
EP, 	710 , 	383 , 	78 , 	383 ," 	1,794 ", 	471 , 	573 , 	469 , 	894 , 	214 , 	468 , 	219 , 	187 , 	108 , 	46 , 	103 , 	104 , 	67 , 	77 , 	51 , 	60 , 	43 , 	13 , 	103 , 	91 ," 	1,135 ", 	950 ," 	1,399 "," 	1,057 ", 	413 , 	388 , 	92 , 	140 , 	58 , 	27 , 	30 , 	30 , 	20 , 	58 , 	65 , 	32 , 	156 , 	85 , 	24 , 	43 , 	28 , 	28 , 	34 , 	15 , 	36 ," 	14,052 ",,,,,,,,,,,,,
NB, 	567 , 	427 , 	433 , 	73 , 	282 , 	303 , 	353 , 	340 , 	311 , 	124 , 	442 , 	258 , 	157 , 	154 , 	150 , 	46 , 	16 , 	69 , 	47 , 	77 , 	115 , 	9 , 	11 , 	15 , 	69 , 	622 , 	489 , 	677 , 	562 , 	316 , 	288 , 	54 , 	98 , 	118 , 	22 , 	29 , 	40 , 	16 , 	73 , 	11 , 	16 , 	111 , 	35 , 	8 , 	43 , 	58 , 	24 , 	41 , 	6 , 	35 ," 	8,640 ",,,,,,,,,,,,,
BK," 	2,034 "," 	2,586 "," 	1,771 ", 	311 , 	228 , 	885 ," 	1,011 ", 	925 ," 	1,286 ", 	424 ," 	1,200 ", 	757 , 	517 , 	393 , 	356 , 	183 , 	281 , 	185 , 	184 , 	111 , 	125 , 	73 , 	48 , 	56 , 	325 ," 	1,167 ", 	786 ," 	1,446 "," 	1,283 ", 	646 , 	563 , 	197 , 	303 , 	256 , 	53 , 	89 , 	116 , 	38 , 	261 , 	67 , 	57 , 	182 , 	124 , 	54 , 	107 , 	66 , 	85 , 	170 , 	52 , 	136 ," 	24,559 ",,,,,,,,,,,,,
AS, 	592 , 	857 , 	454 , 	220 , 	699 , 	79 , 	442 , 	470 , 	657 , 	162 , 	772 , 	415 , 	245 , 	155 , 	140 , 	66 , 	148 , 	58 , 	128 , 	62 , 	43 , 	15 , 	33 , 	19 , 	229 , 	707 , 	763 ," 	1,114 "," 	1,046 ", 	450 , 	333 , 	78 , 	146 , 	61 , 	29 , 	14 , 	46 , 	2 , 	64 , 	21 , 	95 , 	109 , 	44 , 	19 , 	50 , 	111 , 	31 , 	85 , 	17 , 	50 ," 	12,645 ",,,,,,,,,,,,,
MA," 	1,122 "," 	1,202 ", 	540 , 	342 , 	879 , 	457 , 	185 , 	427 , 	634 , 	233 ," 	1,197 ", 	790 , 	633 , 	487 , 	379 , 	241 , 	279 , 	234 , 	512 , 	431 , 	504 , 	142 , 	131 , 	185 , 	356 ," 	1,605 "," 	1,375 "," 	2,821 "," 	2,075 "," 	1,265 ", 	796 , 	341 , 	275 , 	239 , 	180 , 	52 , 	188 , 	106 , 	663 , 	91 , 	74 , 	292 , 	91 , 	65 , 	57 , 	78 , 	107 , 	125 , 	394 , 	539 ," 	26,416 ",,,,,,,,,,,,,
19, 	632 , 	936 , 	326 , 	305 , 	818 , 	421 , 	369 , 	109 , 	135 , 	94 , 	575 , 	752 , 	551 , 	737 , 	453 , 	264 , 	248 , 	190 , 	481 , 	469 , 	340 , 	112 , 	112 , 	233 , 	317 ," 	1,834 "," 	1,619 "," 	2,482 "," 	1,856 ", 	979 , 	648 , 	271 , 	372 , 	324 , 	120 , 	57 , 	85 , 	159 , 	497 , 	69 , 	120 , 	225 , 	91 , 	75 , 	71 , 	97 , 	119 , 	108 , 	188 , 	431 ," 	22,876 ",,,,,,,,,,,,,
12, 	901 ," 	1,441 ", 	815 , 	330 ," 	1,038 ", 	565 , 	532 , 	123 , 	266 , 	120 , 	702 , 	777 , 	977 , 	853 , 	678 , 	284 , 	407 , 	361 , 	596 , 	622 , 	536 , 	142 , 	176 , 	274 , 	463 ," 	1,856 "," 	1,791 "," 	3,515 "," 	2,065 "," 	1,132 ", 	834 , 	341 , 	517 , 	544 , 	267 , 	43 , 	121 , 	136 , 	470 , 	218 , 	273 , 	357 , 	194 , 	27 , 	69 , 	142 , 	86 , 	157 , 	172 , 	593 ," 	29,899 ",,,,,,,,,,,,,
LM, 	239 , 	420 , 	229 , 	139 , 	331 , 	194 , 	218 , 	116 , 	146 , 	139 ," 	1,077 "," 	1,126 "," 	1,542 "," 	1,293 ", 	709 , 	517 , 	454 , 	399 , 	79 , 	102 , 	107 , 	19 , 	6 , 	74 , 	256 ," 	1,691 "," 	1,649 "," 	2,989 "," 	1,958 ", 	929 , 	566 , 	276 , 	431 , 	272 , 	34 , 	507 , 	744 , 	35 , 	92 , 	27 , 	41 , 	111 , 	34 , 	324 , 	110 , 	251 , 	195 , 	188 , 	42 , 	99 ," 	23,526 ",,,,,,,,,,,,,
FV, 	713 ," 	1,014 ", 	431 , 	425 ," 	1,170 ", 	688 ," 	1,023 ", 	666 , 	804 , 	861 , 	432 ," 	1,877 "," 	2,122 "," 	2,255 "," 	1,677 ", 	851 , 	720 , 	743 , 	250 , 	165 , 	290 , 	171 , 	198 , 	368 , 	970 ," 	3,010 "," 	2,680 "," 	5,829 "," 	4,266 "," 	1,804 "," 	1,953 ", 	473 , 	530 , 	471 , 	93 , 	521 ," 	1,232 ", 	33 , 	173 , 	80 , 	181 , 	221 , 	80 , 	651 , 	99 , 	590 , 	178 , 	326 , 	104 , 	237 ," 	46,699 ",,,,,,,,,,,,,
