Exit stations,Entry stations->,,SUNDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	3 , 	8 , 	7 , 	4 , 	18 , 	5 , 	8 , 	4 , 	9 , 	4 , 	8 , 	3 , 	2 , 	2 , 	2 , 	0 , 	1 , 	2 , 	3 , 	1 , 	2 , 	0 , 	0 , 	1 , 	2 , 	11 , 	9 , 	28 , 	11 , 	8 , 	12 , 	2 , 	4 , 	3 , 	2 , 	-   , 	1 , 	0 , 	1 , 	1 , 	3 , 	5 , 	0 , 	0 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	209 ,,,,,,,,,,,
EN, 	7 , 	6 , 	10 , 	9 , 	39 , 	19 , 	20 , 	11 , 	18 , 	11 , 	21 , 	11 , 	10 , 	8 , 	8 , 	3 , 	4 , 	4 , 	7 , 	3 , 	5 , 	1 , 	0 , 	1 , 	6 , 	39 , 	35 , 	91 , 	31 , 	28 , 	21 , 	8 , 	15 , 	9 , 	5 , 	1 , 	2 , 	2 , 	5 , 	3 , 	3 , 	16 , 	2 , 	0 , 	5 , 	3 , 	3 , 	3 , 	2 , 	3 , 	578 ,,,,,,,,,,,
EP, 	7 , 	9 , 	2 , 	5 , 	33 , 	9 , 	8 , 	9 , 	8 , 	6 , 	10 , 	2 , 	2 , 	3 , 	1 , 	2 , 	1 , 	3 , 	3 , 	1 , 	2 , 	1 , 	-   , 	2 , 	2 , 	9 , 	7 , 	19 , 	10 , 	5 , 	5 , 	1 , 	2 , 	0 , 	-   , 	-   , 	-   , 	-   , 	3 , 	2 , 	1 , 	7 , 	0 , 	-   , 	0 , 	0 , 	0 , 	1 , 	-   , 	0 , 	205 ,,,,,,,,,,,
NB, 	5 , 	10 , 	8 , 	2 , 	3 , 	6 , 	7 , 	6 , 	3 , 	3 , 	6 , 	1 , 	4 , 	1 , 	1 , 	0 , 	1 , 	0 , 	2 , 	1 , 	2 , 	-   , 	0 , 	1 , 	1 , 	9 , 	4 , 	8 , 	11 , 	7 , 	4 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	1 , 	0 , 	0 , 	-   , 	4 , 	0 , 	-   , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	131 ,,,,,,,,,,,
BK, 	19 , 	40 , 	32 , 	4 , 	9 , 	15 , 	17 , 	20 , 	22 , 	9 , 	18 , 	15 , 	8 , 	9 , 	6 , 	1 , 	3 , 	2 , 	4 , 	1 , 	3 , 	2 , 	1 , 	2 , 	9 , 	16 , 	11 , 	29 , 	18 , 	12 , 	9 , 	2 , 	4 , 	2 , 	1 , 	2 , 	1 , 	0 , 	3 , 	1 , 	1 , 	15 , 	2 , 	0 , 	7 , 	1 , 	3 , 	7 , 	1 , 	1 , 	418 ,,,,,,,,,,,
AS, 	4 , 	25 , 	8 , 	6 , 	12 , 	3 , 	9 , 	8 , 	10 , 	4 , 	11 , 	8 , 	4 , 	6 , 	4 , 	1 , 	2 , 	1 , 	2 , 	2 , 	1 , 	-   , 	0 , 	1 , 	4 , 	10 , 	8 , 	17 , 	14 , 	8 , 	7 , 	1 , 	3 , 	1 , 	0 , 	1 , 	1 , 	0 , 	0 , 	0 , 	0 , 	5 , 	1 , 	0 , 	4 , 	2 , 	0 , 	3 , 	1 , 	1 , 	225 ,,,,,,,,,,,
MA, 	11 , 	20 , 	8 , 	6 , 	15 , 	7 , 	4 , 	4 , 	8 , 	6 , 	22 , 	11 , 	9 , 	5 , 	5 , 	5 , 	2 , 	1 , 	9 , 	5 , 	9 , 	3 , 	1 , 	5 , 	7 , 	22 , 	20 , 	40 , 	25 , 	25 , 	15 , 	6 , 	2 , 	4 , 	3 , 	1 , 	2 , 	0 , 	9 , 	1 , 	0 , 	11 , 	1 , 	1 , 	2 , 	1 , 	3 , 	3 , 	3 , 	7 , 	395 ,,,,,,,,,,,
19, 	5 , 	11 , 	5 , 	4 , 	14 , 	7 , 	4 , 	3 , 	1 , 	3 , 	9 , 	11 , 	10 , 	9 , 	4 , 	4 , 	1 , 	3 , 	4 , 	7 , 	4 , 	1 , 	3 , 	4 , 	6 , 	27 , 	17 , 	42 , 	26 , 	22 , 	12 , 	5 , 	6 , 	6 , 	0 , 	1 , 	1 , 	3 , 	4 , 	-   , 	1 , 	13 , 	2 , 	0 , 	1 , 	1 , 	1 , 	1 , 	2 , 	5 , 	335 ,,,,,,,,,,,
12, 	8 , 	10 , 	10 , 	4 , 	16 , 	9 , 	11 , 	3 , 	7 , 	3 , 	10 , 	10 , 	16 , 	15 , 	6 , 	1 , 	4 , 	5 , 	7 , 	3 , 	5 , 	2 , 	1 , 	3 , 	6 , 	26 , 	23 , 	75 , 	36 , 	25 , 	15 , 	5 , 	9 , 	9 , 	4 , 	0 , 	0 , 	0 , 	5 , 	2 , 	4 , 	12 , 	3 , 	-   , 	2 , 	1 , 	1 , 	2 , 	3 , 	4 , 	443 ,,,,,,,,,,,
LM, 	4 , 	10 , 	6 , 	4 , 	8 , 	5 , 	7 , 	3 , 	2 , 	5 , 	37 , 	17 , 	17 , 	14 , 	10 , 	5 , 	6 , 	3 , 	1 , 	0 , 	0 , 	1 , 	0 , 	2 , 	7 , 	20 , 	16 , 	53 , 	30 , 	22 , 	15 , 	2 , 	6 , 	3 , 	0 , 	6 , 	12 , 	0 , 	1 , 	0 , 	0 , 	3 , 	0 , 	6 , 	4 , 	2 , 	4 , 	3 , 	1 , 	2 , 	388 ,,,,,,,,,,,
FV, 	9 , 	22 , 	10 , 	7 , 	16 , 	11 , 	19 , 	9 , 	10 , 	30 , 	12 , 	30 , 	27 , 	41 , 	28 , 	17 , 	7 , 	9 , 	8 , 	2 , 	6 , 	4 , 	2 , 	6 , 	17 , 	30 , 	25 , 	97 , 	63 , 	29 , 	31 , 	4 , 	7 , 	6 , 	2 , 	7 , 	16 , 	1 , 	3 , 	2 , 	3 , 	7 , 	2 , 	11 , 	4 , 	6 , 	3 , 	8 , 	1 , 	5 , 	737 ,,,,,,,,,,,
CL, 	4 , 	13 , 	3 , 	1 , 	14 , 	8 , 	11 , 	9 , 	15 , 	11 , 	26 , 	4 , 	18 , 	27 , 	18 , 	10 , 	5 , 	4 , 	3 , 	1 , 	3 , 	0 , 	0 , 	1 , 	10 , 	17 , 	12 , 	54 , 	26 , 	15 , 	12 , 	2 , 	3 , 	1 , 	1 , 	5 , 	10 , 	0 , 	5 , 	1 , 	0 , 	5 , 	1 , 	5 , 	6 , 	5 , 	4 , 	3 , 	2 , 	4 , 	419 ,,,,,,,,,,,
SL, 	3 , 	7 , 	3 , 	2 , 	7 , 	4 , 	6 , 	12 , 	15 , 	18 , 	28 , 	21 , 	5 , 	21 , 	20 , 	8 , 	12 , 	6 , 	3 , 	1 , 	2 , 	1 , 	0 , 	4 , 	6 , 	22 , 	19 , 	48 , 	17 , 	11 , 	13 , 	2 , 	4 , 	6 , 	2 , 	6 , 	10 , 	-   , 	1 , 	1 , 	0 , 	6 , 	-   , 	9 , 	2 , 	4 , 	3 , 	3 , 	1 , 	2 , 	405 ,,,,,,,,,,,
BF, 	4 , 	7 , 	2 , 	2 , 	7 , 	7 , 	7 , 	8 , 	15 , 	21 , 	42 , 	28 , 	23 , 	7 , 	22 , 	9 , 	8 , 	11 , 	5 , 	0 , 	3 , 	1 , 	1 , 	1 , 	6 , 	16 , 	16 , 	44 , 	20 , 	8 , 	9 , 	3 , 	2 , 	2 , 	2 , 	6 , 	13 , 	-   , 	2 , 	1 , 	1 , 	4 , 	2 , 	12 , 	1 , 	5 , 	6 , 	6 , 	1 , 	2 , 	433 ,,,,,,,,,,,
HY, 	2 , 	8 , 	2 , 	2 , 	4 , 	2 , 	7 , 	8 , 	9 , 	9 , 	22 , 	18 , 	21 , 	16 , 	8 , 	11 , 	12 , 	15 , 	3 , 	2 , 	2 , 	1 , 	0 , 	1 , 	3 , 	12 , 	4 , 	21 , 	9 , 	6 , 	6 , 	2 , 	4 , 	1 , 	1 , 	4 , 	6 , 	0 , 	2 , 	0 , 	0 , 	1 , 	1 , 	3 , 	2 , 	4 , 	9 , 	8 , 	1 , 	1 , 	297 ,,,,,,,,,,,
SH, 	0 , 	2 , 	2 , 	0 , 	1 , 	1 , 	4 , 	4 , 	3 , 	5 , 	17 , 	11 , 	6 , 	9 , 	9 , 	2 , 	7 , 	8 , 	1 , 	-   , 	1 , 	-   , 	-   , 	1 , 	1 , 	5 , 	2 , 	10 , 	4 , 	3 , 	4 , 	0 , 	2 , 	3 , 	1 , 	2 , 	3 , 	-   , 	0 , 	0 , 	1 , 	1 , 	0 , 	2 , 	1 , 	4 , 	2 , 	6 , 	1 , 	-   , 	152 ,,,,,,,,,,,
UC, 	1 , 	5 , 	2 , 	1 , 	2 , 	2 , 	2 , 	3 , 	4 , 	6 , 	8 , 	9 , 	7 , 	8 , 	12 , 	7 , 	2 , 	8 , 	2 , 	-   , 	1 , 	0 , 	0 , 	1 , 	-   , 	8 , 	4 , 	10 , 	6 , 	3 , 	3 , 	2 , 	0 , 	-   , 	0 , 	0 , 	1 , 	-   , 	1 , 	0 , 	1 , 	3 , 	-   , 	2 , 	2 , 	8 , 	7 , 	10 , 	1 , 	1 , 	168 ,,,,,,,,,,,
FM, 	2 , 	3 , 	2 , 	1 , 	3 , 	1 , 	3 , 	2 , 	3 , 	4 , 	11 , 	5 , 	7 , 	10 , 	16 , 	7 , 	6 , 	6 , 	1 , 	3 , 	1 , 	-   , 	-   , 	0 , 	1 , 	6 , 	3 , 	10 , 	6 , 	2 , 	1 , 	0 , 	2 , 	3 , 	1 , 	1 , 	6 , 	0 , 	2 , 	0 , 	0 , 	3 , 	-   , 	0 , 	4 , 	3 , 	8 , 	11 , 	1 , 	0 , 	170 ,,,,,,,,,,,
