Exit stations,Entry stations->,,SATURDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	3 , 	10 , 	11 , 	7 , 	19 , 	7 , 	12 , 	7 , 	10 , 	3 , 	13 , 	7 , 	3 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	3 , 	2 , 	17 , 	17 , 	34 , 	19 , 	16 , 	19 , 	5 , 	6 , 	5 , 	2 , 	1 , 	2 , 	-   , 	-   , 	1 , 	1 , 	3 , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	284 ,,,,,,,,,,
EN, 	12 , 	6 , 	18 , 	16 , 	71 , 	30 , 	38 , 	21 , 	34 , 	9 , 	44 , 	22 , 	11 , 	10 , 	13 , 	6 , 	6 , 	6 , 	9 , 	5 , 	8 , 	3 , 	1 , 	6 , 	11 , 	82 , 	64 , 	154 , 	54 , 	53 , 	55 , 	16 , 	22 , 	9 , 	10 , 	1 , 	5 , 	2 , 	5 , 	5 , 	8 , 	17 , 	2 , 	1 , 	5 , 	4 , 	3 , 	6 , 	4 , 	4 ," 	1,002 ",,,,,,,,,,
EP, 	12 , 	17 , 	5 , 	13 , 	54 , 	11 , 	15 , 	14 , 	17 , 	6 , 	15 , 	8 , 	4 , 	4 , 	3 , 	3 , 	2 , 	3 , 	1 , 	4 , 	4 , 	2 , 	1 , 	3 , 	3 , 	23 , 	16 , 	44 , 	17 , 	9 , 	8 , 	2 , 	4 , 	4 , 	1 , 	1 , 	-   , 	1 , 	2 , 	1 , 	1 , 	6 , 	0 , 	2 , 	1 , 	1 , 	2 , 	2 , 	1 , 	1 , 	369 ,,,,,,,,,,
NB, 	6 , 	16 , 	19 , 	2 , 	9 , 	9 , 	8 , 	8 , 	6 , 	4 , 	10 , 	6 , 	6 , 	4 , 	3 , 	1 , 	2 , 	1 , 	1 , 	1 , 	3 , 	1 , 	-   , 	2 , 	2 , 	21 , 	8 , 	16 , 	19 , 	15 , 	8 , 	2 , 	2 , 	3 , 	2 , 	0 , 	0 , 	-   , 	1 , 	0 , 	-   , 	2 , 	0 , 	-   , 	2 , 	2 , 	1 , 	3 , 	-   , 	1 , 	231 ,,,,,,,,,,
BK, 	27 , 	79 , 	64 , 	8 , 	9 , 	32 , 	35 , 	34 , 	37 , 	14 , 	30 , 	28 , 	9 , 	12 , 	8 , 	3 , 	10 , 	3 , 	5 , 	4 , 	5 , 	2 , 	0 , 	1 , 	9 , 	56 , 	35 , 	68 , 	42 , 	40 , 	25 , 	8 , 	10 , 	11 , 	1 , 	1 , 	5 , 	0 , 	10 , 	1 , 	1 , 	6 , 	2 , 	3 , 	2 , 	2 , 	4 , 	10 , 	2 , 	1 , 	812 ,,,,,,,,,,
AS, 	7 , 	31 , 	10 , 	6 , 	23 , 	4 , 	11 , 	19 , 	17 , 	8 , 	19 , 	13 , 	6 , 	4 , 	5 , 	1 , 	3 , 	2 , 	3 , 	2 , 	2 , 	1 , 	1 , 	2 , 	6 , 	19 , 	15 , 	40 , 	19 , 	21 , 	9 , 	3 , 	4 , 	2 , 	1 , 	1 , 	3 , 	0 , 	2 , 	-   , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	353 ,,,,,,,,,,
MA, 	7 , 	37 , 	15 , 	11 , 	24 , 	10 , 	5 , 	15 , 	17 , 	8 , 	36 , 	23 , 	12 , 	9 , 	10 , 	5 , 	4 , 	4 , 	13 , 	10 , 	11 , 	4 , 	3 , 	8 , 	8 , 	54 , 	39 , 	78 , 	41 , 	46 , 	24 , 	8 , 	7 , 	4 , 	2 , 	2 , 	2 , 	2 , 	9 , 	2 , 	1 , 	7 , 	1 , 	0 , 	2 , 	1 , 	3 , 	4 , 	3 , 	8 , 	653 ,,,,,,,,,,
19, 	7 , 	26 , 	9 , 	6 , 	30 , 	13 , 	11 , 	5 , 	3 , 	3 , 	13 , 	16 , 	10 , 	12 , 	8 , 	3 , 	2 , 	2 , 	9 , 	8 , 	8 , 	1 , 	5 , 	8 , 	11 , 	58 , 	37 , 	72 , 	46 , 	48 , 	25 , 	6 , 	8 , 	9 , 	2 , 	1 , 	1 , 	1 , 	7 , 	-   , 	2 , 	4 , 	2 , 	1 , 	2 , 	3 , 	2 , 	4 , 	5 , 	8 , 	579 ,,,,,,,,,,
12, 	9 , 	26 , 	19 , 	11 , 	30 , 	19 , 	11 , 	3 , 	7 , 	1 , 	17 , 	14 , 	18 , 	16 , 	10 , 	3 , 	6 , 	4 , 	10 , 	8 , 	9 , 	3 , 	4 , 	8 , 	12 , 	46 , 	46 , 	107 , 	50 , 	33 , 	26 , 	6 , 	14 , 	8 , 	7 , 	-   , 	3 , 	3 , 	5 , 	3 , 	4 , 	9 , 	7 , 	1 , 	1 , 	2 , 	2 , 	4 , 	3 , 	7 , 	669 ,,,,,,,,,,
LM, 	2 , 	10 , 	7 , 	5 , 	14 , 	9 , 	7 , 	4 , 	1 , 	4 , 	36 , 	33 , 	34 , 	28 , 	16 , 	7 , 	4 , 	7 , 	3 , 	1 , 	2 , 	1 , 	0 , 	3 , 	9 , 	52 , 	43 , 	77 , 	49 , 	36 , 	20 , 	5 , 	14 , 	8 , 	1 , 	12 , 	22 , 	0 , 	1 , 	1 , 	1 , 	3 , 	1 , 	9 , 	2 , 	6 , 	2 , 	8 , 	1 , 	1 , 	616 ,,,,,,,,,,
FV, 	11 , 	35 , 	14 , 	9 , 	36 , 	21 , 	27 , 	18 , 	19 , 	24 , 	18 , 	50 , 	48 , 	75 , 	39 , 	20 , 	20 , 	16 , 	10 , 	5 , 	8 , 	5 , 	7 , 	14 , 	21 , 	58 , 	43 , 	156 , 	86 , 	51 , 	53 , 	11 , 	12 , 	11 , 	1 , 	14 , 	35 , 	1 , 	4 , 	3 , 	5 , 	5 , 	2 , 	18 , 	1 , 	15 , 	5 , 	13 , 	3 , 	7 ," 	1,176 ",,,,,,,,,,
CL, 	9 , 	22 , 	6 , 	6 , 	24 , 	12 , 	21 , 	18 , 	20 , 	24 , 	36 , 	7 , 	28 , 	39 , 	26 , 	13 , 	11 , 	12 , 	6 , 	5 , 	4 , 	1 , 	1 , 	3 , 	12 , 	25 , 	21 , 	72 , 	40 , 	27 , 	24 , 	10 , 	8 , 	11 , 	1 , 	8 , 	16 , 	1 , 	3 , 	2 , 	4 , 	3 , 	1 , 	10 , 	4 , 	4 , 	4 , 	6 , 	4 , 	8 , 	676 ,,,,,,,,,,
SL, 	4 , 	13 , 	4 , 	4 , 	12 , 	8 , 	12 , 	17 , 	16 , 	37 , 	51 , 	35 , 	5 , 	25 , 	23 , 	16 , 	15 , 	12 , 	2 , 	3 , 	4 , 	2 , 	0 , 	8 , 	9 , 	36 , 	38 , 	76 , 	29 , 	20 , 	17 , 	6 , 	8 , 	7 , 	2 , 	10 , 	16 , 	1 , 	3 , 	2 , 	2 , 	8 , 	1 , 	15 , 	1 , 	7 , 	7 , 	8 , 	1 , 	3 , 	649 ,,,,,,,,,,
BF, 	3 , 	11 , 	3 , 	4 , 	10 , 	5 , 	11 , 	15 , 	19 , 	35 , 	77 , 	41 , 	34 , 	8 , 	27 , 	13 , 	12 , 	21 , 	5 , 	1 , 	2 , 	1 , 	3 , 	3 , 	9 , 	31 , 	28 , 	78 , 	33 , 	15 , 	15 , 	4 , 	7 , 	9 , 	3 , 	9 , 	20 , 	1 , 	2 , 	1 , 	2 , 	3 , 	2 , 	11 , 	1 , 	6 , 	3 , 	9 , 	2 , 	1 , 	661 ,,,,,,,,,,
