Exit stations,Entry stations->,,SUNDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	7 , 	5 , 	5 , 	16 , 	6 , 	7 , 	5 , 	7 , 	7 , 	11 , 	6 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	4 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	12 , 	12 , 	25 , 	11 , 	15 , 	10 , 	2 , 	4 , 	4 , 	3 , 	1 , 	-   , 	-   , 	1 , 	3 , 	2 , 	2 , 	1 , 	-   , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	213 ,,,,,,,,,,,
EN, 	10 , 	9 , 	11 , 	11 , 	51 , 	21 , 	29 , 	14 , 	22 , 	12 , 	29 , 	15 , 	10 , 	8 , 	9 , 	5 , 	5 , 	3 , 	8 , 	4 , 	5 , 	1 , 	1 , 	3 , 	5 , 	52 , 	37 , 	98 , 	41 , 	38 , 	32 , 	9 , 	17 , 	8 , 	8 , 	1 , 	3 , 	0 , 	4 , 	6 , 	5 , 	17 , 	2 , 	1 , 	5 , 	6 , 	5 , 	9 , 	3 , 	4 , 	704 ,,,,,,,,,,,
EP, 	6 , 	8 , 	4 , 	6 , 	33 , 	11 , 	9 , 	7 , 	14 , 	8 , 	10 , 	4 , 	2 , 	3 , 	3 , 	2 , 	1 , 	1 , 	3 , 	3 , 	2 , 	1 , 	1 , 	3 , 	3 , 	16 , 	10 , 	25 , 	11 , 	8 , 	5 , 	2 , 	3 , 	1 , 	0 , 	1 , 	0 , 	0 , 	2 , 	1 , 	0 , 	6 , 	1 , 	-   , 	2 , 	0 , 	0 , 	3 , 	-   , 	1 , 	241 ,,,,,,,,,,,
NB, 	3 , 	10 , 	6 , 	2 , 	5 , 	5 , 	7 , 	8 , 	3 , 	2 , 	8 , 	5 , 	4 , 	1 , 	2 , 	1 , 	2 , 	1 , 	2 , 	2 , 	3 , 	1 , 	0 , 	1 , 	2 , 	10 , 	8 , 	14 , 	11 , 	12 , 	8 , 	1 , 	2 , 	2 , 	1 , 	0 , 	1 , 	-   , 	-   , 	-   , 	0 , 	6 , 	1 , 	-   , 	1 , 	2 , 	1 , 	1 , 	0 , 	0 , 	165 ,,,,,,,,,,,
BK, 	20 , 	57 , 	40 , 	5 , 	10 , 	20 , 	19 , 	21 , 	22 , 	15 , 	23 , 	17 , 	8 , 	9 , 	5 , 	3 , 	3 , 	3 , 	5 , 	3 , 	3 , 	1 , 	2 , 	3 , 	9 , 	24 , 	20 , 	42 , 	28 , 	17 , 	14 , 	6 , 	6 , 	4 , 	1 , 	1 , 	4 , 	1 , 	3 , 	2 , 	0 , 	8 , 	2 , 	1 , 	7 , 	3 , 	5 , 	5 , 	1 , 	1 , 	527 ,,,,,,,,,,,
AS, 	5 , 	26 , 	12 , 	4 , 	11 , 	3 , 	7 , 	11 , 	12 , 	8 , 	9 , 	11 , 	4 , 	6 , 	4 , 	2 , 	2 , 	1 , 	3 , 	1 , 	1 , 	-   , 	-   , 	1 , 	3 , 	18 , 	14 , 	25 , 	16 , 	15 , 	7 , 	2 , 	3 , 	3 , 	1 , 	1 , 	2 , 	0 , 	1 , 	-   , 	0 , 	4 , 	1 , 	0 , 	1 , 	2 , 	2 , 	3 , 	1 , 	1 , 	267 ,,,,,,,,,,,
MA, 	6 , 	28 , 	10 , 	8 , 	15 , 	8 , 	5 , 	7 , 	10 , 	7 , 	34 , 	14 , 	9 , 	8 , 	6 , 	2 , 	3 , 	3 , 	13 , 	8 , 	8 , 	4 , 	3 , 	6 , 	7 , 	32 , 	22 , 	49 , 	34 , 	29 , 	16 , 	7 , 	5 , 	5 , 	3 , 	0 , 	2 , 	1 , 	10 , 	1 , 	1 , 	8 , 	3 , 	1 , 	3 , 	1 , 	4 , 	7 , 	3 , 	7 , 	481 ,,,,,,,,,,,
19, 	5 , 	16 , 	6 , 	5 , 	21 , 	13 , 	10 , 	7 , 	2 , 	4 , 	13 , 	15 , 	11 , 	12 , 	8 , 	2 , 	3 , 	3 , 	6 , 	7 , 	5 , 	2 , 	4 , 	6 , 	6 , 	39 , 	23 , 	52 , 	35 , 	36 , 	22 , 	7 , 	11 , 	7 , 	2 , 	0 , 	1 , 	3 , 	5 , 	2 , 	1 , 	9 , 	1 , 	0 , 	5 , 	2 , 	2 , 	2 , 	2 , 	8 , 	463 ,,,,,,,,,,,
12, 	6 , 	18 , 	8 , 	5 , 	14 , 	14 , 	10 , 	3 , 	9 , 	1 , 	10 , 	14 , 	15 , 	15 , 	9 , 	1 , 	4 , 	6 , 	6 , 	6 , 	5 , 	3 , 	2 , 	9 , 	6 , 	42 , 	31 , 	76 , 	53 , 	26 , 	17 , 	5 , 	11 , 	8 , 	7 , 	0 , 	2 , 	2 , 	7 , 	1 , 	6 , 	12 , 	4 , 	-   , 	3 , 	1 , 	1 , 	3 , 	1 , 	2 , 	519 ,,,,,,,,,,,
LM, 	5 , 	12 , 	6 , 	3 , 	15 , 	11 , 	6 , 	3 , 	2 , 	6 , 	42 , 	26 , 	24 , 	18 , 	14 , 	8 , 	8 , 	5 , 	3 , 	1 , 	2 , 	0 , 	-   , 	3 , 	8 , 	31 , 	28 , 	68 , 	36 , 	29 , 	22 , 	5 , 	11 , 	6 , 	1 , 	8 , 	18 , 	-   , 	2 , 	1 , 	1 , 	3 , 	1 , 	6 , 	4 , 	4 , 	3 , 	4 , 	-   , 	2 , 	516 ,,,,,,,,,,,
FV, 	8 , 	31 , 	10 , 	10 , 	25 , 	13 , 	29 , 	12 , 	8 , 	34 , 	15 , 	38 , 	35 , 	47 , 	26 , 	17 , 	9 , 	12 , 	10 , 	3 , 	8 , 	4 , 	1 , 	8 , 	20 , 	34 , 	27 , 	113 , 	73 , 	38 , 	42 , 	5 , 	8 , 	10 , 	2 , 	10 , 	19 , 	1 , 	5 , 	2 , 	3 , 	6 , 	1 , 	11 , 	4 , 	7 , 	5 , 	17 , 	1 , 	3 , 	877 ,,,,,,,,,,,
