Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	7 , 	26 , 	22 , 	20 , 	67 , 	23 , 	36 , 	26 , 	40 , 	10 , 	29 , 	28 , 	11 , 	8 , 	7 , 	8 , 	3 , 	4 , 	8 , 	3 , 	8 , 	3 , 	2 , 	5 , 	13 , 	74 , 	82 , 	128 , 	86 , 	67 , 	68 , 	19 , 	19 , 	12 , 	6 , 	1 , 	3 , 	1 , 	4 , 	5 , 	8 , 	7 , 	6 , 	1 , 	2 , 	6 , 	2 , 	3 , 	4 , 	2 ," 	1,036 ",,,,,,,,,,,,,
EN, 	30 , 	10 , 	17 , 	18 , 	93 , 	35 , 	55 , 	43 , 	63 , 	18 , 	40 , 	26 , 	15 , 	15 , 	12 , 	7 , 	7 , 	9 , 	7 , 	5 , 	9 , 	3 , 	3 , 	6 , 	10 , 	144 , 	129 , 	178 , 	141 , 	69 , 	76 , 	20 , 	29 , 	15 , 	7 , 	1 , 	8 , 	1 , 	6 , 	8 , 	10 , 	13 , 	10 , 	3 , 	4 , 	7 , 	3 , 	5 , 	3 , 	3 ," 	1,453 ",,,,,,,,,,,,,
EP, 	27 , 	17 , 	3 , 	15 , 	76 , 	17 , 	23 , 	21 , 	38 , 	8 , 	13 , 	8 , 	5 , 	4 , 	5 , 	4 , 	5 , 	3 , 	3 , 	2 , 	3 , 	2 , 	1 , 	5 , 	4 , 	49 , 	46 , 	52 , 	47 , 	18 , 	14 , 	4 , 	6 , 	2 , 	1 , 	1 , 	1 , 	1 , 	3 , 	3 , 	1 , 	5 , 	4 , 	1 , 	1 , 	2 , 	2 , 	2 , 	0 , 	1 , 	578 ,,,,,,,,,,,,,
NB, 	23 , 	18 , 	14 , 	2 , 	12 , 	8 , 	12 , 	13 , 	13 , 	5 , 	21 , 	10 , 	6 , 	4 , 	6 , 	2 , 	1 , 	3 , 	1 , 	4 , 	3 , 	1 , 	0 , 	1 , 	4 , 	30 , 	24 , 	30 , 	29 , 	15 , 	15 , 	2 , 	7 , 	5 , 	1 , 	0 , 	2 , 	1 , 	3 , 	1 , 	1 , 	3 , 	1 , 	0 , 	1 , 	3 , 	1 , 	1 , 	0 , 	1 , 	363 ,,,,,,,,,,,,,
BK, 	80 , 	99 , 	74 , 	12 , 	9 , 	34 , 	40 , 	41 , 	47 , 	13 , 	50 , 	38 , 	21 , 	18 , 	15 , 	10 , 	13 , 	8 , 	9 , 	5 , 	8 , 	3 , 	1 , 	1 , 	14 , 	47 , 	37 , 	59 , 	57 , 	29 , 	24 , 	10 , 	12 , 	9 , 	3 , 	3 , 	6 , 	2 , 	10 , 	3 , 	4 , 	5 , 	8 , 	3 , 	4 , 	4 , 	3 , 	7 , 	2 , 	7 ," 	1,022 ",,,,,,,,,,,,,
AS, 	24 , 	35 , 	16 , 	6 , 	25 , 	4 , 	15 , 	21 , 	28 , 	8 , 	32 , 	19 , 	12 , 	8 , 	4 , 	3 , 	6 , 	2 , 	6 , 	3 , 	2 , 	1 , 	0 , 	1 , 	7 , 	32 , 	33 , 	49 , 	43 , 	19 , 	12 , 	3 , 	7 , 	4 , 	1 , 	1 , 	2 , 	0 , 	1 , 	2 , 	4 , 	3 , 	2 , 	1 , 	1 , 	4 , 	3 , 	3 , 	1 , 	3 , 	524 ,,,,,,,,,,,,,
MA, 	45 , 	52 , 	22 , 	13 , 	34 , 	18 , 	7 , 	18 , 	25 , 	9 , 	47 , 	35 , 	29 , 	23 , 	16 , 	11 , 	12 , 	11 , 	18 , 	22 , 	25 , 	7 , 	5 , 	6 , 	13 , 	68 , 	76 , 	109 , 	95 , 	51 , 	32 , 	13 , 	13 , 	10 , 	9 , 	2 , 	10 , 	5 , 	28 , 	4 , 	3 , 	8 , 	5 , 	3 , 	2 , 	4 , 	5 , 	4 , 	17 , 	25 ," 	1,122 ",,,,,,,,,,,,,
19, 	26 , 	43 , 	17 , 	12 , 	36 , 	16 , 	15 , 	8 , 	6 , 	4 , 	24 , 	27 , 	22 , 	23 , 	18 , 	9 , 	13 , 	8 , 	21 , 	23 , 	16 , 	4 , 	5 , 	9 , 	13 , 	84 , 	77 , 	101 , 	91 , 	50 , 	28 , 	13 , 	15 , 	16 , 	5 , 	2 , 	5 , 	7 , 	24 , 	3 , 	6 , 	6 , 	4 , 	4 , 	3 , 	6 , 	4 , 	4 , 	6 , 	18 , 	999 ,,,,,,,,,,,,,
12, 	43 , 	65 , 	35 , 	11 , 	35 , 	25 , 	23 , 	5 , 	9 , 	4 , 	29 , 	32 , 	41 , 	36 , 	28 , 	15 , 	19 , 	17 , 	26 , 	30 , 	22 , 	7 , 	7 , 	10 , 	16 , 	75 , 	78 , 	137 , 	86 , 	44 , 	34 , 	15 , 	27 , 	23 , 	12 , 	3 , 	8 , 	6 , 	24 , 	8 , 	8 , 	9 , 	10 , 	2 , 	2 , 	8 , 	3 , 	6 , 	10 , 	29 ," 	1,259 ",,,,,,,,,,,,,
LM, 	11 , 	19 , 	9 , 	5 , 	11 , 	9 , 	10 , 	3 , 	5 , 	6 , 	42 , 	52 , 	65 , 	51 , 	33 , 	23 , 	19 , 	19 , 	4 , 	5 , 	5 , 	1 , 	1 , 	2 , 	8 , 	81 , 	71 , 	105 , 	85 , 	38 , 	28 , 	10 , 	20 , 	11 , 	2 , 	21 , 	29 , 	2 , 	3 , 	1 , 	1 , 	3 , 	0 , 	12 , 	3 , 	9 , 	7 , 	9 , 	2 , 	6 , 	975 ,,,,,,,,,,,,,
FV, 	26 , 	38 , 	12 , 	20 , 	50 , 	30 , 	41 , 	27 , 	32 , 	34 , 	14 , 	77 , 	84 , 	88 , 	64 , 	33 , 	29 , 	31 , 	11 , 	5 , 	12 , 	7 , 	14 , 	16 , 	35 , 	115 , 	115 , 	214 , 	172 , 	75 , 	80 , 	18 , 	17 , 	15 , 	5 , 	24 , 	55 , 	3 , 	10 , 	3 , 	7 , 	7 , 	4 , 	24 , 	4 , 	24 , 	7 , 	10 , 	3 , 	10 ," 	1,847 ",,,,,,,,,,,,,
