Exit stations,Entry stations->,,SUNDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	12 , 	8 , 	6 , 	26 , 	9 , 	10 , 	10 , 	10 , 	12 , 	15 , 	8 , 	4 , 	3 , 	4 , 	1 , 	1 , 	2 , 	6 , 	2 , 	4 , 	1 , 	1 , 	3 , 	2 , 	22 , 	17 , 	41 , 	20 , 	21 , 	22 , 	3 , 	6 , 	5 , 	4 , 	1 , 	1 , 	1 , 	3 , 	4 , 	5 , 	5 , 	1 , 	-   , 	3 , 	1 , 	2 , 	4 , 	2 , 	2 , 	352 ,,,,,,,,,,,
EN, 	6 , 	8 , 	8 , 	5 , 	30 , 	14 , 	15 , 	8 , 	12 , 	10 , 	12 , 	8 , 	7 , 	6 , 	5 , 	2 , 	3 , 	2 , 	5 , 	1 , 	3 , 	-   , 	1 , 	2 , 	4 , 	30 , 	24 , 	61 , 	24 , 	19 , 	18 , 	5 , 	10 , 	5 , 	4 , 	1 , 	2 , 	0 , 	3 , 	2 , 	2 , 	7 , 	2 , 	0 , 	4 , 	1 , 	3 , 	5 , 	1 , 	3 , 	406 ,,,,,,,,,,,
EP, 	10 , 	12 , 	2 , 	7 , 	37 , 	10 , 	10 , 	10 , 	16 , 	9 , 	9 , 	5 , 	3 , 	3 , 	3 , 	2 , 	1 , 	3 , 	2 , 	4 , 	3 , 	2 , 	1 , 	1 , 	2 , 	16 , 	14 , 	29 , 	13 , 	10 , 	6 , 	2 , 	2 , 	1 , 	1 , 	-   , 	1 , 	1 , 	2 , 	1 , 	1 , 	8 , 	2 , 	0 , 	3 , 	1 , 	1 , 	1 , 	-   , 	1 , 	277 ,,,,,,,,,,,
NB, 	7 , 	9 , 	5 , 	4 , 	5 , 	7 , 	10 , 	6 , 	7 , 	2 , 	7 , 	4 , 	4 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	-   , 	1 , 	13 , 	6 , 	16 , 	8 , 	13 , 	6 , 	1 , 	-   , 	2 , 	1 , 	1 , 	1 , 	-   , 	1 , 	-   , 	1 , 	5 , 	2 , 	1 , 	1 , 	2 , 	1 , 	2 , 	-   , 	1 , 	169 ,,,,,,,,,,,
BK, 	27 , 	54 , 	40 , 	6 , 	12 , 	15 , 	20 , 	26 , 	27 , 	13 , 	25 , 	30 , 	8 , 	9 , 	9 , 	2 , 	4 , 	4 , 	6 , 	2 , 	2 , 	2 , 	1 , 	2 , 	8 , 	40 , 	29 , 	55 , 	23 , 	30 , 	13 , 	5 , 	6 , 	2 , 	2 , 	0 , 	2 , 	2 , 	4 , 	1 , 	1 , 	13 , 	3 , 	2 , 	11 , 	4 , 	6 , 	12 , 	1 , 	3 , 	617 ,,,,,,,,,,,
AS, 	11 , 	25 , 	13 , 	5 , 	13 , 	7 , 	9 , 	12 , 	15 , 	6 , 	16 , 	11 , 	6 , 	6 , 	4 , 	2 , 	3 , 	2 , 	3 , 	1 , 	2 , 	0 , 	1 , 	-   , 	3 , 	15 , 	11 , 	31 , 	17 , 	15 , 	5 , 	2 , 	3 , 	2 , 	0 , 	1 , 	1 , 	-   , 	1 , 	-   , 	1 , 	2 , 	1 , 	0 , 	4 , 	2 , 	2 , 	6 , 	0 , 	2 , 	294 ,,,,,,,,,,,
MA, 	13 , 	22 , 	15 , 	7 , 	17 , 	9 , 	6 , 	9 , 	14 , 	10 , 	29 , 	18 , 	8 , 	8 , 	5 , 	3 , 	4 , 	4 , 	12 , 	7 , 	8 , 	5 , 	4 , 	5 , 	7 , 	33 , 	28 , 	62 , 	36 , 	35 , 	17 , 	5 , 	7 , 	5 , 	3 , 	1 , 	2 , 	1 , 	8 , 	0 , 	3 , 	12 , 	2 , 	2 , 	8 , 	0 , 	4 , 	6 , 	3 , 	9 , 	536 ,,,,,,,,,,,
19, 	8 , 	11 , 	9 , 	5 , 	19 , 	10 , 	8 , 	7 , 	2 , 	3 , 	10 , 	16 , 	11 , 	11 , 	7 , 	4 , 	2 , 	4 , 	8 , 	6 , 	8 , 	2 , 	5 , 	8 , 	6 , 	35 , 	27 , 	79 , 	45 , 	43 , 	24 , 	7 , 	8 , 	9 , 	3 , 	1 , 	1 , 	4 , 	4 , 	1 , 	2 , 	14 , 	2 , 	0 , 	6 , 	1 , 	2 , 	3 , 	3 , 	5 , 	515 ,,,,,,,,,,,
12, 	10 , 	16 , 	13 , 	7 , 	16 , 	13 , 	11 , 	3 , 	8 , 	3 , 	11 , 	14 , 	17 , 	18 , 	11 , 	4 , 	3 , 	5 , 	8 , 	6 , 	8 , 	3 , 	2 , 	5 , 	9 , 	51 , 	38 , 	90 , 	52 , 	35 , 	19 , 	8 , 	14 , 	11 , 	7 , 	1 , 	2 , 	1 , 	6 , 	2 , 	5 , 	15 , 	4 , 	-   , 	5 , 	2 , 	4 , 	4 , 	1 , 	3 , 	600 ,,,,,,,,,,,
LM, 	11 , 	12 , 	8 , 	3 , 	12 , 	8 , 	8 , 	4 , 	2 , 	9 , 	45 , 	31 , 	23 , 	19 , 	16 , 	10 , 	6 , 	4 , 	3 , 	1 , 	3 , 	1 , 	0 , 	2 , 	11 , 	34 , 	39 , 	77 , 	41 , 	37 , 	26 , 	7 , 	12 , 	5 , 	1 , 	11 , 	22 , 	1 , 	2 , 	1 , 	1 , 	5 , 	0 , 	8 , 	4 , 	2 , 	5 , 	9 , 	0 , 	1 , 	595 ,,,,,,,,,,,
FV, 	17 , 	26 , 	11 , 	9 , 	25 , 	16 , 	28 , 	10 , 	9 , 	39 , 	12 , 	37 , 	34 , 	54 , 	26 , 	17 , 	9 , 	16 , 	10 , 	2 , 	5 , 	5 , 	1 , 	8 , 	17 , 	44 , 	31 , 	122 , 	66 , 	34 , 	42 , 	5 , 	10 , 	8 , 	2 , 	9 , 	20 , 	3 , 	5 , 	3 , 	3 , 	8 , 	3 , 	14 , 	6 , 	9 , 	6 , 	20 , 	1 , 	4 , 	913 ,,,,,,,,,,,
