Exit stations,Entry stations->,,TOTAL,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	235 , 	763 , 	690 , 	509 ," 	1,892 ", 	587 ," 	1,034 ", 	732 , 	968 , 	304 , 	840 , 	683 , 	283 , 	252 , 	195 , 	199 , 	97 , 	134 , 	214 , 	52 , 	210 , 	50 , 	48 , 	151 , 	323 ," 	2,091 "," 	2,167 "," 	3,404 "," 	2,221 "," 	1,793 "," 	1,820 ", 	515 , 	579 , 	317 , 	181 , 	32 , 	86 , 	29 , 	131 , 	145 , 	219 , 	232 , 	193 , 	37 , 	86 , 	110 , 	54 , 	104 , 	108 , 	74 ," 	28,173 ",,,,,,,,,,,,,
EN, 	538 , 	199 , 	292 , 	336 ," 	1,712 ", 	606 , 	899 , 	707 ," 	1,080 ", 	310 , 	656 , 	501 , 	278 , 	201 , 	220 , 	102 , 	159 , 	155 , 	149 , 	94 , 	161 , 	51 , 	53 , 	99 , 	163 ," 	2,475 "," 	2,185 "," 	3,180 "," 	2,217 "," 	1,226 "," 	1,208 ", 	330 , 	457 , 	270 , 	141 , 	30 , 	114 , 	25 , 	124 , 	103 , 	163 , 	282 , 	146 , 	49 , 	114 , 	107 , 	71 , 	91 , 	75 , 	67 ," 	24,971 ",,,,,,,,,,,,,
EP, 	862 , 	557 , 	84 , 	457 ," 	2,234 ", 	501 , 	684 , 	634 , 	962 , 	261 , 	393 , 	282 , 	198 , 	167 , 	122 , 	113 , 	122 , 	101 , 	101 , 	63 , 	83 , 	49 , 	16 , 	120 , 	99 ," 	1,423 "," 	1,298 "," 	1,796 "," 	1,359 ", 	583 , 	459 , 	139 , 	156 , 	75 , 	24 , 	27 , 	30 , 	25 , 	93 , 	66 , 	31 , 	223 , 	110 , 	39 , 	75 , 	43 , 	52 , 	53 , 	18 , 	31 ," 	17,493 ",,,,,,,,,,,,,
NB, 	600 , 	566 , 	456 , 	86 , 	388 , 	246 , 	421 , 	431 , 	431 , 	159 , 	523 , 	344 , 	201 , 	109 , 	147 , 	44 , 	38 , 	68 , 	47 , 	104 , 	113 , 	35 , 	29 , 	31 , 	74 , 	812 , 	741 , 	931 , 	848 , 	504 , 	408 , 	65 , 	142 , 	119 , 	29 , 	17 , 	42 , 	22 , 	88 , 	24 , 	25 , 	168 , 	34 , 	5 , 	55 , 	93 , 	34 , 	34 , 	5 , 	27 ," 	10,963 ",,,,,,,,,,,,,
BK," 	2,250 "," 	3,070 "," 	2,312 ", 	424 , 	373 ," 	1,077 "," 	1,166 "," 	1,239 "," 	1,549 ", 	452 ," 	1,365 "," 	1,300 ", 	585 , 	587 , 	450 , 	271 , 	312 , 	262 , 	252 , 	169 , 	227 , 	88 , 	52 , 	76 , 	382 ," 	1,830 "," 	1,504 "," 	2,368 "," 	1,787 "," 	1,169 ", 	766 , 	246 , 	348 , 	306 , 	73 , 	76 , 	192 , 	66 , 	304 , 	84 , 	118 , 	323 , 	246 , 	51 , 	259 , 	138 , 	134 , 	273 , 	58 , 	199 ," 	33,208 ",,,,,,,,,,,,,
AS, 	629 ," 	1,078 ", 	493 , 	200 , 	854 , 	139 , 	477 , 	611 , 	902 , 	225 , 	936 , 	577 , 	349 , 	206 , 	159 , 	117 , 	145 , 	78 , 	178 , 	104 , 	85 , 	20 , 	19 , 	33 , 	222 ," 	1,039 "," 	1,022 "," 	1,625 "," 	1,265 ", 	720 , 	353 , 	87 , 	180 , 	97 , 	33 , 	22 , 	76 , 	9 , 	70 , 	42 , 	120 , 	92 , 	57 , 	31 , 	78 , 	114 , 	44 , 	109 , 	19 , 	82 ," 	16,222 ",,,,,,,,,,,,,
MA," 	1,248 "," 	1,468 ", 	697 , 	473 ," 	1,046 ", 	592 , 	276 , 	501 , 	813 , 	220 ," 	1,394 "," 	1,052 ", 	728 , 	469 , 	344 , 	239 , 	347 , 	302 , 	529 , 	617 , 	773 , 	196 , 	180 , 	219 , 	415 ," 	2,100 "," 	2,066 "," 	3,341 "," 	2,622 "," 	1,545 ", 	975 , 	343 , 	429 , 	294 , 	215 , 	62 , 	256 , 	95 , 	710 , 	85 , 	106 , 	341 , 	124 , 	75 , 	114 , 	102 , 	129 , 	141 , 	427 , 	670 ," 	32,505 ",,,,,,,,,,,,,
19, 	705 ," 	1,187 ", 	517 , 	434 ," 	1,068 ", 	564 , 	473 , 	168 , 	129 , 	147 , 	676 , 	850 , 	668 , 	642 , 	544 , 	239 , 	314 , 	203 , 	655 , 	557 , 	491 , 	162 , 	188 , 	307 , 	308 ," 	2,523 "," 	2,282 "," 	3,151 "," 	2,751 "," 	1,645 "," 	1,022 ", 	322 , 	451 , 	421 , 	173 , 	76 , 	133 , 	232 , 	621 , 	120 , 	146 , 	258 , 	94 , 	83 , 	116 , 	137 , 	130 , 	153 , 	206 , 	575 ," 	30,017 ",,,,,,,,,,,,,
12," 	1,001 "," 	1,834 ", 	957 , 	408 ," 	1,174 ", 	811 , 	695 , 	135 , 	302 , 	128 , 	815 ," 	1,157 "," 	1,226 "," 	1,015 ", 	783 , 	337 , 	540 , 	471 , 	761 , 	817 , 	642 , 	198 , 	204 , 	379 , 	432 ," 	2,419 "," 	2,366 "," 	4,195 "," 	2,752 "," 	1,535 "," 	1,056 ", 	449 , 	797 , 	678 , 	394 , 	75 , 	179 , 	198 , 	659 , 	261 , 	243 , 	408 , 	287 , 	36 , 	97 , 	192 , 	112 , 	180 , 	205 , 	747 ," 	37,742 ",,,,,,,,,,,,,
LM, 	310 , 	501 , 	236 , 	195 , 	379 , 	251 , 	252 , 	100 , 	139 , 	193 ," 	1,315 "," 	1,681 "," 	1,802 "," 	1,523 ", 	959 , 	629 , 	513 , 	477 , 	125 , 	104 , 	122 , 	56 , 	36 , 	77 , 	234 ," 	2,456 "," 	2,412 "," 	3,350 "," 	2,480 "," 	1,303 ", 	920 , 	383 , 	546 , 	305 , 	40 , 	623 , 	897 , 	55 , 	95 , 	57 , 	52 , 	108 , 	21 , 	406 , 	141 , 	269 , 	195 , 	298 , 	50 , 	142 ," 	29,813 ",,,,,,,,,,,,,
