Exit stations,Entry stations->,,SATURDAY,,,May 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	9 , 	17 , 	21 , 	14 , 	58 , 	20 , 	26 , 	19 , 	20 , 	8 , 	27 , 	22 , 	10 , 	6 , 	5 , 	3 , 	1 , 	4 , 	4 , 	3 , 	2 , 	1 , 	2 , 	3 , 	7 , 	47 , 	35 , 	103 , 	44 , 	45 , 	51 , 	13 , 	17 , 	9 , 	3 , 	0 , 	5 , 	1 , 	3 , 	2 , 	5 , 	11 , 	5 , 	1 , 	3 , 	2 , 	2 , 	2 , 	1 , 	2 , 	727 ,,,,,,,,,,
EN, 	20 , 	12 , 	17 , 	14 , 	78 , 	27 , 	31 , 	23 , 	32 , 	9 , 	22 , 	26 , 	12 , 	10 , 	11 , 	10 , 	5 , 	5 , 	4 , 	4 , 	7 , 	1 , 	2 , 	4 , 	7 , 	81 , 	54 , 	153 , 	58 , 	41 , 	52 , 	13 , 	13 , 	14 , 	7 , 	2 , 	4 , 	2 , 	1 , 	2 , 	5 , 	15 , 	3 , 	1 , 	9 , 	4 , 	4 , 	8 , 	3 , 	5 , 	946 ,,,,,,,,,,
EP, 	21 , 	17 , 	7 , 	14 , 	74 , 	15 , 	20 , 	17 , 	23 , 	7 , 	12 , 	14 , 	6 , 	4 , 	2 , 	2 , 	1 , 	3 , 	3 , 	3 , 	3 , 	2 , 	1 , 	4 , 	1 , 	32 , 	24 , 	53 , 	26 , 	18 , 	17 , 	5 , 	2 , 	5 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	1 , 	10 , 	1 , 	2 , 	7 , 	2 , 	2 , 	2 , 	0 , 	-   , 	495 ,,,,,,,,,,
NB, 	13 , 	13 , 	15 , 	7 , 	11 , 	13 , 	15 , 	12 , 	10 , 	3 , 	13 , 	14 , 	6 , 	3 , 	3 , 	1 , 	2 , 	2 , 	2 , 	1 , 	5 , 	0 , 	0 , 	2 , 	3 , 	40 , 	27 , 	28 , 	29 , 	35 , 	15 , 	7 , 	3 , 	5 , 	2 , 	1 , 	1 , 	1 , 	1 , 	0 , 	2 , 	10 , 	2 , 	0 , 	5 , 	2 , 	2 , 	5 , 	1 , 	1 , 	395 ,,,,,,,,,,
BK, 	71 , 	76 , 	82 , 	14 , 	18 , 	34 , 	38 , 	56 , 	47 , 	22 , 	34 , 	38 , 	15 , 	14 , 	10 , 	7 , 	6 , 	6 , 	6 , 	5 , 	5 , 	7 , 	3 , 	2 , 	13 , 	78 , 	49 , 	104 , 	57 , 	56 , 	37 , 	11 , 	10 , 	10 , 	2 , 	1 , 	10 , 	0 , 	8 , 	1 , 	5 , 	16 , 	12 , 	3 , 	11 , 	5 , 	10 , 	14 , 	3 , 	3 ," 	1,150 ",,,,,,,,,,
AS, 	23 , 	32 , 	16 , 	9 , 	26 , 	9 , 	16 , 	19 , 	23 , 	9 , 	23 , 	22 , 	10 , 	5 , 	6 , 	3 , 	2 , 	1 , 	5 , 	3 , 	1 , 	1 , 	1 , 	0 , 	5 , 	30 , 	27 , 	51 , 	37 , 	38 , 	24 , 	4 , 	6 , 	4 , 	0 , 	2 , 	4 , 	-   , 	1 , 	1 , 	1 , 	6 , 	2 , 	1 , 	6 , 	2 , 	3 , 	5 , 	0 , 	1 , 	527 ,,,,,,,,,,
MA, 	27 , 	30 , 	22 , 	15 , 	31 , 	18 , 	16 , 	17 , 	24 , 	11 , 	36 , 	33 , 	12 , 	11 , 	13 , 	5 , 	7 , 	7 , 	13 , 	13 , 	22 , 	8 , 	6 , 	12 , 	8 , 	85 , 	57 , 	104 , 	75 , 	80 , 	45 , 	13 , 	13 , 	7 , 	4 , 	2 , 	5 , 	3 , 	9 , 	2 , 	1 , 	16 , 	4 , 	3 , 	3 , 	2 , 	3 , 	8 , 	6 , 	12 , 	979 ,,,,,,,,,,
19, 	14 , 	19 , 	16 , 	16 , 	46 , 	20 , 	18 , 	16 , 	3 , 	4 , 	14 , 	42 , 	13 , 	15 , 	10 , 	7 , 	2 , 	4 , 	12 , 	9 , 	16 , 	7 , 	8 , 	15 , 	13 , 	76 , 	64 , 	128 , 	74 , 	80 , 	49 , 	16 , 	14 , 	9 , 	2 , 	1 , 	3 , 	3 , 	6 , 	1 , 	4 , 	14 , 	3 , 	0 , 	6 , 	5 , 	4 , 	6 , 	5 , 	8 , 	942 ,,,,,,,,,,
12, 	20 , 	26 , 	22 , 	12 , 	37 , 	20 , 	19 , 	5 , 	19 , 	6 , 	22 , 	31 , 	15 , 	19 , 	20 , 	9 , 	5 , 	6 , 	13 , 	12 , 	12 , 	7 , 	5 , 	12 , 	16 , 	87 , 	66 , 	144 , 	88 , 	66 , 	39 , 	14 , 	20 , 	12 , 	6 , 	1 , 	2 , 	2 , 	8 , 	3 , 	6 , 	19 , 	4 , 	1 , 	4 , 	3 , 	4 , 	5 , 	2 , 	8 ," 	1,005 ",,,,,,,,,,
LM, 	7 , 	10 , 	8 , 	9 , 	23 , 	11 , 	10 , 	2 , 	3 , 	12 , 	36 , 	84 , 	41 , 	33 , 	17 , 	11 , 	10 , 	9 , 	2 , 	3 , 	3 , 	1 , 	1 , 	3 , 	7 , 	64 , 	63 , 	113 , 	65 , 	56 , 	42 , 	14 , 	17 , 	11 , 	1 , 	16 , 	28 , 	1 , 	1 , 	2 , 	2 , 	4 , 	1 , 	12 , 	6 , 	8 , 	7 , 	10 , 	1 , 	2 , 	903 ,,,,,,,,,,
FV, 	23 , 	23 , 	16 , 	14 , 	37 , 	25 , 	28 , 	18 , 	20 , 	23 , 	19 , 	78 , 	61 , 	75 , 	45 , 	23 , 	13 , 	22 , 	12 , 	6 , 	6 , 	5 , 	7 , 	13 , 	28 , 	76 , 	53 , 	180 , 	93 , 	67 , 	65 , 	14 , 	21 , 	18 , 	3 , 	20 , 	33 , 	1 , 	6 , 	2 , 	4 , 	8 , 	4 , 	26 , 	5 , 	12 , 	7 , 	16 , 	2 , 	6 ," 	1,381 ",,,,,,,,,,
