Exit stations,Entry stations->,,SUNDAY,,,Jun 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	23 , 	15 , 	9 , 	34 , 	12 , 	23 , 	14 , 	15 , 	12 , 	23 , 	18 , 	8 , 	8 , 	6 , 	4 , 	1 , 	5 , 	3 , 	1 , 	4 , 	2 , 	1 , 	2 , 	4 , 	57 , 	39 , 	77 , 	34 , 	27 , 	33 , 	9 , 	12 , 	6 , 	3 , 	1 , 	4 , 	1 , 	3 , 	2 , 	8 , 	13 , 	2 , 	1 , 	3 , 	4 , 	0 , 	8 , 	2 , 	3 , 	604 ,,,,,,,,,,,
EN, 	18 , 	16 , 	12 , 	10 , 	60 , 	22 , 	24 , 	15 , 	27 , 	15 , 	29 , 	16 , 	10 , 	8 , 	8 , 	2 , 	5 , 	5 , 	5 , 	4 , 	4 , 	1 , 	1 , 	5 , 	6 , 	89 , 	49 , 	113 , 	48 , 	35 , 	27 , 	9 , 	12 , 	9 , 	7 , 	2 , 	4 , 	0 , 	4 , 	3 , 	5 , 	29 , 	5 , 	2 , 	14 , 	3 , 	2 , 	7 , 	1 , 	3 , 	803 ,,,,,,,,,,,
EP, 	18 , 	13 , 	8 , 	10 , 	51 , 	18 , 	16 , 	19 , 	19 , 	11 , 	13 , 	10 , 	2 , 	1 , 	3 , 	2 , 	2 , 	3 , 	4 , 	1 , 	3 , 	1 , 	1 , 	1 , 	2 , 	39 , 	32 , 	48 , 	31 , 	18 , 	9 , 	4 , 	2 , 	3 , 	0 , 	0 , 	3 , 	0 , 	3 , 	1 , 	1 , 	18 , 	1 , 	-   , 	8 , 	1 , 	2 , 	3 , 	0 , 	1 , 	455 ,,,,,,,,,,,
NB, 	8 , 	8 , 	12 , 	8 , 	13 , 	8 , 	13 , 	15 , 	10 , 	8 , 	10 , 	5 , 	4 , 	3 , 	3 , 	1 , 	2 , 	2 , 	2 , 	2 , 	4 , 	2 , 	-   , 	1 , 	2 , 	52 , 	26 , 	35 , 	32 , 	23 , 	16 , 	4 , 	2 , 	4 , 	-   , 	1 , 	2 , 	-   , 	2 , 	0 , 	1 , 	16 , 	2 , 	-   , 	6 , 	1 , 	3 , 	3 , 	0 , 	1 , 	372 ,,,,,,,,,,,
BK, 	41 , 	63 , 	52 , 	13 , 	21 , 	25 , 	25 , 	46 , 	28 , 	24 , 	35 , 	23 , 	12 , 	11 , 	10 , 	6 , 	7 , 	11 , 	5 , 	3 , 	6 , 	4 , 	2 , 	3 , 	12 , 	71 , 	53 , 	82 , 	62 , 	42 , 	25 , 	9 , 	9 , 	9 , 	3 , 	2 , 	8 , 	1 , 	2 , 	2 , 	4 , 	22 , 	6 , 	7 , 	13 , 	6 , 	10 , 	19 , 	1 , 	2 , 	950 ,,,,,,,,,,,
AS, 	18 , 	23 , 	17 , 	6 , 	18 , 	7 , 	13 , 	19 , 	16 , 	13 , 	17 , 	13 , 	7 , 	5 , 	6 , 	3 , 	2 , 	3 , 	2 , 	1 , 	3 , 	1 , 	1 , 	1 , 	7 , 	36 , 	24 , 	48 , 	31 , 	32 , 	14 , 	5 , 	3 , 	3 , 	1 , 	1 , 	5 , 	1 , 	1 , 	2 , 	2 , 	14 , 	1 , 	1 , 	9 , 	1 , 	4 , 	6 , 	1 , 	2 , 	465 ,,,,,,,,,,,
MA, 	20 , 	22 , 	15 , 	12 , 	20 , 	11 , 	10 , 	14 , 	16 , 	8 , 	27 , 	16 , 	13 , 	10 , 	9 , 	5 , 	4 , 	6 , 	13 , 	8 , 	15 , 	7 , 	6 , 	13 , 	7 , 	75 , 	62 , 	95 , 	82 , 	67 , 	37 , 	12 , 	13 , 	8 , 	4 , 	1 , 	3 , 	1 , 	11 , 	3 , 	3 , 	32 , 	6 , 	3 , 	9 , 	2 , 	5 , 	9 , 	6 , 	13 , 	861 ,,,,,,,,,,,
19, 	14 , 	16 , 	13 , 	12 , 	36 , 	16 , 	10 , 	13 , 	5 , 	7 , 	12 , 	18 , 	12 , 	12 , 	12 , 	3 , 	5 , 	6 , 	8 , 	11 , 	12 , 	5 , 	5 , 	13 , 	11 , 	89 , 	56 , 	118 , 	67 , 	70 , 	37 , 	16 , 	11 , 	5 , 	4 , 	0 , 	2 , 	2 , 	8 , 	3 , 	4 , 	26 , 	4 , 	2 , 	12 , 	3 , 	5 , 	7 , 	3 , 	8 , 	844 ,,,,,,,,,,,
12, 	17 , 	16 , 	17 , 	12 , 	30 , 	15 , 	16 , 	4 , 	16 , 	3 , 	11 , 	19 , 	12 , 	18 , 	17 , 	9 , 	5 , 	6 , 	7 , 	10 , 	10 , 	6 , 	6 , 	12 , 	12 , 	103 , 	65 , 	132 , 	75 , 	61 , 	31 , 	15 , 	21 , 	12 , 	6 , 	1 , 	3 , 	1 , 	7 , 	2 , 	5 , 	31 , 	8 , 	1 , 	6 , 	4 , 	5 , 	7 , 	3 , 	5 , 	909 ,,,,,,,,,,,
LM, 	13 , 	15 , 	11 , 	11 , 	22 , 	13 , 	12 , 	5 , 	4 , 	10 , 	55 , 	42 , 	33 , 	38 , 	15 , 	12 , 	13 , 	10 , 	5 , 	1 , 	2 , 	2 , 	1 , 	4 , 	8 , 	77 , 	55 , 	110 , 	63 , 	55 , 	43 , 	13 , 	18 , 	7 , 	1 , 	14 , 	26 , 	-   , 	3 , 	3 , 	2 , 	7 , 	2 , 	7 , 	10 , 	6 , 	6 , 	10 , 	1 , 	3 , 	894 ,,,,,,,,,,,
FV, 	25 , 	25 , 	9 , 	10 , 	33 , 	20 , 	28 , 	14 , 	12 , 	40 , 	16 , 	45 , 	43 , 	56 , 	38 , 	22 , 	8 , 	14 , 	11 , 	2 , 	6 , 	4 , 	3 , 	9 , 	21 , 	79 , 	52 , 	151 , 	95 , 	50 , 	44 , 	7 , 	11 , 	15 , 	2 , 	10 , 	24 , 	1 , 	5 , 	2 , 	4 , 	11 , 	2 , 	17 , 	10 , 	9 , 	7 , 	20 , 	2 , 	3 ," 	1,138 ",,,,,,,,,,,
