Exit stations,Entry stations->,,SATURDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	20 , 	21 , 	14 , 	63 , 	23 , 	31 , 	17 , 	18 , 	6 , 	31 , 	21 , 	11 , 	7 , 	8 , 	6 , 	3 , 	4 , 	3 , 	5 , 	4 , 	3 , 	1 , 	4 , 	6 , 	61 , 	41 , 	125 , 	52 , 	40 , 	51 , 	8 , 	11 , 	11 , 	5 , 	1 , 	3 , 	0 , 	3 , 	3 , 	5 , 	13 , 	3 , 	1 , 	3 , 	4 , 	4 , 	4 , 	2 , 	3 , 	798 ,,,,,,,,,,
EN, 	17 , 	16 , 	17 , 	14 , 	83 , 	22 , 	37 , 	25 , 	31 , 	10 , 	23 , 	31 , 	11 , 	10 , 	13 , 	5 , 	7 , 	7 , 	5 , 	3 , 	3 , 	2 , 	1 , 	7 , 	6 , 	110 , 	60 , 	170 , 	52 , 	48 , 	44 , 	10 , 	17 , 	16 , 	7 , 	1 , 	4 , 	1 , 	4 , 	5 , 	7 , 	26 , 	6 , 	2 , 	11 , 	5 , 	5 , 	7 , 	2 , 	4 ," 	1,028 ",,,,,,,,,,
EP, 	24 , 	18 , 	9 , 	15 , 	77 , 	18 , 	22 , 	25 , 	31 , 	11 , 	14 , 	14 , 	9 , 	6 , 	2 , 	2 , 	4 , 	6 , 	2 , 	1 , 	3 , 	2 , 	2 , 	5 , 	1 , 	65 , 	36 , 	78 , 	29 , 	17 , 	17 , 	6 , 	3 , 	5 , 	0 , 	2 , 	3 , 	1 , 	2 , 	0 , 	1 , 	20 , 	3 , 	2 , 	7 , 	2 , 	4 , 	3 , 	0 , 	1 , 	631 ,,,,,,,,,,
NB, 	12 , 	17 , 	16 , 	11 , 	15 , 	9 , 	19 , 	15 , 	20 , 	6 , 	19 , 	25 , 	6 , 	4 , 	4 , 	3 , 	3 , 	4 , 	1 , 	5 , 	4 , 	2 , 	2 , 	3 , 	2 , 	64 , 	40 , 	58 , 	41 , 	33 , 	17 , 	8 , 	5 , 	5 , 	1 , 	2 , 	3 , 	-   , 	1 , 	1 , 	1 , 	22 , 	3 , 	1 , 	10 , 	3 , 	3 , 	6 , 	1 , 	0 , 	554 ,,,,,,,,,,
BK, 	77 , 	95 , 	88 , 	20 , 	36 , 	38 , 	42 , 	59 , 	57 , 	26 , 	43 , 	36 , 	22 , 	21 , 	15 , 	8 , 	22 , 	15 , 	8 , 	7 , 	11 , 	5 , 	4 , 	5 , 	11 , 	127 , 	78 , 	138 , 	90 , 	55 , 	40 , 	14 , 	12 , 	14 , 	3 , 	4 , 	12 , 	1 , 	9 , 	2 , 	7 , 	20 , 	12 , 	4 , 	15 , 	8 , 	13 , 	29 , 	2 , 	2 ," 	1,481 ",,,,,,,,,,
AS, 	24 , 	31 , 	19 , 	9 , 	29 , 	12 , 	14 , 	30 , 	29 , 	11 , 	24 , 	21 , 	12 , 	7 , 	7 , 	2 , 	5 , 	5 , 	4 , 	1 , 	1 , 	2 , 	0 , 	1 , 	7 , 	49 , 	33 , 	54 , 	40 , 	34 , 	21 , 	4 , 	4 , 	5 , 	2 , 	0 , 	3 , 	1 , 	2 , 	2 , 	1 , 	13 , 	2 , 	1 , 	6 , 	2 , 	3 , 	9 , 	1 , 	1 , 	599 ,,,,,,,,,,
MA, 	28 , 	39 , 	21 , 	18 , 	43 , 	19 , 	19 , 	22 , 	23 , 	10 , 	35 , 	44 , 	16 , 	16 , 	11 , 	6 , 	7 , 	7 , 	16 , 	10 , 	21 , 	6 , 	11 , 	15 , 	13 , 	127 , 	82 , 	149 , 	101 , 	71 , 	52 , 	17 , 	12 , 	10 , 	3 , 	3 , 	4 , 	2 , 	13 , 	4 , 	6 , 	30 , 	5 , 	2 , 	7 , 	3 , 	6 , 	7 , 	7 , 	8 ," 	1,208 ",,,,,,,,,,
19, 	17 , 	26 , 	24 , 	17 , 	52 , 	25 , 	18 , 	16 , 	3 , 	5 , 	20 , 	34 , 	18 , 	15 , 	16 , 	10 , 	7 , 	7 , 	10 , 	15 , 	18 , 	7 , 	9 , 	20 , 	16 , 	125 , 	94 , 	137 , 	106 , 	79 , 	58 , 	18 , 	14 , 	12 , 	4 , 	2 , 	3 , 	4 , 	8 , 	4 , 	5 , 	22 , 	5 , 	1 , 	7 , 	6 , 	5 , 	13 , 	3 , 	10 ," 	1,169 ",,,,,,,,,,
12, 	24 , 	30 , 	27 , 	17 , 	49 , 	21 , 	23 , 	5 , 	18 , 	4 , 	24 , 	43 , 	23 , 	22 , 	19 , 	11 , 	10 , 	6 , 	16 , 	15 , 	16 , 	10 , 	4 , 	16 , 	20 , 	140 , 	95 , 	204 , 	114 , 	84 , 	50 , 	20 , 	25 , 	16 , 	7 , 	1 , 	4 , 	2 , 	7 , 	4 , 	6 , 	33 , 	9 , 	1 , 	9 , 	6 , 	7 , 	11 , 	2 , 	8 ," 	1,336 ",,,,,,,,,,
LM, 	6 , 	11 , 	11 , 	8 , 	22 , 	10 , 	12 , 	4 , 	2 , 	12 , 	32 , 	75 , 	46 , 	38 , 	20 , 	8 , 	11 , 	10 , 	3 , 	2 , 	4 , 	2 , 	1 , 	2 , 	8 , 	93 , 	60 , 	125 , 	65 , 	62 , 	33 , 	14 , 	17 , 	13 , 	2 , 	21 , 	31 , 	1 , 	3 , 	1 , 	3 , 	8 , 	2 , 	14 , 	11 , 	5 , 	8 , 	15 , 	1 , 	1 , 	970 ,,,,,,,,,,
FV, 	30 , 	29 , 	17 , 	19 , 	46 , 	26 , 	32 , 	21 , 	18 , 	26 , 	21 , 	69 , 	59 , 	74 , 	40 , 	23 , 	13 , 	27 , 	10 , 	8 , 	7 , 	6 , 	7 , 	15 , 	25 , 	110 , 	73 , 	197 , 	99 , 	63 , 	61 , 	14 , 	16 , 	15 , 	2 , 	20 , 	34 , 	0 , 	5 , 	4 , 	4 , 	15 , 	3 , 	27 , 	4 , 	14 , 	11 , 	15 , 	2 , 	8 ," 	1,487 ",,,,,,,,,,
CL, 	15 , 	30 , 	13 , 	21 , 	34 , 	22 , 	39 , 	38 , 	42 , 	61 , 	61 , 	12 , 	55 , 	56 , 	39 , 	23 , 	24 , 	23 , 	11 , 	15 , 	22 , 	9 , 	12 , 	16 , 	21 , 	84 , 	54 , 	117 , 	49 , 	41 , 	40 , 	14 , 	12 , 	14 , 	2 , 	27 , 	102 , 	5 , 	13 , 	4 , 	5 , 	9 , 	5 , 	38 , 	13 , 	19 , 	13 , 	34 , 	4 , 	12 ," 	1,444 ",,,,,,,,,,
SL, 	13 , 	17 , 	9 , 	5 , 	24 , 	10 , 	21 , 	22 , 	31 , 	42 , 	63 , 	59 , 	11 , 	40 , 	32 , 	20 , 	18 , 	15 , 	6 , 	3 , 	4 , 	2 , 	1 , 	8 , 	11 , 	72 , 	55 , 	134 , 	55 , 	29 , 	23 , 	8 , 	16 , 	13 , 	1 , 	18 , 	22 , 	1 , 	4 , 	3 , 	4 , 	12 , 	3 , 	18 , 	4 , 	6 , 	10 , 	12 , 	1 , 	6 ," 	1,014 ",,,,,,,,,,
BF, 	7 , 	11 , 	6 , 	5 , 	17 , 	8 , 	18 , 	20 , 	24 , 	45 , 	77 , 	58 , 	38 , 	11 , 	32 , 	19 , 	15 , 	21 , 	5 , 	2 , 	2 , 	0 , 	1 , 	6 , 	12 , 	102 , 	52 , 	118 , 	51 , 	22 , 	20 , 	8 , 	9 , 	8 , 	3 , 	13 , 	27 , 	1 , 	2 , 	3 , 	4 , 	7 , 	2 , 	14 , 	3 , 	10 , 	7 , 	15 , 	1 , 	2 , 	966 ,,,,,,,,,,
HY, 	8 , 	12 , 	3 , 	4 , 	17 , 	6 , 	17 , 	18 , 	20 , 	17 , 	35 , 	38 , 	33 , 	30 , 	9 , 	23 , 	28 , 	28 , 	5 , 	2 , 	2 , 	0 , 	1 , 	3 , 	6 , 	30 , 	17 , 	42 , 	17 , 	11 , 	11 , 	3 , 	5 , 	4 , 	3 , 	5 , 	11 , 	1 , 	2 , 	1 , 	4 , 	3 , 	2 , 	8 , 	4 , 	13 , 	11 , 	17 , 	0 , 	5 , 	595 ,,,,,,,,,,
SH, 	6 , 	5 , 	2 , 	5 , 	6 , 	3 , 	4 , 	9 , 	12 , 	8 , 	23 , 	19 , 	16 , 	17 , 	18 , 	6 , 	10 , 	14 , 	5 , 	3 , 	1 , 	1 , 	1 , 	2 , 	5 , 	33 , 	16 , 	30 , 	9 , 	6 , 	9 , 	3 , 	1 , 	5 , 	2 , 	3 , 	4 , 	1 , 	2 , 	0 , 	1 , 	4 , 	1 , 	5 , 	3 , 	10 , 	8 , 	9 , 	2 , 	2 , 	370 ,,,,,,,,,,
UC, 	4 , 	9 , 	5 , 	2 , 	19 , 	7 , 	8 , 	6 , 	10 , 	12 , 	16 , 	25 , 	18 , 	11 , 	29 , 	8 , 	9 , 	18 , 	3 , 	1 , 	3 , 	1 , 	1 , 	3 , 	2 , 	56 , 	19 , 	53 , 	19 , 	8 , 	6 , 	3 , 	4 , 	5 , 	1 , 	4 , 	6 , 	0 , 	1 , 	0 , 	1 , 	5 , 	0 , 	3 , 	4 , 	9 , 	15 , 	18 , 	1 , 	1 , 	471 ,,,,,,,,,,
FM, 	5 , 	4 , 	4 , 	3 , 	16 , 	5 , 	8 , 	6 , 	7 , 	11 , 	23 , 	24 , 	13 , 	18 , 	27 , 	16 , 	15 , 	9 , 	3 , 	1 , 	1 , 	1 , 	1 , 	3 , 	3 , 	64 , 	22 , 	58 , 	24 , 	12 , 	10 , 	4 , 	4 , 	5 , 	2 , 	2 , 	7 , 	0 , 	3 , 	1 , 	1 , 	10 , 	1 , 	1 , 	3 , 	10 , 	20 , 	22 , 	0 , 	1 , 	514 ,,,,,,,,,,
