Exit stations,Entry stations->,,WEEKDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	11 , 	38 , 	29 , 	28 , 	102 , 	30 , 	51 , 	31 , 	44 , 	12 , 	38 , 	31 , 	15 , 	9 , 	10 , 	8 , 	6 , 	6 , 	7 , 	4 , 	9 , 	4 , 	5 , 	7 , 	16 , 	118 , 	107 , 	181 , 	117 , 	82 , 	85 , 	23 , 	22 , 	15 , 	9 , 	2 , 	4 , 	2 , 	6 , 	5 , 	9 , 	18 , 	10 , 	2 , 	6 , 	5 , 	3 , 	3 , 	4 , 	4 ," 	1,391 ",,,,,,,,,,,,,
EN, 	36 , 	11 , 	26 , 	22 , 	151 , 	37 , 	68 , 	63 , 	99 , 	20 , 	46 , 	38 , 	20 , 	13 , 	17 , 	7 , 	10 , 	12 , 	9 , 	6 , 	10 , 	3 , 	4 , 	9 , 	14 , 	232 , 	192 , 	265 , 	197 , 	81 , 	84 , 	21 , 	28 , 	23 , 	10 , 	1 , 	7 , 	3 , 	7 , 	9 , 	11 , 	39 , 	15 , 	1 , 	17 , 	6 , 	5 , 	8 , 	3 , 	3 ," 	2,019 ",,,,,,,,,,,,,
EP, 	34 , 	26 , 	6 , 	21 , 	128 , 	24 , 	39 , 	41 , 	63 , 	14 , 	23 , 	12 , 	13 , 	8 , 	7 , 	5 , 	4 , 	6 , 	5 , 	4 , 	6 , 	5 , 	2 , 	11 , 	5 , 	110 , 	99 , 	91 , 	89 , 	36 , 	27 , 	8 , 	7 , 	6 , 	1 , 	2 , 	3 , 	1 , 	5 , 	2 , 	2 , 	24 , 	7 , 	2 , 	11 , 	2 , 	2 , 	4 , 	1 , 	1 ," 	1,050 ",,,,,,,,,,,,,
NB, 	25 , 	23 , 	20 , 	6 , 	25 , 	11 , 	23 , 	32 , 	34 , 	15 , 	30 , 	18 , 	8 , 	5 , 	7 , 	3 , 	4 , 	4 , 	4 , 	4 , 	5 , 	1 , 	2 , 	3 , 	7 , 	106 , 	86 , 	66 , 	81 , 	42 , 	29 , 	8 , 	8 , 	7 , 	1 , 	2 , 	3 , 	1 , 	5 , 	4 , 	2 , 	30 , 	5 , 	1 , 	11 , 	4 , 	2 , 	4 , 	0 , 	1 , 	827 ,,,,,,,,,,,,,
BK, 	124 , 	173 , 	134 , 	27 , 	16 , 	63 , 	69 , 	89 , 	99 , 	27 , 	74 , 	43 , 	39 , 	26 , 	23 , 	17 , 	22 , 	18 , 	16 , 	19 , 	17 , 	13 , 	9 , 	5 , 	22 , 	153 , 	123 , 	134 , 	125 , 	71 , 	53 , 	19 , 	22 , 	15 , 	4 , 	4 , 	18 , 	4 , 	13 , 	7 , 	7 , 	32 , 	25 , 	6 , 	19 , 	8 , 	13 , 	20 , 	4 , 	9 ," 	2,093 ",,,,,,,,,,,,,
AS, 	35 , 	40 , 	22 , 	11 , 	50 , 	9 , 	25 , 	36 , 	44 , 	13 , 	38 , 	23 , 	16 , 	10 , 	9 , 	5 , 	9 , 	8 , 	5 , 	4 , 	5 , 	3 , 	1 , 	1 , 	10 , 	91 , 	88 , 	84 , 	90 , 	48 , 	25 , 	8 , 	10 , 	5 , 	2 , 	1 , 	4 , 	0 , 	3 , 	2 , 	5 , 	20 , 	6 , 	2 , 	9 , 	5 , 	5 , 	6 , 	1 , 	3 , 	956 ,,,,,,,,,,,,,
MA, 	57 , 	73 , 	36 , 	26 , 	61 , 	27 , 	15 , 	30 , 	47 , 	13 , 	60 , 	49 , 	37 , 	24 , 	19 , 	12 , 	16 , 	17 , 	29 , 	33 , 	33 , 	12 , 	12 , 	14 , 	20 , 	202 , 	158 , 	183 , 	171 , 	102 , 	63 , 	21 , 	22 , 	14 , 	9 , 	5 , 	13 , 	5 , 	33 , 	12 , 	6 , 	43 , 	11 , 	4 , 	12 , 	5 , 	8 , 	12 , 	17 , 	38 ," 	1,939 ",,,,,,,,,,,,,
19, 	35 , 	66 , 	39 , 	31 , 	74 , 	34 , 	32 , 	11 , 	8 , 	6 , 	34 , 	40 , 	34 , 	36 , 	27 , 	19 , 	21 , 	17 , 	34 , 	33 , 	35 , 	18 , 	13 , 	24 , 	14 , 	194 , 	186 , 	181 , 	159 , 	91 , 	62 , 	26 , 	23 , 	20 , 	5 , 	4 , 	11 , 	9 , 	29 , 	7 , 	5 , 	27 , 	13 , 	5 , 	11 , 	8 , 	9 , 	11 , 	10 , 	30 ," 	1,867 ",,,,,,,,,,,,,
12, 	45 , 	110 , 	60 , 	37 , 	83 , 	40 , 	45 , 	9 , 	15 , 	6 , 	38 , 	52 , 	58 , 	52 , 	42 , 	19 , 	32 , 	22 , 	44 , 	50 , 	48 , 	22 , 	18 , 	29 , 	22 , 	184 , 	163 , 	217 , 	161 , 	81 , 	68 , 	32 , 	40 , 	37 , 	18 , 	6 , 	14 , 	13 , 	42 , 	13 , 	12 , 	37 , 	17 , 	3 , 	12 , 	12 , 	11 , 	14 , 	13 , 	48 ," 	2,262 ",,,,,,,,,,,,,
LM, 	10 , 	20 , 	13 , 	14 , 	24 , 	11 , 	13 , 	6 , 	6 , 	10 , 	52 , 	75 , 	97 , 	64 , 	41 , 	33 , 	33 , 	29 , 	8 , 	4 , 	7 , 	3 , 	1 , 	4 , 	9 , 	167 , 	147 , 	164 , 	131 , 	71 , 	46 , 	22 , 	21 , 	17 , 	2 , 	38 , 	61 , 	3 , 	4 , 	3 , 	2 , 	9 , 	2 , 	24 , 	15 , 	22 , 	10 , 	14 , 	2 , 	9 ," 	1,594 ",,,,,,,,,,,,,
FV, 	42 , 	44 , 	22 , 	29 , 	75 , 	39 , 	55 , 	33 , 	42 , 	43 , 	20 , 	99 , 	101 , 	97 , 	70 , 	49 , 	31 , 	42 , 	15 , 	6 , 	18 , 	8 , 	11 , 	16 , 	38 , 	197 , 	174 , 	281 , 	221 , 	99 , 	87 , 	22 , 	26 , 	21 , 	4 , 	27 , 	63 , 	2 , 	9 , 	5 , 	9 , 	21 , 	6 , 	33 , 	8 , 	27 , 	13 , 	18 , 	4 , 	16 ," 	2,437 ",,,,,,,,,,,,,
