Exit stations,Entry stations->,,SATURDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	23 , 	23 , 	14 , 	91 , 	24 , 	29 , 	20 , 	22 , 	5 , 	34 , 	32 , 	9 , 	7 , 	8 , 	4 , 	3 , 	4 , 	7 , 	4 , 	9 , 	3 , 	1 , 	7 , 	7 , 	59 , 	38 , 	135 , 	45 , 	45 , 	62 , 	13 , 	17 , 	15 , 	3 , 	2 , 	4 , 	1 , 	2 , 	4 , 	6 , 	17 , 	4 , 	2 , 	3 , 	3 , 	3 , 	4 , 	4 , 	3 , 	883 ,,,,,,,,,,
EN, 	24 , 	13 , 	18 , 	16 , 	115 , 	27 , 	41 , 	30 , 	49 , 	11 , 	32 , 	73 , 	16 , 	13 , 	14 , 	5 , 	8 , 	5 , 	5 , 	3 , 	7 , 	3 , 	4 , 	7 , 	6 , 	101 , 	73 , 	192 , 	74 , 	44 , 	47 , 	11 , 	16 , 	18 , 	7 , 	1 , 	5 , 	1 , 	3 , 	5 , 	10 , 	29 , 	7 , 	1 , 	11 , 	7 , 	6 , 	11 , 	3 , 	4 ," 	1,227 ",,,,,,,,,,
EP, 	21 , 	18 , 	11 , 	17 , 	99 , 	24 , 	21 , 	29 , 	33 , 	10 , 	9 , 	36 , 	10 , 	7 , 	4 , 	4 , 	3 , 	3 , 	2 , 	1 , 	5 , 	2 , 	2 , 	10 , 	4 , 	62 , 	37 , 	70 , 	39 , 	20 , 	22 , 	7 , 	3 , 	5 , 	2 , 	3 , 	3 , 	-   , 	1 , 	3 , 	1 , 	23 , 	5 , 	3 , 	7 , 	2 , 	4 , 	4 , 	1 , 	2 , 	710 ,,,,,,,,,,
NB, 	17 , 	19 , 	18 , 	8 , 	23 , 	13 , 	16 , 	29 , 	22 , 	6 , 	19 , 	33 , 	6 , 	4 , 	5 , 	1 , 	2 , 	8 , 	2 , 	6 , 	5 , 	1 , 	1 , 	4 , 	5 , 	71 , 	41 , 	74 , 	59 , 	35 , 	25 , 	9 , 	6 , 	7 , 	3 , 	2 , 	5 , 	1 , 	2 , 	0 , 	3 , 	24 , 	6 , 	1 , 	10 , 	3 , 	4 , 	8 , 	2 , 	-   , 	667 ,,,,,,,,,,
BK, 	94 , 	122 , 	103 , 	19 , 	41 , 	46 , 	67 , 	91 , 	81 , 	25 , 	56 , 	64 , 	24 , 	23 , 	19 , 	9 , 	22 , 	22 , 	15 , 	9 , 	20 , 	6 , 	6 , 	5 , 	24 , 	278 , 	158 , 	295 , 	152 , 	107 , 	71 , 	23 , 	24 , 	24 , 	7 , 	8 , 	24 , 	2 , 	11 , 	4 , 	6 , 	48 , 	25 , 	12 , 	28 , 	20 , 	23 , 	40 , 	1 , 	8 ," 	2,405 ",,,,,,,,,,
AS, 	23 , 	30 , 	22 , 	10 , 	41 , 	10 , 	18 , 	37 , 	33 , 	11 , 	24 , 	39 , 	14 , 	7 , 	6 , 	4 , 	6 , 	4 , 	4 , 	4 , 	1 , 	2 , 	0 , 	2 , 	8 , 	64 , 	47 , 	95 , 	62 , 	48 , 	34 , 	11 , 	7 , 	7 , 	0 , 	1 , 	4 , 	0 , 	2 , 	1 , 	2 , 	18 , 	5 , 	1 , 	10 , 	2 , 	3 , 	12 , 	1 , 	1 , 	793 ,,,,,,,,,,
MA, 	30 , 	36 , 	26 , 	17 , 	53 , 	20 , 	16 , 	29 , 	35 , 	11 , 	45 , 	69 , 	17 , 	17 , 	16 , 	4 , 	7 , 	8 , 	19 , 	13 , 	24 , 	8 , 	8 , 	15 , 	16 , 	107 , 	83 , 	162 , 	105 , 	89 , 	58 , 	14 , 	19 , 	12 , 	3 , 	2 , 	5 , 	3 , 	11 , 	3 , 	4 , 	34 , 	8 , 	4 , 	11 , 	4 , 	7 , 	13 , 	10 , 	12 ," 	1,335 ",,,,,,,,,,
19, 	19 , 	36 , 	29 , 	30 , 	82 , 	38 , 	29 , 	15 , 	8 , 	3 , 	23 , 	66 , 	24 , 	14 , 	14 , 	8 , 	8 , 	9 , 	14 , 	12 , 	20 , 	8 , 	8 , 	30 , 	20 , 	143 , 	96 , 	181 , 	113 , 	104 , 	67 , 	21 , 	19 , 	12 , 	5 , 	4 , 	5 , 	4 , 	9 , 	3 , 	4 , 	28 , 	14 , 	1 , 	11 , 	5 , 	6 , 	11 , 	4 , 	12 ," 	1,441 ",,,,,,,,,,
12, 	28 , 	37 , 	27 , 	22 , 	77 , 	19 , 	37 , 	5 , 	17 , 	3 , 	27 , 	75 , 	25 , 	28 , 	21 , 	8 , 	8 , 	11 , 	17 , 	16 , 	19 , 	10 , 	9 , 	23 , 	22 , 	140 , 	84 , 	181 , 	124 , 	71 , 	54 , 	15 , 	25 , 	16 , 	10 , 	1 , 	7 , 	4 , 	7 , 	3 , 	9 , 	34 , 	10 , 	1 , 	13 , 	4 , 	6 , 	12 , 	4 , 	11 ," 	1,428 ",,,,,,,,,,
LM, 	10 , 	11 , 	12 , 	12 , 	23 , 	9 , 	12 , 	5 , 	4 , 	15 , 	38 , 	159 , 	47 , 	43 , 	20 , 	12 , 	13 , 	14 , 	4 , 	2 , 	3 , 	1 , 	2 , 	7 , 	11 , 	119 , 	74 , 	150 , 	81 , 	71 , 	42 , 	15 , 	17 , 	11 , 	1 , 	19 , 	22 , 	2 , 	3 , 	2 , 	1 , 	7 , 	2 , 	12 , 	12 , 	9 , 	9 , 	20 , 	1 , 	2 ," 	1,186 ",,,,,,,,,,
FV, 	27 , 	38 , 	12 , 	20 , 	51 , 	27 , 	36 , 	25 , 	29 , 	28 , 	17 , 	139 , 	68 , 	74 , 	46 , 	28 , 	19 , 	19 , 	11 , 	5 , 	7 , 	5 , 	8 , 	19 , 	27 , 	114 , 	82 , 	200 , 	119 , 	74 , 	66 , 	17 , 	16 , 	18 , 	2 , 	17 , 	40 , 	2 , 	6 , 	3 , 	3 , 	11 , 	5 , 	24 , 	4 , 	20 , 	13 , 	18 , 	1 , 	6 ," 	1,661 ",,,,,,,,,,
