Exit stations,Entry stations->,,SUNDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	20 , 	16 , 	9 , 	41 , 	15 , 	23 , 	11 , 	14 , 	15 , 	22 , 	23 , 	12 , 	4 , 	7 , 	2 , 	3 , 	3 , 	2 , 	1 , 	5 , 	3 , 	1 , 	4 , 	4 , 	42 , 	27 , 	88 , 	33 , 	29 , 	27 , 	6 , 	7 , 	6 , 	3 , 	1 , 	2 , 	1 , 	3 , 	2 , 	5 , 	12 , 	1 , 	1 , 	6 , 	3 , 	2 , 	7 , 	2 , 	3 , 	591 ,,,,,,,,,,,
EN, 	17 , 	10 , 	9 , 	10 , 	64 , 	19 , 	27 , 	17 , 	25 , 	14 , 	16 , 	53 , 	10 , 	8 , 	7 , 	4 , 	4 , 	5 , 	5 , 	2 , 	6 , 	2 , 	1 , 	3 , 	6 , 	71 , 	42 , 	113 , 	46 , 	34 , 	24 , 	6 , 	7 , 	13 , 	6 , 	1 , 	3 , 	-   , 	3 , 	2 , 	7 , 	25 , 	4 , 	1 , 	12 , 	3 , 	8 , 	9 , 	1 , 	2 , 	787 ,,,,,,,,,,,
EP, 	17 , 	11 , 	6 , 	13 , 	64 , 	17 , 	18 , 	19 , 	20 , 	13 , 	11 , 	27 , 	4 , 	3 , 	3 , 	2 , 	1 , 	4 , 	2 , 	1 , 	3 , 	1 , 	1 , 	1 , 	2 , 	38 , 	23 , 	57 , 	38 , 	12 , 	11 , 	4 , 	2 , 	3 , 	1 , 	0 , 	1 , 	0 , 	3 , 	1 , 	2 , 	20 , 	3 , 	1 , 	10 , 	1 , 	2 , 	5 , 	0 , 	2 , 	507 ,,,,,,,,,,,
NB, 	11 , 	8 , 	14 , 	7 , 	13 , 	8 , 	11 , 	14 , 	15 , 	9 , 	13 , 	26 , 	5 , 	2 , 	3 , 	1 , 	2 , 	3 , 	2 , 	1 , 	6 , 	1 , 	0 , 	2 , 	3 , 	47 , 	31 , 	48 , 	44 , 	21 , 	16 , 	5 , 	4 , 	4 , 	1 , 	0 , 	2 , 	0 , 	2 , 	1 , 	1 , 	26 , 	2 , 	1 , 	14 , 	2 , 	5 , 	4 , 	1 , 	1 , 	467 ,,,,,,,,,,,
BK, 	46 , 	73 , 	72 , 	16 , 	40 , 	31 , 	35 , 	52 , 	39 , 	33 , 	40 , 	48 , 	23 , 	14 , 	17 , 	5 , 	14 , 	19 , 	8 , 	8 , 	10 , 	3 , 	4 , 	3 , 	17 , 	160 , 	71 , 	148 , 	89 , 	54 , 	39 , 	16 , 	14 , 	11 , 	4 , 	3 , 	10 , 	4 , 	4 , 	3 , 	4 , 	37 , 	14 , 	5 , 	25 , 	10 , 	25 , 	34 , 	3 , 	7 ," 	1,466 ",,,,,,,,,,,
AS, 	14 , 	20 , 	18 , 	8 , 	21 , 	11 , 	10 , 	20 , 	19 , 	13 , 	21 , 	39 , 	7 , 	6 , 	3 , 	2 , 	4 , 	3 , 	3 , 	2 , 	3 , 	2 , 	1 , 	2 , 	5 , 	37 , 	21 , 	54 , 	34 , 	23 , 	19 , 	6 , 	5 , 	2 , 	1 , 	1 , 	4 , 	1 , 	1 , 	2 , 	1 , 	17 , 	1 , 	1 , 	10 , 	2 , 	5 , 	8 , 	0 , 	2 , 	515 ,,,,,,,,,,,
MA, 	22 , 	24 , 	17 , 	14 , 	35 , 	16 , 	20 , 	14 , 	18 , 	14 , 	29 , 	51 , 	14 , 	7 , 	8 , 	5 , 	7 , 	8 , 	14 , 	14 , 	16 , 	4 , 	5 , 	15 , 	12 , 	97 , 	47 , 	111 , 	71 , 	68 , 	38 , 	12 , 	13 , 	5 , 	1 , 	1 , 	4 , 	4 , 	9 , 	3 , 	2 , 	44 , 	5 , 	3 , 	15 , 	3 , 	6 , 	10 , 	5 , 	8 , 	988 ,,,,,,,,,,,
19, 	16 , 	18 , 	17 , 	13 , 	41 , 	15 , 	16 , 	16 , 	3 , 	6 , 	14 , 	38 , 	18 , 	10 , 	11 , 	4 , 	6 , 	6 , 	8 , 	11 , 	14 , 	6 , 	5 , 	18 , 	14 , 	84 , 	58 , 	134 , 	79 , 	69 , 	40 , 	11 , 	13 , 	11 , 	4 , 	1 , 	3 , 	2 , 	3 , 	2 , 	4 , 	39 , 	9 , 	1 , 	11 , 	3 , 	5 , 	11 , 	4 , 	5 , 	954 ,,,,,,,,,,,
12, 	18 , 	18 , 	18 , 	15 , 	43 , 	15 , 	15 , 	4 , 	21 , 	3 , 	17 , 	46 , 	16 , 	16 , 	14 , 	7 , 	4 , 	8 , 	7 , 	10 , 	8 , 	4 , 	3 , 	10 , 	11 , 	95 , 	57 , 	143 , 	74 , 	61 , 	30 , 	16 , 	14 , 	16 , 	9 , 	0 , 	2 , 	1 , 	5 , 	2 , 	8 , 	46 , 	10 , 	1 , 	10 , 	3 , 	6 , 	8 , 	2 , 	7 , 	979 ,,,,,,,,,,,
LM, 	14 , 	15 , 	14 , 	11 , 	25 , 	15 , 	16 , 	6 , 	4 , 	9 , 	48 , 	88 , 	32 , 	28 , 	14 , 	9 , 	11 , 	13 , 	4 , 	3 , 	1 , 	2 , 	1 , 	2 , 	11 , 	69 , 	45 , 	115 , 	69 , 	48 , 	39 , 	10 , 	14 , 	10 , 	1 , 	15 , 	23 , 	0 , 	3 , 	3 , 	1 , 	13 , 	2 , 	10 , 	16 , 	4 , 	7 , 	14 , 	1 , 	1 , 	926 ,,,,,,,,,,,
FV, 	23 , 	20 , 	12 , 	14 , 	44 , 	24 , 	27 , 	15 , 	16 , 	41 , 	18 , 	96 , 	42 , 	58 , 	34 , 	21 , 	9 , 	19 , 	7 , 	1 , 	6 , 	3 , 	5 , 	10 , 	18 , 	81 , 	49 , 	148 , 	80 , 	44 , 	44 , 	7 , 	12 , 	13 , 	2 , 	9 , 	27 , 	1 , 	4 , 	3 , 	5 , 	19 , 	2 , 	15 , 	7 , 	6 , 	9 , 	24 , 	4 , 	3 ," 	1,200 ",,,,,,,,,,,
CL, 	25 , 	61 , 	29 , 	27 , 	39 , 	36 , 	50 , 	49 , 	48 , 	75 , 	92 , 	20 , 	99 , 	69 , 	63 , 	36 , 	46 , 	58 , 	28 , 	37 , 	40 , 	32 , 	20 , 	25 , 	28 , 	87 , 	43 , 	140 , 	70 , 	42 , 	40 , 	24 , 	20 , 	30 , 	5 , 	43 , 	188 , 	13 , 	14 , 	5 , 	6 , 	11 , 	8 , 	64 , 	30 , 	23 , 	28 , 	76 , 	3 , 	20 ," 	2,165 ",,,,,,,,,,,
SL, 	12 , 	12 , 	6 , 	4 , 	17 , 	4 , 	18 , 	15 , 	21 , 	38 , 	46 , 	95 , 	9 , 	38 , 	31 , 	11 , 	13 , 	12 , 	3 , 	1 , 	3 , 	2 , 	0 , 	3 , 	8 , 	64 , 	40 , 	81 , 	38 , 	16 , 	16 , 	4 , 	8 , 	6 , 	1 , 	10 , 	19 , 	1 , 	2 , 	1 , 	4 , 	13 , 	1 , 	17 , 	5 , 	5 , 	5 , 	8 , 	1 , 	2 , 	789 ,,,,,,,,,,,
BF, 	8 , 	7 , 	3 , 	5 , 	12 , 	7 , 	10 , 	13 , 	24 , 	28 , 	61 , 	81 , 	41 , 	9 , 	19 , 	11 , 	12 , 	14 , 	7 , 	2 , 	3 , 	1 , 	2 , 	2 , 	6 , 	55 , 	36 , 	95 , 	33 , 	14 , 	11 , 	5 , 	7 , 	6 , 	2 , 	16 , 	25 , 	0 , 	3 , 	1 , 	2 , 	8 , 	1 , 	12 , 	3 , 	7 , 	8 , 	9 , 	1 , 	3 , 	748 ,,,,,,,,,,,
HY, 	6 , 	10 , 	4 , 	3 , 	13 , 	4 , 	11 , 	9 , 	13 , 	15 , 	33 , 	59 , 	31 , 	24 , 	10 , 	18 , 	19 , 	22 , 	3 , 	4 , 	2 , 	1 , 	1 , 	2 , 	5 , 	23 , 	9 , 	36 , 	15 , 	7 , 	5 , 	2 , 	4 , 	5 , 	2 , 	4 , 	8 , 	0 , 	2 , 	1 , 	2 , 	4 , 	1 , 	7 , 	4 , 	8 , 	10 , 	21 , 	1 , 	3 , 	507 ,,,,,,,,,,,
SH, 	5 , 	2 , 	2 , 	1 , 	5 , 	1 , 	4 , 	4 , 	9 , 	9 , 	16 , 	36 , 	10 , 	14 , 	14 , 	5 , 	5 , 	13 , 	3 , 	-   , 	1 , 	0 , 	-   , 	0 , 	3 , 	30 , 	8 , 	23 , 	12 , 	6 , 	5 , 	1 , 	2 , 	4 , 	3 , 	4 , 	4 , 	0 , 	2 , 	0 , 	0 , 	5 , 	1 , 	3 , 	4 , 	8 , 	6 , 	15 , 	0 , 	2 , 	312 ,,,,,,,,,,,
UC, 	2 , 	4 , 	2 , 	2 , 	13 , 	5 , 	5 , 	9 , 	8 , 	10 , 	14 , 	43 , 	12 , 	10 , 	18 , 	7 , 	10 , 	20 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	2 , 	32 , 	17 , 	33 , 	20 , 	8 , 	6 , 	3 , 	3 , 	3 , 	-   , 	2 , 	9 , 	0 , 	1 , 	1 , 	1 , 	8 , 	1 , 	3 , 	3 , 	10 , 	11 , 	16 , 	0 , 	1 , 	395 ,,,,,,,,,,,
FM, 	6 , 	3 , 	3 , 	4 , 	20 , 	4 , 	7 , 	6 , 	7 , 	11 , 	23 , 	60 , 	14 , 	16 , 	20 , 	12 , 	19 , 	10 , 	2 , 	3 , 	1 , 	0 , 	-   , 	2 , 	4 , 	41 , 	22 , 	44 , 	23 , 	10 , 	4 , 	3 , 	3 , 	4 , 	1 , 	3 , 	7 , 	0 , 	2 , 	0 , 	1 , 	10 , 	1 , 	2 , 	9 , 	11 , 	20 , 	19 , 	1 , 	1 , 	503 ,,,,,,,,,,,
CN, 	3 , 	5 , 	3 , 	2 , 	9 , 	3 , 	15 , 	8 , 	9 , 	3 , 	10 , 	28 , 	2 , 	4 , 	3 , 	3 , 	2 , 	2 , 	14 , 	16 , 	39 , 	24 , 	3 , 	14 , 	3 , 	57 , 	22 , 	66 , 	35 , 	15 , 	10 , 	5 , 	5 , 	8 , 	2 , 	0 , 	1 , 	7 , 	30 , 	2 , 	3 , 	35 , 	3 , 	0 , 	12 , 	1 , 	1 , 	3 , 	21 , 	18 , 	592 ,,,,,,,,,,,
PH, 	2 , 	0 , 	1 , 	1 , 	6 , 	2 , 	8 , 	9 , 	7 , 	3 , 	3 , 	33 , 	2 , 	0 , 	3 , 	0 , 	1 , 	1 , 	17 , 	9 , 	22 , 	9 , 	3 , 	15 , 	3 , 	67 , 	36 , 	54 , 	44 , 	13 , 	9 , 	5 , 	4 , 	6 , 	1 , 	1 , 	2 , 	3 , 	10 , 	2 , 	6 , 	38 , 	1 , 	-   , 	17 , 	1 , 	2 , 	2 , 	2 , 	7 , 	490 ,,,,,,,,,,,
WC, 	5 , 	4 , 	3 , 	5 , 	12 , 	3 , 	12 , 	19 , 	10 , 	3 , 	5 , 	36 , 	4 , 	3 , 	1 , 	3 , 	1 , 	0 , 	58 , 	22 , 	6 , 	11 , 	12 , 	25 , 	3 , 	101 , 	36 , 	64 , 	48 , 	17 , 	8 , 	2 , 	4 , 	6 , 	1 , 	2 , 	2 , 	6 , 	24 , 	2 , 	2 , 	50 , 	3 , 	-   , 	10 , 	0 , 	1 , 	4 , 	7 , 	12 , 	676 ,,,,,,,,,,,
LF, 	4 , 	2 , 	1 , 	1 , 	5 , 	2 , 	4 , 	7 , 	5 , 	1 , 	3 , 	30 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	30 , 	10 , 	11 , 	5 , 	2 , 	15 , 	1 , 	61 , 	20 , 	35 , 	27 , 	11 , 	5 , 	5 , 	1 , 	1 , 	1 , 	1 , 	-   , 	2 , 	5 , 	0 , 	1 , 	22 , 	2 , 	-   , 	7 , 	1 , 	0 , 	1 , 	6 , 	2 , 	360 ,,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	1 , 	5 , 	1 , 	5 , 	4 , 	2 , 	0 , 	6 , 	17 , 	0 , 	2 , 	0 , 	-   , 	1 , 	0 , 	6 , 	4 , 	9 , 	2 , 	3 , 	12 , 	0 , 	43 , 	20 , 	36 , 	20 , 	13 , 	3 , 	3 , 	2 , 	2 , 	1 , 	-   , 	0 , 	1 , 	3 , 	1 , 	-   , 	22 , 	2 , 	-   , 	3 , 	0 , 	0 , 	0 , 	3 , 	1 , 	266 ,,,,,,,,,,,
RR, 	3 , 	6 , 	5 , 	3 , 	4 , 	2 , 	11 , 	23 , 	10 , 	5 , 	10 , 	25 , 	4 , 	2 , 	3 , 	2 , 	2 , 	2 , 	14 , 	15 , 	19 , 	14 , 	11 , 	9 , 	7 , 	90 , 	58 , 	95 , 	74 , 	51 , 	34 , 	14 , 	8 , 	8 , 	2 , 	1 , 	1 , 	3 , 	4 , 	3 , 	2 , 	53 , 	7 , 	0 , 	7 , 	2 , 	2 , 	3 , 	2 , 	5 , 	740 ,,,,,,,,,,,
OW, 	3 , 	6 , 	2 , 	2 , 	15 , 	4 , 	9 , 	12 , 	10 , 	6 , 	18 , 	28 , 	5 , 	6 , 	5 , 	2 , 	2 , 	2 , 	3 , 	2 , 	3 , 	1 , 	1 , 	5 , 	15 , 	134 , 	69 , 	173 , 	97 , 	64 , 	39 , 	10 , 	16 , 	8 , 	5 , 	4 , 	4 , 	0 , 	2 , 	4 , 	5 , 	35 , 	4 , 	3 , 	4 , 	2 , 	0 , 	1 , 	0 , 	6 , 	856 ,,,,,,,,,,,
EM, 	52 , 	81 , 	47 , 	54 , 	187 , 	54 , 	102 , 	98 , 	101 , 	66 , 	84 , 	95 , 	64 , 	65 , 	26 , 	33 , 	28 , 	52 , 	62 , 	73 , 	97 , 	63 , 	48 , 	97 , 	162 , 	72 , 	9 , 	38 , 	22 , 	83 , 	98 , 	58 , 	69 , 	70 , 	27 , 	37 , 	205 , 	27 , 	48 , 	20 , 	20 , 	85 , 	26 , 	50 , 	40 , 	18 , 	22 , 	25 , 	9 , 	45 ," 	3,115 ",,,,,,,,,,,
MT, 	41 , 	60 , 	30 , 	34 , 	90 , 	33 , 	75 , 	78 , 	71 , 	67 , 	61 , 	49 , 	45 , 	53 , 	14 , 	14 , 	21 , 	24 , 	43 , 	49 , 	45 , 	22 , 	22 , 	65 , 	87 , 	5 , 	42 , 	8 , 	9 , 	54 , 	74 , 	42 , 	107 , 	66 , 	23 , 	26 , 	71 , 	10 , 	26 , 	15 , 	20 , 	81 , 	26 , 	21 , 	20 , 	15 , 	14 , 	15 , 	5 , 	19 ," 	2,006 ",,,,,,,,,,,
PL, 	76 , 	93 , 	44 , 	41 , 	136 , 	46 , 	86 , 	100 , 	107 , 	91 , 	113 , 	126 , 	59 , 	72 , 	33 , 	21 , 	30 , 	23 , 	53 , 	42 , 	47 , 	26 , 	33 , 	67 , 	177 , 	28 , 	7 , 	87 , 	22 , 	185 , 	251 , 	116 , 	237 , 	182 , 	61 , 	24 , 	86 , 	20 , 	43 , 	38 , 	60 , 	188 , 	47 , 	25 , 	29 , 	12 , 	17 , 	22 , 	15 , 	30 ," 	3,571 ",,,,,,,,,,,
CC, 	31 , 	39 , 	27 , 	36 , 	82 , 	31 , 	75 , 	78 , 	74 , 	59 , 	87 , 	68 , 	35 , 	26 , 	21 , 	9 , 	19 , 	16 , 	31 , 	35 , 	48 , 	29 , 	20 , 	55 , 	113 , 	28 , 	11 , 	17 , 	55 , 	63 , 	92 , 	63 , 	82 , 	78 , 	41 , 	16 , 	60 , 	8 , 	17 , 	23 , 	35 , 	111 , 	40 , 	16 , 	17 , 	6 , 	11 , 	18 , 	3 , 	15 ," 	2,074 ",,,,,,,,,,,
16, 	29 , 	33 , 	12 , 	17 , 	47 , 	23 , 	62 , 	65 , 	56 , 	45 , 	41 , 	38 , 	18 , 	19 , 	8 , 	6 , 	7 , 	8 , 	19 , 	12 , 	15 , 	10 , 	11 , 	39 , 	66 , 	76 , 	47 , 	213 , 	74 , 	42 , 	22 , 	41 , 	51 , 	67 , 	29 , 	5 , 	16 , 	2 , 	7 , 	14 , 	30 , 	89 , 	28 , 	4 , 	12 , 	4 , 	8 , 	12 , 	7 , 	8 ," 	1,618 ",,,,,,,,,,,
24, 	31 , 	29 , 	12 , 	15 , 	39 , 	20 , 	42 , 	36 , 	31 , 	38 , 	48 , 	33 , 	12 , 	8 , 	7 , 	8 , 	4 , 	7 , 	14 , 	9 , 	12 , 	5 , 	7 , 	34 , 	48 , 	99 , 	68 , 	304 , 	110 , 	18 , 	48 , 	34 , 	50 , 	47 , 	22 , 	4 , 	14 , 	4 , 	8 , 	24 , 	38 , 	71 , 	23 , 	6 , 	12 , 	2 , 	3 , 	9 , 	2 , 	8 ," 	1,577 ",,,,,,,,,,,
GP, 	6 , 	11 , 	4 , 	5 , 	15 , 	4 , 	12 , 	11 , 	18 , 	8 , 	9 , 	24 , 	2 , 	4 , 	2 , 	1 , 	1 , 	3 , 	7 , 	5 , 	6 , 	5 , 	5 , 	14 , 	12 , 	52 , 	36 , 	144 , 	53 , 	36 , 	38 , 	18 , 	6 , 	9 , 	10 , 	4 , 	6 , 	2 , 	4 , 	7 , 	16 , 	33 , 	14 , 	2 , 	7 , 	1 , 	1 , 	1 , 	0 , 	3 , 	699 ,,,,,,,,,,,
BP, 	7 , 	10 , 	4 , 	6 , 	12 , 	6 , 	14 , 	12 , 	15 , 	15 , 	9 , 	11 , 	7 , 	5 , 	2 , 	2 , 	1 , 	4 , 	7 , 	3 , 	6 , 	2 , 	1 , 	6 , 	15 , 	73 , 	61 , 	278 , 	76 , 	57 , 	45 , 	6 , 	24 , 	7 , 	17 , 	2 , 	5 , 	1 , 	9 , 	9 , 	23 , 	34 , 	17 , 	3 , 	4 , 	1 , 	3 , 	4 , 	1 , 	4 , 	946 ,,,,,,,,,,,
DC, 	5 , 	9 , 	5 , 	5 , 	14 , 	3 , 	9 , 	10 , 	11 , 	8 , 	17 , 	30 , 	6 , 	8 , 	5 , 	5 , 	4 , 	4 , 	8 , 	6 , 	6 , 	2 , 	3 , 	8 , 	14 , 	65 , 	53 , 	232 , 	86 , 	73 , 	54 , 	15 , 	12 , 	18 , 	6 , 	4 , 	13 , 	2 , 	7 , 	10 , 	28 , 	67 , 	23 , 	3 , 	6 , 	5 , 	3 , 	3 , 	2 , 	6 , 	999 ,,,,,,,,,,,
CM, 	3 , 	6 , 	1 , 	1 , 	5 , 	1 , 	3 , 	3 , 	8 , 	1 , 	2 , 	4 , 	1 , 	2 , 	2 , 	3 , 	1 , 	1 , 	4 , 	2 , 	1 , 	1 , 	1 , 	1 , 	3 , 	22 , 	17 , 	74 , 	40 , 	27 , 	24 , 	7 , 	15 , 	6 , 	5 , 	-   , 	3 , 	1 , 	6 , 	2 , 	13 , 	53 , 	10 , 	-   , 	2 , 	0 , 	2 , 	0 , 	1 , 	3 , 	391 ,,,,,,,,,,,
CV, 	0 , 	0 , 	-   , 	1 , 	4 , 	1 , 	1 , 	2 , 	1 , 	18 , 	10 , 	40 , 	13 , 	14 , 	5 , 	2 , 	2 , 	3 , 	-   , 	1 , 	1 , 	0 , 	-   , 	1 , 	3 , 	37 , 	23 , 	34 , 	17 , 	6 , 	4 , 	3 , 	3 , 	6 , 	0 , 	3 , 	15 , 	0 , 	0 , 	-   , 	0 , 	6 , 	1 , 	16 , 	2 , 	1 , 	2 , 	2 , 	1 , 	0 , 	306 ,,,,,,,,,,,
ED, 	2 , 	3 , 	2 , 	1 , 	15 , 	3 , 	7 , 	4 , 	4 , 	20 , 	26 , 	223 , 	22 , 	21 , 	8 , 	5 , 	7 , 	8 , 	2 , 	1 , 	2 , 	1 , 	-   , 	2 , 	6 , 	175 , 	68 , 	112 , 	60 , 	21 , 	11 , 	7 , 	7 , 	11 , 	1 , 	10 , 	19 , 	-   , 	1 , 	1 , 	1 , 	34 , 	3 , 	11 , 	22 , 	2 , 	8 , 	8 , 	1 , 	1 , 	990 ,,,,,,,,,,,
NC, 	1 , 	1 , 	0 , 	-   , 	1 , 	2 , 	4 , 	1 , 	0 , 	0 , 	2 , 	13 , 	1 , 	-   , 	0 , 	0 , 	1 , 	-   , 	7 , 	5 , 	5 , 	2 , 	1 , 	4 , 	0 , 	14 , 	9 , 	23 , 	8 , 	3 , 	2 , 	2 , 	1 , 	1 , 	1 , 	0 , 	0 , 	2 , 	6 , 	1 , 	1 , 	12 , 	0 , 	-   , 	3 , 	-   , 	1 , 	1 , 	1 , 	2 , 	146 ,,,,,,,,,,,
WP, 	3 , 	2 , 	2 , 	1 , 	4 , 	2 , 	9 , 	4 , 	5 , 	1 , 	5 , 	10 , 	1 , 	2 , 	2 , 	1 , 	1 , 	1 , 	36 , 	14 , 	26 , 	5 , 	2 , 	6 , 	4 , 	42 , 	21 , 	60 , 	17 , 	8 , 	9 , 	3 , 	6 , 	7 , 	4 , 	0 , 	1 , 	3 , 	5 , 	3 , 	3 , 	27 , 	3 , 	1 , 	4 , 	1 , 	1 , 	1 , 	2 , 	4 , 	385 ,,,,,,,,,,,
SS, 	1 , 	3 , 	1 , 	1 , 	5 , 	2 , 	1 , 	1 , 	5 , 	4 , 	4 , 	6 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	2 , 	2 , 	2 , 	1 , 	1 , 	2 , 	2 , 	18 , 	11 , 	45 , 	22 , 	14 , 	21 , 	7 , 	6 , 	12 , 	1 , 	-   , 	1 , 	1 , 	3 , 	2 , 	7 , 	26 , 	3 , 	-   , 	1 , 	0 , 	1 , 	0 , 	0 , 	2 , 	255 ,,,,,,,,,,,
SB, 	4 , 	8 , 	2 , 	1 , 	5 , 	1 , 	4 , 	6 , 	6 , 	1 , 	2 , 	4 , 	4 , 	4 , 	2 , 	1 , 	1 , 	1 , 	5 , 	6 , 	4 , 	1 , 	1 , 	4 , 	4 , 	23 , 	15 , 	82 , 	37 , 	29 , 	44 , 	14 , 	23 , 	29 , 	7 , 	1 , 	1 , 	0 , 	1 , 	7 , 	9 , 	20 , 	3 , 	1 , 	2 , 	-   , 	-   , 	0 , 	0 , 	3 , 	432 ,,,,,,,,,,,
SO, 	7 , 	16 , 	8 , 	12 , 	21 , 	7 , 	29 , 	13 , 	22 , 	4 , 	6 , 	5 , 	6 , 	6 , 	2 , 	3 , 	3 , 	4 , 	23 , 	22 , 	28 , 	19 , 	12 , 	25 , 	22 , 	83 , 	87 , 	304 , 	83 , 	47 , 	30 , 	14 , 	25 , 	53 , 	33 , 	3 , 	16 , 	7 , 	18 , 	12 , 	11 , 	31 , 	44 , 	2 , 	12 , 	1 , 	2 , 	1 , 	3 , 	19 ," 	1,265 ",,,,,,,,,,,
MB, 	3 , 	5 , 	3 , 	3 , 	14 , 	2 , 	8 , 	7 , 	10 , 	2 , 	2 , 	6 , 	0 , 	2 , 	-   , 	1 , 	1 , 	0 , 	3 , 	2 , 	3 , 	1 , 	1 , 	5 , 	5 , 	25 , 	24 , 	50 , 	41 , 	29 , 	21 , 	9 , 	17 , 	21 , 	6 , 	0 , 	1 , 	1 , 	1 , 	5 , 	3 , 	102 , 	17 , 	0 , 	2 , 	-   , 	0 , 	-   , 	0 , 	2 , 	469 ,,,,,,,,,,,
WD, 	1 , 	2 , 	1 , 	1 , 	5 , 	1 , 	2 , 	2 , 	1 , 	8 , 	15 , 	67 , 	14 , 	13 , 	10 , 	3 , 	4 , 	2 , 	0 , 	0 , 	1 , 	-   , 	0 , 	0 , 	2 , 	48 , 	27 , 	37 , 	20 , 	6 , 	5 , 	1 , 	3 , 	3 , 	-   , 	15 , 	9 , 	-   , 	1 , 	1 , 	0 , 	10 , 	1 , 	6 , 	7 , 	1 , 	3 , 	2 , 	0 , 	1 , 	361 ,,,,,,,,,,,
OA, 	1 , 	5 , 	5 , 	5 , 	15 , 	6 , 	6 , 	8 , 	12 , 	4 , 	4 , 	16 , 	1 , 	2 , 	2 , 	1 , 	4 , 	3 , 	4 , 	8 , 	4 , 	2 , 	1 , 	2 , 	2 , 	33 , 	24 , 	48 , 	13 , 	6 , 	6 , 	2 , 	1 , 	3 , 	1 , 	0 , 	10 , 	1 , 	3 , 	1 , 	1 , 	10 , 	1 , 	3 , 	2 , 	1 , 	2 , 	3 , 	0 , 	4 , 	302 ,,,,,,,,,,,
WS, 	2 , 	3 , 	1 , 	3 , 	15 , 	3 , 	2 , 	4 , 	4 , 	5 , 	10 , 	18 , 	7 , 	7 , 	11 , 	7 , 	9 , 	6 , 	1 , 	1 , 	-   , 	1 , 	0 , 	1 , 	2 , 	15 , 	9 , 	21 , 	9 , 	3 , 	3 , 	2 , 	1 , 	3 , 	-   , 	0 , 	2 , 	-   , 	2 , 	1 , 	0 , 	3 , 	-   , 	1 , 	2 , 	5 , 	14 , 	14 , 	-   , 	2 , 	233 ,,,,,,,,,,,
ML, 	5 , 	8 , 	2 , 	3 , 	24 , 	4 , 	7 , 	5 , 	5 , 	8 , 	6 , 	22 , 	8 , 	9 , 	7 , 	5 , 	9 , 	19 , 	2 , 	2 , 	2 , 	0 , 	0 , 	3 , 	2 , 	28 , 	9 , 	28 , 	15 , 	8 , 	5 , 	1 , 	4 , 	2 , 	1 , 	2 , 	8 , 	1 , 	3 , 	1 , 	-   , 	5 , 	-   , 	1 , 	4 , 	8 , 	12 , 	10 , 	0 , 	0 , 	324 ,,,,,,,,,,,
BE, 	8 , 	8 , 	8 , 	6 , 	33 , 	10 , 	11 , 	9 , 	11 , 	11 , 	19 , 	64 , 	9 , 	10 , 	20 , 	15 , 	13 , 	22 , 	5 , 	2 , 	6 , 	1 , 	2 , 	1 , 	3 , 	26 , 	12 , 	30 , 	23 , 	10 , 	9 , 	3 , 	3 , 	5 , 	1 , 	2 , 	8 , 	1 , 	2 , 	1 , 	1 , 	3 , 	-   , 	3 , 	11 , 	13 , 	9 , 	12 , 	1 , 	3 , 	498 ,,,,,,,,,,,
PC, 	2 , 	0 , 	-   , 	1 , 	3 , 	0 , 	7 , 	2 , 	2 , 	2 , 	2 , 	3 , 	1 , 	1 , 	0 , 	-   , 	0 , 	1 , 	17 , 	3 , 	5 , 	5 , 	2 , 	0 , 	2 , 	7 , 	3 , 	12 , 	4 , 	3 , 	3 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	2 , 	1 , 	0 , 	1 , 	3 , 	1 , 	0 , 	1 , 	-   , 	0 , 	0 , 	1 , 	4 , 	115 ,,,,,,,,,,,
