Exit stations,Entry stations->,,WEEKDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	8 , 	57 , 	41 , 	31 , 	145 , 	37 , 	64 , 	34 , 	49 , 	14 , 	41 , 	34 , 	16 , 	14 , 	15 , 	7 , 	7 , 	6 , 	8 , 	4 , 	11 , 	4 , 	3 , 	10 , 	13 , 	129 , 	114 , 	199 , 	125 , 	89 , 	89 , 	24 , 	26 , 	22 , 	9 , 	2 , 	4 , 	3 , 	5 , 	6 , 	11 , 	18 , 	9 , 	3 , 	7 , 	4 , 	3 , 	6 , 	5 , 	3 ," 	1,588 ",,,,,,,,,,,,,
EN, 	48 , 	12 , 	37 , 	22 , 	217 , 	43 , 	77 , 	81 , 	103 , 	28 , 	51 , 	49 , 	21 , 	15 , 	22 , 	8 , 	10 , 	11 , 	9 , 	5 , 	12 , 	3 , 	5 , 	11 , 	15 , 	256 , 	216 , 	291 , 	215 , 	87 , 	91 , 	29 , 	38 , 	38 , 	10 , 	2 , 	8 , 	4 , 	7 , 	11 , 	13 , 	45 , 	18 , 	2 , 	17 , 	6 , 	5 , 	7 , 	3 , 	5 ," 	2,339 ",,,,,,,,,,,,,
EP, 	42 , 	36 , 	5 , 	23 , 	178 , 	24 , 	44 , 	44 , 	60 , 	16 , 	26 , 	21 , 	14 , 	7 , 	9 , 	6 , 	5 , 	6 , 	6 , 	3 , 	5 , 	4 , 	1 , 	11 , 	4 , 	112 , 	102 , 	99 , 	102 , 	36 , 	28 , 	10 , 	8 , 	12 , 	1 , 	2 , 	3 , 	2 , 	6 , 	4 , 	2 , 	26 , 	9 , 	2 , 	11 , 	2 , 	2 , 	5 , 	1 , 	2 ," 	1,189 ",,,,,,,,,,,,,
NB, 	28 , 	23 , 	24 , 	7 , 	54 , 	16 , 	30 , 	43 , 	36 , 	16 , 	33 , 	23 , 	8 , 	5 , 	9 , 	2 , 	4 , 	5 , 	5 , 	4 , 	4 , 	2 , 	2 , 	4 , 	6 , 	108 , 	84 , 	75 , 	99 , 	40 , 	32 , 	11 , 	12 , 	10 , 	3 , 	3 , 	4 , 	1 , 	5 , 	3 , 	2 , 	37 , 	5 , 	1 , 	13 , 	4 , 	3 , 	4 , 	1 , 	2 , 	955 ,,,,,,,,,,,,,
BK, 	161 , 	242 , 	192 , 	60 , 	25 , 	83 , 	93 , 	117 , 	127 , 	38 , 	96 , 	66 , 	51 , 	34 , 	34 , 	21 , 	38 , 	34 , 	26 , 	27 , 	26 , 	16 , 	11 , 	8 , 	33 , 	206 , 	153 , 	208 , 	166 , 	95 , 	76 , 	29 , 	33 , 	29 , 	8 , 	8 , 	31 , 	6 , 	17 , 	9 , 	11 , 	58 , 	29 , 	9 , 	32 , 	14 , 	25 , 	33 , 	5 , 	16 ," 	2,964 ",,,,,,,,,,,,,
AS, 	40 , 	42 , 	22 , 	15 , 	71 , 	9 , 	28 , 	43 , 	46 , 	17 , 	41 , 	32 , 	17 , 	14 , 	10 , 	5 , 	9 , 	9 , 	7 , 	5 , 	5 , 	3 , 	1 , 	3 , 	9 , 	101 , 	88 , 	88 , 	100 , 	56 , 	30 , 	9 , 	12 , 	7 , 	3 , 	2 , 	4 , 	1 , 	3 , 	2 , 	5 , 	25 , 	7 , 	1 , 	11 , 	6 , 	7 , 	8 , 	1 , 	5 ," 	1,083 ",,,,,,,,,,,,,
MA, 	68 , 	81 , 	42 , 	29 , 	94 , 	33 , 	13 , 	32 , 	54 , 	16 , 	80 , 	68 , 	40 , 	29 , 	24 , 	16 , 	19 , 	18 , 	30 , 	34 , 	39 , 	14 , 	12 , 	19 , 	23 , 	197 , 	175 , 	190 , 	193 , 	109 , 	77 , 	22 , 	28 , 	21 , 	8 , 	6 , 	12 , 	5 , 	34 , 	10 , 	7 , 	42 , 	11 , 	5 , 	15 , 	7 , 	8 , 	13 , 	19 , 	43 ," 	2,181 ",,,,,,,,,,,,,
19, 	38 , 	85 , 	41 , 	39 , 	112 , 	42 , 	34 , 	10 , 	11 , 	7 , 	41 , 	60 , 	42 , 	39 , 	33 , 	22 , 	25 , 	17 , 	42 , 	36 , 	44 , 	23 , 	15 , 	33 , 	20 , 	212 , 	190 , 	191 , 	186 , 	102 , 	70 , 	26 , 	29 , 	25 , 	8 , 	6 , 	15 , 	10 , 	32 , 	9 , 	6 , 	33 , 	9 , 	6 , 	14 , 	10 , 	9 , 	15 , 	11 , 	34 ," 	2,166 ",,,,,,,,,,,,,
12, 	49 , 	109 , 	60 , 	35 , 	112 , 	38 , 	53 , 	9 , 	15 , 	7 , 	47 , 	68 , 	71 , 	54 , 	53 , 	23 , 	34 , 	25 , 	49 , 	48 , 	51 , 	21 , 	20 , 	32 , 	27 , 	202 , 	168 , 	225 , 	177 , 	83 , 	69 , 	30 , 	43 , 	44 , 	17 , 	8 , 	16 , 	13 , 	42 , 	17 , 	12 , 	42 , 	20 , 	5 , 	14 , 	12 , 	9 , 	15 , 	14 , 	52 ," 	2,458 ",,,,,,,,,,,,,
LM, 	12 , 	29 , 	15 , 	14 , 	39 , 	17 , 	17 , 	6 , 	7 , 	6 , 	57 , 	98 , 	101 , 	71 , 	48 , 	37 , 	33 , 	30 , 	10 , 	5 , 	7 , 	3 , 	1 , 	5 , 	10 , 	174 , 	153 , 	191 , 	151 , 	74 , 	47 , 	24 , 	26 , 	19 , 	2 , 	42 , 	60 , 	2 , 	6 , 	2 , 	2 , 	14 , 	2 , 	25 , 	12 , 	19 , 	12 , 	13 , 	4 , 	12 ," 	1,764 ",,,,,,,,,,,,,
FV, 	44 , 	47 , 	28 , 	32 , 	96 , 	43 , 	80 , 	42 , 	52 , 	53 , 	17 , 	131 , 	113 , 	110 , 	91 , 	55 , 	40 , 	43 , 	13 , 	6 , 	19 , 	9 , 	13 , 	21 , 	50 , 	214 , 	187 , 	298 , 	248 , 	108 , 	99 , 	26 , 	39 , 	38 , 	5 , 	26 , 	67 , 	3 , 	11 , 	6 , 	11 , 	25 , 	6 , 	28 , 	7 , 	28 , 	14 , 	18 , 	6 , 	17 ," 	2,784 ",,,,,,,,,,,,,
