Exit stations,Entry stations->,,SATURDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	28 , 	28 , 	18 , 	112 , 	28 , 	30 , 	25 , 	34 , 	10 , 	36 , 	29 , 	13 , 	7 , 	9 , 	6 , 	4 , 	4 , 	6 , 	3 , 	9 , 	4 , 	1 , 	6 , 	10 , 	67 , 	51 , 	156 , 	62 , 	50 , 	66 , 	10 , 	20 , 	9 , 	5 , 	2 , 	4 , 	1 , 	5 , 	4 , 	5 , 	19 , 	6 , 	2 , 	4 , 	5 , 	3 , 	5 , 	4 , 	4 ," 	1,031 ",,,,,,,,,,
EN, 	30 , 	19 , 	26 , 	17 , 	172 , 	26 , 	40 , 	39 , 	47 , 	10 , 	34 , 	52 , 	17 , 	15 , 	12 , 	6 , 	9 , 	8 , 	8 , 	3 , 	7 , 	3 , 	3 , 	9 , 	13 , 	113 , 	93 , 	212 , 	76 , 	55 , 	54 , 	13 , 	19 , 	16 , 	10 , 	2 , 	6 , 	1 , 	7 , 	7 , 	9 , 	36 , 	9 , 	3 , 	13 , 	6 , 	5 , 	11 , 	5 , 	5 ," 	1,405 ",,,,,,,,,,
EP, 	29 , 	28 , 	11 , 	19 , 	168 , 	19 , 	18 , 	26 , 	31 , 	9 , 	15 , 	22 , 	7 , 	2 , 	4 , 	5 , 	3 , 	6 , 	5 , 	3 , 	5 , 	4 , 	1 , 	8 , 	4 , 	84 , 	47 , 	99 , 	51 , 	26 , 	17 , 	10 , 	4 , 	9 , 	1 , 	3 , 	5 , 	0 , 	2 , 	3 , 	2 , 	24 , 	5 , 	3 , 	8 , 	2 , 	2 , 	8 , 	1 , 	3 , 	864 ,,,,,,,,,,
NB, 	16 , 	22 , 	21 , 	13 , 	51 , 	15 , 	21 , 	33 , 	25 , 	12 , 	21 , 	36 , 	6 , 	5 , 	7 , 	1 , 	4 , 	8 , 	3 , 	6 , 	6 , 	7 , 	1 , 	4 , 	6 , 	86 , 	50 , 	81 , 	63 , 	42 , 	26 , 	10 , 	7 , 	6 , 	2 , 	3 , 	5 , 	1 , 	2 , 	2 , 	1 , 	24 , 	7 , 	1 , 	11 , 	2 , 	2 , 	6 , 	1 , 	1 , 	786 ,,,,,,,,,,
BK, 	124 , 	178 , 	172 , 	49 , 	103 , 	77 , 	94 , 	118 , 	112 , 	39 , 	54 , 	126 , 	37 , 	36 , 	33 , 	18 , 	33 , 	30 , 	20 , 	17 , 	38 , 	22 , 	19 , 	9 , 	26 , 	287 , 	191 , 	379 , 	192 , 	123 , 	84 , 	39 , 	27 , 	47 , 	6 , 	13 , 	44 , 	3 , 	12 , 	6 , 	14 , 	40 , 	45 , 	15 , 	32 , 	24 , 	43 , 	57 , 	3 , 	9 ," 	3,312 ",,,,,,,,,,
AS, 	30 , 	32 , 	17 , 	13 , 	68 , 	12 , 	23 , 	41 , 	30 , 	12 , 	23 , 	50 , 	12 , 	6 , 	6 , 	7 , 	6 , 	5 , 	6 , 	4 , 	4 , 	2 , 	1 , 	3 , 	8 , 	80 , 	45 , 	100 , 	67 , 	57 , 	35 , 	11 , 	8 , 	9 , 	1 , 	2 , 	6 , 	-   , 	1 , 	2 , 	1 , 	14 , 	9 , 	3 , 	12 , 	1 , 	4 , 	13 , 	1 , 	2 , 	898 ,,,,,,,,,,
MA, 	35 , 	40 , 	23 , 	17 , 	84 , 	21 , 	24 , 	41 , 	42 , 	11 , 	47 , 	100 , 	22 , 	17 , 	16 , 	5 , 	9 , 	13 , 	23 , 	14 , 	26 , 	8 , 	8 , 	20 , 	21 , 	146 , 	89 , 	162 , 	130 , 	109 , 	66 , 	15 , 	16 , 	12 , 	3 , 	3 , 	7 , 	5 , 	17 , 	4 , 	6 , 	45 , 	8 , 	3 , 	15 , 	5 , 	8 , 	15 , 	8 , 	12 ," 	1,590 ",,,,,,,,,,
19, 	26 , 	42 , 	20 , 	29 , 	101 , 	45 , 	44 , 	34 , 	8 , 	8 , 	29 , 	78 , 	28 , 	15 , 	25 , 	13 , 	14 , 	15 , 	21 , 	26 , 	28 , 	17 , 	11 , 	32 , 	20 , 	172 , 	132 , 	241 , 	172 , 	138 , 	81 , 	24 , 	23 , 	28 , 	6 , 	5 , 	10 , 	4 , 	12 , 	7 , 	7 , 	31 , 	14 , 	6 , 	12 , 	8 , 	17 , 	30 , 	4 , 	14 ," 	1,920 ",,,,,,,,,,
12, 	31 , 	48 , 	28 , 	24 , 	104 , 	28 , 	38 , 	13 , 	25 , 	2 , 	24 , 	91 , 	29 , 	22 , 	26 , 	14 , 	9 , 	13 , 	28 , 	21 , 	15 , 	12 , 	8 , 	29 , 	25 , 	173 , 	101 , 	218 , 	130 , 	89 , 	65 , 	27 , 	30 , 	29 , 	7 , 	4 , 	6 , 	4 , 	9 , 	5 , 	9 , 	35 , 	20 , 	2 , 	16 , 	7 , 	10 , 	15 , 	4 , 	8 ," 	1,723 ",,,,,,,,,,
LM, 	12 , 	13 , 	10 , 	13 , 	47 , 	12 , 	12 , 	8 , 	3 , 	16 , 	55 , 	138 , 	59 , 	49 , 	29 , 	9 , 	16 , 	20 , 	4 , 	5 , 	4 , 	2 , 	2 , 	11 , 	13 , 	148 , 	99 , 	186 , 	112 , 	95 , 	59 , 	11 , 	24 , 	16 , 	2 , 	25 , 	42 , 	3 , 	2 , 	0 , 	3 , 	11 , 	2 , 	16 , 	16 , 	15 , 	15 , 	25 , 	1 , 	3 ," 	1,486 ",,,,,,,,,,
FV, 	40 , 	31 , 	20 , 	22 , 	60 , 	23 , 	43 , 	29 , 	24 , 	31 , 	27 , 	93 , 	74 , 	85 , 	56 , 	32 , 	26 , 	24 , 	11 , 	6 , 	11 , 	5 , 	8 , 	17 , 	34 , 	126 , 	86 , 	222 , 	139 , 	75 , 	72 , 	16 , 	21 , 	21 , 	4 , 	18 , 	35 , 	1 , 	5 , 	4 , 	6 , 	13 , 	7 , 	23 , 	10 , 	16 , 	11 , 	26 , 	3 , 	6 ," 	1,794 ",,,,,,,,,,
