Exit stations,Entry stations->,,TOTAL,,,Oct 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	373 ," 	1,666 "," 	1,228 ", 	769 ," 	4,833 "," 	1,147 "," 	1,632 "," 	1,101 "," 	1,470 ", 	327 ," 	1,263 ", 	867 , 	525 , 	357 , 	471 , 	198 , 	177 , 	178 , 	298 , 	126 , 	324 , 	134 , 	115 , 	311 , 	423 ," 	3,877 "," 	2,996 "," 	5,889 "," 	3,038 "," 	2,581 "," 	2,777 ", 	556 , 	760 , 	792 , 	245 , 	74 , 	150 , 	84 , 	168 , 	185 , 	241 , 	623 , 	183 , 	47 , 	209 , 	169 , 	111 , 	210 , 	149 , 	223 ," 	46,650 ",,,,,,,,,,,,,
EN," 	1,811 ", 	503 ," 	1,256 ", 	971 ," 	8,085 "," 	1,291 "," 	2,409 "," 	2,543 "," 	3,116 ", 	835 ," 	1,563 "," 	1,126 ", 	626 , 	473 , 	650 , 	257 , 	322 , 	329 , 	327 , 	181 , 	430 , 	95 , 	149 , 	339 , 	560 ," 	7,680 "," 	6,100 "," 	8,791 "," 	5,795 "," 	2,619 "," 	2,440 ", 	770 ," 	1,013 "," 	1,304 ", 	317 , 	66 , 	200 , 	88 , 	192 , 	246 , 	419 ," 	1,505 ", 	468 , 	103 , 	535 , 	331 , 	235 , 	339 , 	175 , 	128 ," 	72,106 ",,,,,,,,,,,,,
EP," 	1,319 "," 	1,010 ", 	282 , 	754 ," 	6,729 ", 	839 ," 	1,172 "," 	1,321 "," 	1,805 ", 	497 , 	762 , 	402 , 	358 , 	200 , 	271 , 	141 , 	151 , 	192 , 	180 , 	110 , 	163 , 	144 , 	50 , 	372 , 	151 ," 	3,576 "," 	2,862 "," 	3,015 "," 	2,930 "," 	1,068 ", 	919 , 	330 , 	246 , 	446 , 	41 , 	47 , 	104 , 	31 , 	105 , 	100 , 	94 , 	865 , 	216 , 	52 , 	314 , 	78 , 	100 , 	192 , 	46 , 	88 ," 	37,240 ",,,,,,,,,,,,,
NB, 	687 , 	720 , 	685 , 	264 ," 	1,733 ", 	488 , 	704 ," 	1,089 ", 	877 , 	327 , 	759 , 	289 , 	239 , 	162 , 	202 , 	110 , 	74 , 	192 , 	140 , 	177 , 	148 , 	74 , 	79 , 	146 , 	147 ," 	2,932 "," 	2,141 "," 	2,151 "," 	2,617 "," 	1,216 ", 	703 , 	270 , 	290 , 	316 , 	58 , 	54 , 	89 , 	16 , 	93 , 	92 , 	53 , 	675 , 	151 , 	29 , 	333 , 	94 , 	84 , 	133 , 	21 , 	47 ," 	25,170 ",,,,,,,,,,,,,
BK," 	5,070 "," 	8,405 "," 	7,046 "," 	2,218 "," 	1,356 "," 	3,005 "," 	3,382 "," 	4,296 "," 	4,205 "," 	1,608 "," 	2,981 "," 	1,729 "," 	1,799 "," 	1,188 "," 	1,229 ", 	883 ," 	1,364 "," 	1,321 ", 	922 ," 	1,048 "," 	1,043 ", 	499 , 	419 , 	267 , 	986 ," 	7,363 "," 	4,991 "," 	7,683 "," 	5,982 "," 	3,439 "," 	2,841 "," 	1,221 "," 	1,137 "," 	1,302 ", 	320 , 	350 ," 	1,051 ", 	263 , 	619 , 	298 , 	396 ," 	1,765 "," 	1,121 ", 	344 ," 	1,377 ", 	693 ," 	1,126 "," 	1,571 ", 	284 , 	563 ," 	106,369 ",,,,,,,,,,,,,
AS," 	1,217 "," 	1,248 ", 	814 , 	557 ," 	2,615 ", 	309 , 	941 ," 	1,560 "," 	1,370 ", 	518 ," 	1,157 ", 	674 , 	384 , 	391 , 	290 , 	200 , 	193 , 	279 , 	221 , 	149 , 	191 , 	88 , 	31 , 	84 , 	283 ," 	3,424 "," 	2,662 "," 	3,067 "," 	3,177 "," 	1,817 "," 	1,123 ", 	271 , 	369 , 	341 , 	78 , 	53 , 	169 , 	18 , 	64 , 	75 , 	133 , 	659 , 	182 , 	41 , 	363 , 	144 , 	224 , 	260 , 	44 , 	106 ," 	34,628 ",,,,,,,,,,,,,
MA," 	1,813 "," 	2,306 "," 	1,217 ", 	896 ," 	3,419 "," 	1,059 ", 	540 ," 	1,335 "," 	1,655 ", 	613 ," 	2,272 "," 	1,405 "," 	1,276 ", 	753 , 	687 , 	480 , 	513 , 	539 , 	961 , 	996 ," 	1,159 ", 	356 , 	376 , 	683 , 	639 ," 	6,649 "," 	5,261 "," 	6,401 "," 	5,937 "," 	3,751 "," 	2,560 ", 	716 , 	883 , 	609 , 	174 , 	127 , 	352 , 	320 , 	824 , 	159 , 	194 ," 	1,403 ", 	371 , 	128 , 	388 , 	194 , 	222 , 	426 , 	522 ," 	1,166 "," 	67,685 ",,,,,,,,,,,,,
19," 	1,192 "," 	2,396 "," 	1,301 "," 	1,315 "," 	4,194 "," 	1,552 "," 	1,273 ", 	626 , 	299 , 	244 ," 	1,271 "," 	1,303 "," 	1,211 "," 	1,059 ", 	864 , 	663 , 	619 , 	552 ," 	1,218 "," 	1,081 "," 	1,281 ", 	667 , 	512 ," 	1,176 ", 	645 ," 	7,470 "," 	5,983 "," 	7,196 "," 	6,423 "," 	3,847 "," 	2,578 ", 	903 , 	871 , 	793 , 	261 , 	214 , 	483 , 	296 , 	757 , 	299 , 	224 ," 	1,377 ", 	412 , 	201 , 	466 , 	318 , 	377 , 	477 , 	314 , 	849 ," 	71,903 ",,,,,,,,,,,,,
12," 	1,482 "," 	3,012 "," 	1,809 "," 	1,011 "," 	3,714 "," 	1,228 "," 	1,628 ", 	300 , 	601 , 	219 ," 	1,337 "," 	1,705 "," 	1,920 "," 	1,320 "," 	1,380 ", 	744 , 	829 , 	873 ," 	1,387 "," 	1,372 "," 	1,376 ", 	524 , 	509 ," 	1,052 ", 	825 ," 	6,814 "," 	5,086 "," 	7,736 "," 	5,792 "," 	2,844 "," 	2,186 ", 	968 ," 	1,212 "," 	1,419 ", 	450 , 	248 , 	526 , 	271 , 	989 , 	442 , 	436 ," 	1,457 ", 	561 , 	224 , 	435 , 	407 , 	327 , 	421 , 	338 ," 	1,214 "," 	74,960 ",,,,,,,,,,,,,
LM, 	398 , 	780 , 	503 , 	429 ," 	2,472 ", 	508 , 	651 , 	195 , 	207 , 	339 ," 	1,849 "," 	1,952 "," 	2,792 "," 	2,118 "," 	1,325 "," 	1,007 ", 	904 , 	877 , 	278 , 	197 , 	208 , 	77 , 	69 , 	146 , 	377 ," 	5,904 "," 	4,508 "," 	6,092 "," 	4,636 "," 	2,584 "," 	1,672 ", 	697 , 	794 , 	601 , 	115 ," 	1,140 "," 	1,619 ", 	78 , 	151 , 	87 , 	91 , 	402 , 	129 , 	632 , 	417 , 	478 , 	403 , 	507 , 	119 , 	329 ," 	54,843 ",,,,,,,,,,,,,
FV," 	1,376 "," 	1,429 ", 	779 , 	954 ," 	2,911 "," 	1,037 "," 	2,186 "," 	1,330 "," 	1,478 "," 	1,566 ", 	715 ," 	3,285 "," 	3,307 "," 	3,253 "," 	2,757 "," 	1,451 ", 	987 ," 	1,251 ", 	455 , 	235 , 	436 , 	289 , 	363 , 	657 ," 	1,552 "," 	6,577 "," 	5,153 "," 	9,036 "," 	6,774 "," 	3,267 "," 	2,934 ", 	747 , 	969 ," 	1,183 ", 	154 , 	736 ," 	1,673 ", 	117 , 	299 , 	157 , 	340 , 	653 , 	149 , 	834 , 	266 , 	812 , 	460 , 	591 , 	191 , 	444 ," 	80,555 ",,,,,,,,,,,,,
CL, 	972 ," 	1,120 ", 	382 , 	342 ," 	1,565 ", 	667 ," 	1,682 "," 	1,369 "," 	1,977 "," 	1,765 "," 	3,036 ", 	502 ," 	1,947 "," 	2,077 "," 	1,903 "," 	1,072 ", 	705 , 	711 , 	449 , 	410 , 	216 , 	150 , 	137 , 	272 ," 	1,322 "," 	3,752 "," 	2,767 "," 	4,175 "," 	3,063 "," 	1,649 "," 	1,772 ", 	551 , 	733 , 	841 , 	108 , 	477 ," 	1,572 ", 	84 , 	349 , 	192 , 	226 , 	430 , 	161 , 	508 , 	646 , 	716 , 	369 , 	735 , 	244 , 	535 ," 	53,405 ",,,,,,,,,,,,,
SL, 	510 , 	647 , 	357 , 	302 ," 	1,831 ", 	497 ," 	1,304 "," 	1,253 "," 	2,000 "," 	2,903 "," 	3,283 "," 	1,941 ", 	411 ," 	1,864 "," 	1,878 "," 	1,298 ", 	862 , 	918 , 	317 , 	211 , 	263 , 	93 , 	86 , 	267 , 	665 ," 	5,529 "," 	4,880 "," 	6,199 "," 	3,950 "," 	1,507 "," 	1,441 ", 	492 , 	684 , 	773 , 	103 , 	647 ," 	1,341 ", 	46 , 	200 , 	133 , 	149 , 	556 , 	100 , 	709 , 	162 , 	732 , 	325 , 	489 , 	120 , 	353 ," 	57,581 ",,,,,,,,,,,,,
BF, 	385 , 	477 , 	211 , 	239 ," 	1,174 ", 	442 , 	869 ," 	1,159 "," 	1,655 "," 	2,151 "," 	3,544 "," 	2,244 "," 	1,825 ", 	384 ," 	1,362 "," 	1,044 ", 	912 ," 	1,196 ", 	320 , 	101 , 	145 , 	48 , 	70 , 	173 , 	566 ," 	4,891 "," 	3,730 "," 	5,658 "," 	3,256 "," 	1,446 ", 	802 , 	425 , 	470 , 	644 , 	113 , 	546 ," 	1,364 ", 	45 , 	136 , 	147 , 	149 , 	388 , 	84 , 	752 , 	142 , 	841 , 	344 , 	492 , 	81 , 	126 ," 	49,768 ",,,,,,,,,,,,,
HY, 	439 , 	702 , 	267 , 	251 ," 	1,262 ", 	297 , 	778 , 	958 ," 	1,492 "," 	1,250 "," 	2,726 "," 	1,855 "," 	2,065 "," 	1,325 ", 	328 ," 	1,168 "," 	2,126 "," 	1,896 ", 	310 , 	229 , 	238 , 	40 , 	70 , 	154 , 	512 ," 	2,737 "," 	1,990 "," 	2,629 "," 	1,852 ", 	812 , 	656 , 	325 , 	361 , 	478 , 	98 , 	257 , 	774 , 	55 , 	166 , 	69 , 	174 , 	176 , 	108 , 	316 , 	182 ," 	1,134 ", 	733 , 	848 , 	63 , 	311 ," 	40,042 ",,,,,,,,,,,,,
SH, 	277 , 	253 , 	150 , 	97 , 	932 , 	210 , 	473 , 	598 , 	878 , 	918 ," 	1,383 ", 	902 ," 	1,272 "," 	1,013 "," 	1,155 ", 	190 , 	736 , 	933 , 	131 , 	65 , 	102 , 	27 , 	19 , 	64 , 	293 ," 	2,220 "," 	1,814 "," 	2,196 "," 	1,640 ", 	514 , 	503 , 	137 , 	204 , 	412 , 	73 , 	224 , 	281 , 	43 , 	99 , 	71 , 	54 , 	277 , 	48 , 	263 , 	141 , 	786 , 	432 , 	526 , 	10 , 	127 ," 	26,166 ",,,,,,,,,,,,,
UC, 	214 , 	346 , 	179 , 	101 ," 	1,446 ", 	226 , 	526 , 	645 , 	836 , 	911 , 	995 , 	737 , 	999 , 	864 ," 	2,021 ", 	687 , 	216 ," 	1,010 ", 	94 , 	57 , 	111 , 	25 , 	15 , 	117 , 	227 ," 	2,611 "," 	1,656 "," 	1,836 "," 	1,496 ", 	714 , 	347 , 	143 , 	150 , 	318 , 	67 , 	151 , 	439 , 	11 , 	58 , 	52 , 	23 , 	285 , 	27 , 	243 , 	199 ," 	1,018 ", 	784 ," 	1,037 ", 	59 , 	136 ," 	27,465 ",,,,,,,,,,,,,
FM, 	191 , 	329 , 	194 , 	235 ," 	1,368 ", 	278 , 	545 , 	575 , 	875 , 	855 ," 	1,296 ", 	725 , 	976 ," 	1,159 "," 	1,823 ", 	977 ," 	1,068 ", 	525 , 	151 , 	101 , 	60 , 	19 , 	36 , 	145 , 	123 ," 	2,512 "," 	1,787 "," 	1,894 "," 	1,714 ", 	619 , 	372 , 	127 , 	200 , 	346 , 	70 , 	222 , 	333 , 	34 , 	127 , 	29 , 	39 , 	321 , 	19 , 	136 , 	243 , 	906 ," 	1,199 "," 	1,219 ", 	31 , 	92 ," 	29,220 ",,,,,,,,,,,,,
CN, 	284 , 	340 , 	190 , 	143 , 	962 , 	196 , 	969 ," 	1,085 "," 	1,339 ", 	277 , 	461 , 	394 , 	323 , 	322 , 	334 , 	107 , 	105 , 	148 , 	581 , 	943 ," 	2,583 "," 	1,201 ", 	346 , 	956 , 	240 ," 	4,624 "," 	3,721 "," 	4,593 "," 	3,442 "," 	1,387 ", 	957 , 	491 , 	432 , 	649 , 	210 , 	44 , 	86 , 	441 ," 	1,896 ", 	176 , 	229 ," 	1,707 ", 	183 , 	56 , 	430 , 	55 , 	139 , 	106 ," 	1,232 "," 	1,577 "," 	43,692 ",,,,,,,,,,,,,
