Exit stations,Entry stations->,,WEEKDAY,,,Nov 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	12 , 	58 , 	42 , 	31 , 	173 , 	39 , 	63 , 	41 , 	56 , 	12 , 	46 , 	30 , 	17 , 	12 , 	18 , 	7 , 	6 , 	7 , 	8 , 	4 , 	11 , 	5 , 	5 , 	12 , 	17 , 	144 , 	117 , 	204 , 	125 , 	101 , 	97 , 	24 , 	30 , 	29 , 	9 , 	2 , 	7 , 	4 , 	7 , 	8 , 	10 , 	23 , 	9 , 	1 , 	9 , 	7 , 	4 , 	6 , 	5 , 	8 ," 	1,719 ",,,,,,,,,,,,,
EN, 	61 , 	15 , 	46 , 	37 , 	286 , 	44 , 	92 , 	98 , 	120 , 	31 , 	55 , 	39 , 	23 , 	20 , 	23 , 	10 , 	13 , 	12 , 	13 , 	6 , 	18 , 	4 , 	6 , 	13 , 	19 , 	289 , 	247 , 	331 , 	255 , 	101 , 	95 , 	32 , 	35 , 	47 , 	13 , 	2 , 	10 , 	4 , 	6 , 	11 , 	14 , 	52 , 	19 , 	3 , 	21 , 	12 , 	7 , 	12 , 	5 , 	6 ," 	2,732 ",,,,,,,,,,,,,
EP, 	47 , 	41 , 	9 , 	26 , 	228 , 	29 , 	47 , 	55 , 	67 , 	17 , 	27 , 	11 , 	16 , 	8 , 	10 , 	4 , 	8 , 	7 , 	7 , 	5 , 	8 , 	5 , 	2 , 	13 , 	4 , 	125 , 	121 , 	121 , 	121 , 	40 , 	32 , 	13 , 	10 , 	16 , 	2 , 	2 , 	4 , 	1 , 	6 , 	4 , 	3 , 	31 , 	7 , 	2 , 	14 , 	4 , 	3 , 	7 , 	2 , 	4 ," 	1,391 ",,,,,,,,,,,,,
NB, 	32 , 	29 , 	23 , 	6 , 	67 , 	17 , 	29 , 	45 , 	37 , 	13 , 	31 , 	11 , 	9 , 	4 , 	7 , 	3 , 	4 , 	5 , 	6 , 	7 , 	6 , 	3 , 	3 , 	5 , 	7 , 	114 , 	96 , 	79 , 	109 , 	41 , 	28 , 	11 , 	12 , 	12 , 	2 , 	2 , 	4 , 	1 , 	4 , 	3 , 	2 , 	31 , 	5 , 	1 , 	14 , 	4 , 	3 , 	5 , 	1 , 	2 , 	995 ,,,,,,,,,,,,,
BK, 	189 , 	305 , 	249 , 	75 , 	32 , 	107 , 	119 , 	151 , 	151 , 	53 , 	109 , 	56 , 	65 , 	39 , 	42 , 	29 , 	51 , 	43 , 	30 , 	33 , 	36 , 	19 , 	12 , 	9 , 	35 , 	231 , 	169 , 	246 , 	211 , 	109 , 	90 , 	40 , 	37 , 	39 , 	10 , 	13 , 	31 , 	8 , 	21 , 	9 , 	12 , 	89 , 	36 , 	11 , 	69 , 	24 , 	37 , 	52 , 	9 , 	21 ," 	3,663 ",,,,,,,,,,,,,
AS, 	40 , 	44 , 	26 , 	19 , 	92 , 	7 , 	29 , 	56 , 	51 , 	16 , 	36 , 	20 , 	15 , 	14 , 	9 , 	8 , 	9 , 	11 , 	8 , 	6 , 	8 , 	4 , 	1 , 	4 , 	8 , 	121 , 	106 , 	108 , 	122 , 	58 , 	36 , 	9 , 	15 , 	12 , 	3 , 	1 , 	6 , 	2 , 	3 , 	4 , 	5 , 	26 , 	8 , 	2 , 	13 , 	8 , 	7 , 	9 , 	1 , 	3 ," 	1,228 ",,,,,,,,,,,,,
MA, 	66 , 	88 , 	47 , 	32 , 	114 , 	36 , 	15 , 	50 , 	62 , 	19 , 	81 , 	48 , 	49 , 	29 , 	27 , 	19 , 	22 , 	21 , 	35 , 	37 , 	39 , 	12 , 	12 , 	22 , 	21 , 	248 , 	206 , 	222 , 	227 , 	127 , 	86 , 	26 , 	33 , 	22 , 	9 , 	5 , 	15 , 	12 , 	35 , 	7 , 	5 , 	52 , 	13 , 	4 , 	16 , 	7 , 	8 , 	16 , 	22 , 	52 ," 	2,476 ",,,,,,,,,,,,,
19, 	42 , 	97 , 	52 , 	53 , 	147 , 	54 , 	48 , 	18 , 	11 , 	8 , 	55 , 	51 , 	44 , 	43 , 	36 , 	26 , 	28 , 	20 , 	47 , 	46 , 	47 , 	26 , 	19 , 	40 , 	21 , 	284 , 	238 , 	246 , 	237 , 	136 , 	93 , 	32 , 	34 , 	31 , 	9 , 	9 , 	16 , 	11 , 	26 , 	11 , 	10 , 	48 , 	16 , 	8 , 	16 , 	13 , 	12 , 	17 , 	12 , 	36 ," 	2,678 ",,,,,,,,,,,,,
12, 	58 , 	111 , 	66 , 	41 , 	133 , 	46 , 	62 , 	12 , 	17 , 	7 , 	55 , 	60 , 	73 , 	53 , 	53 , 	30 , 	39 , 	33 , 	56 , 	55 , 	52 , 	24 , 	21 , 	37 , 	29 , 	249 , 	195 , 	275 , 	217 , 	90 , 	80 , 	36 , 	42 , 	54 , 	16 , 	9 , 	22 , 	13 , 	41 , 	15 , 	16 , 	52 , 	23 , 	10 , 	13 , 	15 , 	14 , 	18 , 	15 , 	50 ," 	2,806 ",,,,,,,,,,,,,
LM, 	14 , 	27 , 	16 , 	13 , 	82 , 	16 , 	20 , 	8 , 	7 , 	9 , 	61 , 	62 , 	106 , 	86 , 	49 , 	40 , 	39 , 	31 , 	13 , 	7 , 	8 , 	2 , 	2 , 	5 , 	14 , 	206 , 	177 , 	213 , 	179 , 	83 , 	54 , 	23 , 	29 , 	20 , 	3 , 	46 , 	60 , 	3 , 	6 , 	3 , 	3 , 	13 , 	3 , 	23 , 	15 , 	18 , 	14 , 	15 , 	5 , 	12 ," 	1,963 ",,,,,,,,,,,,,
FV, 	43 , 	52 , 	27 , 	33 , 	106 , 	35 , 	77 , 	57 , 	59 , 	56 , 	18 , 	113 , 	119 , 	110 , 	96 , 	58 , 	39 , 	47 , 	16 , 	6 , 	17 , 	10 , 	11 , 	21 , 	54 , 	243 , 	204 , 	336 , 	278 , 	111 , 	109 , 	26 , 	37 , 	43 , 	6 , 	26 , 	60 , 	5 , 	10 , 	6 , 	14 , 	25 , 	6 , 	30 , 	9 , 	30 , 	17 , 	22 , 	8 , 	20 ," 	2,959 ",,,,,,,,,,,,,
