Exit stations,Entry stations->,,TOTAL,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	304 ," 	1,304 "," 	1,079 ", 	684 ," 	3,631 ", 	931 ," 	1,397 "," 	1,022 "," 	1,127 ", 	335 ," 	1,063 ", 	713 , 	411 , 	206 , 	353 , 	186 , 	156 , 	146 , 	252 , 	98 , 	253 , 	122 , 	83 , 	239 , 	374 ," 	3,115 "," 	2,279 "," 	4,561 "," 	2,482 "," 	2,282 "," 	2,242 ", 	509 , 	663 , 	465 , 	233 , 	75 , 	136 , 	38 , 	133 , 	121 , 	251 , 	484 , 	195 , 	44 , 	128 , 	185 , 	96 , 	143 , 	126 , 	167 ," 	37,622 ",,,,,,,,,,,,,
EN," 	1,475 ", 	396 ," 	1,012 ", 	785 ," 	5,636 "," 	1,069 "," 	1,997 "," 	1,981 "," 	2,716 ", 	631 ," 	1,282 ", 	959 , 	535 , 	433 , 	520 , 	250 , 	348 , 	311 , 	297 , 	155 , 	342 , 	95 , 	122 , 	291 , 	492 ," 	6,124 "," 	4,622 "," 	7,465 "," 	5,080 "," 	2,404 "," 	2,089 ", 	640 , 	762 , 	640 , 	275 , 	73 , 	186 , 	89 , 	153 , 	182 , 	334 ," 	1,212 ", 	465 , 	57 , 	371 , 	256 , 	168 , 	235 , 	79 , 	126 ," 	58,217 ",,,,,,,,,,,,,
EP," 	1,163 ", 	864 , 	207 , 	616 ," 	4,400 ", 	674 ," 	1,060 "," 	1,106 "," 	1,378 ", 	411 , 	610 , 	299 , 	344 , 	185 , 	191 , 	131 , 	113 , 	150 , 	162 , 	66 , 	153 , 	98 , 	58 , 	292 , 	106 ," 	2,447 "," 	2,262 "," 	2,473 "," 	2,061 ", 	761 , 	732 , 	241 , 	187 , 	166 , 	35 , 	39 , 	79 , 	23 , 	99 , 	95 , 	63 , 	587 , 	122 , 	64 , 	186 , 	117 , 	84 , 	144 , 	47 , 	62 ," 	28,013 ",,,,,,,,,,,,,
NB, 	740 , 	676 , 	686 , 	183 ," 	1,539 ", 	432 , 	720 , 	946 , 	835 , 	295 , 	832 , 	308 , 	286 , 	186 , 	138 , 	59 , 	109 , 	154 , 	125 , 	149 , 	148 , 	49 , 	77 , 	118 , 	140 ," 	2,042 "," 	1,814 "," 	2,090 "," 	2,037 ", 	923 , 	614 , 	193 , 	288 , 	177 , 	72 , 	77 , 	93 , 	30 , 	92 , 	59 , 	52 , 	834 , 	99 , 	30 , 	252 , 	93 , 	66 , 	114 , 	20 , 	62 ," 	22,153 ",,,,,,,,,,,,,
BK," 	3,931 "," 	5,906 "," 	4,731 "," 	1,661 ", 	809 ," 	2,214 "," 	2,460 "," 	2,833 "," 	2,885 "," 	1,143 "," 	2,345 "," 	1,178 "," 	1,255 ", 	770 , 	769 , 	450 , 	662 , 	581 , 	545 , 	538 , 	648 , 	313 , 	248 , 	238 , 	745 ," 	4,381 "," 	3,082 "," 	5,049 "," 	3,700 "," 	2,090 "," 	1,754 ", 	786 , 	590 , 	500 , 	117 , 	219 , 	473 , 	181 , 	391 , 	146 , 	209 ," 	2,557 ", 	659 , 	151 ," 	1,327 ", 	352 , 	488 , 	813 , 	130 , 	344 ," 	70,347 ",,,,,,,,,,,,,
AS, 	982 ," 	1,037 ", 	586 , 	416 ," 	1,998 ", 	240 , 	737 ," 	1,132 "," 	1,066 ", 	416 ," 	1,068 ", 	554 , 	397 , 	304 , 	262 , 	165 , 	191 , 	177 , 	166 , 	147 , 	175 , 	74 , 	21 , 	77 , 	297 ," 	2,159 "," 	1,713 "," 	2,431 "," 	2,254 "," 	1,113 ", 	722 , 	262 , 	328 , 	166 , 	66 , 	45 , 	152 , 	36 , 	64 , 	62 , 	108 , 	616 , 	130 , 	46 , 	202 , 	156 , 	143 , 	224 , 	17 , 	64 ," 	25,964 ",,,,,,,,,,,,,
MA," 	1,602 "," 	1,905 "," 	1,062 ", 	662 ," 	2,371 ", 	785 , 	445 ," 	1,011 "," 	1,366 ", 	482 ," 	1,901 "," 	1,180 "," 	1,007 ", 	645 , 	581 , 	341 , 	416 , 	506 , 	783 , 	834 , 	845 , 	291 , 	250 , 	630 , 	601 ," 	4,577 "," 	3,703 "," 	4,900 "," 	4,137 "," 	2,664 "," 	1,888 ", 	529 , 	648 , 	298 , 	231 , 	125 , 	319 , 	229 , 	793 , 	182 , 	122 ," 	1,005 ", 	254 , 	138 , 	262 , 	140 , 	171 , 	300 , 	419 , 	977 ," 	51,513 ",,,,,,,,,,,,,
19, 	995 ," 	1,846 "," 	1,021 ", 	926 ," 	2,596 "," 	1,125 "," 	1,041 ", 	421 , 	285 , 	195 ," 	1,056 ", 	962 , 	917 , 	898 , 	861 , 	483 , 	409 , 	440 , 	906 , 	864 ," 	1,080 ", 	441 , 	334 , 	897 , 	577 ," 	5,214 "," 	3,921 "," 	5,472 "," 	4,291 "," 	2,771 "," 	1,704 ", 	577 , 	647 , 	591 , 	217 , 	176 , 	288 , 	190 , 	534 , 	195 , 	173 ," 	1,049 ", 	260 , 	111 , 	285 , 	349 , 	240 , 	305 , 	223 , 	616 ," 	51,975 ",,,,,,,,,,,,,
12," 	1,298 "," 	2,509 "," 	1,442 ", 	839 ," 	2,493 ", 	955 ," 	1,464 ", 	257 , 	479 , 	216 ," 	1,033 "," 	1,305 "," 	1,573 "," 	1,368 "," 	1,155 ", 	576 , 	752 , 	660 ," 	1,070 "," 	1,141 "," 	1,059 ", 	414 , 	430 , 	864 , 	807 ," 	5,101 "," 	3,729 "," 	6,290 "," 	4,345 "," 	2,212 "," 	1,616 ", 	705 , 	950 , 	883 , 	364 , 	119 , 	436 , 	248 , 	907 , 	334 , 	360 ," 	1,112 ", 	454 , 	104 , 	232 , 	389 , 	290 , 	335 , 	274 , 	977 ," 	58,925 ",,,,,,,,,,,,,
LM, 	356 , 	602 , 	384 , 	250 ," 	1,531 ", 	419 , 	480 , 	229 , 	229 , 	248 ," 	1,744 "," 	1,666 "," 	2,583 "," 	2,057 "," 	1,080 ", 	849 , 	856 , 	733 , 	214 , 	109 , 	185 , 	47 , 	31 , 	122 , 	352 ," 	4,345 "," 	3,451 "," 	4,796 "," 	3,661 "," 	1,963 "," 	1,331 ", 	553 , 	700 , 	361 , 	85 , 	981 ," 	1,357 ", 	40 , 	116 , 	91 , 	74 , 	250 , 	86 , 	514 , 	315 , 	414 , 	286 , 	365 , 	100 , 	234 ," 	43,825 ",,,,,,,,,,,,,
FV," 	1,025 "," 	1,274 ", 	656 , 	791 ," 	2,365 "," 	1,039 "," 	1,800 "," 	1,157 "," 	1,214 "," 	1,655 ", 	539 ," 	2,678 "," 	2,875 "," 	2,962 "," 	2,270 "," 	1,382 "," 	1,060 "," 	1,076 ", 	332 , 	165 , 	391 , 	213 , 	313 , 	423 ," 	1,231 "," 	5,146 "," 	3,871 "," 	7,785 "," 	5,900 "," 	2,729 "," 	2,574 ", 	629 , 	823 , 	648 , 	165 , 	732 ," 	1,684 ", 	64 , 	196 , 	117 , 	265 , 	488 , 	146 , 	798 , 	152 , 	712 , 	338 , 	532 , 	141 , 	391 ," 	67,912 ",,,,,,,,,,,,,
