Exit stations,Entry stations->,,SATURDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	33 , 	28 , 	16 , 	115 , 	20 , 	31 , 	23 , 	34 , 	9 , 	32 , 	19 , 	6 , 	8 , 	10 , 	4 , 	3 , 	4 , 	6 , 	4 , 	5 , 	5 , 	3 , 	9 , 	10 , 	68 , 	39 , 	147 , 	46 , 	58 , 	53 , 	10 , 	18 , 	13 , 	3 , 	2 , 	4 , 	2 , 	6 , 	4 , 	5 , 	15 , 	6 , 	1 , 	4 , 	7 , 	6 , 	5 , 	5 , 	3 , 	970 ,,,,,,,,,,
EN, 	37 , 	23 , 	26 , 	18 , 	146 , 	37 , 	38 , 	44 , 	54 , 	12 , 	38 , 	30 , 	15 , 	12 , 	15 , 	6 , 	9 , 	9 , 	8 , 	4 , 	11 , 	5 , 	2 , 	6 , 	12 , 	118 , 	108 , 	226 , 	83 , 	52 , 	61 , 	14 , 	23 , 	18 , 	10 , 	2 , 	4 , 	1 , 	6 , 	4 , 	11 , 	34 , 	8 , 	1 , 	15 , 	7 , 	7 , 	13 , 	4 , 	5 ," 	1,444 ",,,,,,,,,,
EP, 	25 , 	24 , 	6 , 	20 , 	144 , 	22 , 	26 , 	41 , 	33 , 	13 , 	12 , 	18 , 	6 , 	5 , 	3 , 	3 , 	3 , 	3 , 	6 , 	2 , 	7 , 	4 , 	2 , 	8 , 	3 , 	92 , 	60 , 	95 , 	51 , 	31 , 	23 , 	7 , 	5 , 	5 , 	2 , 	3 , 	2 , 	-   , 	2 , 	1 , 	4 , 	18 , 	3 , 	3 , 	9 , 	2 , 	4 , 	5 , 	3 , 	2 , 	861 ,,,,,,,,,,
NB, 	22 , 	18 , 	19 , 	13 , 	33 , 	15 , 	21 , 	40 , 	21 , 	9 , 	22 , 	16 , 	7 , 	3 , 	3 , 	1 , 	4 , 	10 , 	4 , 	5 , 	6 , 	2 , 	1 , 	4 , 	5 , 	107 , 	74 , 	109 , 	68 , 	46 , 	25 , 	12 , 	5 , 	6 , 	3 , 	2 , 	2 , 	1 , 	2 , 	1 , 	3 , 	17 , 	5 , 	1 , 	5 , 	3 , 	3 , 	9 , 	1 , 	1 , 	806 ,,,,,,,,,,
BK, 	116 , 	154 , 	149 , 	41 , 	55 , 	62 , 	79 , 	111 , 	118 , 	49 , 	62 , 	54 , 	36 , 	27 , 	30 , 	15 , 	24 , 	19 , 	15 , 	15 , 	28 , 	17 , 	9 , 	10 , 	29 , 	270 , 	194 , 	355 , 	193 , 	133 , 	72 , 	42 , 	26 , 	36 , 	7 , 	8 , 	26 , 	5 , 	9 , 	6 , 	9 , 	44 , 	34 , 	7 , 	20 , 	15 , 	29 , 	53 , 	5 , 	8 ," 	2,923 ",,,,,,,,,,
AS, 	21 , 	36 , 	23 , 	13 , 	48 , 	11 , 	22 , 	39 , 	37 , 	15 , 	23 , 	24 , 	9 , 	9 , 	11 , 	6 , 	7 , 	5 , 	6 , 	5 , 	6 , 	2 , 	2 , 	5 , 	15 , 	80 , 	64 , 	104 , 	78 , 	65 , 	37 , 	8 , 	11 , 	8 , 	1 , 	3 , 	6 , 	1 , 	1 , 	-   , 	3 , 	13 , 	4 , 	2 , 	5 , 	3 , 	6 , 	8 , 	-   , 	1 , 	903 ,,,,,,,,,,
MA, 	37 , 	41 , 	24 , 	19 , 	72 , 	24 , 	15 , 	44 , 	44 , 	14 , 	39 , 	49 , 	23 , 	15 , 	14 , 	6 , 	6 , 	9 , 	20 , 	18 , 	24 , 	9 , 	11 , 	19 , 	20 , 	145 , 	103 , 	189 , 	133 , 	113 , 	64 , 	22 , 	13 , 	8 , 	5 , 	5 , 	4 , 	7 , 	16 , 	2 , 	3 , 	32 , 	6 , 	2 , 	7 , 	3 , 	6 , 	10 , 	7 , 	10 ," 	1,523 ",,,,,,,,,,
19, 	23 , 	42 , 	38 , 	41 , 	112 , 	38 , 	41 , 	21 , 	8 , 	4 , 	28 , 	55 , 	27 , 	17 , 	24 , 	11 , 	13 , 	10 , 	19 , 	20 , 	27 , 	16 , 	15 , 	41 , 	22 , 	195 , 	122 , 	236 , 	129 , 	145 , 	93 , 	23 , 	19 , 	23 , 	5 , 	4 , 	8 , 	4 , 	10 , 	4 , 	6 , 	32 , 	14 , 	2 , 	6 , 	10 , 	8 , 	11 , 	4 , 	7 ," 	1,832 ",,,,,,,,,,
12, 	35 , 	49 , 	36 , 	20 , 	101 , 	32 , 	50 , 	9 , 	25 , 	5 , 	25 , 	42 , 	23 , 	28 , 	23 , 	11 , 	10 , 	14 , 	14 , 	15 , 	21 , 	14 , 	12 , 	27 , 	24 , 	171 , 	123 , 	258 , 	147 , 	113 , 	66 , 	16 , 	30 , 	23 , 	9 , 	2 , 	5 , 	4 , 	12 , 	6 , 	12 , 	33 , 	14 , 	4 , 	8 , 	9 , 	8 , 	14 , 	2 , 	11 ," 	1,756 ",,,,,,,,,,
LM, 	8 , 	11 , 	15 , 	14 , 	44 , 	13 , 	13 , 	7 , 	5 , 	15 , 	46 , 	72 , 	57 , 	54 , 	25 , 	12 , 	16 , 	14 , 	5 , 	4 , 	6 , 	1 , 	1 , 	8 , 	11 , 	129 , 	114 , 	174 , 	105 , 	85 , 	66 , 	22 , 	21 , 	14 , 	3 , 	28 , 	31 , 	1 , 	2 , 	2 , 	7 , 	7 , 	1 , 	19 , 	12 , 	13 , 	10 , 	19 , 	1 , 	3 ," 	1,359 ",,,,,,,,,,
FV, 	32 , 	34 , 	19 , 	21 , 	61 , 	23 , 	39 , 	31 , 	29 , 	36 , 	16 , 	70 , 	66 , 	90 , 	54 , 	28 , 	27 , 	28 , 	9 , 	6 , 	7 , 	7 , 	6 , 	18 , 	37 , 	131 , 	93 , 	237 , 	131 , 	81 , 	77 , 	17 , 	20 , 	19 , 	5 , 	19 , 	39 , 	0 , 	7 , 	4 , 	6 , 	10 , 	5 , 	27 , 	3 , 	23 , 	10 , 	19 , 	3 , 	9 ," 	1,784 ",,,,,,,,,,
