Exit stations,Entry stations->,,SUNDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	24 , 	19 , 	8 , 	67 , 	13 , 	20 , 	23 , 	20 , 	19 , 	28 , 	18 , 	11 , 	4 , 	7 , 	3 , 	3 , 	2 , 	5 , 	3 , 	4 , 	2 , 	2 , 	4 , 	4 , 	48 , 	23 , 	95 , 	33 , 	30 , 	33 , 	8 , 	9 , 	7 , 	3 , 	2 , 	2 , 	1 , 	1 , 	4 , 	6 , 	16 , 	3 , 	1 , 	5 , 	6 , 	5 , 	6 , 	2 , 	3 , 	672 ,,,,,,,,,,,
EN, 	29 , 	12 , 	16 , 	16 , 	83 , 	27 , 	26 , 	47 , 	28 , 	18 , 	26 , 	11 , 	12 , 	10 , 	11 , 	4 , 	6 , 	5 , 	6 , 	3 , 	6 , 	1 , 	2 , 	6 , 	10 , 	83 , 	41 , 	141 , 	50 , 	37 , 	28 , 	7 , 	13 , 	12 , 	7 , 	2 , 	3 , 	1 , 	6 , 	4 , 	2 , 	30 , 	11 , 	1 , 	12 , 	5 , 	5 , 	12 , 	2 , 	3 , 	937 ,,,,,,,,,,,
EP, 	23 , 	13 , 	4 , 	16 , 	100 , 	16 , 	15 , 	28 , 	18 , 	14 , 	14 , 	6 , 	4 , 	5 , 	3 , 	4 , 	2 , 	2 , 	4 , 	3 , 	5 , 	3 , 	1 , 	6 , 	3 , 	48 , 	30 , 	71 , 	36 , 	15 , 	17 , 	3 , 	3 , 	3 , 	-   , 	-   , 	1 , 	-   , 	4 , 	2 , 	3 , 	16 , 	4 , 	2 , 	8 , 	2 , 	3 , 	5 , 	1 , 	1 , 	584 ,,,,,,,,,,,
NB, 	11 , 	11 , 	16 , 	9 , 	24 , 	9 , 	16 , 	27 , 	15 , 	12 , 	14 , 	2 , 	7 , 	5 , 	2 , 	2 , 	2 , 	7 , 	2 , 	3 , 	3 , 	1 , 	1 , 	1 , 	4 , 	57 , 	32 , 	77 , 	57 , 	36 , 	22 , 	4 , 	3 , 	3 , 	1 , 	0 , 	3 , 	1 , 	1 , 	1 , 	1 , 	15 , 	3 , 	1 , 	12 , 	3 , 	5 , 	6 , 	1 , 	1 , 	545 ,,,,,,,,,,,
BK, 	67 , 	90 , 	98 , 	34 , 	33 , 	45 , 	56 , 	76 , 	67 , 	35 , 	38 , 	17 , 	20 , 	15 , 	17 , 	8 , 	15 , 	23 , 	5 , 	9 , 	13 , 	11 , 	4 , 	6 , 	22 , 	180 , 	89 , 	206 , 	126 , 	91 , 	51 , 	26 , 	12 , 	15 , 	5 , 	2 , 	15 , 	3 , 	3 , 	2 , 	7 , 	40 , 	29 , 	4 , 	30 , 	18 , 	33 , 	63 , 	1 , 	3 ," 	1,871 ",,,,,,,,,,,
AS, 	18 , 	25 , 	20 , 	8 , 	38 , 	8 , 	15 , 	47 , 	25 , 	19 , 	18 , 	10 , 	6 , 	11 , 	5 , 	4 , 	6 , 	4 , 	4 , 	2 , 	4 , 	1 , 	2 , 	2 , 	8 , 	52 , 	27 , 	64 , 	59 , 	33 , 	27 , 	6 , 	5 , 	4 , 	1 , 	2 , 	3 , 	2 , 	0 , 	1 , 	2 , 	18 , 	4 , 	1 , 	8 , 	2 , 	3 , 	10 , 	1 , 	2 , 	639 ,,,,,,,,,,,
MA, 	30 , 	25 , 	18 , 	19 , 	61 , 	17 , 	14 , 	56 , 	25 , 	17 , 	33 , 	13 , 	19 , 	13 , 	12 , 	6 , 	3 , 	7 , 	12 , 	11 , 	17 , 	7 , 	7 , 	15 , 	12 , 	82 , 	53 , 	119 , 	90 , 	75 , 	50 , 	18 , 	9 , 	10 , 	3 , 	1 , 	5 , 	3 , 	10 , 	3 , 	4 , 	40 , 	4 , 	1 , 	11 , 	2 , 	5 , 	8 , 	4 , 	10 ," 	1,085 ",,,,,,,,,,,
19, 	21 , 	44 , 	22 , 	25 , 	76 , 	40 , 	41 , 	18 , 	7 , 	13 , 	33 , 	24 , 	27 , 	28 , 	23 , 	8 , 	8 , 	12 , 	17 , 	13 , 	20 , 	8 , 	8 , 	35 , 	24 , 	111 , 	67 , 	145 , 	106 , 	93 , 	56 , 	22 , 	17 , 	20 , 	6 , 	2 , 	7 , 	3 , 	11 , 	2 , 	5 , 	29 , 	9 , 	3 , 	11 , 	9 , 	7 , 	15 , 	3 , 	9 ," 	1,360 ",,,,,,,,,,,
12, 	21 , 	29 , 	23 , 	17 , 	68 , 	31 , 	30 , 	9 , 	21 , 	5 , 	26 , 	21 , 	27 , 	23 , 	19 , 	5 , 	9 , 	11 , 	9 , 	11 , 	18 , 	8 , 	10 , 	20 , 	23 , 	95 , 	76 , 	190 , 	93 , 	70 , 	43 , 	15 , 	16 , 	15 , 	9 , 	2 , 	6 , 	2 , 	7 , 	3 , 	8 , 	35 , 	11 , 	0 , 	8 , 	8 , 	10 , 	10 , 	-   , 	12 ," 	1,231 ",,,,,,,,,,,
LM, 	16 , 	20 , 	10 , 	14 , 	34 , 	18 , 	17 , 	14 , 	4 , 	11 , 	58 , 	33 , 	40 , 	38 , 	22 , 	12 , 	12 , 	12 , 	7 , 	6 , 	3 , 	2 , 	2 , 	5 , 	20 , 	79 , 	62 , 	123 , 	91 , 	65 , 	52 , 	13 , 	15 , 	15 , 	2 , 	16 , 	36 , 	-   , 	3 , 	2 , 	2 , 	6 , 	1 , 	14 , 	14 , 	10 , 	8 , 	16 , 	1 , 	3 ," 	1,074 ",,,,,,,,,,,
FV, 	26 , 	27 , 	10 , 	12 , 	41 , 	19 , 	33 , 	35 , 	24 , 	54 , 	17 , 	37 , 	44 , 	66 , 	41 , 	20 , 	13 , 	18 , 	10 , 	5 , 	8 , 	5 , 	3 , 	9 , 	24 , 	78 , 	59 , 	169 , 	105 , 	52 , 	47 , 	14 , 	12 , 	15 , 	3 , 	13 , 	23 , 	2 , 	7 , 	2 , 	4 , 	12 , 	1 , 	17 , 	6 , 	11 , 	11 , 	24 , 	2 , 	7 ," 	1,290 ",,,,,,,,,,,
