Exit stations,Entry stations->,,WEEKDAY,,,Feb 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	12 , 	57 , 	48 , 	30 , 	193 , 	38 , 	62 , 	47 , 	52 , 	15 , 	48 , 	32 , 	18 , 	11 , 	18 , 	9 , 	8 , 	6 , 	11 , 	5 , 	11 , 	5 , 	4 , 	11 , 	17 , 	138 , 	112 , 	191 , 	115 , 	104 , 	95 , 	21 , 	31 , 	32 , 	10 , 	2 , 	7 , 	2 , 	5 , 	5 , 	11 , 	19 , 	9 , 	3 , 	5 , 	10 , 	4 , 	6 , 	6 , 	8 ," 	1,718 ",,,,,,,,,,,,,
EN, 	63 , 	14 , 	42 , 	36 , 	326 , 	45 , 	90 , 	97 , 	130 , 	29 , 	61 , 	43 , 	20 , 	20 , 	30 , 	10 , 	15 , 	16 , 	13 , 	6 , 	14 , 	5 , 	6 , 	12 , 	20 , 	298 , 	233 , 	333 , 	242 , 	105 , 	97 , 	30 , 	40 , 	51 , 	11 , 	4 , 	11 , 	4 , 	8 , 	11 , 	15 , 	42 , 	20 , 	2 , 	17 , 	12 , 	6 , 	11 , 	4 , 	6 ," 	2,775 ",,,,,,,,,,,,,
EP, 	46 , 	39 , 	6 , 	25 , 	263 , 	30 , 	47 , 	56 , 	69 , 	23 , 	27 , 	13 , 	18 , 	6 , 	10 , 	5 , 	6 , 	7 , 	8 , 	4 , 	7 , 	5 , 	3 , 	15 , 	6 , 	123 , 	112 , 	108 , 	106 , 	40 , 	32 , 	14 , 	10 , 	22 , 	2 , 	2 , 	3 , 	1 , 	4 , 	4 , 	3 , 	19 , 	6 , 	3 , 	7 , 	5 , 	4 , 	8 , 	2 , 	3 ," 	1,381 ",,,,,,,,,,,,,
NB, 	35 , 	31 , 	27 , 	5 , 	75 , 	22 , 	31 , 	48 , 	39 , 	16 , 	38 , 	14 , 	16 , 	6 , 	7 , 	3 , 	4 , 	6 , 	6 , 	7 , 	7 , 	1 , 	4 , 	5 , 	7 , 	103 , 	98 , 	91 , 	114 , 	45 , 	31 , 	11 , 	13 , 	13 , 	3 , 	3 , 	5 , 	1 , 	4 , 	3 , 	3 , 	26 , 	5 , 	1 , 	9 , 	4 , 	2 , 	4 , 	1 , 	3 ," 	1,055 ",,,,,,,,,,,,,
BK, 	211 , 	342 , 	268 , 	77 , 	22 , 	123 , 	139 , 	164 , 	172 , 	73 , 	119 , 	74 , 	71 , 	45 , 	46 , 	34 , 	51 , 	50 , 	34 , 	33 , 	33 , 	19 , 	14 , 	13 , 	44 , 	213 , 	150 , 	214 , 	192 , 	112 , 	93 , 	46 , 	41 , 	41 , 	12 , 	14 , 	32 , 	8 , 	22 , 	12 , 	11 , 	49 , 	38 , 	8 , 	30 , 	26 , 	31 , 	46 , 	10 , 	25 ," 	3,743 ",,,,,,,,,,,,,
AS, 	42 , 	44 , 	25 , 	18 , 	107 , 	7 , 	30 , 	58 , 	49 , 	22 , 	45 , 	24 , 	18 , 	13 , 	11 , 	8 , 	8 , 	10 , 	7 , 	6 , 	7 , 	3 , 	1 , 	3 , 	12 , 	121 , 	94 , 	104 , 	111 , 	51 , 	31 , 	11 , 	14 , 	12 , 	3 , 	1 , 	5 , 	2 , 	3 , 	2 , 	6 , 	17 , 	8 , 	2 , 	8 , 	7 , 	6 , 	7 , 	1 , 	4 ," 	1,209 ",,,,,,,,,,,,,
MA, 	71 , 	91 , 	46 , 	31 , 	136 , 	32 , 	14 , 	49 , 	68 , 	29 , 	86 , 	57 , 	49 , 	29 , 	30 , 	17 , 	19 , 	25 , 	39 , 	37 , 	36 , 	15 , 	9 , 	23 , 	25 , 	226 , 	195 , 	215 , 	209 , 	124 , 	86 , 	24 , 	32 , 	20 , 	9 , 	5 , 	17 , 	10 , 	41 , 	10 , 	4 , 	37 , 	13 , 	6 , 	11 , 	8 , 	9 , 	12 , 	19 , 	49 ," 	2,452 ",,,,,,,,,,,,,
19, 	49 , 	95 , 	54 , 	53 , 	155 , 	56 , 	50 , 	12 , 	13 , 	10 , 	52 , 	47 , 	47 , 	41 , 	38 , 	26 , 	23 , 	22 , 	45 , 	46 , 	51 , 	22 , 	16 , 	39 , 	24 , 	262 , 	212 , 	231 , 	221 , 	138 , 	84 , 	30 , 	36 , 	32 , 	10 , 	10 , 	14 , 	9 , 	30 , 	8 , 	10 , 	31 , 	15 , 	6 , 	12 , 	17 , 	13 , 	15 , 	13 , 	30 ," 	2,575 ",,,,,,,,,,,,,
12, 	57 , 	127 , 	67 , 	39 , 	155 , 	49 , 	65 , 	12 , 	13 , 	9 , 	49 , 	55 , 	83 , 	62 , 	53 , 	28 , 	43 , 	31 , 	52 , 	56 , 	52 , 	22 , 	20 , 	40 , 	30 , 	253 , 	191 , 	274 , 	202 , 	100 , 	77 , 	31 , 	41 , 	55 , 	16 , 	7 , 	21 , 	14 , 	45 , 	18 , 	16 , 	39 , 	24 , 	6 , 	12 , 	19 , 	12 , 	17 , 	13 , 	49 ," 	2,819 ",,,,,,,,,,,,,
LM, 	17 , 	27 , 	21 , 	15 , 	93 , 	22 , 	29 , 	10 , 	11 , 	8 , 	66 , 	72 , 	107 , 	86 , 	55 , 	41 , 	39 , 	33 , 	10 , 	6 , 	8 , 	3 , 	1 , 	5 , 	14 , 	219 , 	176 , 	206 , 	179 , 	87 , 	58 , 	27 , 	33 , 	27 , 	3 , 	47 , 	61 , 	3 , 	7 , 	5 , 	3 , 	11 , 	4 , 	23 , 	10 , 	21 , 	13 , 	15 , 	4 , 	12 ," 	2,053 ",,,,,,,,,,,,,
FV, 	46 , 	52 , 	29 , 	36 , 	124 , 	43 , 	84 , 	54 , 	56 , 	66 , 	16 , 	125 , 	122 , 	118 , 	109 , 	56 , 	50 , 	51 , 	14 , 	8 , 	15 , 	11 , 	14 , 	23 , 	59 , 	250 , 	185 , 	312 , 	264 , 	115 , 	108 , 	21 , 	39 , 	52 , 	7 , 	27 , 	71 , 	4 , 	11 , 	5 , 	13 , 	19 , 	6 , 	32 , 	6 , 	33 , 	15 , 	21 , 	7 , 	19 ," 	3,021 ",,,,,,,,,,,,,
