Exit stations,Entry stations->,,TOTAL,,,Mar 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	383 ," 	1,625 "," 	1,366 ", 	754 ," 	5,258 "," 	1,300 "," 	1,903 "," 	1,379 "," 	1,585 ", 	513 ," 	1,320 ", 	929 , 	536 , 	297 , 	523 , 	286 , 	221 , 	198 , 	294 , 	174 , 	316 , 	148 , 	105 , 	289 , 	452 ," 	3,998 "," 	3,152 "," 	5,681 "," 	3,487 "," 	2,742 "," 	2,699 ", 	672 , 	810 , 	883 , 	284 , 	90 , 	181 , 	62 , 	149 , 	172 , 	327 , 	661 , 	209 , 	73 , 	165 , 	305 , 	146 , 	215 , 	150 , 	199 ," 	49,666 ",,,,,,,,,,,,,
EN," 	1,805 ", 	564 ," 	1,351 "," 	1,058 "," 	8,807 "," 	1,380 "," 	2,539 "," 	2,812 "," 	3,733 ", 	957 ," 	1,628 "," 	1,026 ", 	699 , 	578 , 	696 , 	275 , 	429 , 	481 , 	313 , 	170 , 	393 , 	176 , 	193 , 	424 , 	488 ," 	8,705 "," 	6,745 "," 	9,660 "," 	6,808 "," 	3,000 "," 	2,511 ", 	853 ," 	1,026 "," 	1,463 ", 	368 , 	105 , 	263 , 	110 , 	228 , 	278 , 	446 ," 	1,329 ", 	492 , 	58 , 	442 , 	420 , 	256 , 	385 , 	103 , 	197 ," 	79,226 ",,,,,,,,,,,,,
EP," 	1,416 "," 	1,146 ", 	340 , 	782 ," 	6,881 ", 	962 ," 	1,432 "," 	1,611 "," 	2,056 ", 	625 , 	826 , 	328 , 	474 , 	190 , 	259 , 	157 , 	162 , 	168 , 	224 , 	105 , 	264 , 	139 , 	79 , 	432 , 	166 ," 	4,494 "," 	3,474 "," 	3,527 "," 	3,192 "," 	1,189 ", 	936 , 	342 , 	229 , 	578 , 	46 , 	81 , 	92 , 	26 , 	126 , 	102 , 	58 , 	805 , 	188 , 	99 , 	327 , 	192 , 	158 , 	227 , 	52 , 	82 ," 	41,846 ",,,,,,,,,,,,,
NB, 	883 , 	893 , 	769 , 	328 ," 	1,818 ", 	580 , 	930 ," 	1,696 "," 	1,394 ", 	472 ," 	1,044 ", 	376 , 	460 , 	191 , 	239 , 	111 , 	150 , 	258 , 	158 , 	176 , 	214 , 	74 , 	107 , 	173 , 	202 ," 	4,279 "," 	3,228 "," 	2,857 "," 	3,513 "," 	1,446 ", 	930 , 	321 , 	372 , 	327 , 	73 , 	85 , 	131 , 	50 , 	136 , 	66 , 	79 ," 	1,063 ", 	155 , 	29 , 	437 , 	167 , 	123 , 	191 , 	16 , 	108 ," 	33,878 ",,,,,,,,,,,,,
BK," 	5,781 "," 	9,119 "," 	7,348 "," 	1,970 "," 	1,438 "," 	3,134 "," 	3,795 "," 	4,800 "," 	4,928 "," 	1,922 "," 	3,372 "," 	1,784 "," 	1,921 "," 	1,193 "," 	1,377 ", 	819 ," 	1,513 "," 	1,501 ", 	884 , 	962 ," 	1,034 ", 	546 , 	403 , 	371 ," 	1,076 "," 	7,839 "," 	5,347 "," 	8,019 "," 	6,194 "," 	3,487 "," 	2,700 "," 	1,365 ", 	960 ," 	1,193 ", 	480 , 	417 , 	988 , 	250 , 	584 , 	298 , 	364 ," 	3,140 "," 	1,023 ", 	265 ," 	1,985 ", 	781 ," 	1,148 "," 	1,722 ", 	233 , 	607 ," 	114,380 ",,,,,,,,,,,,,
AS," 	1,366 "," 	1,421 ", 	858 , 	569 ," 	2,720 ", 	424 , 	886 ," 	1,925 "," 	1,583 ", 	670 ," 	1,282 ", 	653 , 	543 , 	423 , 	350 , 	238 , 	345 , 	314 , 	195 , 	200 , 	189 , 	86 , 	53 , 	133 , 	403 ," 	3,807 "," 	3,217 "," 	3,180 "," 	3,603 "," 	1,719 "," 	1,046 ", 	334 , 	411 , 	390 , 	78 , 	45 , 	155 , 	34 , 	88 , 	87 , 	121 , 	735 , 	174 , 	53 , 	332 , 	166 , 	260 , 	333 , 	26 , 	140 ," 	38,363 ",,,,,,,,,,,,,
MA," 	2,034 "," 	2,434 "," 	1,320 ", 	964 ," 	3,635 ", 	928 , 	573 ," 	1,644 "," 	1,981 ", 	801 ," 	2,369 "," 	1,434 "," 	1,422 ", 	968 , 	927 , 	559 , 	619 , 	745 ," 	1,211 "," 	1,136 "," 	1,108 ", 	457 , 	436 , 	789 , 	806 ," 	8,310 "," 	6,352 "," 	7,143 "," 	7,056 "," 	4,266 "," 	2,787 ", 	794 , 	915 , 	739 , 	287 , 	108 , 	542 , 	285 ," 	1,150 ", 	264 , 	158 ," 	1,484 ", 	364 , 	196 , 	378 , 	255 , 	306 , 	532 , 	582 ," 	1,426 "," 	77,979 ",,,,,,,,,,,,,
19," 	1,381 "," 	2,793 "," 	1,615 "," 	1,762 "," 	4,746 "," 	2,004 "," 	1,626 ", 	767 , 	382 , 	324 ," 	1,596 "," 	1,424 "," 	1,506 "," 	1,367 "," 	1,175 ", 	806 , 	837 , 	817 ," 	1,453 "," 	1,516 "," 	1,769 ", 	881 , 	695 ," 	1,547 ", 	747 ," 	9,425 "," 	7,419 "," 	8,031 "," 	7,436 "," 	4,569 "," 	3,227 "," 	1,084 "," 	1,187 "," 	1,077 ", 	349 , 	249 , 	564 , 	319 ," 	1,027 ", 	277 , 	377 ," 	1,308 ", 	461 , 	230 , 	363 , 	555 , 	492 , 	711 , 	363 , 	994 ," 	87,630 ",,,,,,,,,,,,,
12," 	1,671 "," 	3,480 "," 	2,004 "," 	1,326 "," 	4,465 "," 	1,534 "," 	2,036 ", 	350 , 	686 , 	261 ," 	1,433 "," 	1,497 "," 	2,466 "," 	1,880 "," 	1,637 ", 	879 ," 	1,297 "," 	1,062 "," 	1,630 "," 	1,835 "," 	1,808 ", 	808 , 	660 ," 	1,326 ", 	893 ," 	9,140 "," 	6,471 "," 	9,017 "," 	6,660 "," 	3,349 "," 	2,654 "," 	1,165 "," 	1,267 "," 	1,557 ", 	561 , 	288 , 	781 , 	459 ," 	1,361 ", 	541 , 	596 ," 	1,634 ", 	677 , 	277 , 	472 , 	609 , 	477 , 	662 , 	457 ," 	1,528 "," 	91,584 ",,,,,,,,,,,,,
LM, 	560 , 	853 , 	566 , 	406 ," 	2,358 ", 	715 , 	787 , 	314 , 	303 , 	337 ," 	2,079 "," 	2,107 "," 	3,249 "," 	2,654 "," 	1,620 "," 	1,105 "," 	1,076 "," 	1,046 ", 	279 , 	199 , 	224 , 	74 , 	56 , 	222 , 	456 ," 	7,819 "," 	5,911 "," 	6,810 "," 	6,187 "," 	2,983 "," 	2,073 ", 	912 , 	980 , 	929 , 	96 ," 	1,410 "," 	2,078 ", 	95 , 	192 , 	125 , 	119 , 	405 , 	124 , 	827 , 	422 , 	622 , 	491 , 	573 , 	97 , 	317 ," 	66,242 ",,,,,,,,,,,,,
FV," 	1,266 "," 	1,516 ", 	813 ," 	1,066 "," 	3,533 "," 	1,302 "," 	2,320 "," 	1,641 "," 	1,690 "," 	1,992 ", 	568 ," 	3,342 "," 	3,440 "," 	3,494 "," 	3,106 "," 	1,604 "," 	1,320 "," 	1,455 ", 	497 , 	263 , 	514 , 	361 , 	410 , 	771 ," 	1,758 "," 	8,009 "," 	5,946 "," 	9,421 "," 	8,329 "," 	3,691 "," 	3,204 ", 	758 ," 	1,107 "," 	1,604 ", 	166 , 	758 ," 	1,932 ", 	81 , 	342 , 	165 , 	307 , 	703 , 	207 ," 	1,046 ", 	207 ," 	1,029 ", 	548 , 	708 , 	195 , 	519 ," 	91,024 ",,,,,,,,,,,,,
